dates,nzd0465-0000,nzd0465-0001,nzd0465-0002,nzd0465-0003,nzd0465-0004,nzd0465-0005,nzd0465-0006,nzd0465-0007,nzd0465-0008,nzd0465-0009,nzd0465-0010,nzd0465-0011,nzd0465-0012,nzd0465-0013,nzd0465-0014,nzd0465-0015,nzd0465-0016,nzd0465-0017,nzd0465-0018,nzd0465-0019,nzd0465-0020,nzd0465-0021,satname
1999-11-19 22:25:35+00:00,,,,213.27,174.43,218.5,227.62,213.08,,,,,,,,,,,,,,,L7
2000-04-20 22:18:51+00:00,,,,213.27,178.4,201.49,212.05,213.08,,,,,,,,,,,,,262.21,,L7
2000-11-14 22:16:54+00:00,,,,212.89,216.69,,,,,,,,,,,,,,,,,,L7
2001-02-18 22:16:58+00:00,,202.59,,202.055,199.35,185.46,196.84,201.07,198.87,202.68,195.32,,,,,,,,,,,,L7
2001-02-25 22:23:05+00:00,,220.435,231.09,215.41666666666666,210.12,201.20499999999998,212.68,215.32999999999998,210.555,199.305,191.99,,,230.32,236.48,209.83,,,217.13,227.13,228.43,,L7
2001-04-07 22:16:37+00:00,,220.435,231.09,215.41666666666666,210.12,201.20499999999998,212.68,215.32999999999998,210.555,199.305,191.99,,,230.32,236.48,221.7,,,217.13,227.13,228.43,,L7
2001-10-23 22:21:01+00:00,,,,213.05,218.74,215.28,220.49,,,,,,,,,,,,,,,,L7
2002-01-20 22:15:25+00:00,,,,213.05,218.74,215.28,220.49,,,,,,,,,,,,,206.75,,,L7
2002-02-12 22:21:39+00:00,279.42,253.68,254.17,213.05,233.935,215.28,220.49,262.72,258.08,,,262.01,257.5,256.75,262.06,253.79,252.53,253.7,256.79,232.55,257.97,263.19,L7
2002-11-11 22:20:37+00:00,256.15,202.62,,,,,,,,,,,,,,,,,,,,,L7
2002-12-06 22:14:49+00:00,256.15,202.62,,,,,,,,,,,219.15,222.07,,,226.7,,,,,,L7
2003-01-14 22:21:10+00:00,256.15,202.62,,,,,,,231.3,210.55,186.78,,219.15,222.07,,,226.7,,,,,,L7
2003-08-11 22:03:27+00:00,233.41,195.75,,174.89,,176.97,,,,,,,,,,,,,,,,,L5
2003-08-27 22:03:45+00:00,225.115,189.125,,173.56,,176.97,,,,,,,,,,,205.57,222.25,,219.74,220.8,243.65,L5
2003-12-08 22:11:15+00:00,225.115,189.125,263.47,173.56,258.04,176.97,,272.52,262.78,248.34,,253.38,249.59,247.95,252.57,258.5,205.57,235.15,255.95,235.85500000000002,237.3,254.945,L5
2004-01-18 22:05:21+00:00,225.115,189.125,263.47,173.56,258.04,176.97,,272.52,262.78,248.34,167.46,253.38,249.59,247.95,252.57,229.09,202.805,224.63666666666668,229.005,235.85500000000002,229.41,246.8166666666667,L5
2004-03-29 22:11:53+00:00,,,263.47,,258.04,,,272.52,262.78,248.34,167.46,253.38,249.59,247.95,252.57,215.87333333333333,200.04,225.83000000000004,229.005,251.97,233.715,248.40000000000003,L5
2004-04-07 22:06:01+00:00,231.86,191.68,263.47,168.69,258.04,173.54,,272.52,262.78,248.34,178.95499999999998,253.38,249.59,229.33499999999998,236.375,214.54500000000002,204.96499999999997,220.52,219.54333333333332,251.97,233.715,248.40000000000003,L5
2004-09-05 22:16:20+00:00,231.86,191.68,262.7,168.69,248.65,173.54,257.46,253.81,253.63,248.86,190.45,253.65,252.69,210.72,220.18,200.00000000000003,224.125,222.245,214.41,236.82,244.7,251.05,L5
2004-10-07 22:17:05+00:00,,,268.07,,256.035,,273.30499999999995,272.565,270.29499999999996,263.635,,268.74,263.925,,,,245.36,242.565,239.985,246.575,261.815,265.485,L5
2005-01-27 22:19:02+00:00,242.36,216.78,268.07,195.78,256.035,189.62,273.30499999999995,272.565,270.29499999999996,263.635,205.41,268.74,263.925,201.99,195.48,189.13,245.36,242.565,239.985,246.575,261.815,265.485,L5
2005-03-16 22:19:43+00:00,242.36,216.78,272.56,195.78,259.735,189.62,278.72,288.41499999999996,284.79999999999995,279.985,205.41,282.075,281.865,201.99,195.48,189.13,249.32,246.265,248.24,257.655,274.12,281.935,L5
2005-04-17 22:19:52+00:00,249.16500000000002,219.14499999999998,271.68,199.28,231.14499999999998,188.47500000000002,238.96,285.51,282.64,281.56,205.41,280.32,288.57,201.99,195.48,189.13,246.28,241.99,244.71,258.98,269.31,283.95,L5
2005-09-17 22:14:42+00:00,271.15,233.29500000000002,,213.45,215.85499999999996,187.33,224.675,,245.43,246.32,,253.84,258.71,,,,277.79,271.26,271.43,291.88,288.48,304.26,L5
2005-09-24 22:20:52+00:00,271.15,226.73333333333335,,205.12666666666667,207.35666666666665,187.185,218.20333333333335,,245.43,246.32,197.84,253.84,258.71,200.95,191.58,184.62,277.79,271.26,271.43,291.88,288.48,304.26,L5
2005-10-10 22:20:47+00:00,283.7233333333333,226.73333333333335,281.34,205.12666666666667,207.35666666666665,187.185,234.405,277.85,258.055,257.27,197.84,258.97499999999997,260.53499999999997,200.95,191.58,184.62,272.63500000000005,263.295,268.02,277.225,281.58000000000004,298.005,L5
2006-02-08 22:16:57+00:00,297.59999999999997,229.34500000000003,281.34,206.3,207.91499999999996,187.04,242.66333333333333,277.85,258.055,257.27,181.29500000000002,258.97499999999997,260.53499999999997,202.825,202.805,194.84,272.63500000000005,263.295,268.02,277.225,257.8933333333334,274.84999999999997,L5
2006-04-13 22:18:14+00:00,,,,,,,,,,,164.75,,,204.7,214.03,199.715,,,,,215.9,234.45,L5
2006-05-31 22:18:55+00:00,,201.92,,167.6,176.33,175.98,,,,,164.75,,,204.7,214.03,199.715,,,,,215.9,234.45,L5
2006-08-10 22:26:07+00:00,,209.005,,177.655,187.59499999999997,186.865,,,,,,,,,,194.37,,,,,221.28,240.36,L5
2006-08-26 22:26:19+00:00,306.02,232.03666666666666,267.48,206.48666666666668,211.11666666666667,211.17666666666665,268.9,260.87,258.79,252.67,252.59,252.79,254.15,260.58,266.64,231.34,278.31,268.8,261.43,264.14,241.185,253.38,L5
2006-11-30 22:27:18+00:00,301.52,253.91,262.485,234.27999999999997,235.71,236.76999999999998,266.485,260.845,259.56,255.95999999999998,254.735,258.26499999999993,256.96,263.975,273.895,267.755,264.42,268.39,264.18,255.35,251.64499999999998,259.15999999999997,L5
2006-12-09 22:21:12+00:00,294.5133333333333,249.485,253.03333333333333,234.38,234.2625,234.11999999999998,257.88666666666666,255.76666666666665,252.72,250.88666666666666,250.77666666666667,257.5233333333333,262.4633333333333,268.63,279.93,276.13,272.36,280.0233333333333,264.18,255.35,251.64499999999998,259.15999999999997,L5
