dates,satname,nzd0102-0000,nzd0102-0001,nzd0102-0002,nzd0102-0003,nzd0102-0004,nzd0102-0005,nzd0102-0006
1999-08-26 22:04:44.971000,L7,395.73,372.25,370.71,,,,
1999-09-27 22:04:48.949000,L7,372.87,350.54,352.19,347.84,,,
1999-11-14 22:04:42.286000,L7,353.63,336.16,340.80,,,,
2000-05-24 22:03:46.662000,L7,358.81,352.10,362.18,358.93,363.48,,
2000-08-12 22:02:54.094000,L7,407.09,362.08,353.24,344.79,319.21,301.32,
2000-09-13 22:02:26.190000,L7,339.20,318.30,321.11,366.30,358.47,,
2000-10-15 22:01:56.204000,L7,283.49,,,,,,290.60
2001-11-03 22:00:10.954000,L7,356.51,327.80,,,249.87,264.51,259.82
2002-01-06 22:00:31.992000,L7,281.17,,,,,,
2002-01-22 22:00:40.906000,L7,370.87,347.62,,,,,
2002-02-23 22:00:43.620000,L7,341.21,334.62,369.30,,,,
2002-07-17 22:00:08.747000,L7,375.35,,,,,,
2002-08-18 21:59:57.690000,L7,345.42,330.80,338.10,,,,
2002-11-06 21:59:41.879000,L7,360.37,346.31,345.62,,,,301.86
2003-01-25 22:00:18.779000,L7,,318.45,335.90,327.30,327.04,326.17,259.11
2007-01-05 22:00:28.480000,L5,341.86,298.26,276.52,,272.19,290.80,265.07
2010-02-21 22:02:44.773000,L5,327.25,279.91,261.84,,,,
2011-03-12 22:01:43.554000,L5,336.60,289.04,272.06,,,,
2013-04-11 22:07:51.092000,L8,,,,,,,260.42
2013-05-20 22:13:50.559000,L8,382.56,281.70,250.84,,,,262.44
2013-06-05 22:13:51.261000,L8,297.19,276.41,,,,,
2013-06-21 22:13:43.313000,L8,397.17,279.88,,,,,261.97
2013-10-27 22:13:31.854000,L8,395.08,,,,,,
2013-11-12 22:13:32.202000,L8,362.81,280.79,253.43,,,,
2013-12-14 22:13:21.591000,L8,376.24,283.23,258.25,,,,
2014-01-31 22:12:52.806000,L8,342.77,296.18,266.80,,268.95,290.39,266.48
2014-07-26 22:11:43.162000,L8,293.60,,,,,,
2015-01-02 22:11:50.958000,L8,364.54,,,,,,
2015-04-24 22:11:08.401000,L8,305.74,277.80,257.23,,,,
2015-07-29 22:11:25.856000,L8,388.01,280.73,256.46,,,,
2015-12-20 22:11:57.501000,L8,386.38,280.79,256.98,,,,
2016-01-21 22:11:54.068000,L8,341.51,277.62,261.75,,,,
2016-02-22 22:11:42.580000,L8,299.10,,,,,,
2016-03-25 22:11:32.353000,L8,293.49,,,,,,
2016-04-26 22:11:21.230000,L8,303.27,282.74,258.47,,,,
2016-05-12 22:11:20.683000,L8,359.27,,,,,,
2016-07-15 22:11:46.335000,L8,376.32,290.97,265.68,,262.00,283.62,264.34
2016-11-20 22:12:09.409000,L8,307.22,281.55,260.17,,,,
2016-12-22 22:12:03.110000,L8,304.31,,,,,,
2017-01-23 22:11:55.340000,L8,392.73,283.42,262.26,,,,262.01
2018-01-10 22:11:54.118000,L8,294.16,,,,,,
2018-05-02 22:10:57.873000,L8,291.22,,,,,,
2018-07-05 22:10:54.795000,L8,304.52,279.33,252.90,,,,
2018-09-07 22:11:24.397000,L8,362.02,272.00,,,,,
2019-03-02 22:11:29.304000,L8,304.24,273.70,,,,,
2019-08-09 22:11:55.358000,L8,311.07,266.47,254.41,,,,258.65
2020-05-07 22:11:12.613000,L8,304.71,281.52,269.12,,266.36,290.16,271.04
2020-07-26 22:11:44.648000,L8,360.09,,,,,,
2020-08-27 22:11:56.368000,L8,303.77,,,,,,
2021-03-23 22:11:37.336000,L8,378.83,,,,,,261.33
2021-04-24 22:11:25.382000,L8,295.39,,,,,,
2021-06-11 22:11:38.046000,L8,310.88,285.85,253.65,,264.36,286.52,271.30
2021-07-13 22:11:43.513000,L8,303.07,272.09,,,,,266.46
2021-10-17 22:12:14.625000,L8,312.10,287.71,253.27,,,,261.52
2021-11-18 22:12:08.776000,L8,304.16,282.11,251.17,,,,
2022-02-22 22:11:50.626000,L8,357.00,,,,,,254.12
2022-05-05 22:11:31.114000,L9,304.03,,,,,,
2022-11-13 22:12:17.201000,L9,345.85,298.06,347.17,327.20,348.75,,
2023-03-29 22:11:37.049000,L8,297.21,,,,,,
2023-05-24 22:11:17.213000,L9,302.56,282.03,,,,,
2023-06-09 22:11:12.914000,L9,305.44,249.11,,,,,
2023-07-27 22:11:26.959000,L9,378.06,323.38,249.91,,270.93,285.85,268.34
2023-09-13 22:11:53.459000,L9,360.96,,,,,,
2023-10-07 22:11:57.146000,L8,361.94,281.63,,,,,263.32
2023-10-15 22:12:03.081000,L9,335.09,284.77,248.43,,,,263.80
2023-11-08 22:11:57.030000,L8,359.39,,,,,,
2024-01-11 22:11:56.446000,L8,303.20,,,,,,
2024-02-28 22:11:48.245000,L8,307.61,285.51,277.15,,,,
2024-03-07 22:12:00.069000,L9,381.43,269.91,,,,,
2024-04-16 22:11:19.307000,L8,376.68,284.21,,,,,266.35
2024-05-02 22:11:08.519000,L8,367.94,275.43,247.27,,,,
2024-05-10 22:11:24.784000,L9,356.56,285.38,244.65,,,,265.24
2024-05-18 22:10:55.940000,L8,361.08,280.69,,,,,261.82
2024-06-27 22:10:53.037000,L9,304.68,281.91,,,,,
2024-08-06 22:11:21.454000,L8,304.74,278.31,,,,,
2024-08-22 22:11:34.534000,L8,304.25,266.66,,,,,
2024-11-18 22:11:59.014000,L9,308.09,256.06,,,,,
2024-12-04 22:12:00.480000,L9,312.22,278.07,250.74,,,,
2024-12-28 22:11:50.695000,L8,367.94,256.85,,,,,266.95
2025-01-29 22:11:52.495000,L8,381.35,284.44,247.30,,,,270.01
2025-05-21 22:11:16.046000,L8,372.07,275.05,,,,,263.12
2025-05-29 22:11:15.744000,L9,318.09,291.11,252.53,,272.29,289.40,276.24
2025-06-06 22:11:18.842000,L8,296.60,,,,,,
2025-06-30 22:11:31.747000,L9,361.29,334.81,328.92,292.18,293.69,323.27,304.88
2025-09-18 22:12:01.813000,L9,304.01,261.20,,,,,
2025-10-04 22:12:06.102000,L9,318.17,288.09,250.93,,270.38,289.44,274.48
2025-11-05 22:12:10.440000,L9,307.45,278.80,,,,,253.30
