dates,satname,nzd0198-0000,nzd0198-0001,nzd0198-0002,nzd0198-0003,nzd0198-0004,nzd0198-0005,nzd0198-0006,nzd0198-0007,nzd0198-0008,nzd0198-0009,nzd0198-0010,nzd0198-0011,nzd0198-0012,nzd0198-0014,nzd0198-0015,nzd0198-0016,nzd0198-0017,nzd0198-0013
1999-12-25 21:58:52.197000,L7,403.28,388.90,371.96,381.96,373.78,335.55,339.54,396.55,389.61,326.02,389.37,398.85,395.79,368.83,320.98,384.43,376.00,
2000-03-30 21:58:33.541000,L7,421.38,406.50,,,,,,,,,,,,,,,,
2000-05-26 21:51:48.668000,L7,466.56,447.73,320.74,327.27,331.06,407.48,459.29,393.01,401.27,449.38,317.45,322.12,316.12,319.78,315.24,407.65,400.95,327.80
2000-12-20 21:50:16.996000,L7,,,,,,,,,,,,,,,381.36,382.88,376.46,
2001-01-12 21:56:30.696000,L7,,392.46,417.60,413.97,405.36,407.89,407.48,362.03,348.88,365.25,365.87,357.84,351.24,355.34,328.31,326.70,331.06,374.63
2001-03-01 21:56:21.596000,L7,,,,,426.44,405.95,389.52,396.63,437.59,434.18,376.07,385.60,398.42,397.47,378.06,375.69,381.90,401.77
2001-03-10 21:50:10.732000,L7,,393.57,440.63,395.38,,,,,,,,,,,,,,
2001-10-11 21:54:09.862000,L7,,,,,409.37,433.83,397.29,,,,,,,,,,,
2002-01-24 21:48:42.967000,L7,386.73,375.16,319.10,324.23,325.07,328.75,333.39,335.10,327.89,323.02,378.28,380.71,382.66,381.52,376.62,373.50,379.75,387.42
2002-02-09 21:48:45.674000,L7,457.47,435.94,396.86,392.63,402.80,416.53,406.64,406.77,404.03,410.27,399.15,402.78,398.38,378.40,365.51,,425.05,401.75
2002-03-20 21:54:48.224000,L7,359.72,,,,,,,,,,,,,,,,,
2002-06-24 21:54:28.353000,L7,377.58,377.67,433.79,392.51,,,,,,,,,,,,,,
2002-10-14 21:53:43.769000,L7,357.75,342.32,428.13,428.32,411.75,423.86,405.79,411.75,396.20,411.73,407.54,397.36,395.77,388.15,382.15,373.37,386.02,388.78
2004-10-20 21:44:28.706000,L5,,,322.72,334.67,337.22,333.52,336.70,329.74,334.49,326.38,309.97,,,,,,,
2005-11-24 21:48:28.120000,L5,,325.30,340.60,347.90,347.59,339.86,342.85,331.93,336.92,335.58,319.33,318.70,324.13,331.08,331.10,326.53,,336.64
2014-05-09 21:59:27.549000,L8,,,327.91,328.62,330.34,329.07,332.48,330.70,326.80,318.85,,,,,,,,
2017-03-14 21:59:34.845000,L8,,,,,424.52,431.77,403.50,377.84,381.28,329.14,,,321.66,321.10,325.17,302.13,338.69,322.22
2018-01-19 22:06:02.658000,L8,,324.03,346.65,345.80,334.76,353.24,339.02,338.60,333.89,333.34,316.88,314.28,,,,,,
2022-01-30 22:06:10.369000,L8,339.31,333.04,340.94,414.77,412.15,349.06,340.78,335.55,333.77,323.50,313.69,311.33,314.32,318.18,315.32,,,324.57
2022-06-07 22:06:07.543000,L8,,,,,394.66,327.76,346.10,327.52,327.38,317.01,,,,,,,,
2024-09-08 22:05:48.031000,L9,399.89,,,,,,,,,,,,,,,,,
2025-10-14 22:00:07.657000,L8,,324.64,330.44,334.83,338.33,339.84,338.40,341.87,338.64,334.56,371.47,341.69,378.10,,,,,401.85
2025-11-23 22:00:11.106000,L9,410.11,322.58,327.26,330.61,350.04,334.69,347.11,,,,,,,,,,,
