dates,satname,nzd0228-0000,nzd0228-0001,nzd0228-0002,nzd0228-0003,nzd0228-0004,nzd0228-0005,nzd0228-0006,nzd0228-0007,nzd0228-0008,nzd0228-0009,nzd0228-0010,nzd0228-0011,nzd0228-0012,nzd0228-0013,nzd0228-0014,nzd0228-0015,nzd0228-0016,nzd0228-0017,nzd0228-0018,nzd0228-0019,nzd0228-0020,nzd0228-0021,nzd0228-0024,nzd0228-0025,nzd0228-0026,nzd0228-0027,nzd0228-0028,nzd0228-0029,nzd0228-0030,nzd0228-0023,nzd0228-0022
2000-01-10 21:58:52.465000,L7,326.80,319.45,316.58,315.49,308.71,314.13,308.99,311.92,307.80,309.38,,,,,,,,,,,,,,,,,,,,,
2000-02-27 21:58:40.521000,L7,371.55,370.38,373.54,386.96,387.90,381.60,392.95,391.64,379.44,378.33,390.76,379.26,382.54,389.58,382.80,387.38,378.33,385.55,396.10,400.31,385.90,358.83,287.98,277.74,274.94,273.19,292.09,326.40,357.40,,
2000-03-14 21:58:35.291000,L7,353.07,344.70,346.42,337.18,327.88,328.72,322.51,331.42,315.58,323.08,320.24,319.67,319.20,,,,,,,,,,,,,,,,,,
2000-03-30 21:58:33.541000,L7,342.57,338.75,350.62,355.73,359.44,363.28,354.33,348.68,359.06,313.35,308.76,,,,,,,,,,,,303.35,284.62,283.00,283.48,294.64,317.05,,,
2000-07-04 21:57:38.483000,L7,383.17,417.42,399.73,413.33,401.28,401.24,427.23,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-05 21:57:08.715000,L7,378.81,373.73,393.80,415.00,312.20,323.05,308.19,314.40,311.91,319.52,313.77,313.56,316.29,311.14,314.55,,,,,,,,,,,,,,,,
2000-09-22 21:56:29.431000,L7,328.10,335.40,340.58,354.39,337.90,342.56,318.26,302.56,,,,,,,,,,,,,,,309.52,287.43,301.55,289.07,303.08,329.74,339.41,,
2001-03-01 21:56:21.596000,L7,323.18,328.09,329.98,323.12,333.35,341.26,353.91,356.73,339.66,318.75,316.71,316.01,314.09,311.52,,,,,,,,,,,,,,,,,
2001-03-17 21:56:16.575000,L7,344.14,326.81,323.92,316.13,324.23,330.04,343.89,347.67,350.77,330.86,341.64,324.30,339.21,353.17,,,,,,,,,301.56,298.66,299.18,288.92,308.15,323.52,340.23,307.34,
2001-06-21 21:55:29.297000,L7,336.63,356.58,369.53,359.41,378.89,379.18,418.58,366.34,351.98,357.14,353.79,,,357.01,370.23,365.02,370.06,364.39,,387.95,325.01,363.52,321.20,321.36,323.30,274.69,290.16,,,360.05,361.13
2001-09-09 21:54:36.880000,L7,330.61,327.49,326.58,324.93,328.33,343.20,321.38,336.47,318.38,318.08,315.57,314.85,321.68,316.59,310.66,,,,,,,,315.99,297.10,318.68,335.78,346.46,352.73,387.27,314.83,
2001-09-25 21:54:28.694000,L7,323.06,323.38,318.88,316.23,317.85,325.47,313.06,330.62,312.93,316.46,310.85,314.61,315.83,312.77,322.02,,,,,,,,296.42,285.36,296.85,285.08,304.45,324.88,,,
2002-02-16 21:54:54.191000,L7,347.35,339.84,347.32,366.87,345.31,363.86,334.42,366.36,354.99,357.78,368.34,351.19,357.52,343.76,344.42,335.97,333.65,330.36,306.68,,,,294.73,279.98,283.40,299.68,319.10,324.32,333.69,,
2002-03-20 21:54:48.224000,L7,561.56,342.93,354.80,368.60,339.92,346.60,341.38,356.45,363.39,349.06,355.53,343.37,345.90,343.19,340.50,332.80,325.87,319.79,311.92,,,,,,,,,,,,
2002-08-27 21:54:00.253000,L7,403.76,406.26,414.74,396.83,395.60,419.57,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-14 21:53:43.769000,L7,323.31,319.64,328.89,347.16,337.83,340.54,328.77,325.51,320.12,318.90,315.26,315.13,320.09,320.82,317.95,332.76,334.67,315.16,314.09,,,,,,,,,,,,
2002-12-01 21:54:16.937000,L7,,311.08,316.68,316.48,319.92,320.27,325.84,330.12,318.02,329.02,322.32,321.94,323.75,326.76,314.34,,,,,,,,,,,,,,,,
2003-01-18 21:54:30.278000,L7,,337.86,367.10,372.95,370.65,376.73,420.26,333.94,329.06,399.43,429.32,410.48,429.98,387.06,342.15,345.31,351.54,355.95,351.43,349.47,337.79,330.55,372.98,363.63,365.98,,,,,378.53,
2003-03-23 21:54:40.711000,L7,324.08,332.07,328.87,352.79,332.89,339.24,349.11,356.62,351.24,342.65,357.26,349.21,360.29,374.33,369.05,364.35,372.14,365.83,370.82,365.94,341.75,347.22,,,,,,,,,325.52
2003-04-08 21:54:47.577000,L7,387.63,346.62,344.73,349.20,337.32,342.97,347.13,338.46,355.79,371.01,390.09,395.71,368.30,365.49,373.15,357.71,371.09,367.53,365.67,359.79,351.78,344.27,305.16,282.65,284.74,274.00,,,,311.15,329.12
2013-11-05 22:07:46.855000,L8,,315.41,331.45,346.90,357.95,325.86,341.25,334.62,331.81,329.09,334.91,354.26,347.45,,,,345.01,326.97,335.17,359.97,347.46,353.14,303.68,285.49,316.49,357.21,349.40,366.38,347.65,,343.24
2014-11-08 22:06:16.124000,L8,,,,,,,298.62,323.46,329.54,333.05,351.72,,,,,,,,,,,,,,,,,,,,
2015-02-28 22:05:48.437000,L8,,306.92,308.02,308.25,307.40,312.22,310.84,310.44,304.54,,,,,,,,,,,,,,,,,,,,,,
2017-03-05 22:05:50.977000,L8,,,,,,,,,,,,,,,,,,342.62,356.80,337.91,,,,,,,,,,,
2017-05-24 22:05:34.407000,L8,,,,,,,,,,337.18,351.82,345.37,,,,,,,,,,,,,,,,,,,
2018-01-19 22:06:02.658000,L8,,,,,,,,,,,,,,,,,,,,,,,403.48,,,,,,,405.66,385.98
2019-01-06 22:05:53.844000,L8,347.93,360.74,370.31,394.60,356.37,369.68,395.84,404.07,391.35,365.64,372.58,368.07,365.04,398.42,339.77,361.79,363.64,394.62,413.48,379.89,368.17,375.59,381.25,343.64,360.40,282.24,291.65,324.44,347.81,413.36,399.38
2019-02-07 22:05:47.667000,L8,336.49,311.22,355.03,334.21,329.93,326.94,319.14,332.98,328.01,326.90,321.38,314.08,315.80,314.28,312.51,,,,,,,,,,,,,,,,
2019-06-15 22:05:51.895000,L8,325.23,327.34,326.84,334.32,336.24,331.14,298.25,327.55,346.00,362.37,371.84,367.54,365.68,357.98,,,,,,,,,288.17,304.79,347.55,271.57,,,,,
2020-01-25 22:06:09.569000,L8,,,,,,,,,,,,,,,,,,,,,,,358.88,371.87,,,,,,360.19,
2021-09-24 22:06:20.847000,L8,,,,,,319.57,341.65,335.28,333.95,332.90,346.84,342.61,335.07,392.09,399.57,407.68,,,,,,,,369.20,362.72,377.12,,,,,
2022-08-10 22:06:32.253000,L8,,,,,,,,,,,,327.96,333.05,358.02,369.93,,,,,,,,,,,,,,,,
2022-12-24 22:06:26.081000,L9,318.13,321.92,330.75,342.58,300.57,309.28,308.10,319.49,326.40,339.39,334.43,325.27,338.28,347.07,364.66,,,,,,,,280.44,276.46,282.81,296.68,303.47,426.26,401.23,,
2023-06-18 22:05:21.666000,L9,,,,,,,323.99,331.50,324.60,308.34,336.36,327.93,328.35,328.91,343.96,,,,,,,,318.25,323.17,280.08,275.93,,,,,
2023-08-05 22:05:47.142000,L9,,,,,,,,,,,351.41,360.83,368.69,395.23,395.70,401.18,417.67,416.67,425.03,,,,,,,,,,,,
2023-08-21 22:05:52.129000,L9,,,,,,,,,,,,360.25,355.97,331.93,372.25,392.93,,,,,,,,,,,,,,,
2023-11-25 22:06:20.599000,L9,,,,,,,,,,,,,,,,,,,,,,,310.70,310.12,301.41,339.98,,,,,
2024-01-12 22:06:18.916000,L9,,,,,,,,,,,,,,,,,,,,,,,306.43,284.45,293.20,299.22,377.75,,,307.80,
2024-01-28 22:06:18.213000,L9,,,,,,,,,,,,,,,,,,,,,,,301.57,286.69,291.51,320.62,359.92,,,306.81,
2024-02-29 22:06:11.471000,L9,,,,,,,,,,,,,,,,,392.45,372.88,399.11,408.08,,,,,,,,,,,
2024-06-20 22:05:06.981000,L9,,,,,,,,,,,,,,,,,,,,,,,311.59,292.93,285.12,282.84,286.54,,,317.42,319.42
2024-06-28 22:05:19.477000,L8,,,,,,380.46,362.25,349.07,352.22,,,,,,,,,,,,,,,,,,,,,,
2025-08-10 22:06:04.262000,L9,,307.77,315.83,333.78,329.43,327.83,327.69,328.01,340.73,347.25,338.26,356.47,335.72,382.21,388.95,327.60,340.05,362.66,373.05,336.52,324.44,337.23,395.75,,,,,,,366.85,356.40
