dates,nzd0078-0000,nzd0078-0001,nzd0078-0002,nzd0078-0003,nzd0078-0004,nzd0078-0005,nzd0078-0006
2015-04-24 22:10:44+00:00,284.86,305.35,292.78,283.6933333333333,289.27000000000004,282.37333333333333,290.24
2015-05-10 22:10:52+00:00,292.94,303.1333333333333,296.9633333333333,283.9975,290.7025,284.69,290.0566666666667
2015-06-27 22:11:10+00:00,291.9266666666667,299.335,295.5333333333333,280.14,289.43500000000006,282.195,289.07666666666665
2015-07-29 22:11:25+00:00,291.9266666666667,299.678,300.1875,282.37,291.346,285.78599999999994,290.5
2015-08-14 22:11:31+00:00,291.9266666666667,299.678,300.1875,282.37,288.2666666666667,285.78599999999994,290.5
2015-12-20 22:11:33+00:00,294.235,294.9433333333333,305.34999999999997,282.53,287.42,293.09666666666664,282.18666666666667
2016-02-22 22:11:18+00:00,305.445,298.865,304.405,288.33500000000004,293.155,293.19,276.755
2016-03-09 22:11:40+00:00,315.67,300.0733333333333,305.30333333333334,288.83,293.49,293.3233333333333,274.39000000000004
2016-04-26 22:11:21+00:00,312.35,298.955,304.9575,286.3275,292.18,292.9175,277.6075
2016-05-12 22:11:20+00:00,312.35,300.634,306.432,287.97200000000004,293.54200000000003,294.726,280.90999999999997
2016-06-13 22:11:30+00:00,311.614,300.9116666666667,307.6983333333333,288.50666666666666,294.2,295.575,282.86833333333334
2016-07-15 22:11:46+00:00,309.85,299.83833333333337,307.5783333333333,287.47666666666663,294.2216666666667,295.1633333333333,286.3333333333333
2016-08-16 22:11:53+00:00,308.51500000000004,299.57714285714286,307.84000000000003,287.5885714285714,294.37428571428575,295.21714285714285,287.12714285714287
2016-11-20 22:12:09+00:00,300.565,297.22749999999996,307.6775,288.1425,295.225,296.4225,290.485
2017-08-19 22:11:29+00:00,312.73,311.32,326.26,298.71,305.37,309.04,303.62
2017-09-04 22:11:55+00:00,309.635,305.47,315.73,294.96500000000003,300.7,303.375,297.89
2018-01-10 22:11:30+00:00,308.34,304.1166666666667,313.8566666666666,295.12666666666667,299.94666666666666,302.31333333333333,296.72
2018-01-26 22:11:21+00:00,306.83500000000004,302.64250000000004,311.2575,293.5825,298.465,301.0875,295.1025
2018-04-16 22:11:06+00:00,304.0350000000001,299.81500000000005,318.7966666666666,292.19999999999993,303.0833333333333,305.33,296.99
2018-07-05 22:10:30+00:00,303.7633333333334,300.49666666666667,318.4025,294.51,303.1725,304.13,296.6575
