dates,satname,nzd0094-0000,nzd0094-0001,nzd0094-0002,nzd0094-0003,nzd0094-0004,nzd0094-0005,nzd0094-0006,nzd0094-0007,nzd0094-0008,nzd0094-0009,nzd0094-0010,nzd0094-0011,nzd0094-0012,nzd0094-0013,nzd0094-0014,nzd0094-0015,nzd0094-0016,nzd0094-0017,nzd0094-0018,nzd0094-0019,nzd0094-0020,nzd0094-0021,nzd0094-0022,nzd0094-0023,nzd0094-0024,nzd0094-0025,nzd0094-0026,nzd0094-0027
1999-09-27 22:04:48.949000,L7,307.56,343.51,327.59,325.66,333.09,334.52,339.67,349.01,351.57,358.12,364.57,370.01,376.39,370.52,368.92,366.05,368.09,370.28,378.85,382.65,349.65,343.70,340.96,338.98,329.47,334.30,326.87,355.69
1999-11-14 22:04:42.286000,L7,332.47,336.41,339.07,334.93,346.02,363.55,307.22,357.61,362.08,361.49,367.09,375.47,383.73,379.47,,,,,,,,,390.86,377.06,370.99,370.11,366.37,364.14
2000-01-01 22:04:37.439000,L7,,,,,,,,,,,,,,332.56,328.49,326.50,366.04,369.18,372.96,376.58,380.84,379.79,377.70,369.46,365.20,364.80,380.40,364.02
2001-01-03 22:02:12.432000,L7,301.83,321.11,345.21,350.68,,,,,,,,,,,,322.71,331.14,336.56,,,308.57,321.97,320.27,310.55,285.49,268.32,295.12,367.22
2001-03-24 22:01:59.719000,L7,221.55,280.70,310.30,325.31,324.24,333.35,336.37,305.98,312.72,337.29,297.05,316.04,358.07,357.13,350.72,352.80,337.65,360.33,311.83,315.05,315.59,325.63,324.39,315.15,281.13,278.22,301.49,383.20
2001-08-15 22:00:38.680000,L7,301.29,324.22,337.80,330.42,339.38,361.56,,,,336.29,343.71,325.68,337.45,331.46,332.36,328.17,330.65,310.70,343.32,353.72,350.81,320.56,316.68,307.76,276.76,268.16,291.85,355.63
2001-10-02 22:00:04.650000,L7,336.33,333.91,335.48,333.31,334.77,343.35,341.37,352.29,355.09,358.27,364.72,368.81,379.00,370.89,323.79,324.50,372.56,372.69,341.50,343.32,350.22,344.77,341.21,336.77,333.31,332.78,328.01,290.07
2001-11-03 22:00:10.954000,L7,247.38,267.07,279.48,298.10,329.94,336.14,340.73,337.89,347.85,325.94,306.24,330.17,369.43,366.48,366.43,359.36,361.66,365.66,345.32,352.46,354.69,349.28,344.39,345.82,334.71,333.40,325.78,
2001-12-21 22:00:29.925000,L7,,,,,,,,356.00,352.56,362.07,363.18,364.52,374.06,365.51,363.06,357.76,359.71,366.15,374.77,382.68,347.99,341.32,340.59,336.55,334.50,328.04,319.74,355.71
2002-01-22 22:00:40.906000,L7,246.41,274.28,286.95,297.05,308.78,347.31,350.06,358.82,363.01,330.83,326.57,337.98,343.44,333.04,332.95,333.50,331.19,338.45,347.62,353.69,351.73,348.68,350.01,339.17,335.43,335.23,381.47,386.13
2002-02-23 22:00:43.620000,L7,,,,,,,,324.25,327.13,329.68,335.72,350.81,,,,241.24,282.56,340.36,347.31,,356.34,337.29,358.15,357.40,340.54,341.22,332.56,326.76
2002-03-27 22:00:37.575000,L7,342.37,342.40,337.23,325.83,351.11,,347.99,347.46,352.04,354.09,363.53,364.22,371.90,367.08,368.29,305.63,329.79,339.32,371.80,377.56,353.44,350.22,350.64,346.41,321.88,334.44,326.34,
2002-07-17 22:00:08.747000,L7,254.07,264.84,280.25,301.29,,,,,,337.21,332.86,343.28,346.41,334.34,333.00,333.71,372.68,374.17,381.81,387.66,386.76,387.12,386.32,377.93,373.03,335.65,330.04,325.35
2002-08-18 21:59:57.690000,L7,242.11,275.25,288.16,299.97,307.96,314.88,,,331.43,328.38,331.14,338.32,342.84,335.44,332.72,332.31,333.05,337.97,345.94,352.99,352.72,348.73,345.73,342.21,337.30,376.22,382.74,399.85
