dates,satname,nzd0001-0000,nzd0001-0001,nzd0001-0002,nzd0001-0003,nzd0001-0004,nzd0001-0005,nzd0001-0006,nzd0001-0008,nzd0001-0009,nzd0001-0010,nzd0001-0011,nzd0001-0012,nzd0001-0013,nzd0001-0014,nzd0001-0015,nzd0001-0016,nzd0001-0017,nzd0001-0020,nzd0001-0021,nzd0001-0022,nzd0001-0023,nzd0001-0024,nzd0001-0025,nzd0001-0007,nzd0001-0018,nzd0001-0019,nzd0001-0026,nzd0001-0027,nzd0001-0028,nzd0001-0030,nzd0001-0031,nzd0001-0032,nzd0001-0029
2010-10-10 22:07:36.102000,L5,,,,,,206.61,231.79,226.83,200.31,191.10,,,,,,,,,196.37,195.17,206.07,200.11,199.58,245.65,,,207.63,220.74,232.28,225.68,215.45,225.36,223.01
2011-01-14 22:07:31.728000,L5,,,,,,254.91,279.59,246.08,272.23,227.77,,,,,,,,,242.86,239.36,233.50,237.21,232.60,298.16,,,232.06,248.05,250.30,242.00,235.22,238.34,240.48
2011-02-15 22:07:34.670000,L5,,,,,,256.44,280.27,257.84,267.22,223.03,,,,,,,,,234.76,234.45,233.68,242.95,237.34,294.94,,,238.30,250.12,250.51,252.34,228.97,235.34,246.59
2011-09-11 22:06:09.236000,L5,,,,,,266.69,291.22,264.13,280.25,234.89,200.83,,,,,,,,238.18,242.71,238.23,246.19,237.19,305.14,,,237.75,248.67,250.68,255.62,238.23,241.90,250.28
2013-04-25 22:19:21.025000,L8,,,,502.34,261.98,293.70,310.27,277.60,299.42,262.44,233.28,,,,,,,,257.81,260.99,254.45,241.23,240.24,320.05,,,252.27,268.12,270.10,265.30,255.88,256.33,274.23
2013-06-28 22:19:33.252000,L8,,,,,254.26,291.49,315.79,276.05,302.11,267.05,240.64,254.98,252.84,,,,,,260.10,265.51,254.16,257.25,253.63,322.88,,,255.48,273.85,271.53,272.89,249.93,252.81,278.29
2013-07-14 22:19:34.707000,L8,,,,,,,,,,,,,,,,,,,239.17,246.00,235.15,231.90,229.51,,,,237.08,228.06,244.15,246.70,230.77,233.84,226.61
2013-08-31 22:19:38.558000,L8,,,,,252.07,294.22,313.76,280.67,304.81,267.62,238.08,254.89,255.72,,,,,,260.90,263.37,255.60,260.04,260.35,323.62,,,259.02,273.80,277.56,270.17,255.45,254.02,280.42
2013-10-02 22:19:28.820000,L8,,,,,,293.86,315.95,279.39,294.15,263.08,231.04,,,,,,,,258.87,265.39,257.51,259.35,254.09,325.48,,,258.62,271.06,272.13,270.00,258.41,252.90,274.18
2013-11-03 22:19:20.378000,L8,,,,,262.56,297.35,320.16,285.47,308.27,272.76,249.62,258.51,301.09,,,,,,262.73,269.46,263.27,257.89,255.50,328.91,,,258.83,274.30,273.48,272.79,268.65,264.34,278.81
2013-12-05 22:19:13.005000,L8,,,,,218.83,299.49,322.25,290.36,310.49,274.31,253.66,263.75,304.51,202.68,,,,,265.30,271.57,282.38,260.29,259.19,330.39,,,265.87,275.04,276.25,277.49,269.24,265.92,281.84
2014-01-06 22:18:54.881000,L8,,,,,251.21,284.71,308.02,276.01,299.23,264.32,195.15,,,,,,,,258.09,263.54,258.97,255.07,251.94,320.42,,,255.13,268.22,269.64,265.61,257.78,253.61,275.70
2014-02-23 22:18:20.398000,L8,,,,,262.71,292.72,310.66,278.35,300.68,266.09,232.25,254.73,255.50,,,,,,261.24,263.91,260.05,256.58,254.10,321.10,,,257.75,273.49,276.26,275.32,269.52,260.31,279.85
2014-04-12 22:17:37.464000,L8,,,,,229.89,285.57,310.19,277.72,300.27,264.32,229.95,,,,,,,,260.05,260.70,255.35,254.81,247.68,320.60,,,254.63,269.07,268.11,267.40,256.12,255.22,276.36
2014-04-28 22:17:22.576000,L8,,,,,254.05,287.66,312.05,281.07,300.64,266.04,240.75,254.75,254.83,,,,,,260.42,262.05,255.53,257.42,253.92,322.39,,,256.57,264.19,254.57,258.46,241.34,239.14,258.18
2014-05-14 22:17:08.923000,L8,,,,,256.84,289.21,311.98,276.57,300.40,264.96,237.57,253.16,253.04,,,,,,,,,,,321.13,,,,,,,200.50,232.16,
2014-05-30 22:17:11.184000,L8,,,,,265.96,306.63,342.43,284.93,315.54,271.94,250.58,258.31,306.71,205.16,,,,,262.48,263.50,259.72,261.76,259.67,344.97,,,260.97,277.30,277.40,282.74,274.99,285.34,282.12
2014-07-01 22:17:22.417000,L8,,,,,,264.81,292.15,248.77,289.85,251.21,,,,,,,,,246.96,252.49,243.87,239.97,234.28,312.02,,,234.18,,,,,,
2014-07-17 22:17:28.260000,L8,,,,,267.12,306.54,325.86,284.50,324.50,274.31,254.48,258.94,306.45,203.29,,,,297.23,302.01,275.83,288.70,285.36,280.54,329.60,291.23,293.93,282.21,281.61,288.87,287.97,278.82,264.87,282.95
2014-11-06 22:17:49.451000,L8,,,,,,275.87,257.70,273.52,299.10,260.23,232.70,,,,,,,,257.57,261.73,260.28,253.17,247.79,319.69,,,254.59,269.38,267.97,267.68,253.05,248.11,274.89
2015-01-09 22:17:38.882000,L8,,,,,261.91,295.05,314.23,283.47,305.48,271.75,250.03,259.42,257.22,,,,,,262.16,265.17,262.39,283.63,256.82,326.99,,,259.53,276.68,291.66,296.49,297.04,264.81,289.97
2015-02-10 22:17:27.012000,L8,,,,,263.02,297.22,319.40,285.62,307.03,270.47,247.38,258.69,256.57,203.54,,,,,277.08,264.24,262.43,257.57,257.18,324.67,,,269.14,279.12,280.82,282.62,291.66,283.67,284.15
2015-06-02 22:16:44.532000,L8,,273.26,291.66,211.45,302.98,327.64,350.90,342.18,330.51,327.77,329.09,304.29,316.10,259.88,269.00,263.23,259.09,236.75,326.87,275.40,282.55,292.90,293.25,361.71,257.39,242.77,302.06,290.34,318.10,322.62,293.75,294.30,291.61
2015-07-04 22:17:02.361000,L8,,,,,256.03,301.32,328.10,296.27,326.81,323.77,319.13,317.22,313.43,314.87,308.09,295.92,293.90,322.19,304.68,278.09,277.54,290.88,297.73,341.47,271.49,291.64,324.62,325.97,321.32,290.36,312.78,270.22,286.79
2015-07-20 22:17:10.706000,L8,,,,,262.44,295.76,318.20,279.99,321.38,268.10,244.61,255.11,252.95,193.17,,,,,260.53,272.67,262.53,281.72,260.02,324.44,,,259.62,276.06,271.49,269.94,256.69,258.59,279.64
2015-08-05 22:17:13.094000,L8,,,,,264.39,308.89,322.28,332.86,327.04,272.12,253.50,259.73,306.55,319.85,,,,,263.09,271.93,268.44,282.37,272.35,331.66,,,274.72,281.57,301.43,288.68,273.22,296.66,293.82
2015-10-24 22:17:40.820000,L8,,,,,263.92,300.76,322.39,294.71,315.60,272.36,254.53,262.58,303.55,228.52,,,,,260.40,264.13,256.68,253.85,281.99,332.92,,,288.35,295.14,282.79,340.21,299.79,245.23,369.69
2015-12-11 22:17:42.627000,L8,,,,,265.47,296.63,318.86,288.73,309.48,273.70,254.16,263.12,301.69,229.76,,,,,263.96,264.39,262.05,283.44,258.03,328.85,,,266.00,281.96,280.93,286.79,284.12,293.83,284.65
2015-12-27 22:17:43.409000,L8,,,,,263.82,322.45,323.39,290.37,311.78,273.46,254.45,262.67,302.60,230.95,,,,,262.76,265.19,261.78,286.13,257.92,329.31,,,267.49,285.51,282.86,286.99,288.64,296.12,286.49
2016-01-12 22:17:40.472000,L8,,,,,257.71,294.03,323.80,283.16,309.30,268.69,248.67,260.31,257.59,216.45,,,,,261.16,262.86,260.18,257.21,253.12,329.73,,,259.22,276.33,272.44,273.37,263.79,257.65,280.96
2016-01-28 22:17:39.790000,L8,,,,,266.07,303.69,326.22,288.77,312.03,273.33,252.21,261.81,302.84,224.36,,,,,268.85,266.54,263.33,284.53,264.47,330.46,,,275.77,287.13,287.61,293.48,295.03,297.37,291.16
