dates,nzd0001-0000,nzd0001-0001,nzd0001-0002,nzd0001-0003,nzd0001-0004,nzd0001-0005,nzd0001-0006,nzd0001-0010,nzd0001-0011,nzd0001-0012,nzd0001-0013,nzd0001-0014,nzd0001-0015,nzd0001-0016,nzd0001-0022,nzd0001-0023,nzd0001-0024,nzd0001-0007,nzd0001-0008,nzd0001-0009,nzd0001-0017,nzd0001-0018,nzd0001-0019,nzd0001-0020,nzd0001-0021,nzd0001-0025,nzd0001-0026,nzd0001-0027,nzd0001-0028,nzd0001-0029,nzd0001-0030,nzd0001-0031,nzd0001-0032,satname
2005-06-06 22:05:05.724,,,,,,251.985,270.7075,212.79,,,,,,,238.71999999999997,233.16799999999998,234.858,291.6125,225.54,263.3175,,,,,235.98600000000002,230.006,234.62600000000003,242.32599999999996,242.144,236.38000000000002,238.945,227.185,238.8675,L5
2005-08-25 22:05:41.221,,,,,,256.3066666666667,276.2233333333333,212.79,,,,,,,235.5225,228.3075,230.5125,293.46000000000004,231.88666666666666,265.02,,,,,229.5725,224.255,230.11,237.135,237.705,237.2833333333334,236.13333333333333,228.10333333333332,241.66666666666666,L5
2005-09-26 22:05:42.687,,,,,,254.14,273.32,212.79,,,,,,,236.58,230.276,232.858,292.93,226.54500000000002,264.79249999999996,,,,,230.14000000000001,225.07799999999997,229.96599999999998,237.8,237.47600000000003,238.2425,237.10500000000002,227.38,240.3175,L5
2005-11-13 22:05:57.059,,,,,,254.12999999999997,272.85999999999996,212.79,,,,,,,233.885,228.9325,229.9675,291.64000000000004,220.64000000000001,266.86333333333334,,,,,228.3125,222.0125,226.685,237.23250000000002,235.68,243.48666666666668,244.63666666666668,229.5,240.92999999999998,L5
2006-02-17 22:08:11.136,,,,,,248.63999999999993,269.9,,,,,,,,233.04749999999999,228.48749999999998,229.1925,291.28999999999996,213.69333333333336,263.8933333333333,,,,,227.12499999999997,221.28500000000003,227.105,237.15,235.98999999999998,243.67,243.82000000000002,231.07666666666668,237.72666666666666,L5
2006-06-25 22:10:20.606,,,,,,243.88,272.17,,,,,,,,237.195,231.67000000000002,232.615,288.065,217.625,255.93499999999995,,,,,228.97,227.20999999999998,232.64499999999998,240.835,240.39499999999998,240.72500000000002,240.5,228.875,235.415,L5
2006-08-12 22:10:59.603,,,,,,243.88,272.17,,,,,,,,237.195,231.67000000000002,232.615,288.065,217.625,255.93499999999995,,,,,228.97,227.20999999999998,232.64499999999998,240.835,240.39499999999998,240.72500000000002,240.5,228.875,229.34666666666666,L5
2010-01-27 22:08:26.527,,,,,,257.68,284.1,229.63,,,,,,,242.16,236.74,236.38,305.43,257.78,283.65,,,,,249.83,231.87,241.45,247.07,247.64,247.48,247.58,234.67,249.21,L5
2010-02-12 22:08:30.110,,,,,,260.145,285.52,228.815,,,,,,,241.77499999999998,235.43,236.73000000000002,304.33000000000004,255.71999999999997,282.45,,,,,247.525,231.21,239.905,246.915,249.52499999999998,250.43,250.495,240.02999999999997,252.4,L5
2010-10-10 22:07:36.102,,,,,,,,195.63,,,,,,,,209.67,205.15,,230.41,,,,,,,203.29,212.66,224.47,237.41,229.16,231.09,219.76,232.6,L5
2011-01-14 22:07:31.728,,,,,,256.77,281.56,212.79,,,,,,,240.55,222.40499999999997,221.89499999999998,299.53,240.04,274.07,,,,,245.18,218.83499999999998,223.64999999999998,237.68,244.62,236.59,237.72,228.36,236.44,L5
2011-02-15 22:07:34.670,,,,,,256.605,280.91499999999996,216.20333333333335,,,,,,,237.5,226.16333333333333,228.91333333333333,297.235,245.97333333333333,270.645,,,,,239.97,225.00333333333333,228.53333333333333,241.82666666666668,246.58333333333334,239.92333333333332,242.59333333333333,228.56333333333336,236.07333333333335,L5
2011-09-11 22:06:09.236,,,,,,266.69,291.22,234.89,,,,,,,242.71,238.23,246.19,305.14,264.13,280.25,,,,,238.18,237.19,237.75,248.67,250.68,250.28,255.62,238.23,241.9,L5
2013-04-25 22:19:21.025,,,,,422.62,,,266.09,241.96,253.83,300.03,,,,262.83,258.84,257.29,322.82,281.5,302.05,,,,,261.02,244.87,255.88,270.95,273.24,276.66,268.68,260.14,261.73,L8
2013-05-11 22:19:31.249,,,,,422.62,257.86,284.41,253.45499999999998,241.96,253.83,300.03,,,,262.83,258.84,257.29,316.265,281.5,293.6,,,,,261.02,244.87,255.88,270.95,273.24,276.66,268.68,260.14,261.73,L8
2013-06-28 22:19:33.252,,,,,339.96500000000003,275.58500000000004,300.885,258.3733333333333,241.94,254.65,276.735,,,,264.67999999999995,257.18,257.67,318.70666666666665,279.255,298.18666666666667,,,,,260.865,249.89,256.04499999999996,272.735,272.86,277.795,271.45500000000004,255.235,257.7,L8
2013-07-14 22:19:34.707,,,,,339.96500000000003,279.6666666666667,304.9533333333333,260.945,242.89666666666668,255.31333333333336,269.63666666666666,,,,264.95666666666665,257.71666666666664,258.50666666666666,320.16999999999996,279.94666666666666,299.175,,,,,260.69,251.21666666666667,256.19666666666666,272.6433333333333,272.03333333333336,277.64000000000004,272.61,254.38,256.5833333333333,L8
2013-08-31 22:19:38.558,,,,,310.6666666666667,283.305,307.155,262.28000000000003,241.6925,255.20749999999998,266.15749999999997,,,,264.56,257.1875,258.89,320.86,280.1275,300.302,,,,,260.74249999999995,253.5,256.9025,272.9325,273.415,278.33500000000004,272.0,254.64749999999998,255.9425,L8
2013-10-02 22:19:28.820,,,,,295.205,285.652,309.156,262.59166666666664,240.252,255.20749999999998,266.15749999999997,,,,264.88800000000003,257.4,259.16400000000004,321.765,280.338,299.64166666666665,,,,,260.464,253.814,257.43999999999994,272.696,273.294,277.682,271.76599999999996,255.68599999999998,255.706,L8
2013-11-03 22:19:20.378,,,,,255.3875,287.7866666666667,311.2316666666667,263.8616666666667,242.01799999999997,256.49,266.625,,,,266.38800000000003,258.516,259.438,322.9816666666667,281.34000000000003,300.9816666666666,,,,,261.012,256.13,258.198,273.52599999999995,273.548,278.28599999999994,272.906,257.986,256.774,L8
2013-12-05 22:19:13.005,,,,,256.758,293.88000000000005,316.615,268.7183333333333,243.25,257.404,267.086,,,,266.9316666666667,258.50333333333333,259.19,325.7733333333333,281.9766666666667,304.2916666666667,,,,,261.27666666666664,255.8683333333333,258.8333333333333,273.39,273.4533333333333,278.51,272.76666666666665,258.7283333333333,257.21,L8
2014-01-06 22:18:54.881,,,,,256.036,292.7,315.31666666666666,268.24833333333333,243.516,257.8875,270.4975,,,,266.5316666666667,259.18,258.82666666666665,325.37666666666667,281.99333333333334,303.04,,,,,260.92833333333334,255.49833333333333,258.76666666666665,272.45,273.09999999999997,278.07,271.46,260.09166666666664,257.45666666666665,L8
2014-02-23 22:18:20.398,,,,,256.39833333333337,292.5733333333333,314.435,267.2633333333333,243.1925,258.30333333333334,275.5166666666667,,,,265.9916666666667,259.10999999999996,257.87333333333333,324.45666666666665,281.095,302.47166666666664,,,,,260.7583333333333,255.14,258.56,272.33,273.49499999999995,278.19666666666666,270.7316666666667,261.59499999999997,257.8416666666667,L8
2014-04-12 22:17:37.464,269.94,,,300.7,261.58599999999996,293.37600000000003,314.54,268.5,247.63666666666668,258.9033333333333,277.49333333333334,188.57,,,265.848,259.932,257.18,324.192,281.488,304.42600000000004,,,,,261.61800000000005,254.46000000000004,258.268,272.36199999999997,272.934,278.77599999999995,271.46799999999996,263.65,260.144,L8
2014-04-28 22:17:22.576,269.94,,,300.7,261.97666666666663,294.0416666666667,315.3233333333333,269.09999999999997,247.41750000000002,258.64,282.975,188.57,,,265.785,259.8516666666667,258.18,324.50666666666666,282.695,305.08,,,,,262.1766666666667,255.95333333333335,258.6533333333333,271.6766666666667,270.60833333333335,276.4083333333333,270.02666666666664,260.6066666666666,257.53833333333336,L8
2014-05-14 22:17:08.923,269.94,,,300.7,262.0683333333333,294.3883333333333,315.0183333333333,268.63166666666666,245.69750000000002,258.0375,283.3825,188.57,,,264.4066666666667,257.665,253.13,323.7083333333333,281.81,305.665,,,,,261.825,250.34333333333333,258.45,270.992,269.82800000000003,275.754,269.156,251.07000000000002,252.5283333333333,L8
2014-05-30 22:17:11.184,269.94,,,300.7,262.6242857142857,296.13714285714286,318.9342857142857,269.1042857142857,246.67400000000004,258.092,288.048,196.865,,,264.27714285714285,257.9585714285714,254.36285714285714,326.74571428571426,282.2557142857143,307.07571428571424,,,,,261.91857142857145,251.6757142857143,258.87,272.04333333333335,271.09,276.815,271.42,254.48714285714286,252.5283333333333,L8
2014-07-01 22:17:22.417,269.94,,,300.7,262.6928571428571,298.2628571428572,319.42857142857144,269.28142857142853,247.592,257.96200000000005,293.9,205.4333333333333,,,263.51714285714286,258.25,255.65142857142857,326.57571428571424,282.66857142857145,308.1185714285715,,,,,262.1042857142857,252.17285714285714,257.0,271.90999999999997,265.5733333333333,276.252,271.29,253.16166666666666,251.156,L8
2014-07-17 22:17:28.260,269.94,,,300.7,264.19166666666666,300.2683333333334,321.07166666666666,269.93,247.592,257.96200000000005,293.9,205.4333333333333,,,260.70714285714286,255.3457142857143,252.30285714285716,327.46999999999997,283.595,309.4966666666667,,,,,259.98285714285714,248.80285714285716,254.7166666666667,272.6675,261.7133333333333,276.2425,268.282,249.375,246.86400000000003,L8
2014-11-06 22:17:49.451,,,,,264.1933333333333,298.08500000000004,327.46000000000004,268.5675,245.29749999999999,258.42333333333335,302.81,213.86499999999998,,,259.216,254.206,248.538,328.815,281.92499999999995,310.13750000000005,,,,,257.874,243.478,252.115,273.34000000000003,258.11249999999995,278.505,267.25666666666666,244.5625,239.60333333333332,L8
2015-01-09 22:17:38.882,,,,,261.91,285.46000000000004,314.23,265.99,241.365,259.42,,,,,257.12,253.97333333333333,256.41,323.34000000000003,278.495,302.29,,,,,254.5,244.57000000000002,252.07666666666668,273.03,268.9433333333333,282.43,271.84,261.96,248.87,L8
2015-02-10 22:17:27.012,,,,,262.46500000000003,289.38000000000005,316.815,267.48333333333335,243.37,259.055,,203.54,,,263.7133333333333,261.7,264.78999999999996,323.78333333333336,280.87,303.87,,,,,265.60333333333335,253.92999999999998,261.08666666666664,275.06,280.15000000000003,283.00333333333333,282.2633333333333,280.5833333333333,265.53000000000003,L8
2015-06-02 22:16:44.532,,271.89,289.24,269.21,275.68666666666667,306.2633333333333,327.81,271.11,248.705,259.055,314.38,203.54,299.13,,268.0933333333333,264.1766666666667,276.91333333333336,337.52333333333337,284.545,314.02,279.29,282.36,,,269.62,268.1166666666667,276.56666666666666,280.8,296.61,287.96666666666664,300.33666666666664,293.0733333333333,280.40000000000003,L8
2015-07-04 22:17:02.361,,271.89,289.24,269.21,275.68666666666667,301.775,326.105,270.2266666666667,248.61333333333334,258.5133333333333,310.46500000000003,206.04500000000002,299.13,,269.3125,264.305,277.2575,335.77000000000004,284.56666666666666,314.15999999999997,279.29,282.36,,,266.0233333333333,267.68,272.99249999999995,279.86,291.895,286.1825,295.045,284.57,280.40000000000003,L8
2015-07-20 22:17:10.706,,271.89,289.24,269.21,269.9866666666666,301.42,326.225,268.1933333333333,245.59,256.69,310.46500000000003,206.04500000000002,299.13,,270.75,263.49,271.225,334.6875,282.3966666666667,313.28499999999997,279.29,282.36,,,265.0233333333333,267.5975,272.44,279.005,286.085,282.5925,287.825,273.79,277.39000000000004,L8
2015-08-05 22:17:13.094,,271.89,289.24,269.21,268.5875,302.91400000000004,325.436,269.175,247.5675,257.45,309.16,206.04500000000002,299.13,,270.986,264.48,273.454,334.082,282.3966666666667,316.036,279.29,282.36,,,264.53999999999996,268.54800000000006,272.896,279.518,289.154,284.838,287.996,273.67600000000004,277.39000000000004,L8
2015-10-24 22:17:40.820,,271.89,289.24,269.21,268.395,303.228,325.508,269.0075,248.8175,257.84000000000003,307.36,215.47,299.13,,270.658,262.996,272.07000000000005,335.192,284.06333333333333,317.262,279.29,282.36,,,260.075,272.816,273.386,281.91,288.67600000000004,284.97999999999996,291.84400000000005,273.342,262.6766666666667,L8
2015-12-11 22:17:42.627,,,,,257.15000000000003,296.884,318.774,269.538,249.56400000000002,258.6,303.9525,218.46666666666667,,,268.36800000000005,261.686,266.1,328.298,284.78499999999997,312.808,,,,,260.358,266.016,265.75600000000003,280.466,280.6940000000001,283.668,284.206,269.42999999999995,259.77666666666664,L8
2015-12-27 22:17:43.409,,,,,258.61,300.85,319.30833333333334,270.01166666666666,250.23333333333335,259.15500000000003,303.54,221.18,,,267.74833333333333,261.6033333333333,268.7966666666666,328.2583333333333,285.588,312.4666666666667,,,,,260.43666666666667,264.5083333333334,265.6383333333334,280.92833333333334,280.7366666666667,283.825,284.12333333333333,272.17833333333334,268.2675,L8
2016-01-12 22:17:40.472,,,,,258.43,301.80333333333334,319.77666666666664,270.05,250.2733333333333,259.635,302.7875,223.155,,,266.06333333333333,260.8516666666667,265.2833333333333,328.12833333333333,285.29799999999994,311.5866666666667,,,,,260.825,262.3,265.13,280.81,279.8516666666667,283.84666666666664,283.1566666666667,272.96666666666664,266.144,L8
2016-01-28 22:17:39.790,,,,,260.642,301.84999999999997,319.96166666666664,270.18666666666667,250.46,260.3,302.7875,220.72400000000002,,,264.81,260.995,264.84166666666664,328.27333333333337,286.228,311.785,,,,,261.055,261.81,265.31,281.295,280.62166666666667,285.22833333333335,285.14166666666665,278.09999999999997,266.408,L8
2016-04-01 22:17:14.685,,,,,261.104,301.8516666666667,320.96000000000004,269.8,249.852,260.41400000000004,302.4125,223.21833333333333,,,264.78499999999997,262.0033333333334,266.645,330.16,286.228,311.1933333333333,,,,,260.648,259.70200000000006,266.38,285.51666666666665,276.9316666666667,285.2116666666667,285.17333333333335,280.1366666666667,271.63166666666666,L8
2016-05-03 22:17:13.318,,,,,260.166,300.60999999999996,320.23999999999995,269.11199999999997,247.83200000000002,259.346,302.56333333333333,220.67666666666665,,,264.56166666666667,261.88500000000005,267.81666666666666,328.97,283.896,309.7616666666667,,,,,260.944,255.096,263.93666666666667,282.8516666666667,276.355,284.55333333333334,281.50833333333327,276.95666666666665,274.82,L8
2016-05-19 22:17:11.230,,,,,259.425,299.97285714285715,319.82571428571424,268.56,248.395,258.8916666666667,301.40999999999997,220.70571428571427,,,263.7885714285714,260.85428571428577,266.6542857142857,328.42857142857144,284.4633333333333,308.93857142857144,,,,,260.8516666666667,255.30833333333337,262.8985714285714,282.3442857142857,277.3742857142857,284.5242857142857,283.19142857142856,278.27,277.49857142857144,L8
2016-06-04 22:17:16.433,210.51,285.86,282.72,291.67,264.5,301.22749999999996,321.03125,268.8542857142857,248.73142857142858,258.96285714285716,301.032,221.37375,,,264.02375,261.095,266.14375,329.985,285.7371428571428,310.065,,,,,260.24142857142857,255.18,262.2825,282.1125,276.76125,284.70375,284.66125,276.675,275.99375,L8
2016-07-22 22:17:35.206,210.51,285.86,282.72,291.67,267.04,300.925,321.37,269.17600000000004,248.296,257.21500000000003,305.84000000000003,220.152,,,265.87833333333333,262.28999999999996,268.70166666666665,331.43,289.06000000000006,311.74,,,,,260.96400000000006,259.334,262.22200000000004,282.59999999999997,278.355,284.47833333333335,285.42333333333335,276.66,272.60166666666663,L8
2016-08-07 22:17:37.552,210.51,285.86,282.72,291.67,261.79833333333335,301.53999999999996,321.4266666666667,269.13800000000003,248.852,257.155,305.84000000000003,221.504,,,267.6883333333333,263.7283333333333,269.255,332.03333333333336,289.756,312.7283333333333,,,,,260.95799999999997,259.794,262.42400000000004,282.54333333333335,279.82,284.7916666666667,285.57666666666665,273.25,272.9216666666667,L8
2016-09-08 22:17:48.858,210.51,285.86,282.72,291.67,261.79833333333335,301.53999999999996,321.4266666666667,264.435,248.852,257.155,305.84000000000003,221.504,,,267.6883333333333,263.7283333333333,269.255,332.03333333333336,286.1816666666667,309.0128571428572,,,,,260.95799999999997,259.794,262.42400000000004,282.54333333333335,279.82,279.43571428571425,281.8457142857143,267.8257142857143,272.9216666666667,L8
2016-09-24 22:17:49.840,210.51,285.86,282.72,291.67,260.9142857142857,300.3771428571428,320.4971428571429,264.5642857142857,248.16666666666666,257.116,304.36199999999997,220.68166666666664,,,267.21142857142854,262.81857142857143,267.6714285714286,330.9342857142857,286.1385714285714,308.42375,,,,,260.68,258.85333333333335,261.53833333333336,281.13,279.6257142857143,279.49625,281.4525,267.69,271.0857142857143,L8
2016-10-10 22:17:54.274,210.51,285.86,282.72,291.67,260.62142857142857,299.75999999999993,319.6642857142857,265.92125,249.12285714285716,258.16833333333335,304.52599999999995,220.1833333333333,,,267.1485714285714,261.1685714285714,264.71285714285716,329.57714285714286,286.66875,307.96625,,,,,261.2757142857143,259.0628571428571,258.68333333333334,277.32857142857137,280.5014285714286,278.97375,281.22249999999997,267.0075,266.56142857142856,L8
2017-01-30 22:17:38.957,,,,,252.7575,298.185,319.1075,264.352,249.47500000000002,259.77,302.52666666666664,225.0525,,,268.72499999999997,262.525,262.25,328.305,283.734,306.58599999999996,,,,,262.4,256.8175,262.795,277.885,282.4225,277.966,278.828,266.90200000000004,270.05,L8
2017-03-03 22:17:25.727,225.14,,275.15,286.28,270.59000000000003,302.58500000000004,323.5475,263.86999999999995,251.01333333333335,260.46,306.42,227.48333333333335,308.7,,266.87999999999994,260.4933333333333,262.9433333333333,333.4975,283.395,311.894,261.1,257.38,,,263.03,257.14,263.92333333333335,278.57,282.62000000000006,276.0125,278.42499999999995,267.56250000000006,273.7266666666667,L8
2017-03-19 22:17:15.956,225.14,,275.15,286.28,270.59000000000003,302.58500000000004,323.5475,271.84749999999997,252.78750000000002,260.495,306.236,227.42000000000002,308.7,,266.23499999999996,260.4725,261.23,333.4975,288.42333333333335,319.052,261.1,257.38,,,262.2975,256.56,262.62,276.84000000000003,280.58000000000004,283.84000000000003,281.635,275.2025,272.3575,L8
2017-06-07 22:17:15.240,225.14,,275.15,286.28,274.78333333333336,303.36333333333334,325.4766666666667,272.69,252.79999999999998,259.85666666666674,308.9533333333334,230.35333333333335,308.7,,265.1933333333333,260.2866666666667,265.3066666666666,334.1066666666667,286.04999999999995,320.705,261.1,257.38,,,261.6233333333333,256.8533333333333,262.2233333333333,277.93333333333334,279.93666666666667,283.42,282.34,279.63,274.32666666666665,L8
2017-07-09 22:17:23.906,225.14,,275.15,286.28,274.78333333333336,303.36333333333334,315.27500000000003,263.76,252.79999999999998,259.85666666666674,308.9533333333334,230.35333333333335,308.7,,265.1933333333333,260.2866666666667,265.3066666666666,326.77,286.04999999999995,312.822,261.1,257.38,,,261.6233333333333,256.8533333333333,262.2233333333333,277.93333333333334,279.93666666666667,283.42,282.34,279.63,274.32666666666665,L8
2017-07-25 22:17:30.862,225.14,,275.15,286.28,274.78333333333336,303.36333333333334,315.27500000000003,263.76,252.79999999999998,259.85666666666674,308.9533333333334,230.35333333333335,308.7,,256.6975,260.2866666666667,265.3066666666666,326.77,286.04999999999995,312.822,261.1,257.38,,,261.6233333333333,249.49,255.26,277.93333333333334,279.93666666666667,283.42,282.34,279.63,274.32666666666665,L8
2017-08-10 22:17:37.375,225.14,,275.15,286.28,274.74333333333334,306.03000000000003,315.6125,264.3025,254.1833333333333,261.1566666666667,311.25,232.80999999999997,308.7,,257.63249999999994,260.03000000000003,267.50666666666666,329.025,292.205,314.114,261.1,257.38,,,261.81333333333333,251.36749999999998,252.9375,276.38,278.4033333333333,280.84333333333336,278.7633333333333,275.75333333333333,267.8333333333333,L8
2017-09-11 22:17:42.311,,,,,264.95,304.8733333333334,314.7775,267.93,255.85000000000002,263.4825,314.2633333333333,234.8625,,,260.05999999999995,260.7525,265.6375,326.0375,296.8933333333333,311.568,,,,,262.52750000000003,251.67399999999998,253.32200000000003,273.90250000000003,274.75,278.88750000000005,276.4375,271.275,265.07500000000005,L8
