dates,satname,nzd0441-0000,nzd0441-0001,nzd0441-0002,nzd0441-0033,nzd0441-0034,nzd0441-0035,nzd0441-0036,nzd0441-0037,nzd0441-0038,nzd0441-0039,nzd0441-0040,nzd0441-0041,nzd0441-0042,nzd0441-0043,nzd0441-0044,nzd0441-0045,nzd0441-0046,nzd0441-0047,nzd0441-0048,nzd0441-0049,nzd0441-0050,nzd0441-0051,nzd0441-0052,nzd0441-0053,nzd0441-0054,nzd0441-0055,nzd0441-0056,nzd0441-0057,nzd0441-0058,nzd0441-0059,nzd0441-0060,nzd0441-0061,nzd0441-0062,nzd0441-0063,nzd0441-0064,nzd0441-0065,nzd0441-0066,nzd0441-0067,nzd0441-0068,nzd0441-0069,nzd0441-0070,nzd0441-0071,nzd0441-0072,nzd0441-0073,nzd0441-0074,nzd0441-0075,nzd0441-0076,nzd0441-0077,nzd0441-0078,nzd0441-0079,nzd0441-0080,nzd0441-0081,nzd0441-0082,nzd0441-0083,nzd0441-0084,nzd0441-0085,nzd0441-0086,nzd0441-0087,nzd0441-0088,nzd0441-0089,nzd0441-0090,nzd0441-0091,nzd0441-0092,nzd0441-0093,nzd0441-0094,nzd0441-0014,nzd0441-0015,nzd0441-0016,nzd0441-0017,nzd0441-0018,nzd0441-0019,nzd0441-0020,nzd0441-0021,nzd0441-0022,nzd0441-0023,nzd0441-0024,nzd0441-0003,nzd0441-0004,nzd0441-0005,nzd0441-0006,nzd0441-0012,nzd0441-0013,nzd0441-0025,nzd0441-0026,nzd0441-0027,nzd0441-0028,nzd0441-0030,nzd0441-0031,nzd0441-0032,nzd0441-0095,nzd0441-0096,nzd0441-0097,nzd0441-0098,nzd0441-0099,nzd0441-0100,nzd0441-0101,nzd0441-0102,nzd0441-0007,nzd0441-0029,nzd0441-0008,nzd0441-0009,nzd0441-0010,nzd0441-0011
1999-11-21 22:12:47.994000,L7,214.47,195.80,187.08,226.84,232.93,244.41,251.26,245.46,240.96,255.13,265.70,195.68,180.94,194.01,180.48,182.48,200.35,208.53,209.96,213.68,218.15,232.94,174.82,197.64,229.72,225.61,236.07,236.09,234.58,238.33,235.02,237.83,242.75,239.05,243.19,240.81,240.21,239.88,245.83,233.61,250.34,246.15,247.63,250.31,240.07,246.75,239.79,244.21,238.10,267.22,272.50,275.74,274.41,220.37,221.97,213.63,201.46,194.00,249.56,256.46,257.14,237.89,233.22,270.60,175.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-28 22:18:56.993000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,188.11,223.36,221.79,180.67,199.68,210.12,230.63,217.69,233.56,236.73,221.13,198.60,237.83,219.80,241.30,,181.00,236.16,183.81,198.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-07 22:12:53.785000,L7,,,,,,234.83,247.93,242.20,231.27,236.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.36,205.38,234.93,236.03,226.78,201.50,,224.16,216.37,220.69,217.36,208.48,207.63,191.34,179.44,176.80,179.52,183.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-14 22:19:07.664000,L7,,,,,180.14,251.94,253.75,247.92,242.50,258.57,247.66,,184.97,194.64,175.89,183.20,183.18,203.14,205.05,202.71,209.03,181.43,,,,,,,,,,,,,,,,,,,,,,,222.92,237.22,240.51,241.37,215.62,232.73,236.99,228.81,234.36,231.42,226.09,216.92,204.48,196.42,235.07,241.24,240.56,233.57,229.09,239.52,175.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-09 22:12:43.144000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,198.78,188.70,223.89,224.18,227.40,204.02,229.06,239.11,228.87,235.37,239.55,230.47,213.40,225.37,215.63,226.64,221.38,202.11,227.69,209.33,236.17,229.94,199.46,195.07,,,210.10,222.37,210.12,203.98,203.00,188.20,178.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-13 22:12:18.119000,L7,186.82,175.62,168.74,303.70,298.57,292.32,278.80,276.34,274.09,264.65,261.20,252.89,247.62,233.63,190.06,195.28,202.22,213.37,213.91,216.23,216.04,228.69,205.44,214.25,212.68,,219.48,223.00,230.16,231.24,231.15,236.58,239.96,238.29,238.59,241.92,233.58,236.75,242.85,235.74,242.34,233.31,243.65,244.91,233.50,243.17,249.60,256.67,239.51,250.83,253.58,248.09,247.16,238.22,246.99,243.34,246.84,247.23,241.23,247.55,248.23,243.80,243.67,238.83,206.20,174.09,180.78,183.31,181.51,188.90,187.01,202.10,223.26,225.94,218.76,219.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-19 22:11:01.988000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.62,227.49,218.05,230.24,232.20,239.79,233.16,235.56,220.85,220.71,243.56,217.36,240.52,245.01,207.94,236.59,227.05,230.69,186.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-27 22:16:36.610000,L7,,,,,,,,242.65,229.38,215.04,219.35,,,,,,,,,,,,,,,,,221.13,230.07,232.93,218.50,241.88,237.85,236.03,241.07,246.01,235.00,244.10,236.31,228.28,,,,246.19,219.62,241.31,239.20,235.21,196.48,216.98,236.08,231.24,235.80,228.33,219.97,214.96,204.07,172.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-07 22:10:17.299000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.94,227.44,189.89,197.81,231.76,,,227.21,231.24,217.29,234.53,226.65,221.89,232.17,203.34,182.76,223.73,194.16,183.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-14 22:16:30.766000,L7,,,,,232.66,245.97,252.97,248.68,244.30,252.68,224.50,,188.12,191.52,167.05,181.70,184.37,200.72,201.97,209.48,212.38,185.94,182.41,195.92,,,193.25,224.22,230.00,231.37,230.30,230.52,238.73,188.80,236.53,239.19,230.15,216.40,245.98,233.17,239.03,,,244.38,237.13,246.54,248.84,241.73,211.92,232.21,235.94,231.56,234.48,223.61,223.83,219.39,205.70,236.05,235.13,244.61,239.68,234.66,220.86,193.29,169.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
