dates,nzd0328-0000,nzd0328-0001,nzd0328-0002,nzd0328-0003,nzd0328-0004,nzd0328-0005,nzd0328-0006,nzd0328-0007,nzd0328-0008,nzd0328-0009,nzd0328-0010,nzd0328-0011,nzd0328-0012,nzd0328-0013,nzd0328-0014,nzd0328-0015,nzd0328-0016,nzd0328-0017,nzd0328-0018,nzd0328-0019,nzd0328-0020,nzd0328-0021,nzd0328-0022,nzd0328-0023,nzd0328-0024,nzd0328-0025,nzd0328-0026,nzd0328-0027,nzd0328-0028,nzd0328-0029,nzd0328-0030,nzd0328-0031,satname
2004-11-10 22:04:11.885,,,,,,,,,,,,,,,,,,,,,,,,,,176.96,205.49,216.35,235.98,240.67,215.09,,L5
2005-01-29 22:05:29.709,,,,,,,,,194.93,229.88,218.35,209.23,217.22,,,,,,,,,,,,,176.96,205.49,216.35,235.98,240.67,215.09,,L5
2005-02-14 22:05:45.214,,,,,,,,,194.93,229.88,218.35,209.23,217.22,,,,,,,,,,,195.04,230.82,202.91500000000002,189.825,213.73000000000002,237.415,226.54,215.09,,L5
2005-11-22 22:01:34.747,246.7,243.44,202.52,214.87,236.49,242.79,,,179.02,230.48,231.27,216.82,215.33,,,189.11,195.91,228.63,235.91,281.32,,227.35,223.92,193.0,227.33,214.6,172.51,202.78,228.69,213.16,178.39,,L5
2005-11-22 22:01:58.720,251.165,248.26,212.20499999999998,218.385,238.35000000000002,247.55,221.95,,188.97,235.745,233.07999999999998,221.07,221.16500000000002,222.27,223.13,201.48000000000002,210.39499999999998,236.165,250.77499999999998,284.565,252.07,235.475,236.07,210.79500000000002,233.135,218.55,172.51,206.505,230.81,215.84,188.14499999999998,,L5
2006-01-25 22:03:05.026,251.165,248.26,212.20499999999998,218.385,238.35000000000002,247.55,221.95,,188.97,235.745,233.07999999999998,221.07,221.16500000000002,222.27,223.13,201.48000000000002,210.39499999999998,215.49666666666667,247.5,281.00333333333333,230.37,226.00666666666666,230.29666666666665,204.53333333333333,233.135,216.53666666666666,174.015,205.25333333333333,231.25666666666666,216.14333333333335,187.51666666666665,,L5
2006-01-25 22:03:29.142,251.165,248.26,212.20499999999998,218.385,238.35000000000002,247.55,221.95,,188.97,235.745,233.07999999999998,221.07,221.16500000000002,222.27,223.13,201.48000000000002,210.39499999999998,203.755,243.76,278.6425,222.15666666666667,220.4325,226.7125,200.625,233.135,216.53666666666666,174.015,205.25333333333333,231.25666666666666,216.14333333333335,187.51666666666665,,L5
2006-02-10 22:03:27.081,251.165,248.26,212.20499999999998,218.385,238.35000000000002,247.55,221.95,,188.97,235.745,233.07999999999998,221.07,221.16500000000002,222.27,223.13,201.48000000000002,215.47,201.842,241.58399999999997,278.03000000000003,214.8275,218.07199999999997,223.98000000000002,196.616,227.77666666666667,217.4225,174.22,205.39499999999998,233.2825,218.8975,186.3775,,L5
2006-10-24 22:07:14.438,256.59,254.98,186.7,215.68,238.69,233.66,,,,,,,,218.28,187.66,200.79,225.55,196.68,245.95,287.35,225.19,220.17,220.27,211.62,219.17,217.93,178.82,209.01,237.59,217.42,174.44,,L5
2006-10-24 22:07:38.411,258.79499999999996,257.28,194.785,218.805,240.995,235.625,,,,,,,,219.95999999999998,197.11,214.51999999999998,229.585,204.28,252.64,288.46500000000003,229.23000000000002,223.055,222.57999999999998,214.35000000000002,221.225,220.96,182.64499999999998,210.89499999999998,238.715,220.125,178.8,,L5
2006-10-31 22:13:29.135,256.8566666666666,252.67,197.89,228.0,243.8166666666667,238.12666666666667,,,,,,,,219.95999999999998,201.58,209.82666666666668,236.12666666666667,212.60666666666665,248.01,289.87333333333333,227.77666666666667,232.02666666666664,222.64666666666668,210.67,219.79,219.52333333333334,178.58,209.32666666666668,235.89666666666668,226.42,179.46,,L5
2007-09-09 22:06:33.244,,,,,,,,,,,,,,,,,,,,299.22,252.29,232.76,218.65,216.4,241.19,232.97,182.48,222.64,250.07,232.57,,,L5
2007-10-02 22:12:06.896,,,,,,,,,,,,,,,,,,,,286.51,233.82,229.98,223.63,209.465,236.515,234.075,178.97,211.065,239.32999999999998,212.67000000000002,,,L5
2008-10-29 21:56:36.227,,,,,,,,,,,,,,,,,,,,,,,,,,224.98,186.22,216.36,244.24,224.55,173.44,,L5
2008-10-29 21:57:00.343,,242.2,171.92,208.4,238.65,223.83,,,,,,,,,,,,189.56,195.52,266.94,208.45,204.9,208.11,186.38,212.89,226.55,187.095,216.505,244.07,225.60500000000002,176.715,,L5
2009-01-24 22:04:30.805,254.29,239.185,169.77999999999997,208.76999999999998,237.69,225.87,220.15,,176.36,227.69,225.09,213.61,,,,184.9,176.37,185.695,210.315,271.95,207.905,204.075,207.48000000000002,187.29500000000002,217.20999999999998,222.09,183.16,211.23333333333335,238.92,221.00333333333333,176.715,,L5
2010-02-05 22:03:53.684,,,,,,,,,,,,,,,,,172.18,192.53,256.77,277.93,209.73,212.63,219.05,183.8,222.94,219.41,177.51,210.2,237.49,223.44,177.3,,L5
2010-02-05 22:04:17.799,,,,,,,,,,,,,,,,,172.18,192.53,222.51999999999998,277.89,205.41,207.655,216.16000000000003,179.27,220.11,217.76999999999998,177.37,209.165,237.195,223.86,175.72500000000002,,L5
2010-02-21 22:03:56.549,,,,,,,,,,,,,,,,189.12,189.65,199.82999999999998,215.20333333333335,277.24333333333334,212.29333333333332,211.78666666666666,218.33,186.81333333333336,223.58,222.28666666666666,179.82333333333335,209.64333333333332,237.22000000000003,223.00666666666666,173.19333333333336,,L5
2010-10-03 22:03:04.727,,,,,,,,275.09,279.41,257.43,,,,,,,176.06,,235.61,,251.14,197.94,251.44,,194.8,221.9,,,,,,,L5
2010-10-10 22:09:11.852,266.39,261.78,177.54,228.77,243.82,236.59,,275.09,279.41,257.43,,,,,,215.65,201.595,213.58,243.76,277.49,245.345,221.04,249.425,223.71,220.47500000000002,227.91500000000002,173.05,212.54,238.4,206.18,,,L5
2010-10-26 22:09:02.853,266.39,261.78,177.54,228.77,243.82,236.59,241.95,267.005,265.4,254.035,252.78,235.08,,,,215.65,201.595,213.58,243.76,277.49,245.345,221.04,249.425,223.71,230.03,238.27,173.05,212.54,250.78000000000003,230.44,215.75,,L5
2011-01-07 22:02:56.182,264.09000000000003,260.69,180.605,216.655,240.765,233.72500000000002,241.95,267.005,265.4,254.035,252.78,235.08,,,,215.65,210.16666666666666,214.48000000000002,245.5533333333333,274.03499999999997,227.92333333333332,221.52666666666664,240.01,203.07,228.025,235.3,175.85000000000002,210.855,246.53,227.48333333333335,196.22,,L5
2011-01-07 22:03:20.155,263.3566666666666,259.32,181.62666666666667,211.10666666666665,239.79999999999998,232.74,241.95,267.005,265.4,254.035,252.78,235.08,,,,215.65,213.3675,213.42999999999998,246.01999999999998,273.13666666666666,220.8725,221.7625,235.325,195.92333333333332,227.22799999999998,233.186,176.38333333333333,209.96,244.3225,225.825,190.39666666666668,,L5
2011-01-23 22:02:56.734,262.275,255.9175,183.6975,212.7925,239.965,231.94,230.49,267.005,265.4,254.035,252.78,235.08,,,,215.65,213.3675,207.1575,249.496,273.025,219.584,217.404,232.202,195.92333333333332,221.1,230.25,177.495,209.96499999999997,242.46999999999997,224.016,187.5025,,L5
2011-01-23 22:03:20.850,262.63599999999997,253.882,184.726,212.752,240.296,231.622,230.49,267.005,265.4,254.035,252.78,235.08,,,,215.65,213.3675,201.41,249.54166666666666,273.442,218.63666666666666,213.74166666666667,230.03666666666666,195.92333333333332,221.1,228.63000000000002,178.356,210.24,241.54666666666665,222.8983333333333,186.308,,L5
2011-02-08 22:02:59.125,262.63599999999997,253.882,184.726,212.752,240.296,231.622,230.49,267.005,265.4,254.035,252.78,235.08,,,,215.65,213.3675,197.4466666666667,247.32857142857142,271.67833333333334,214.51857142857145,212.31428571428572,226.0,193.945,222.45000000000002,228.6925,178.6816666666667,210.79333333333332,241.6885714285714,223.26714285714283,183.12666666666667,,L5
2011-02-08 22:03:23.241,262.63599999999997,253.882,184.726,212.752,240.296,231.622,230.49,267.005,265.4,254.035,252.78,235.08,,,,215.65,213.3675,197.4466666666667,247.32857142857142,271.67833333333334,214.51857142857145,212.31428571428572,226.0,190.426,222.40125,228.15888888888887,178.44857142857146,210.6885714285714,241.47,222.81125,183.12666666666667,,L5
2011-02-15 22:09:10.419,262.63599999999997,253.882,184.726,212.752,240.296,231.622,230.49,267.005,265.4,254.035,252.78,235.08,,,,215.65,213.3675,198.84,247.32857142857142,274.01142857142855,214.33375,213.0525,224.22125,191.17,221.77333333333334,227.039,178.44857142857146,210.6885714285714,241.47,222.81125,183.12666666666667,,L5
2013-09-16 22:21:09.463,299.31,282.1,,,,,,,264.94,259.53,255.07,249.39,259.32,254.68,256.51,,,,,317.7,287.89,269.37,265.07,,259.38,258.95,182.78,215.85,260.48,240.86,,,L8
2013-10-18 22:21:01.576,298.48,282.14,,257.89,268.07,264.92,250.47,258.57,264.21000000000004,258.635,253.745,251.52499999999998,258.455,255.145,256.02,238.08,264.21,267.11,292.23,313.47,282.075,268.985,264.78499999999997,,253.23000000000002,257.605,219.56,217.29500000000002,258.13,239.615,195.16,,L8
2013-10-27 22:14:43.714,295.7033333333333,281.72333333333336,195.79,260.16999999999996,268.055,266.115,250.135,258.86,263.6366666666667,258.15333333333336,251.85999999999999,251.8166666666667,258.25666666666666,254.57000000000002,255.73333333333335,232.64,261.655,257.58500000000004,289.175,310.3866666666667,282.075,268.985,264.78499999999997,176.43,238.27666666666667,250.68999999999997,231.60333333333332,228.79333333333332,258.80333333333334,238.25,199.475,,L8
2013-11-03 22:20:56.205,301.61249999999995,288.77250000000004,249.86,272.17333333333335,275.55,275.52,259.5833333333333,268.5733333333333,269.6375,263.8725,260.11,258.3975,264.4375,262.025,262.97749999999996,249.62,269.6666666666667,270.7033333333333,301.98333333333335,317.155,293.25,278.50666666666666,275.08666666666664,236.52,251.4075,260.22749999999996,246.495,246.1025,266.0725,246.0525,226.3066666666667,263.87,L8
2013-11-19 22:20:49.563,301.61249999999995,288.77250000000004,249.86,272.17333333333335,275.55,275.52,259.5833333333333,268.5733333333333,269.6375,263.8725,260.11,258.3975,264.4375,266.236,267.398,258.1075,273.5025,277.495,308.58500000000004,321.402,297.795,282.9875,279.9275,256.92,259.872,266.108,255.542,256.412,271.2,251.17200000000003,239.6525,265.33500000000004,L8
2013-12-14 22:14:33.459,303.738,292.336,267.33666666666664,278.365,279.42,280.1725,263.7275,272.875,272.966,266.842,263.966,262.18199999999996,267.93,268.9316666666667,270.2083333333333,262.976,275.204,281.23400000000004,312.262,323.48,300.136,285.152,282.344,266.105,264.425,269.1666666666667,261.19,262.7733333333333,273.33166666666665,253.96333333333334,246.762,263.16333333333336,L8
2013-12-14 22:14:57.422,305.20166666666665,294.85833333333335,276.2025,282.198,281.896,283.09000000000003,266.244,275.53599999999994,275.3016666666667,268.90166666666664,266.5466666666667,264.8883333333333,270.39166666666665,270.9857142857143,272.40285714285716,266.32166666666666,276.5783333333333,283.85833333333335,314.8933333333334,325.08714285714285,301.7733333333333,286.67333333333335,284.1983333333333,271.874,267.75142857142856,271.4242857142857,265.38428571428574,267.41714285714284,274.9642857142857,256.0628571428571,251.42499999999998,262.25,L8
2013-12-21 22:20:39.177,304.7042857142857,294.4371428571429,278.29,281.45166666666665,274.635,278.91,266.244,275.53599999999994,275.3016666666667,268.90166666666664,266.5466666666667,264.8883333333333,268.53000000000003,264.76,268.0725,266.32166666666666,276.5783333333333,283.85833333333335,307.9157142857143,318.64375,297.38,285.0414285714286,280.5314285714286,271.874,267.75142857142856,271.4242857142857,265.38428571428574,267.41714285714284,274.9642857142857,256.0628571428571,251.42499999999998,262.25,L8
2014-02-07 22:20:09.196,304.7042857142857,294.4371428571429,265.585,278.9242857142857,273.71,277.14142857142855,263.5783333333333,272.84666666666664,273.5957142857143,266.95285714285717,263.8257142857143,263.2214285714286,267.29,263.3066666666667,265.94444444444446,265.26142857142855,272.03285714285715,281.9585714285714,306.1,317.97444444444443,291.98625,282.66125,278.44875,270.3866666666667,264.2,269.515,264.05375,263.34625,272.895,253.65875,241.81571428571428,262.25,L8
2014-02-16 22:13:50.683,304.7042857142857,294.4371428571429,265.585,278.9242857142857,273.71,277.14142857142855,263.5783333333333,272.84666666666664,273.5957142857143,265.7075,262.17375,261.77625,266.37666666666667,262.329,265.052,264.6075,269.6825,280.4925,306.1,317.05100000000004,288.37888888888887,280.72333333333336,276.93666666666667,269.2857142857143,261.7088888888889,268.16,262.86888888888893,260.0811111111111,271.3044444444444,251.95999999999998,235.405,262.25,L8
2014-02-16 22:14:14.638,304.7042857142857,294.4371428571429,265.585,278.9242857142857,273.71,277.14142857142855,263.5783333333333,272.84666666666664,273.5957142857143,264.6044444444444,260.56888888888886,260.2722222222222,265.523,261.1454545454545,261.52181818181816,264.6075,269.6825,272.52000000000004,306.1,315.74454545454546,282.509,275.342,275.566,262.71375,258.832,266.45,256.864,256.952,269.887,250.41199999999998,229.3177777777778,262.25,L8
2014-09-28 22:13:08.778,,,,,,,,,,,,,,,,,,,,301.33,235.11,233.79,225.17,213.99,239.61,242.72,183.21,214.4,253.57,232.04,,,L8
2014-09-28 22:13:32.732,,,,,,,,,,256.15,247.69,252.17,234.18,,,,,,,304.765,245.755,249.31,243.72499999999997,220.005,243.79500000000002,247.475,184.38,215.255,254.48,233.87,,,L8
2014-10-14 22:13:14.573,292.18,284.82,213.81,261.56,268.16,265.83,251.19,,263.69,256.47,249.255,253.125,245.595,256.4,258.09,228.42,257.93,229.8,272.31,306.1566666666667,254.13666666666666,254.5633333333333,250.13666666666663,233.65666666666667,248.61,250.25666666666666,207.88333333333333,219.89333333333335,255.9,234.5233333333333,178.46,,L8
2014-10-14 22:13:38.532,292.37,284.88,213.925,261.35,268.19500000000005,265.975,251.18,,263.74,256.6033333333333,249.83666666666667,253.45333333333335,249.42999999999998,256.465,258.12,228.425,257.87,229.8,272.305,306.9,258.3025,257.1925,253.35249999999996,240.5125,251.0175,251.6625,219.6825,222.2175,256.5375,234.89499999999998,178.55,,L8
2014-10-21 22:19:25.564,294.36333333333334,285.6133333333333,211.71666666666667,258.0933333333333,267.8933333333334,265.33666666666664,250.83666666666667,,263.96,256.82,250.045,253.2775,251.5925,255.72666666666666,257.1033333333333,226.35999999999999,259.97333333333336,228.97333333333336,270.08666666666664,307.454,258.07399999999996,258.87199999999996,255.31199999999998,244.712,251.908,252.80599999999998,227.036,221.394,256.97799999999995,234.946,180.08333333333334,,L8
2014-11-06 22:19:25.282,298.52,290.0375,211.71666666666667,266.325,272.56,270.7325,256.955,283.75,268.7475,260.45,255.31,256.99,257.098,261.5825,263.365,226.35999999999999,264.6775,228.97333333333336,270.08666666666664,311.87,258.07399999999996,264.47999999999996,261.05,252.58666666666667,257.845,257.9883333333333,237.11833333333334,221.394,261.505,239.87666666666667,180.08333333333334,258.12,L8
2014-11-15 22:13:13.466,295.632,287.76,215.125,265.524,271.254,268.408,253.288,283.75,268.7475,259.58666666666664,253.38333333333333,255.47166666666666,255.91166666666666,259.518,261.554,225.87,261.834,230.83,265.655,309.6042857142857,254.23166666666668,259.7242857142857,258.17571428571426,248.97285714285712,257.845,254.73999999999998,237.3385714285714,220.2733333333333,260.26142857142855,238.29,182.8075,258.12,L8
2014-11-15 22:13:37.425,294.2816666666667,286.7033333333333,224.68800000000002,266.175,270.64000000000004,267.4316666666667,252.94500000000002,264.93,265.116,259.1485714285714,252.75714285714284,255.02285714285716,255.79142857142855,258.9216666666667,260.7083333333333,227.998,260.91,238.334,268.77799999999996,308.6075,254.42285714285714,259.88124999999997,257.59,248.4025,257.845,253.55374999999998,239.36124999999998,219.89142857142858,259.7825,237.62625,186.96800000000002,258.12,L8
2015-01-09 22:19:14.700,296.3285714285715,288.9428571428571,236.2733333333333,269.0828571428571,272.4657142857143,270.0657142857143,255.7942857142857,269.6766666666667,267.1666666666667,261.00125,255.43375,256.96375,258.30125,261.5628571428571,262.95142857142855,235.47333333333336,263.2685714285714,246.87666666666667,268.77799999999996,311.2277777777778,254.42285714285714,262.91999999999996,260.6066666666667,252.38222222222223,261.14285714285717,256.1588888888889,244.37444444444444,228.39999999999998,262.09,240.68333333333334,186.96800000000002,258.595,L8
2015-01-18 22:13:00.564,296.3285714285715,288.9428571428571,236.2733333333333,269.0828571428571,272.4657142857143,270.0657142857143,255.7942857142857,269.6766666666667,267.1666666666667,261.00125,255.43375,256.96375,258.30125,261.5628571428571,262.95142857142855,235.47333333333336,261.50375,250.6042857142857,257.895,309.96500000000003,256.35,259.703,254.88899999999998,246.927,257.71125,253.048,244.11599999999999,230.96444444444444,260.272,239.516,192.55666666666664,249.74,L8
2015-01-25 22:19:08.635,294.87375,287.52,236.2733333333333,266.985,271.6375,268.55625,255.7942857142857,269.6766666666667,267.1666666666667,259.51444444444445,250.7711111111111,255.09333333333336,256.67777777777775,261.5628571428571,262.95142857142855,235.47333333333336,253.73222222222225,246.965,253.32857142857142,308.32545454545453,252.5,256.45545454545453,253.23,243.91545454545457,254.51222222222225,251.7072727272727,242.4109090909091,231.628,259.17636363636365,238.6,190.19714285714286,249.74,L8
2015-02-10 22:19:02.830,293.6933333333333,286.1255555555556,236.2733333333333,266.985,271.6375,268.55625,255.7942857142857,269.6766666666667,267.1666666666667,258.184,247.589,253.80100000000002,255.27100000000002,261.5628571428571,262.95142857142855,235.47333333333336,247.214,240.83777777777777,249.86,307.0183333333333,249.31300000000002,253.34416666666667,250.53666666666666,240.3925,251.902,250.17,237.85166666666666,229.93454545454543,258.3958333333333,237.855,187.72625,249.74,L8
2015-02-19 22:12:49.582,293.067,285.342,236.2733333333333,266.985,271.6375,268.55625,255.7942857142857,269.6766666666667,267.1666666666667,257.7827272727273,244.7409090909091,252.74545454545452,254.2409090909091,261.5628571428571,262.95142857142855,235.47333333333336,242.10454545454547,235.80599999999998,246.10777777777776,306.6053846153846,246.86,250.64999999999998,246.14538461538461,238.27384615384614,248.13,249.12384615384616,234.68692307692305,229.28916666666666,258.33384615384614,237.31307692307695,187.72625,249.74,L8
2015-02-19 22:13:13.545,292.43454545454546,285.342,236.2733333333333,266.985,271.6375,268.55625,255.7942857142857,269.6766666666667,267.1666666666667,257.7827272727273,242.1308333333333,251.6966666666667,252.9075,261.5628571428571,262.95142857142855,235.47333333333336,242.10454545454547,235.80599999999998,246.10777777777776,306.1242857142857,244.55416666666667,247.8235714285714,242.07999999999998,238.27384615384614,248.13,248.05928571428572,231.86928571428572,228.58615384615385,258.2207142857143,236.7607142857143,187.72625,249.74,L8
2015-04-15 22:18:34.670,292.44888888888886,285.4575,247.44749999999996,268.86333333333334,272.78499999999997,269.41666666666663,257.64,269.6766666666667,268.88,258.225,239.56222222222218,251.11111111111111,254.06666666666666,263.60200000000003,264.88399999999996,238.99750000000003,238.6011111111111,237.3075,238.6228571428571,305.1718181818182,233.03111111111107,241.3381818181818,237.571,237.27888888888887,246.47999999999996,246.618,236.744,231.41666666666666,258.894,237.507,190.785,249.74,L8
2015-10-24 22:19:16.646,288.57,282.01,268.05,264.89,266.82,262.06,250.57,258.75,254.26,253.46,249.26,253.06,252.79,253.0,249.47,,252.87,242.02,293.61,306.86,246.7,265.98,259.09,252.38,238.29,247.65,252.75,236.53,253.9,233.73,186.52,,L8
2015-12-20 22:13:09.373,300.005,293.21500000000003,284.98,279.775,277.975,274.74,263.53999999999996,272.065,269.205,265.65500000000003,265.595,264.0,266.93,268.475,265.945,279.9,268.03999999999996,268.815,310.385,319.395,277.725,277.995,274.30999999999995,273.105,265.04,265.96,271.56,266.085,269.81,251.09499999999997,227.485,257.28,L8
