dates,satname,nzd0579-0000,nzd0579-0001,nzd0579-0002,nzd0579-0003,nzd0579-0004
1999-09-27 22:06:00.877000,L7,,,,70.92,
1999-12-09 21:59:45.569000,L7,,116.89,119.49,163.14,136.11
1999-12-09 22:00:09.551000,L7,,65.51,243.68,238.96,232.86
1999-12-16 22:05:57.846000,L7,311.51,286.38,317.15,362.13,337.60
1999-12-25 21:59:40.109000,L7,,,,55.60,28.84
1999-12-25 22:00:04.067000,L7,,62.59,112.96,107.28,122.95
2000-11-09 21:57:09.299000,L7,,,,71.15,18.38
2000-11-09 21:57:33.274000,L7,255.44,254.85,251.22,240.67,237.43
2000-11-25 21:57:10.965000,L7,,,70.75,92.04,121.62
2000-11-25 21:57:34.931000,L7,,,,160.03,36.16
2001-01-03 22:03:24.303000,L7,337.07,322.56,371.26,348.88,338.05
2001-01-12 21:57:18.640000,L7,,,68.13,75.95,44.53
2001-02-20 22:03:24.667000,L7,254.66,249.89,249.00,243.41,225.77
2001-06-05 21:56:52.440000,L7,,,,151.11,117.55
2001-09-25 21:55:40.572000,L7,,62.97,101.98,60.61,
2001-10-02 22:01:16.521000,L7,,,100.62,64.86,37.23
2001-11-03 22:01:22.838000,L7,,60.83,63.82,149.62,117.79
2001-12-30 21:55:49.115000,L7,124.55,231.54,226.22,223.53,217.05
2002-03-11 22:01:55.664000,L7,,,,62.75,31.02
2002-10-21 22:00:48.324000,L7,,50.51,102.86,146.17,96.14
2002-10-30 21:55:01.471000,L7,357.88,304.98,357.24,368.35,356.66
2002-11-06 22:00:53.524000,L7,,76.46,109.52,161.13,127.88
2003-07-21 21:43:45.776000,L5,,,,130.48,119.99
2003-08-29 21:50:14.179000,L5,,182.25,130.81,164.33,163.13
2003-09-30 21:50:42.209000,L5,,82.41,120.39,139.77,162.53
2003-11-17 21:51:21.228000,L5,115.23,212.54,220.80,202.93,203.38
2004-04-09 21:52:31.725000,L5,,,94.99,164.34,133.69
2004-07-07 21:48:56.983000,L5,,107.68,83.97,165.03,
2004-07-23 21:49:45.084000,L5,,,,163.35,115.51
2004-07-30 21:55:39.919000,L5,,,,129.79,79.68
2004-08-15 21:56:01.630000,L5,,187.91,179.02,179.40,181.49
2004-08-24 21:50:29.935000,L5,105.14,216.41,229.43,207.92,198.96
2004-09-16 21:56:53.497000,L5,,79.02,76.23,176.45,157.91
2004-09-25 21:50:55.115000,L5,,22.96,58.95,131.97,113.03
2004-09-25 21:51:19.231000,L5,,91.77,82.27,175.93,170.55
2004-10-02 21:57:14.880000,L5,,206.06,204.79,197.74,177.12
2004-11-19 21:58:07.046000,L5,,172.43,138.77,176.90,167.21
2005-01-06 21:59:00.856000,L5,106.16,218.74,215.69,208.23,206.49
2005-01-15 21:52:57.240000,L5,101.20,226.07,207.03,191.35,180.10
2005-01-15 21:53:21.356000,L5,,58.87,104.64,168.92,158.17
2005-01-31 21:53:09.442000,L5,124.44,226.17,210.10,206.85,184.79
2005-02-07 21:59:26.985000,L5,,,45.22,123.29,142.47
