dates,satname,nzd0477-0000,nzd0477-0001,nzd0477-0002,nzd0477-0003,nzd0477-0004,nzd0477-0005,nzd0477-0006,nzd0477-0007,nzd0477-0008,nzd0477-0009,nzd0477-0010,nzd0477-0014,nzd0477-0015,nzd0477-0016,nzd0477-0017,nzd0477-0018,nzd0477-0019,nzd0477-0020,nzd0477-0021,nzd0477-0022,nzd0477-0023,nzd0477-0024,nzd0477-0025,nzd0477-0026,nzd0477-0027,nzd0477-0028,nzd0477-0029,nzd0477-0030,nzd0477-0031,nzd0477-0032,nzd0477-0033,nzd0477-0034,nzd0477-0011,nzd0477-0012,nzd0477-0013
1999-08-26 22:07:08.722000,L7,337.14,299.57,293.28,285.48,286.42,301.20,303.21,296.44,306.02,309.95,297.07,286.24,309.35,321.17,313.28,315.85,323.28,293.70,311.82,315.13,316.53,306.12,307.91,317.85,316.69,301.36,356.93,360.28,346.30,329.67,322.02,392.66,,,
1999-08-26 22:07:32.686000,L7,335.46,298.75,292.24,281.80,284.90,301.41,302.43,294.82,304.98,308.71,296.99,277.58,308.48,319.30,313.35,314.28,322.62,294.19,311.20,315.54,313.23,305.62,305.35,315.75,314.70,298.19,370.39,360.80,348.48,333.93,323.68,395.89,,,
1999-10-13 22:07:12.582000,L7,,338.93,289.81,278.84,,,,,,,392.16,379.69,376.56,367.66,361.90,355.65,346.52,351.06,344.94,340.46,347.54,351.55,397.09,385.24,386.76,386.92,391.82,375.27,362.45,357.55,359.30,381.02,382.83,380.61,386.66
1999-11-30 22:06:59.059000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,399.44,381.90,375.96,365.91,374.00,405.83,,,
1999-12-16 22:07:09.748000,L7,377.97,289.81,298.56,312.89,295.04,301.30,303.20,307.23,306.96,305.23,299.76,307.62,299.03,311.86,315.55,314.06,306.00,293.03,301.16,324.56,312.32,307.68,303.72,311.64,310.46,286.61,395.54,371.10,367.84,341.51,356.48,368.20,308.05,303.98,308.83
1999-12-16 22:07:33.708000,L7,333.12,285.94,290.73,300.24,291.73,298.71,300.58,303.18,303.19,300.27,297.58,302.45,295.65,303.81,313.43,309.95,302.12,289.40,297.90,301.46,307.87,304.90,299.36,308.24,307.03,283.22,,296.03,303.58,294.90,349.91,344.87,304.90,300.64,304.71
2000-03-21 22:06:49.022000,L7,,,,,,,,,,301.26,300.72,306.46,307.66,318.85,325.81,324.23,315.77,316.28,313.03,313.05,315.67,344.17,346.21,313.41,308.29,297.21,323.37,342.29,323.34,320.09,338.76,377.09,307.79,305.63,306.27
2000-05-08 22:06:20.956000,L7,,,,,,,,,,,,306.25,307.31,323.69,320.42,312.98,311.41,336.73,310.39,313.78,316.46,308.42,309.62,314.50,315.69,,,,,,,,311.56,312.58,304.53
2000-05-08 22:06:44.900000,L7,319.15,303.48,295.03,297.46,295.02,299.46,,,,308.61,304.47,308.36,318.21,334.51,333.30,392.32,364.40,,338.18,337.67,373.06,398.73,365.91,321.46,318.75,300.00,303.83,351.37,332.52,327.22,343.71,345.34,313.94,336.64,332.79
2000-06-25 22:05:55.844000,L7,320.03,299.92,305.86,334.82,332.24,307.67,312.50,311.22,312.44,353.43,348.06,367.41,368.79,382.16,335.81,359.74,349.51,354.03,352.53,346.18,339.24,377.20,362.40,335.51,363.75,382.58,393.71,364.19,374.59,355.20,369.91,348.26,366.64,332.59,373.46
