dates,nzd0477-0000,nzd0477-0001,nzd0477-0002,nzd0477-0003,nzd0477-0004,nzd0477-0005,nzd0477-0006,nzd0477-0007,nzd0477-0008,nzd0477-0009,nzd0477-0010,nzd0477-0011,nzd0477-0012,nzd0477-0013,nzd0477-0014,nzd0477-0015,nzd0477-0016,nzd0477-0017,nzd0477-0018,nzd0477-0019,nzd0477-0020,nzd0477-0021,nzd0477-0022,nzd0477-0023,nzd0477-0024,nzd0477-0025,nzd0477-0026,nzd0477-0027,nzd0477-0028,nzd0477-0029,nzd0477-0030,nzd0477-0031,nzd0477-0032,nzd0477-0033,nzd0477-0034
2001-08-15 22:03:26+00:00,,308.3333333333333,301.00666666666666,265.65333333333336,242.11,313.0575,314.7325,316.2875,314.6875,307.09,302.7,310.2075,304.6875,292.8233333333333,294.6066666666666,293.1766666666667,322.3,318.52250000000004,313.7475,314.81,302.735,302.74,300.5825,302.73,302.53999999999996,296.605,294.92499999999995,310.33,274.96000000000004,251.79,300.21666666666664,292.8833333333333,334.43,323.87,346.0233333333333
2002-03-11 22:03:31+00:00,,,,,211.93,,307.16,280.89,272.83,263.13,,,,,,,,306.53,299.61,297.26,,,,,271.15,260.5,,266.34,,,,,,,
2002-04-12 22:03:01+00:00,285.69,295.99,,208.07,209.85000000000002,309.41,308.54,289.195,289.94,279.805,285.65,291.19,297.7,287.44,292.07,285.7,,306.53,299.61,298.99,290.2,300.9,297.49,297.82,279.03499999999997,270.84000000000003,290.95,279.01,238.65,,,,,,
2002-11-22 22:02:21+00:00,,286.93,282.19,174.72,,,,296.65,300.96,299.02,294.62,,,,,,,,,277.74,274.86,261.45,280.86,283.21,288.55,281.64,290.85,296.24,287.05,,,258.53,277.32,279.76,
2002-12-24 22:02:33+00:00,315.32,286.20500000000004,285.99,232.72500000000002,287.17,298.73,299.06,296.445,301.42499999999995,299.235,295.555,300.05,294.97,293.18,292.21,292.71,,,,277.74,274.86,261.45,280.86,283.21,289.90999999999997,284.635,291.745,285.015,287.05,,,258.53,278.205,283.235,358.71
2003-08-13 21:51:08+00:00,,330.13,328.61,,,,,340.88,339.06,339.11,342.36,295.56,326.33,308.28,,327.59,331.44,329.33,328.88,323.24,316.5,317.08,307.73,324.64,325.78,321.34,333.52,331.12,332.86,299.36,316.04,307.42,298.91,294.06,338.97
2003-09-14 21:51:42+00:00,,330.13,328.61,,,332.18,333.66,340.88,339.06,339.11,342.36,314.65,326.33,308.28,328.4,332.895,335.21500000000003,332.78999999999996,328.94,324.84000000000003,317.98,318.92999999999995,313.45000000000005,324.995,327.405,323.075,332.985,332.31,333.14,301.46000000000004,317.46000000000004,307.735,297.8,300.425,336.45000000000005
2003-10-16 21:52:08+00:00,,330.13,328.61,315.35,301.0,332.18,333.66,332.79499999999996,334.655,331.92,333.695,314.65,326.33,308.28,328.4,332.895,335.21500000000003,332.78999999999996,328.94,324.84000000000003,317.98,318.92999999999995,313.45000000000005,324.995,321.57666666666665,318.75666666666666,330.1933333333333,330.84666666666664,330.28000000000003,296.1566666666667,314.6433333333334,306.5366666666667,296.06666666666666,295.8966666666667,335.34666666666664
2003-11-17 21:52:33+00:00,,332.755,328.61,315.35,301.0,332.18,333.66,330.6766666666667,331.22333333333336,327.7766666666667,328.35999999999996,314.65,326.33,308.28,328.4,332.895,335.21500000000003,331.6133333333333,330.3966666666667,326.37,320.50333333333333,318.92999999999995,313.45000000000005,313.7166666666667,317.73249999999996,314.87,325.8875,325.7025,326.5125,291.3075,314.425,305.625,297.1175,294.65,333.72
2004-06-12 21:55:59+00:00,,314.56,306.06,309.39,291.01,,298.89,318.95,321.13,311.58,319.99,310.54,311.83,307.46,311.64,310.38,283.95,,,,,,,,,287.47,306.33,291.39,277.71,,,,,,292.22
