dates,satname,nzd0017-0000,nzd0017-0001,nzd0017-0002,nzd0017-0003,nzd0017-0004,nzd0017-0005,nzd0017-0006,nzd0017-0011,nzd0017-0012,nzd0017-0013,nzd0017-0014,nzd0017-0015,nzd0017-0016,nzd0017-0017,nzd0017-0018,nzd0017-0019,nzd0017-0020,nzd0017-0021,nzd0017-0022,nzd0017-0023,nzd0017-0024,nzd0017-0025,nzd0017-0026,nzd0017-0027,nzd0017-0028,nzd0017-0029,nzd0017-0030,nzd0017-0031,nzd0017-0032,nzd0017-0033,nzd0017-0034,nzd0017-0035,nzd0017-0036,nzd0017-0037,nzd0017-0039,nzd0017-0040,nzd0017-0041,nzd0017-0042,nzd0017-0043,nzd0017-0044,nzd0017-0045,nzd0017-0046,nzd0017-0047,nzd0017-0048,nzd0017-0049,nzd0017-0050,nzd0017-0051,nzd0017-0052,nzd0017-0053,nzd0017-0054,nzd0017-0055,nzd0017-0056,nzd0017-0057,nzd0017-0058,nzd0017-0059,nzd0017-0060,nzd0017-0061,nzd0017-0062,nzd0017-0063,nzd0017-0064,nzd0017-0065,nzd0017-0066,nzd0017-0067,nzd0017-0068,nzd0017-0069,nzd0017-0070,nzd0017-0071,nzd0017-0072,nzd0017-0073,nzd0017-0074,nzd0017-0075,nzd0017-0081,nzd0017-0082,nzd0017-0083,nzd0017-0084,nzd0017-0085,nzd0017-0086,nzd0017-0087,nzd0017-0088,nzd0017-0089,nzd0017-0090,nzd0017-0093,nzd0017-0094,nzd0017-0095,nzd0017-0007,nzd0017-0008,nzd0017-0009,nzd0017-0010,nzd0017-0038,nzd0017-0076,nzd0017-0077,nzd0017-0078,nzd0017-0079,nzd0017-0080,nzd0017-0091,nzd0017-0092
1999-10-04 22:10:38.131000,L7,,327.45,322.97,352.08,347.24,357.25,341.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.75,371.30,320.97,281.72,329.54,371.05,,303.13,353.43,348.43,390.22,,,,,,,,,,,,,,399.25,390.11,386.88,,,377.80,393.91,,,,,
1999-11-21 22:10:24.244000,L7,,,,312.11,298.72,304.31,300.58,323.10,,,,,,,,,,,,,,,,,,421.99,408.91,427.67,399.15,,,,,,,,,,,,,,,,,,,,,,,,,,316.04,302.24,326.74,325.11,298.60,308.37,320.44,310.03,313.71,327.42,344.29,312.90,,,,,,,,,,,,,,,,,420.87,423.60,311.12,310.77,298.91,318.03,,,,,,,,
1999-12-07 22:10:30.042000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.56,436.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-06 22:07:59.689000,L7,448.68,382.86,372.25,335.26,315.67,291.23,291.29,397.31,390.62,362.52,373.56,381.10,371.76,384.73,399.84,391.87,375.87,378.26,368.16,373.30,390.22,372.84,376.94,428.19,419.32,411.85,427.00,443.60,446.39,403.81,403.67,400.64,404.54,420.15,400.04,412.96,392.62,427.68,434.87,424.35,431.76,415.89,408.53,437.18,424.79,421.98,422.34,387.29,409.02,394.37,411.24,374.87,398.27,391.03,377.62,386.37,412.55,408.69,419.18,415.06,388.81,364.42,309.44,321.58,394.37,392.74,387.91,379.85,376.43,354.63,382.35,428.76,373.15,359.53,359.43,353.83,397.51,349.43,355.27,374.89,367.25,388.04,382.66,362.93,,,,,,,,,,,,
2001-12-12 22:06:14.960000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.69,442.22,428.46,423.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-18 22:06:22.131000,L7,,429.31,420.86,394.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.81,375.07,421.15,,,,,,,,,389.36,421.65,,,,,,,,,,,,
2002-10-28 22:05:22.323000,L7,403.71,402.38,399.72,383.20,377.51,366.36,368.50,365.03,370.65,368.36,385.26,382.69,387.56,395.11,391.82,373.66,389.41,398.54,396.13,418.92,433.91,426.29,425.39,413.19,379.57,389.77,362.77,363.74,364.90,375.37,380.67,385.09,395.64,440.57,421.75,435.25,395.83,400.90,404.06,419.36,402.99,409.09,414.50,464.36,447.87,427.45,421.78,416.85,398.37,394.86,375.25,371.32,377.45,384.22,415.41,367.81,366.38,384.50,396.18,378.48,379.21,378.64,374.53,297.73,295.53,293.47,407.25,404.59,390.71,379.11,415.84,383.81,375.14,380.39,389.97,373.73,360.48,362.91,370.60,379.20,367.53,374.88,368.83,436.83,370.86,362.22,361.86,363.10,426.62,406.22,393.15,388.02,404.06,401.51,373.87,372.33
2003-01-16 22:06:02.914000,L7,,348.83,385.09,355.76,362.48,335.83,,350.40,352.84,365.00,,,,,,,,,,,,,,,,,,371.55,341.57,,,,439.97,434.68,,,,,,391.63,397.24,386.29,397.73,391.88,390.45,,,,,,,368.09,368.10,430.88,410.53,418.98,,,,,339.84,343.97,289.49,285.84,286.32,372.30,,,,,381.02,369.64,330.56,,,,,,,,,372.73,389.56,,,366.51,372.10,362.07,448.74,345.65,349.32,351.11,418.96,359.22,353.05,373.39
2004-04-16 21:57:19.749000,L5,,,316.35,333.88,353.26,387.05,336.72,,,,,,,,,,,,,,,,,,386.14,403.27,367.58,368.58,369.46,375.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.82,,,,,,,,,,,
2005-02-14 22:04:09.465000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.88,322.00,343.48,350.79,346.70,332.67,328.90,326.04,328.03,332.97,326.63,313.56,297.06,,,311.29,333.82,344.00,331.08,330.87,340.65,325.34,314.89,306.48,312.10,312.52,,,,,,,,,300.84,327.11,317.47,343.40,317.45,,
2005-08-25 22:05:41.221000,L5,,,308.27,300.44,281.51,296.10,287.63,312.45,328.41,312.62,313.07,332.89,318.82,317.28,331.02,,,,,,338.78,334.13,321.00,331.81,327.04,335.19,333.84,349.27,341.80,345.84,338.22,345.94,348.39,333.93,,,,,,,,,,,347.21,373.94,367.24,361.79,360.26,342.08,360.23,350.66,362.03,366.88,365.34,353.42,364.96,355.08,354.80,353.75,372.70,376.94,342.78,313.53,324.39,323.77,327.26,350.25,333.51,331.73,340.82,342.03,323.23,317.82,331.74,326.37,336.26,313.94,331.51,340.93,327.60,347.66,341.60,347.22,293.33,305.01,311.86,316.01,,342.88,345.58,371.21,371.86,362.58,327.93,365.82
2009-01-24 22:02:55.057000,L5,,,298.48,302.94,307.13,300.26,303.17,297.86,297.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.79,317.06,321.33,320.55,317.92,322.35,317.68,319.69,323.77,332.85,327.38,323.80,332.23,303.13,302.08,299.71,302.32,309.02,310.06,315.91,309.35,315.88,,,,,,,,,,,,,,314.69,315.13,315.71,301.70,,313.09,303.49,304.42,307.56,,,
2010-01-27 22:08:26.527000,L5,,,,,,,,,,,,,385.35,358.06,390.53,397.77,401.79,380.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-05 22:19:13.005000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.42,301.60,298.64,302.53,289.31,293.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-26 22:17:23.009000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.75,412.85,387.68,385.76,,,,,,,,,,,,,,,,,,,,,,,,,,313.32,324.55,321.23,,,,,,,,,,,,,,,,,,,330.56,396.45,,,,,
2015-10-08 22:17:36.852000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.11,313.11,318.23,326.27,324.27,322.02,311.39,302.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-03 22:17:13.318000,L8,,,316.62,313.91,309.22,300.11,284.40,327.40,326.60,323.40,321.32,321.16,314.24,317.33,334.69,340.79,362.64,344.92,335.80,338.15,345.25,348.32,343.74,346.05,357.75,354.80,375.76,369.23,371.04,379.15,375.68,375.60,372.24,379.57,379.40,372.97,357.06,362.98,366.75,374.94,354.51,352.32,,,,,388.20,363.98,362.19,356.13,351.07,354.26,343.63,343.25,349.35,343.80,350.16,353.57,353.15,358.55,364.04,362.12,358.22,351.69,348.74,338.78,333.36,331.26,356.39,357.44,360.37,353.50,353.73,352.02,350.08,345.10,354.56,360.61,357.54,355.14,355.44,381.49,356.71,355.52,319.51,311.77,321.55,323.61,362.01,361.16,366.38,360.22,350.82,343.02,404.28,391.69
2016-05-19 22:17:11.230000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.47,423.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-22 22:17:35.206000,L8,,,,,,,,377.06,384.08,360.24,377.89,,,,,,,395.10,368.65,390.89,395.53,381.59,,,,,,,,,,,,,355.13,356.93,371.54,477.73,,,,,376.65,442.84,391.29,430.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.91,376.56,346.54,356.82,360.29,,,,,,,
2017-06-07 22:17:15.240000,L8,,,,,,268.21,294.07,318.84,295.78,,,377.56,356.54,349.44,317.95,295.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.89,323.49,320.11,315.91,308.54,313.84,359.11,414.30,424.06,,,,,,,,350.58,368.23,374.79,307.86,317.68,309.11,,,,300.63,294.95,289.28,280.84,,,,,,,,
2017-10-29 22:17:53.844000,L8,,,,,381.24,370.60,339.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.19,308.02,,,,,,,,,,
2018-11-17 22:17:31.986000,L8,339.55,346.78,340.47,338.91,336.75,334.90,340.65,373.94,367.21,387.78,389.03,338.81,331.40,326.35,327.92,334.50,340.32,345.63,361.68,358.58,369.02,364.96,349.40,348.50,354.68,379.23,374.06,371.86,393.80,390.97,425.89,388.82,381.04,380.04,429.68,400.82,398.22,382.10,368.58,355.94,358.92,372.74,394.27,394.80,394.18,411.70,387.51,376.28,371.47,358.13,338.76,332.14,332.96,337.08,363.16,384.41,412.82,396.97,391.16,404.41,427.10,384.76,370.01,377.51,386.42,343.60,354.10,363.04,357.64,343.99,338.09,327.03,328.21,324.94,325.41,324.24,341.54,349.91,375.10,357.32,356.81,366.14,370.97,410.32,342.65,385.14,368.92,371.80,421.69,330.17,335.53,332.81,341.33,337.67,351.06,369.50
2019-01-04 22:17:27.803000,L8,,,,,,,,309.69,311.26,304.37,,,,,,,,,,,,,,,,417.53,354.72,384.76,,,,,,,,,,,,415.77,441.68,404.30,395.74,,,,,,,407.08,365.24,362.33,369.17,338.82,,,,,,,291.14,295.68,289.45,297.24,297.76,301.20,302.33,,,335.29,354.65,,,390.07,410.24,394.32,,,,,,,,,,312.94,312.92,326.81,,317.28,,,,,,
2020-02-24 22:17:35.189000,L8,,,,,323.01,322.51,324.95,,,364.56,381.43,383.52,322.85,355.42,375.62,,,,,,,,,,,,,,,,,,,,462.75,398.04,393.32,370.81,393.26,397.23,392.47,,,440.58,419.62,422.82,435.16,420.04,438.28,,,,,340.91,333.62,363.45,373.06,367.00,,318.61,329.32,,,326.05,347.98,,,,,346.91,392.06,,,,,,,386.40,,,,345.82,355.47,346.80,,,,,,,311.86,315.63,393.15,367.17,,
2021-04-15 22:17:16.883000,L8,,,297.60,297.88,305.55,303.75,306.92,304.85,303.03,294.88,303.42,325.20,319.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.35,294.18,306.37,309.76,312.81,319.48,319.94,324.18,329.07,315.24,303.00,301.70,309.20,,,,,,,,,,,,,,302.50,301.20,303.11,304.38,,304.58,307.91,301.33,296.71,,,
2021-07-04 22:17:29.944000,L8,,,,,,,,,,,,,,,,,,348.57,396.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-12 22:17:13.223000,L9,373.54,380.60,389.36,388.46,403.47,,,,,,415.64,408.77,405.65,386.63,401.90,412.37,401.22,397.34,387.67,385.13,395.54,394.74,387.21,387.39,378.74,371.07,361.57,357.89,358.04,370.44,381.27,373.45,383.61,391.65,396.05,402.83,407.12,412.41,405.81,388.34,396.31,401.66,412.51,418.52,415.55,410.31,399.16,396.09,392.17,383.98,378.34,385.24,391.64,405.42,405.12,410.03,407.98,407.12,417.63,,,392.32,373.46,373.06,382.63,379.61,372.39,385.11,379.36,383.15,368.06,398.08,378.50,368.42,373.41,372.43,369.35,355.98,352.73,364.32,381.08,385.80,394.99,398.11,,,,,386.65,362.14,368.16,362.32,374.42,384.78,371.44,367.24
2022-07-15 22:17:24.696000,L9,439.60,398.51,425.02,,280.30,287.19,286.07,293.03,282.21,,,,394.47,420.22,,382.31,387.12,394.71,,384.53,397.89,397.48,,,429.51,389.13,397.07,425.08,428.08,,454.72,406.12,,,,425.58,433.81,474.20,,,,,,,,450.74,394.78,458.34,,403.53,392.82,,,,,,,,,,293.76,299.42,287.77,288.88,294.47,297.53,298.31,,,,349.85,,335.25,431.85,,,,,,,,,,,289.40,299.53,293.73,298.11,,354.01,421.62,,,,,
2022-12-22 22:17:59.519000,L9,411.75,336.07,334.85,332.44,315.06,308.46,325.57,359.55,323.29,385.52,387.65,422.19,364.72,407.26,425.51,394.46,308.91,310.10,360.33,410.07,413.53,,355.92,379.14,373.63,373.49,373.79,394.78,369.16,380.97,427.24,402.49,420.81,393.17,401.31,391.16,383.29,411.17,399.07,405.12,414.57,460.43,,,,420.41,384.04,441.17,397.53,,321.11,323.88,327.04,338.68,331.02,311.58,311.10,306.05,331.20,314.26,321.22,362.44,331.58,,405.93,326.17,318.74,313.58,302.66,321.41,308.48,428.24,432.33,424.05,,,342.14,337.08,373.16,331.50,345.58,433.75,,,312.02,311.90,319.46,324.10,,306.17,313.49,299.83,404.16,399.12,370.90,373.05
2023-03-04 22:17:37.574000,L8,,,,,,,,326.22,331.21,338.41,336.74,352.22,333.18,307.20,293.85,414.73,357.65,,,,,,332.78,326.33,332.30,344.60,361.62,,,,,,,,,,,,,,,,,,,,,,,,,317.76,311.52,313.02,307.34,307.65,300.84,,289.05,299.18,310.34,318.76,307.09,307.93,307.56,308.76,313.68,303.75,301.61,306.93,322.65,,,,,,,,,,,,,,,,302.77,326.19,,311.72,324.58,317.46,309.72,,,
2023-08-03 22:17:19.817000,L9,,,,,,355.42,313.41,,,,,380.69,395.14,407.18,401.59,339.88,337.27,356.55,,378.03,424.16,332.82,,356.77,380.24,425.55,340.02,,364.56,425.03,448.09,441.07,415.51,381.15,,,416.88,420.55,424.33,400.32,457.62,352.04,355.42,,,,,,,,365.72,365.92,359.02,366.63,380.15,391.45,402.52,400.83,381.45,312.50,372.46,373.98,384.74,383.47,,,,339.37,301.88,,,413.91,359.15,,,,,,,,,,,,303.38,,,,387.21,,,,,416.33,,
2023-09-12 22:17:38.225000,L8,,,,299.29,288.89,296.75,293.32,307.89,307.22,299.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.09,303.61,311.13,305.16,307.58,304.04,301.90,311.11,304.37,,,,,,,,,,,,,,,,,,297.09,295.85,303.76,305.58,,,,,,,,
2023-09-20 22:17:40.026000,L9,,,302.44,299.76,311.81,324.08,334.61,346.55,349.91,343.61,330.02,324.73,322.02,308.75,317.60,329.44,317.29,313.44,330.86,327.97,313.29,360.28,350.35,326.16,332.24,326.24,,,,,,,,,,,,,,,,,,,,,,,,,,,332.33,364.49,388.21,,399.36,342.31,330.57,326.00,321.05,319.21,318.42,315.91,312.98,319.29,316.52,310.28,307.23,298.34,307.29,,,,317.99,321.31,314.03,317.28,321.78,310.16,321.19,,,,326.91,323.60,342.79,340.53,,391.71,,,,,,
