dates,nzd0445-0000,nzd0445-0001,nzd0445-0002,nzd0445-0004,nzd0445-0005,nzd0445-0006,nzd0445-0007,nzd0445-0008,nzd0445-0009,nzd0445-0016,nzd0445-0017,nzd0445-0018,nzd0445-0019,nzd0445-0020,nzd0445-0022,nzd0445-0023,nzd0445-0024,nzd0445-0025,nzd0445-0026,nzd0445-0003,nzd0445-0010,nzd0445-0011,nzd0445-0012,nzd0445-0013,nzd0445-0014,nzd0445-0015,nzd0445-0021,satname
1999-11-21 22:13:11+00:00,,,,,,,,,,225.45,261.52,257.73,295.86,,191.66,220.53,268.05,192.14,,,,,,,,,,L7
1999-12-07 22:12:53+00:00,,,273.83,269.64,265.71,266.2,259.16,,227.24,225.45,261.52,257.73,295.86,,191.66,220.53,268.05,192.14,,,,,,287.43,,,,L7
2000-08-19 22:11:01+00:00,,,,245.29,242.86,235.79,219.28,194.99,198.66,,,,,,,,,,,,181.45,199.79,,,,,,L7
2000-11-07 22:10:17+00:00,,,,237.155,241.765,232.17000000000002,222.025,201.37,197.14999999999998,211.38,262.23,257.5,287.56,194.37,207.69,219.76,255.2,204.33,218.22,,181.45,199.79,,,,,,L7
2001-01-26 22:10:54+00:00,,,,237.155,241.765,232.17000000000002,222.025,201.37,197.14999999999998,211.38,262.23,257.5,287.56,194.37,207.69,219.76,251.53,195.12,220.175,,181.45,199.79,,,,,,L7
2001-02-18 22:16:35+00:00,248.75,210.87,246.86,228.27,225.58499999999998,214.775,215.27,207.75,195.64,211.38,262.23,257.5,287.56,194.37,207.69,219.76,251.53,195.12,220.175,230.5,,,,,,,,L7
2001-02-27 22:10:18+00:00,248.75,210.87,246.86,228.27,219.50666666666666,214.08666666666667,215.47000000000003,207.75,195.64,211.38,262.23,257.5,287.56,194.37,207.69,219.76,251.53,195.12,220.175,230.5,,,,,,,,L7
2001-03-31 22:10:31+00:00,248.75,210.87,246.86,223.48000000000002,221.545,212.3125,213.1375,199.04500000000002,192.61,211.38,262.23,257.5,287.56,194.37,207.69,219.76,251.53,195.12,220.175,230.5,,,,,,,,L7
2002-01-20 22:15:01+00:00,253.81,242.65,248.05,232.26,245.52,219.07,215.82,185.07,,231.9,270.98,261.09,291.36,195.93,205.7,224.33,262.09,198.11,,196.33,205.72,206.78,,262.49,,,,L7
2002-02-05 22:15:01+00:00,253.81,242.65,260.19,232.26,245.52,219.07,215.82,185.07,,231.9,270.98,261.09,298.95500000000004,195.93,216.82,234.96,265.265,198.11,,196.33,205.72,206.78,,262.49,,,,L7
2002-10-12 22:07:38+00:00,,,,206.19,227.24,209.28,220.31,,,,,,,,,,248.19,187.01,206.55,,,,,,,,,L7
2003-01-07 22:14:28+00:00,,,311.22,206.19,227.24,209.28,220.31,,232.19,,,,288.23,,,,248.19,187.01,206.55,,,,,,,,,L7
2003-02-24 22:14:49+00:00,,,311.22,206.19,227.895,203.58499999999998,210.14,,232.19,,,,288.23,,,,248.19,187.01,206.55,,,,,,,,,L7
2003-08-11 22:03:03+00:00,243.32,238.02,239.81,239.27,230.99,211.925,212.31,219.7,200.68,,,,,,,,,,,240.26,175.63,,,,,,,L5
2003-08-20 21:57:03+00:00,240.62,233.515,232.26999999999998,226.255,225.78333333333333,205.40666666666667,212.31,219.7,200.68,,,,,,,,,,,231.935,175.63,,,,,,,L5
2003-08-27 22:03:21+00:00,241.58666666666667,235.82333333333335,233.45666666666668,228.79333333333332,225.12666666666667,213.07000000000002,220.765,216.005,195.255,,,,,,,,,,,232.8033333333333,173.85500000000002,,,,,,,L5
2003-12-10 21:58:29+00:00,251.3475,245.82,243.385,239.0375,234.945,213.07000000000002,231.34,226.64,203.53666666666666,225.3,259.26,262.24,272.52,,229.8,242.4,251.76,258.99,275.58,242.275,173.85500000000002,204.25,188.74,219.53,196.27,191.47,230.04,L5
2004-01-18 22:04:57+00:00,248.53000000000003,242.97799999999998,238.06599999999997,233.292,227.998,209.845,223.2825,226.64,203.53666666666666,225.3,259.26,262.24,272.52,,229.8,242.4,251.76,258.99,275.58,236.498,173.85500000000002,204.25,188.74,219.53,196.27,191.47,230.04,L5
