dates,satname,nzd0209-0000,nzd0209-0001,nzd0209-0002,nzd0209-0003,nzd0209-0004,nzd0209-0006,nzd0209-0007,nzd0209-0008,nzd0209-0009,nzd0209-0010,nzd0209-0011,nzd0209-0012,nzd0209-0013,nzd0209-0014,nzd0209-0015,nzd0209-0016,nzd0209-0017,nzd0209-0018,nzd0209-0019,nzd0209-0020,nzd0209-0021,nzd0209-0022,nzd0209-0023,nzd0209-0024,nzd0209-0025,nzd0209-0026,nzd0209-0027,nzd0209-0028,nzd0209-0029,nzd0209-0005
1999-08-21 21:46:33.053000,L7,324.65,279.07,303.55,340.38,300.56,218.41,292.42,304.89,322.88,277.70,238.30,266.19,290.47,265.52,250.67,242.59,226.10,230.04,242.22,220.85,224.83,219.20,228.63,209.42,194.39,203.02,192.61,199.03,,
1999-10-24 21:46:32.266000,L7,308.98,269.73,306.76,330.90,290.68,216.08,283.16,291.16,307.68,275.16,241.23,271.45,285.72,256.47,244.35,238.75,270.62,225.57,199.55,215.87,219.74,223.68,221.81,474.59,523.90,370.75,522.07,202.15,208.25,
2000-03-16 21:46:15.139000,L7,239.44,202.71,171.22,177.66,175.28,,242.82,255.96,285.91,229.28,187.23,213.73,240.15,233.66,203.66,184.83,160.56,,,,,,,,,,,,,
2000-04-01 21:46:10.627000,L7,289.41,261.99,167.98,161.24,181.93,,256.83,266.17,288.80,241.22,177.80,212.28,247.91,237.58,215.53,203.22,202.83,208.84,168.36,,,182.87,200.57,182.64,180.42,203.51,165.73,,,
2000-05-03 21:45:55.224000,L7,416.72,401.29,399.21,381.29,329.10,218.16,297.93,272.08,275.18,230.45,217.42,206.05,,,,,,,,227.12,272.00,335.64,342.54,399.53,358.26,342.84,340.21,468.15,477.63,
2000-05-19 21:45:43.918000,L7,363.28,352.92,365.70,352.56,300.17,208.57,339.16,342.34,316.40,316.48,303.49,361.09,361.04,374.13,362.63,339.82,343.05,344.48,346.04,295.27,330.72,326.96,326.11,336.31,332.52,198.26,184.71,178.30,,
2000-06-04 21:45:32.324000,L7,,,,,,,246.17,253.88,263.92,,,,,,,,,,,,,,,,,,,,,
2000-08-07 21:44:45.034000,L7,341.68,285.93,338.10,338.92,295.83,349.64,348.91,350.71,358.06,318.86,346.53,302.21,347.34,292.71,270.03,251.00,248.84,238.41,231.88,226.25,248.42,257.75,213.14,181.04,197.45,203.56,197.62,,,
2000-09-24 21:44:07.338000,L7,370.43,352.75,347.89,343.61,312.83,194.50,302.11,323.72,337.95,329.73,303.60,329.75,345.01,311.70,280.30,295.63,286.40,303.47,295.79,318.95,314.04,283.75,302.01,278.04,290.11,310.95,263.33,296.56,286.07,
2001-01-14 21:44:09.210000,L7,431.41,411.10,341.66,313.45,292.74,387.04,382.05,381.44,367.04,357.89,352.86,373.15,365.81,373.33,340.47,359.59,341.82,349.42,327.46,356.72,356.77,339.63,335.64,332.09,330.70,339.47,325.20,317.90,298.03,378.49
2001-04-04 21:43:43.008000,L7,392.98,370.54,334.96,309.86,286.06,223.89,344.11,333.33,337.02,339.25,328.58,333.59,350.90,345.08,332.23,334.17,333.82,343.05,349.13,305.32,326.85,297.72,302.00,321.93,333.29,313.98,312.07,317.20,259.60,169.83
2001-04-20 21:43:46.702000,L7,275.02,258.21,172.07,171.93,243.95,,253.89,263.23,278.71,235.91,193.52,211.93,163.98,200.74,,,,,,,,,,,,,,,,
2001-05-22 21:43:30.869000,L7,394.59,355.94,328.20,296.94,278.51,222.85,333.79,324.45,344.88,342.58,344.58,344.31,350.86,323.64,345.22,354.59,324.58,291.07,301.65,370.72,307.43,301.32,244.95,210.29,335.71,231.59,318.42,262.00,,
2001-07-25 21:42:54.824000,L7,367.15,357.94,328.78,304.93,278.19,205.98,338.44,333.97,337.52,348.78,335.82,344.86,344.91,280.42,284.99,245.57,336.74,337.03,281.47,329.00,343.57,283.63,304.18,337.10,321.64,218.52,331.86,203.43,184.35,
2001-08-26 21:42:25.671000,L7,378.44,346.53,326.74,313.07,292.48,217.28,349.04,466.17,463.75,479.40,470.98,524.47,513.70,519.81,522.74,529.18,518.84,536.02,372.33,367.10,365.42,345.98,411.11,415.01,333.22,264.15,328.84,348.43,319.32,229.24
2001-09-27 21:42:05.338000,L7,483.63,388.94,334.74,348.51,397.30,387.97,385.48,382.85,376.15,386.72,383.64,389.57,390.37,381.97,384.79,379.98,372.37,371.90,375.81,382.37,370.00,359.18,357.96,362.17,363.37,371.69,368.52,360.86,358.13,390.70
