dates,nzd0209-0000,nzd0209-0001,nzd0209-0002,nzd0209-0003,nzd0209-0004,nzd0209-0006,nzd0209-0007,nzd0209-0008,nzd0209-0009,nzd0209-0010,nzd0209-0011,nzd0209-0012,nzd0209-0013,nzd0209-0014,nzd0209-0015,nzd0209-0016,nzd0209-0017,nzd0209-0018,nzd0209-0019,nzd0209-0020,nzd0209-0021,nzd0209-0022,nzd0209-0023,nzd0209-0024,nzd0209-0025,nzd0209-0026,nzd0209-0027,nzd0209-0028,nzd0209-0029,nzd0209-0005,satname
1999-08-21 21:46:33+00:00,324.65,279.07,303.55,,300.56,218.41,292.42,304.89,,277.7,238.3,266.19,290.47,265.52,250.67,242.59,226.1,230.04,242.22,220.85,224.83,219.2,228.63,209.42,194.39,203.02,192.61,199.03,,,L7
2000-03-16 21:46:15+00:00,,261.54,322.97,,284.76,205.7,256.33,,,,268.83,248.27,261.41,249.44,218.49,236.8,226.71,226.01,205.05,210.32,197.08,190.58,197.63,181.59,186.45,194.37,163.18,,,,L7
2000-04-01 21:46:10+00:00,351.93,261.54,322.46500000000003,333.54,279.99,190.57999999999998,270.115,295.21,,274.38,266.515,258.625,287.92,254.35,239.305,237.53500000000003,226.79500000000002,235.055,216.63,210.32,237.265,211.66000000000003,197.63,202.94,202.38,194.37,180.935,173.57,,,L7
2000-05-03 21:45:55+00:00,351.93,261.54,322.46500000000003,333.54,293.09666666666664,198.05666666666664,270.115,279.88,,274.38,266.515,258.625,287.92,254.35,239.305,237.53500000000003,226.79500000000002,235.055,216.63,209.41,238.75,211.66000000000003,197.63,202.94,202.38,194.37,180.935,173.57,,,L7
2000-05-19 21:45:43+00:00,358.33500000000004,261.54,322.46500000000003,333.54,295.33500000000004,200.9875,270.115,279.88,,274.38,266.515,258.625,287.92,254.35,239.305,237.53500000000003,226.79500000000002,235.055,216.63,209.41,238.75,211.66000000000003,197.63,204.9766666666667,215.15,196.965,182.61333333333334,177.605,,,L7
2000-06-04 21:45:32+00:00,358.33500000000004,263.03499999999997,319.1933333333333,330.96000000000004,293.304,202.374,276.07666666666665,285.1766666666667,313.57,274.38,256.57666666666665,259.97333333333336,286.75333333333333,255.61333333333332,236.76333333333332,236.83333333333334,229.45333333333335,231.2733333333333,216.07333333333335,212.93999999999997,233.54250000000002,211.9,214.94,208.075,215.15,202.58666666666667,185.5025,179.58333333333334,,,L7
2000-08-07 21:44:45+00:00,358.33500000000004,263.03499999999997,319.1933333333333,330.96000000000004,293.304,202.374,276.07666666666665,285.1766666666667,313.57,274.38,256.57666666666665,259.97333333333336,286.75333333333333,255.61333333333332,236.76333333333332,240.6325,234.72750000000002,233.5025,220.3825,216.64249999999998,238.37800000000001,211.9,214.94,202.846,215.15,203.66,188.318,179.58333333333334,,,L7
2000-09-24 21:44:07+00:00,362.3666666666666,264.53,327.5,335.1766666666667,298.918,200.13400000000001,291.33666666666664,285.1766666666667,313.57,274.38,250.45000000000002,265.82500000000005,299.42499999999995,258.69999999999993,245.89999999999998,241.91,237.4,236.0,225.49333333333334,218.75,248.70250000000001,222.56,232.25,208.16,229.50000000000003,206.75666666666666,194.60250000000002,179.58333333333334,286.07,,L7
2001-01-14 21:44:09+00:00,370.43,,344.775,343.61,302.78499999999997,194.5,302.11,,,,,,,,,252.03,250.55,240.19,233.31,227.75,257.72,,,181.93,,206.88,199.58,,292.04999999999995,,L7
2001-04-04 21:43:43+00:00,,269.89,341.66,,292.74,,,264.79,284.38,263.68,219.88,233.87,251.03,,,,,,,,,,,,,,,,298.03,,L7
2001-04-20 21:43:46+00:00,,261.775,341.66,,292.74,,,263.21000000000004,280.325,248.97,205.095,220.805,244.64,,,,,,,,,,,,,,,,298.03,,L7
2001-05-22 21:43:30+00:00,,261.775,341.66,,292.74,,,263.21000000000004,280.325,248.97,205.095,220.805,244.64,,,,,,,,,,244.11,209.53,,,,,298.03,,L7
