dates,satname,nzd0093-0000,nzd0093-0001,nzd0093-0002,nzd0093-0003,nzd0093-0004,nzd0093-0005,nzd0093-0006,nzd0093-0007
1999-09-27 22:04:48.949000,L7,,,344.86,347.10,382.58,384.33,391.81,392.10
1999-11-14 22:04:42.286000,L7,,,331.60,297.00,336.82,329.87,299.28,317.41
2000-09-13 22:02:26.190000,L7,321.33,354.68,363.83,366.05,386.05,378.17,382.67,369.43
2000-10-15 22:01:56.204000,L7,,,,339.66,343.87,396.38,317.65,
2001-01-03 22:02:12.432000,L7,,,,327.20,393.30,392.05,398.37,
2001-06-12 22:01:24.980000,L7,,,300.26,331.31,333.90,329.82,333.92,
2001-08-15 22:00:38.680000,L7,303.21,279.05,345.20,340.12,343.16,327.09,339.62,349.84
2001-10-02 22:00:04.650000,L7,315.08,339.89,342.51,287.07,329.42,330.25,357.34,363.12
2001-11-03 22:00:10.954000,L7,309.03,333.66,337.01,337.31,356.87,330.60,372.36,370.69
2001-12-05 22:00:18.987000,L7,337.43,375.11,386.53,395.87,,,,
2002-01-22 22:00:40.906000,L7,317.98,336.36,337.30,399.34,390.86,390.24,398.07,403.92
2002-02-23 22:00:43.620000,L7,,,,,,,,346.45
2002-03-27 22:00:37.575000,L7,,,,287.94,342.68,323.76,,
2002-04-28 22:00:38.357000,L7,298.38,333.53,,,,,,
2002-06-15 22:00:19.658000,L7,,,,325.77,331.34,316.18,323.52,
2002-07-17 22:00:08.747000,L7,276.29,325.19,349.10,342.93,342.72,340.56,338.49,355.23
2002-08-18 21:59:57.690000,L7,,345.30,354.80,345.99,350.51,343.18,350.57,358.30
2002-12-24 22:00:09.147000,L7,334.75,329.82,305.91,376.89,379.80,374.95,381.36,387.36
2003-09-14 21:49:18.766000,L5,,,,331.16,326.22,303.25,311.45,324.83
2003-09-30 21:49:30.432000,L5,,,,331.21,328.70,307.46,324.87,334.09
2003-12-03 21:50:19.675000,L5,330.47,322.91,318.97,348.49,337.85,338.09,346.39,357.76
2004-11-03 21:56:42.977000,L5,,,,320.57,320.43,306.39,319.67,335.73
2004-11-19 21:56:55.269000,L5,295.84,314.33,,,,,,
2005-02-07 21:58:15.209000,L5,319.60,321.89,288.56,,,,,
2006-05-17 22:03:57.969000,L5,,,,,,,,328.45
2006-11-25 22:06:19.953000,L5,345.27,337.44,326.52,,,,,324.39
