dates,satname,nzd0088-0000,nzd0088-0001,nzd0088-0002,nzd0088-0003
1999-09-27 22:04:48.949000,L7,389.61,380.83,379.19,369.55
1999-11-14 22:04:42.286000,L7,383.25,374.60,373.28,377.63
2000-01-17 22:04:35.821000,L7,365.38,340.29,339.40,335.42
2000-07-11 22:03:17.779000,L7,335.14,320.28,325.83,322.25
2000-08-12 22:02:54.094000,L7,359.13,307.08,313.57,316.77
2000-09-13 22:02:26.190000,L7,350.41,,,
2000-10-15 22:01:56.204000,L7,359.91,345.16,341.01,343.00
2001-01-03 22:02:12.432000,L7,353.02,335.08,330.45,351.96
2001-02-04 22:02:14.384000,L7,383.88,342.43,341.24,318.72
2001-08-15 22:00:38.680000,L7,363.35,352.95,347.54,359.97
2001-10-02 22:00:04.650000,L7,357.71,370.59,368.79,390.61
2001-12-05 22:00:18.987000,L7,346.31,308.97,315.29,
2002-01-22 22:00:40.906000,L7,375.95,357.98,353.83,352.78
2002-02-23 22:00:43.620000,L7,336.20,306.64,316.11,312.18
2002-04-28 22:00:38.357000,L7,329.77,307.28,,
2002-07-01 22:00:15.186000,L7,351.50,328.43,336.81,332.83
2002-07-17 22:00:08.747000,L7,315.97,,,
2002-08-18 21:59:57.690000,L7,364.47,352.79,353.98,347.99
2003-01-25 22:00:18.779000,L7,351.42,321.30,331.54,329.13
2003-09-14 21:49:18.766000,L5,332.74,303.27,302.42,308.73
2004-07-30 21:54:28.143000,L5,327.19,295.78,299.65,305.45
2004-09-16 21:55:41.721000,L5,330.79,302.01,284.34,297.67
2004-11-03 21:56:42.977000,L5,307.24,280.96,281.93,291.94
2004-11-19 21:56:55.269000,L5,339.23,311.92,298.09,301.15
2005-02-23 21:58:31.621000,L5,322.83,274.49,286.56,295.41
2005-03-11 21:58:44.158000,L5,332.28,296.60,301.97,311.68
2005-03-27 21:58:51.619000,L5,348.78,327.94,366.17,325.06
2005-07-17 21:59:35.576000,L5,322.57,283.97,290.35,293.63
2006-04-15 22:03:30.798000,L5,317.45,283.14,287.36,297.45
2006-05-17 22:03:57.969000,L5,317.86,273.99,288.85,295.89
2006-07-04 22:04:41.660000,L5,359.31,341.46,342.71,337.98
2008-10-29 21:55:24.451000,L5,,275.15,293.05,299.91
2009-01-01 21:56:31.615000,L5,349.11,324.01,328.29,316.58
2009-02-02 21:57:22.411000,L5,328.55,291.86,295.58,303.97
2011-01-07 22:01:44.406000,L5,308.77,274.60,283.66,291.15
2011-03-12 22:01:43.554000,L5,351.01,326.93,328.27,330.95
2011-09-04 22:00:27.603000,L5,382.00,356.55,353.35,351.45
2013-05-20 22:13:50.559000,L8,,258.59,289.87,299.15
2013-06-21 22:13:43.313000,L8,319.60,284.70,310.15,311.48
2013-09-25 22:13:41.239000,L8,299.29,269.44,280.40,276.83
2013-10-11 22:13:41.596000,L8,311.12,276.95,290.13,296.57
2013-10-27 22:13:31.854000,L8,319.63,291.55,299.59,304.22
2013-11-28 22:13:25.971000,L8,306.42,272.49,282.40,
2013-12-14 22:13:21.591000,L8,301.25,261.31,281.38,287.21
2013-12-30 22:13:13.343000,L8,326.89,290.93,306.00,307.00
2014-01-31 22:12:52.806000,L8,,258.83,275.39,275.94
2014-02-16 22:12:38.819000,L8,327.25,291.27,305.23,313.15
2014-05-23 22:11:18.694000,L8,312.08,265.96,299.33,304.17
2014-10-14 22:12:02.705000,L8,299.67,267.66,285.10,276.50
2014-10-30 22:11:58.859000,L8,315.48,286.68,298.85,300.22
2014-12-01 22:12:00.318000,L8,311.83,284.63,296.89,298.46
2015-05-10 22:10:52.487000,L8,,265.62,291.54,296.19
2015-06-27 22:11:10.298000,L8,319.83,293.91,308.72,314.18
2015-07-29 22:11:25.856000,L8,326.03,296.21,313.20,316.06
2015-12-20 22:11:57.501000,L8,342.85,308.03,312.52,316.65
2016-02-22 22:11:42.580000,L8,296.81,260.43,279.05,275.50
2016-03-09 22:11:40.902000,L8,317.95,284.72,298.30,300.90
2016-03-25 22:11:32.353000,L8,312.51,,,
2016-04-26 22:11:21.230000,L8,310.52,275.72,294.62,297.32
2016-05-12 22:11:20.683000,L8,360.32,317.71,330.21,328.48
2016-06-13 22:11:30.674000,L8,,262.33,294.96,300.70
2016-08-16 22:11:53.694000,L8,319.91,280.03,301.10,306.22
2016-11-20 22:12:09.409000,L8,323.90,297.50,303.85,307.34
2016-12-22 22:12:03.110000,L8,303.89,263.13,284.12,285.75
2017-08-19 22:11:53.133000,L8,329.36,306.63,311.97,317.83
2017-09-04 22:11:55.578000,L8,361.23,322.78,328.90,326.97
2018-01-10 22:11:54.118000,L8,,240.61,279.28,277.29
2018-01-26 22:11:45.215000,L8,332.51,304.39,312.64,315.12
2018-07-05 22:10:54.795000,L8,350.69,310.05,331.01,327.46
