dates,nzd0128-0000,nzd0128-0001,nzd0128-0002,nzd0128-0003,nzd0128-0004,nzd0128-0005,nzd0128-0006,nzd0128-0007,nzd0128-0008,nzd0128-0009,nzd0128-0010,nzd0128-0011,nzd0128-0012,nzd0128-0013,nzd0128-0014,nzd0128-0015,nzd0128-0016,nzd0128-0017,satname
2002-12-24 22:00:09+00:00,285.446,351.74600000000004,350.69666666666666,339.6016666666667,341.868,341.9599999999999,328.2083333333333,313.295,328.8442857142857,330.65000000000003,329.8742857142857,344.865,346.11,346.02666666666664,356.58666666666664,351.6385714285714,318.624,344.6983333333333,L7
2003-01-18 21:54:06+00:00,294.22999999999996,354.878,352.7966666666667,339.0057142857143,341.09166666666664,340.37166666666667,331.51666666666665,317.9483333333333,330.96,333.90142857142854,331.84142857142854,345.9283333333333,346.22499999999997,346.395,356.785,352.9614285714286,324.578,343.74500000000006,L7
2003-01-25 22:00:18+00:00,302.80571428571426,357.145,353.86285714285714,340.83,343.0,341.3014285714285,334.53428571428566,321.75,332.38124999999997,335.16499999999996,332.24625,347.59285714285716,348.70142857142855,346.7314285714286,357.8457142857143,354.27125,328.4433333333333,345.65857142857146,L7
2003-03-23 21:54:16+00:00,326.61,359.4266666666667,357.6325,344.488,350.5025,346.435,335.495,325.825,336.104,337.238,334.574,348.24,348.875,344.01,359.554,355.514,333.92999999999995,347.456,L7
2003-03-30 22:00:31+00:00,325.48199999999997,359.3225,356.656,343.80333333333334,350.698,346.46000000000004,337.41999999999996,326.884,336.01500000000004,337.47,334.72333333333336,353.02799999999996,350.27,345.474,359.60999999999996,355.58,336.39399999999995,348.6166666666666,L7
2003-05-10 21:54:22+00:00,325.48199999999997,359.3225,352.0775,338.58600000000007,346.79499999999996,341.6675,333.065,321.9066666666667,321.895,325.445,330.536,353.02799999999996,350.27,345.474,350.6483333333333,346.1116666666667,329.47666666666663,337.0266666666667,L7
2003-05-26 21:54:19+00:00,325.48199999999997,353.136,348.674,338.58600000000007,346.79499999999996,341.6675,330.03999999999996,318.55,319.8942857142857,320.4085714285714,328.48833333333334,353.02799999999996,350.27,345.474,350.6483333333333,344.38,325.13142857142856,334.5057142857143,L7
2003-07-21 21:42:09+00:00,337.6033333333333,353.27500000000003,349.65250000000003,345.16666666666674,349.99,344.7466666666667,332.62,320.558,319.55,319.852,330.8575,361.2966666666666,357.59999999999997,350.1266666666667,353.53249999999997,346.6333333333334,327.4166666666667,332.8316666666667,L5
2003-08-06 21:42:27+00:00,329.275,337.9325,346.1166666666666,334.8633333333333,347.76,343.68000000000006,326.944,316.64000000000004,315.394,314.6,330.33500000000004,363.155,352.84,347.9533333333334,350.74750000000006,343.40000000000003,323.81166666666667,327.36333333333334,L5
2003-08-13 21:48:45+00:00,329.275,337.9325,346.1166666666666,334.8633333333333,347.76,343.68000000000006,325.105,312.47333333333336,315.445,311.38666666666666,328.95200000000006,354.78333333333336,347.115,347.9533333333334,348.576,342.0214285714286,322.2757142857143,325.0571428571429,L5
2003-09-14 21:49:18+00:00,329.275,337.9325,343.5675,328.635,347.76,343.68000000000006,325.105,310.3057142857143,315.10571428571427,310.8828571428571,327.69166666666666,350.52500000000003,343.962,345.22249999999997,348.25333333333333,341.16875000000005,321.2525,323.09375,L5
2003-09-30 21:49:30+00:00,,317.75,335.49,316.32000000000005,,,316.534,299.6666666666667,307.40166666666664,299.796,321.63800000000003,335.3833333333334,333.6575,335.31333333333333,340.898,335.42285714285714,312.7728571428571,314.58714285714285,L5
2003-10-25 21:43:40+00:00,,317.75,335.49,316.32000000000005,,,316.534,299.6666666666667,307.40166666666664,299.796,321.63800000000003,335.3833333333334,346.06,344.65,346.785,340.13,319.32,314.58714285714285,L5
2003-11-17 21:50:09+00:00,,317.75,335.49,316.32000000000005,,,317.845,300.196,320.8383333333333,314.206,321.63800000000003,344.8375,346.06,344.65,356.78833333333336,342.10571428571427,322.81,315.66,L5
2003-12-12 21:44:10+00:00,341.47,332.96500000000003,344.255,325.58666666666664,316.96,,322.8175,305.25200000000007,324.19666666666666,321.294,325.918,347.916,348.99333333333334,347.12800000000004,358.4585714285714,345.32000000000005,329.0628571428571,318.68,L5
2004-04-18 21:45:25+00:00,325.73,348.61,346.375,339.68,250.0,,329.705,322.72,338.35333333333335,339.1433333333334,340.07,362.6366666666666,373.06,362.68666666666667,375.8075,362.7133333333333,349.82,336.98,L5
2004-05-04 21:45:52+00:00,325.73,344.3766666666667,339.16,318.97,221.08333333333334,,322.52666666666664,312.90000000000003,333.795,332.6275,337.26,358.36,355.7733333333333,354.6333333333334,370.18,353.1966666666667,337.0833333333333,333.4733333333333,L5
2004-05-20 21:46:20+00:00,325.73,344.3766666666667,339.16,318.97,221.08333333333334,,317.0675,308.125,323.0725,323.5333333333333,334.85749999999996,350.32250000000005,355.7733333333333,354.6333333333334,362.07,353.1966666666667,337.0833333333333,327.6925,L5
