dates,satname,nzd0113-0000,nzd0113-0001,nzd0113-0002,nzd0113-0003,nzd0113-0004,nzd0113-0005,nzd0113-0006,nzd0113-0007,nzd0113-0008,nzd0113-0009,nzd0113-0010,nzd0113-0011,nzd0113-0012,nzd0113-0013,nzd0113-0014,nzd0113-0015,nzd0113-0016,nzd0113-0017,nzd0113-0018,nzd0113-0019,nzd0113-0020,nzd0113-0021,nzd0113-0022,nzd0113-0023,nzd0113-0024,nzd0113-0025,nzd0113-0026,nzd0113-0027,nzd0113-0028,nzd0113-0029,nzd0113-0030,nzd0113-0031,nzd0113-0032,nzd0113-0033,nzd0113-0034,nzd0113-0035,nzd0113-0036,nzd0113-0037,nzd0113-0038,nzd0113-0039,nzd0113-0040,nzd0113-0041,nzd0113-0042,nzd0113-0043,nzd0113-0044,nzd0113-0045,nzd0113-0046,nzd0113-0047,nzd0113-0048,nzd0113-0049,nzd0113-0050,nzd0113-0051,nzd0113-0052,nzd0113-0053,nzd0113-0054,nzd0113-0055,nzd0113-0056,nzd0113-0057,nzd0113-0058,nzd0113-0059,nzd0113-0060,nzd0113-0061,nzd0113-0062,nzd0113-0063,nzd0113-0064,nzd0113-0065,nzd0113-0066,nzd0113-0067,nzd0113-0068,nzd0113-0069,nzd0113-0070,nzd0113-0071,nzd0113-0072,nzd0113-0073,nzd0113-0074,nzd0113-0075,nzd0113-0076,nzd0113-0077,nzd0113-0078,nzd0113-0079,nzd0113-0080,nzd0113-0081,nzd0113-0082,nzd0113-0083,nzd0113-0084,nzd0113-0085,nzd0113-0086,nzd0113-0087,nzd0113-0088,nzd0113-0089,nzd0113-0090,nzd0113-0091,nzd0113-0092,nzd0113-0093,nzd0113-0094,nzd0113-0095,nzd0113-0096,nzd0113-0097,nzd0113-0098,nzd0113-0099,nzd0113-0100,nzd0113-0101,nzd0113-0102,nzd0113-0103,nzd0113-0104,nzd0113-0105,nzd0113-0106,nzd0113-0107,nzd0113-0108,nzd0113-0109,nzd0113-0110,nzd0113-0111,nzd0113-0112,nzd0113-0113,nzd0113-0114,nzd0113-0115,nzd0113-0116,nzd0113-0117,nzd0113-0118
2000-07-20 21:56:59.837000,L7,,,287.90,541.05,514.14,537.45,432.49,418.96,,,382.76,237.80,280.72,373.79,364.18,423.28,305.60,344.33,282.23,290.01,294.09,324.63,301.44,315.77,356.67,362.01,312.77,,,379.57,317.19,,285.52,252.73,256.79,240.37,298.55,365.66,272.82,,,,,201.49,241.50,306.27,303.85,322.14,290.46,249.45,242.32,316.00,263.83,231.91,242.27,255.20,242.20,242.00,395.24,411.19,342.80,372.17,313.39,244.26,239.40,243.71,226.85,238.57,240.14,241.45,235.67,238.93,224.04,225.87,225.44,217.88,220.89,234.71,223.68,222.78,239.15,218.38,202.90,218.43,200.37,183.30,187.85,208.21,208.28,209.85,212.11,212.61,218.43,231.47,228.49,207.72,,,,,,,,,,,,,,,185.73,212.98,206.77,217.80,203.49,207.41,200.01,193.59,
2000-08-12 22:02:54.094000,L7,475.92,375.62,,305.86,284.90,,,,,,,,,,,,,,,,,398.33,442.19,439.65,453.94,442.73,442.47,470.76,198.84,238.28,225.55,324.09,348.08,374.15,540.63,401.06,,,,,,,,,,,226.63,345.23,414.70,370.37,275.77,178.54,223.21,226.42,236.10,241.45,230.87,242.92,245.25,248.84,248.38,242.95,241.98,243.52,239.91,244.14,251.83,242.25,232.26,209.75,234.83,232.32,226.32,226.98,225.80,208.70,215.25,237.27,225.04,220.00,236.63,207.98,202.39,218.31,199.55,176.10,190.03,207.14,200.57,209.95,181.90,212.94,213.71,231.38,226.70,203.70,,,,,,,,,,,,,,,183.22,211.77,204.95,213.46,199.41,207.11,197.24,198.93,
2000-09-13 22:02:26.190000,L7,,384.46,368.45,377.55,220.23,216.33,217.38,194.45,178.11,377.01,367.08,222.86,238.27,261.59,264.01,298.31,313.31,349.33,327.86,334.34,323.15,334.08,303.67,321.37,303.08,289.15,295.45,253.84,287.28,324.89,331.82,418.11,465.58,520.98,502.02,455.97,425.80,315.74,227.84,363.20,431.98,454.62,461.52,552.39,280.08,523.46,468.59,325.04,362.28,391.25,387.39,379.40,347.57,338.02,348.09,339.47,348.74,349.88,351.08,346.00,337.70,392.92,359.00,335.82,335.03,347.27,331.04,346.93,306.31,319.44,325.61,319.55,304.66,294.86,286.20,247.32,,270.69,288.24,324.02,297.27,289.23,303.15,326.54,338.48,347.02,285.98,296.54,301.95,379.76,296.00,327.81,310.36,313.95,318.74,358.19,308.74,303.43,311.35,285.57,383.16,385.86,370.83,328.64,332.41,326.85,328.70,349.49,331.36,323.42,254.94,259.01,266.03,260.13,239.44,244.39,241.61,283.31,308.83
2000-10-15 22:01:56.204000,L7,220.95,282.44,374.72,481.13,489.67,434.56,272.60,488.57,191.63,,202.44,237.69,237.77,265.98,267.06,292.43,321.01,347.92,347.34,334.78,336.06,326.91,322.12,325.05,311.79,323.61,317.60,292.30,316.63,374.11,309.92,307.45,302.88,483.40,378.85,447.16,406.07,392.95,424.78,283.33,,,,535.26,475.71,419.40,341.92,238.58,210.92,224.64,282.85,306.25,305.67,307.27,316.98,328.92,319.39,312.24,330.48,320.96,332.26,328.73,314.96,323.75,329.47,324.80,329.02,323.85,311.91,328.09,301.36,305.33,309.65,313.31,288.36,313.17,362.75,486.86,484.95,508.15,224.90,172.80,444.52,454.75,376.11,364.17,314.00,319.91,297.25,320.20,284.68,222.87,224.88,232.76,240.87,216.58,181.51,314.07,527.05,190.87,203.82,228.80,236.78,234.94,250.70,264.61,273.52,266.31,241.71,225.14,194.41,269.02,255.42,266.48,267.19,260.42,256.71,246.39,251.30
2000-12-11 21:56:00.959000,L7,525.93,221.74,211.64,208.06,223.87,228.93,220.93,216.58,175.50,173.94,211.06,327.84,338.77,329.35,292.72,247.24,232.19,254.27,269.26,277.78,284.47,273.25,269.55,285.58,301.23,264.96,268.75,270.16,265.97,254.57,251.14,235.64,256.73,245.03,241.47,234.84,235.01,181.57,,168.69,526.87,214.06,343.34,322.25,247.10,321.88,,292.26,299.05,369.49,294.03,300.05,347.15,322.50,359.51,336.89,336.82,354.23,337.94,349.18,343.28,343.65,335.34,338.11,350.90,338.99,345.44,336.09,340.29,340.67,350.56,372.21,310.56,332.69,321.21,329.34,335.25,321.72,327.01,323.41,347.15,322.07,347.08,329.28,340.56,351.16,336.60,297.29,348.52,341.32,346.14,331.53,397.85,442.06,489.31,454.86,512.85,,,499.28,508.40,,,,,485.31,399.29,386.98,536.84,,,,489.60,358.69,315.55,342.37,307.57,301.55,331.02
2000-12-27 21:56:05.061000,L7,,,189.69,178.22,186.61,209.58,189.08,176.21,,,,221.62,230.04,255.03,252.37,270.37,284.08,348.01,214.76,497.70,525.06,,,448.99,388.76,486.44,483.34,542.99,253.22,270.81,283.38,254.07,288.87,270.00,304.82,304.13,289.91,279.52,276.13,255.16,295.50,290.17,290.92,501.58,295.16,246.93,207.90,237.64,231.45,243.08,311.18,327.58,412.53,483.09,473.59,291.82,321.26,293.85,320.54,459.83,459.70,454.24,528.93,507.36,466.53,244.32,329.34,309.45,275.56,350.39,349.63,492.30,,,,,268.52,265.12,269.97,277.66,274.92,243.07,296.41,463.42,544.83,305.18,,,,,473.01,537.18,,,,527.29,309.24,268.39,264.49,,,,,,,,,,,,180.00,213.15,211.18,210.99,204.73,211.10,205.18,202.41,185.97
2001-01-03 22:02:12.432000,L7,,,,,,,,,,472.86,457.10,378.75,392.36,372.83,400.63,397.22,375.11,449.34,450.15,361.54,445.43,422.33,455.54,425.72,407.42,429.49,475.80,467.19,444.38,390.82,379.84,419.70,432.05,409.11,434.09,432.12,453.49,420.68,350.90,394.06,424.18,399.55,393.84,388.36,400.57,371.29,390.49,374.47,384.88,383.23,415.85,415.15,425.78,409.73,419.95,432.59,425.55,440.59,407.31,433.62,395.19,396.21,392.17,413.97,414.53,416.70,378.41,390.93,399.03,365.14,368.58,391.40,414.62,398.04,388.14,387.45,378.58,388.50,415.84,429.43,447.61,460.67,408.67,473.32,446.92,248.68,257.00,251.34,254.88,263.94,265.01,279.21,280.42,273.55,281.47,215.70,284.24,278.81,279.10,270.05,209.91,261.58,272.37,269.76,262.84,270.52,266.36,266.16,261.98,245.53,255.43,247.55,253.64,256.55,258.51,260.02,263.02,256.36,246.13
2001-03-01 21:55:57.624000,L7,,,,,,,,,,,,379.41,372.70,330.72,339.63,329.30,332.35,307.00,277.96,271.95,262.00,,414.05,375.44,357.29,357.20,325.13,284.41,343.27,,,,,,,,346.94,376.64,324.03,336.35,316.28,,332.03,355.58,290.60,,386.12,303.56,,394.09,357.56,,198.40,219.42,377.45,395.40,223.44,238.09,236.45,231.10,236.98,234.26,234.62,236.03,230.80,239.21,230.34,237.18,226.59,199.05,222.72,225.93,215.85,220.62,224.45,206.52,211.38,233.57,219.20,220.09,235.58,209.36,203.38,216.82,202.35,171.11,313.61,326.71,318.38,340.70,340.40,372.61,340.62,340.40,368.71,368.52,,,321.06,332.58,338.94,327.54,326.82,332.24,402.94,360.28,331.94,309.72,374.81,309.45,263.30,340.51,332.28,286.52,290.80,203.79,192.73,320.73,297.36
2001-08-15 22:00:38.680000,L7,280.69,318.23,362.85,378.60,368.71,382.03,496.60,403.09,450.44,448.18,374.69,373.68,369.70,380.65,376.65,401.88,419.00,410.63,400.92,392.49,380.94,386.47,398.57,409.50,385.42,394.80,424.82,391.80,376.68,355.29,378.17,382.37,378.24,365.64,447.39,521.46,247.97,243.67,225.61,237.23,221.93,181.56,205.67,335.05,325.85,280.93,218.46,237.18,248.62,278.31,349.90,413.44,429.70,479.04,507.58,429.35,410.55,444.56,384.96,402.51,390.39,421.97,414.82,427.95,422.17,415.04,387.90,397.45,414.74,397.21,389.01,373.94,368.59,369.32,397.60,397.15,380.83,371.87,362.20,404.82,412.44,385.88,339.73,356.25,332.49,326.34,259.65,260.09,270.80,281.68,283.04,330.75,375.66,395.37,413.21,409.62,402.32,395.52,398.81,398.72,384.39,395.68,389.34,370.15,366.57,356.60,365.07,343.42,373.21,383.36,384.22,423.35,385.60,365.80,317.94,335.43,325.26,318.39,309.57
2001-08-24 21:54:24.664000,L7,,,,,,236.47,220.10,185.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.36,226.77,233.74,248.72,242.37,237.14,245.89,255.40,243.83,245.64,244.14,241.16,240.88,238.74,242.01,304.11,282.76,367.42,369.79,233.51,336.65,528.35,318.30,318.60,325.26,330.78,290.41,281.75,281.66,275.83,336.16,449.09,469.55,412.68,432.36,372.12,373.51,321.54,288.46,233.30,233.06,218.85,224.49,234.47,212.43,186.70,,,,,,228.83,189.83,205.26,211.65,201.79,220.19,218.25,,229.14,237.41,215.20,225.47,211.90,208.46,203.15,215.04,210.13
2001-09-09 21:54:12.928000,L7,,,,,,,,,,,331.72,348.83,283.76,,,,,,,,,331.60,319.04,330.29,271.63,268.37,359.29,309.90,260.03,,,,,,293.39,259.34,283.49,,,,,306.28,322.26,355.67,352.63,,,,332.48,284.26,286.81,,289.28,302.31,326.40,377.05,351.68,357.19,348.50,228.80,232.15,230.69,224.80,233.45,230.09,236.95,225.11,236.55,223.18,198.14,219.76,221.77,213.93,215.62,218.33,200.45,202.25,234.15,212.06,211.58,233.00,203.13,200.02,209.63,193.73,164.79,,202.68,190.19,195.97,182.31,205.60,201.48,203.73,213.31,195.39,353.40,347.59,351.06,350.97,332.57,,,,,,325.17,283.01,326.65,,,199.07,194.29,195.30,193.85,195.98,188.34,,
2001-09-25 21:54:04.740000,L7,,,,,,239.87,248.16,301.38,267.73,221.60,240.18,253.14,245.05,236.54,280.62,275.04,288.60,296.87,316.05,309.56,311.66,289.83,280.00,284.09,361.17,325.43,362.28,337.72,293.42,292.46,289.28,304.35,293.25,,,,317.51,308.12,294.50,296.31,276.41,242.79,233.58,261.11,254.36,248.49,268.26,,271.38,282.31,295.76,305.28,298.92,311.44,324.68,325.89,307.48,313.88,325.53,320.61,310.92,315.71,313.21,307.99,311.44,306.10,227.24,240.71,230.00,203.03,225.23,227.39,218.09,220.91,224.86,205.46,208.29,236.39,216.78,218.62,239.09,205.10,200.46,210.33,198.96,169.79,,209.41,474.98,390.49,453.15,353.43,353.60,417.08,214.44,197.10,,,326.01,352.88,433.66,277.51,292.27,288.88,492.82,531.58,323.70,340.70,352.99,355.12,484.70,350.49,200.72,202.92,197.17,207.41,211.19,262.88,254.74
2001-10-02 22:00:04.650000,L7,,,250.47,240.17,337.28,230.03,,,,,453.74,378.63,287.90,275.52,266.60,253.54,265.99,264.29,276.64,299.32,435.89,428.31,506.88,395.16,531.65,533.88,,430.91,323.42,551.81,358.71,263.93,261.35,192.95,192.65,,,,,,,,,,361.53,250.33,405.09,488.51,231.14,236.59,418.66,292.84,204.57,232.94,262.60,233.40,236.46,415.62,443.41,415.09,409.72,235.97,236.23,239.75,235.22,242.61,232.65,239.26,231.16,208.86,229.30,227.67,224.34,223.30,226.46,209.14,215.18,242.80,219.06,218.09,239.95,213.07,207.88,216.60,208.92,208.89,308.95,477.84,481.33,530.22,432.94,441.40,440.10,345.38,354.57,,,,548.02,468.33,412.98,397.22,486.70,430.66,404.16,337.94,372.00,330.51,240.85,542.79,249.15,,,,467.96,457.47,352.57,359.61,324.10
