dates,nzd0367-0000,nzd0367-0001,nzd0367-0002,nzd0367-0003,nzd0367-0004,nzd0367-0005,nzd0367-0006,nzd0367-0007,nzd0367-0008,nzd0367-0009,nzd0367-0010,nzd0367-0011,nzd0367-0012,nzd0367-0013,nzd0367-0014,nzd0367-0015,nzd0367-0016,nzd0367-0017,nzd0367-0018,nzd0367-0019,nzd0367-0020,nzd0367-0021,nzd0367-0022,nzd0367-0023,nzd0367-0024,nzd0367-0025,nzd0367-0026,nzd0367-0027,nzd0367-0028,nzd0367-0029,nzd0367-0030,nzd0367-0031,nzd0367-0032,nzd0367-0033,nzd0367-0034,nzd0367-0035,nzd0367-0036,nzd0367-0037,nzd0367-0074,nzd0367-0075,nzd0367-0076,nzd0367-0077,nzd0367-0078,nzd0367-0079,nzd0367-0080,nzd0367-0081,nzd0367-0069,nzd0367-0070,nzd0367-0071,nzd0367-0067,nzd0367-0068,nzd0367-0072,nzd0367-0073,nzd0367-0066,nzd0367-0062,nzd0367-0063,nzd0367-0064,nzd0367-0065,nzd0367-0059,nzd0367-0060,nzd0367-0061,nzd0367-0038,nzd0367-0039,nzd0367-0040,nzd0367-0041,nzd0367-0042,nzd0367-0043,nzd0367-0044,nzd0367-0045,nzd0367-0046,nzd0367-0047,nzd0367-0048,nzd0367-0049,nzd0367-0050,nzd0367-0051,nzd0367-0052,nzd0367-0053,nzd0367-0054,nzd0367-0055,nzd0367-0056,nzd0367-0057,nzd0367-0058,satname
1999-08-26 22:06:20+00:00,373.8,,,,,,,,,,,,,,,,,,197.59,,,,,,,234.07,250.17,,,,,300.57,,,,,200.58,178.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-13 22:06:24+00:00,383.195,432.63,,,,,,,,,,,368.4,,,,285.79,,196.13,273.71,224.47,229.97,,,,218.375,233.135,222.17,258.05,,267.9,281.63,,240.97,247.82,249.45,200.58,178.21,,,,347.16,,,417.48,,190.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-11-21 22:12:24+00:00,384.2033333333334,419.345,407.53,415.01,418.78,417.7,,,,367.19,328.79,316.77,349.86,348.8,343.42,,301.515,,196.13,273.71,233.115,231.69,,,234.71,228.45000000000002,228.74666666666667,220.23,258.065,253.14,262.51,271.02666666666664,,244.235,247.82,249.45,184.815,178.21,,,,347.16,179.75,211.47,415.51,,183.82,,203.14,,,224.13,242.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-07 22:12:29+00:00,384.2033333333334,392.85999999999996,398.32,411.4,411.51,417.7,402.33,373.82,,358.775,328.79,316.77,349.86,348.40999999999997,332.38,,301.515,167.67,207.24,255.855,229.39666666666668,228.57666666666668,,,228.05,226.85750000000002,227.0025,215.92666666666665,263.53,252.01,260.02,271.02666666666664,,244.235,247.82,249.45,184.815,178.21,259.12,,,347.16,179.75,203.79500000000002,415.51,,183.82,,184.985,,,221.61,247.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-03-21 22:06:01+00:00,389.4050000000001,384.23,405.15333333333336,407.76,414.70666666666665,423.2,403.04499999999996,388.9,,362.16333333333336,322.65,309.345,334.54333333333335,326.54,325.06666666666666,,301.515,167.67,212.065,255.855,229.39666666666668,219.5925,,,237.23666666666668,228.645,217.995,217.1775,263.53,239.92,249.2825,243.61666666666667,213.11,245.49333333333334,241.095,229.45499999999998,183.195,181.66,259.12,,,347.16,179.75,203.79500000000002,415.51,265.61,183.82,,184.985,225.59,218.63,221.61,247.495,192.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-08-19 22:10:38+00:00,381.44,366.87,418.82,400.48,421.1,428.7,403.76,403.98,,327.22,316.51,316.235,278.865,263.34000000000003,310.44,,,161.27,,,196.62,190.72,,,255.61,241.22,214.14,220.93,272.07,215.74,217.07,213.185,195.29500000000002,248.01,234.37,209.46,197.34,181.66,,,,,183.79,223.79,,269.24,,,,225.59,218.63,,,192.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-11-07 22:09:53+00:00,381.44,378.63,,,,,,,,285.5,,330.55,253.82,243.88,,263.46,,161.27,,210.61,196.62,188.24,,,,264.04,252.91,253.87,258.66499999999996,246.63,242.3,221.24,198.02499999999998,204.2,,,,,247.64,240.37,257.33,,183.79,223.79,,272.87,,230.19,169.64,,238.37,191.75,220.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-01-10 22:10:03+00:00,384.03999999999996,386.12999999999994,409.99,405.09,415.55,402.37,396.56,364.84,,285.5,,330.55,253.82,259.53499999999997,281.01,263.46,,161.27,,210.61,196.62,188.24,,302.34,287.17,265.9150000000001,261.16,255.325,258.11999999999995,256.185,248.385,231.49666666666667,212.35,208.945,,,,,229.89,249.48,273.835,,184.58499999999998,223.79,,271.685,193.61,217.525,196.505,,238.37,232.93,232.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-02-20 22:03:48+00:00,386.64,391.49499999999995,409.99,405.09,415.55,402.37,396.56,364.84,,,,,,275.19,281.01,263.46,325.47,,,210.61,,187.68,,302.34,287.17,265.9150000000001,261.16,255.325,251.14499999999995,256.185,248.385,243.23000000000002,229.78499999999997,208.945,,,,,229.89,270.81333333333333,292.51666666666665,361.71,185.38,223.79,,270.5,216.24,231.30333333333337,221.40333333333334,206.4,231.64499999999998,253.46,232.735,193.33,169.91,171.78,178.5,181.71,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-03-08 22:03:44+00:00,386.64,391.49499999999995,409.99,405.09,415.55,402.37,396.56,364.84,274.45,248.49,,,,275.19,281.01,263.46,325.47,,,210.61,,187.68,,302.34,287.17,265.9150000000001,261.16,255.325,251.14499999999995,256.185,248.385,243.23000000000002,229.78499999999997,208.945,,,,,229.89,270.81333333333333,292.51666666666665,361.71,185.38,223.79,,270.5,216.24,231.30333333333337,221.40333333333334,206.4,231.64499999999998,253.46,232.735,193.33,169.91,171.78,178.5,181.71,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-03-31 22:09:43+00:00,386.64,391.49499999999995,368.445,405.09,415.55,402.37,396.56,364.84,270.055,251.22500000000002,,,221.11,275.19,281.01,263.46,325.47,,,210.61,,187.68,,302.34,287.17,265.9150000000001,261.16,255.325,251.14499999999995,256.185,248.385,243.23000000000002,229.78499999999997,208.945,,,,,229.89,270.81333333333333,292.51666666666665,361.71,185.38,223.79,,270.5,216.24,231.30333333333337,221.40333333333334,206.4,231.64499999999998,253.46,232.735,193.33,169.91,171.78,178.5,181.71,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-08-15 22:02:14+00:00,,,328.345,,,,,,266.58,253.79,,,202.985,,,,325.47,,,,,,,,,,,,,,,,,,,,,,,313.48,329.88,361.71,,,,,238.87,258.86,271.2,206.4,224.92,294.52,,193.33,169.91,171.78,178.5,181.71,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-08-31 22:02:05+00:00,,375.33,340.85999999999996,397.3,399.05,398.92,382.07,357.54,284.87,269.1,301.25,,202.985,255.85,,227.61,,,,231.57,206.6,224.87,233.98,281.6,309.81,290.94,286.99,292.59,283.99,262.03,,250.07,265.72,,,,,,,,,,190.63,227.09,,286.04,209.52,221.0,239.58,,,257.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-11-03 22:01:46+00:00,383.87,382.445,367.3233333333333,404.265,407.20000000000005,411.095,402.28,380.845,326.3833333333333,310.56,301.25,313.07,184.86,255.85,,227.61,,,,231.57,200.695,212.14499999999998,216.63,281.6,262.32,290.94,286.99,292.59,283.99,262.03,,250.07,224.145,220.96,,,,,,294.89,321.55,,190.63,227.09,407.36,282.75,204.68,210.115,221.62,,,234.605,208.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-12-21 22:02:05+00:00,383.87,382.445,367.3233333333333,404.265,407.20000000000005,411.095,402.28,380.845,326.3833333333333,310.56,301.25,313.07,184.86,255.85,309.36,227.61,,,,231.57,200.695,205.74333333333334,216.63,281.6,240.85333333333332,290.94,286.99,303.26,303.01,262.03,,250.07,224.145,220.96,,,,,,294.89,321.55,,190.63,227.09,407.36,282.75,204.68,210.115,221.62,,211.13,234.605,208.55,179.8,,185.59,197.86,220.7,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-02-14 22:08:29+00:00,395.575,382.445,386.09000000000003,404.265,407.20000000000005,411.095,402.28,380.845,359.76,336.38,301.25,313.07,,255.85,309.36,227.61,,,,231.57,200.695,205.74333333333334,216.63,281.6,240.85333333333332,290.94,286.99,303.26,303.01,262.03,,250.07,224.145,220.96,,219.41,,,,296.555,328.225,363.19,190.63,227.09,410.44,282.75,204.68,210.115,221.62,,211.13,235.10333333333332,208.55,179.8,,185.59,197.86,220.7,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-10-05 22:01:07+00:00,402.7,427.37,396.14,402.6,404.8,409.78,393.86,375.95,361.57,339.61,312.99,282.27,,256.32,312.56,,,,,266.51,,,262.47,281.92,219.05,247.2,248.4,221.99,241.84,276.23,282.03,284.21,,,235.33,216.95,212.27,,,,,293.66,187.57,228.26,268.89,294.89,219.7,228.86,222.76,178.01,203.72,196.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2003-02-01 22:08:09+00:00,402.7,427.37,379.885,397.96500000000003,403.375,410.54999999999995,393.765,378.90999999999997,365.71000000000004,339.8,294.365,285.79999999999995,,257.08,312.56,253.53,,,208.77,266.51,217.63,226.44,244.88,251.53,221.35500000000002,235.425,232.85000000000002,219.16500000000002,229.51,247.56,253.96999999999997,248.32999999999998,213.97,198.05,205.885,216.95,212.27,,,,,293.66,187.57,228.26,268.89,294.89,219.7,228.86,222.76,178.01,203.72,196.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
