dates,satname,nzd0075-0000,nzd0075-0009,nzd0075-0010,nzd0075-0011,nzd0075-0012,nzd0075-0013,nzd0075-0014,nzd0075-0015,nzd0075-0016,nzd0075-0017,nzd0075-0018,nzd0075-0001,nzd0075-0002,nzd0075-0003,nzd0075-0004,nzd0075-0005,nzd0075-0006,nzd0075-0007,nzd0075-0008
1999-08-26 22:04:44.971000,L7,433.00,399.67,402.02,400.99,396.32,391.52,383.68,387.90,392.54,377.76,358.91,,,,,,,,
1999-09-27 22:04:48.949000,L7,360.74,393.92,407.18,396.87,399.80,395.82,399.90,339.43,333.46,313.69,287.34,319.56,381.46,390.24,401.20,345.08,359.36,361.23,397.66
1999-11-14 22:04:42.286000,L7,360.98,396.80,407.57,401.72,409.06,407.79,399.06,404.46,401.38,372.28,299.83,361.58,385.90,388.72,394.78,358.32,357.12,363.54,359.65
2000-01-01 22:04:37.439000,L7,,357.62,409.03,405.10,401.99,406.38,397.86,399.70,390.69,384.33,371.64,,,,,405.06,366.81,372.73,367.88
2000-01-17 22:04:35.821000,L7,403.45,399.87,407.43,405.44,411.66,393.62,399.17,403.21,400.97,392.09,371.21,403.85,379.67,390.32,,,402.59,369.08,414.51
2000-05-24 22:03:46.662000,L7,356.16,359.98,359.95,353.73,361.87,357.98,351.76,359.81,347.14,323.51,315.51,383.75,375.24,379.22,379.20,356.49,371.82,366.58,362.07
2000-07-11 22:03:17.779000,L7,,400.16,411.37,393.75,411.22,408.07,364.06,357.12,410.17,401.88,340.32,,,,,403.55,412.46,400.09,397.18
2000-08-12 22:02:54.094000,L7,303.23,347.93,346.79,345.61,346.21,347.89,346.75,340.01,340.37,315.95,284.67,380.55,363.00,374.01,,363.35,366.51,363.60,359.42
2000-09-13 22:02:26.190000,L7,424.03,387.80,391.99,378.29,397.32,391.13,385.44,388.58,389.98,340.95,341.65,,,,,,,,
2000-10-15 22:01:56.204000,L7,384.91,354.14,349.19,346.76,359.88,359.12,346.45,345.81,342.18,321.98,293.61,382.23,375.77,379.41,359.83,353.95,390.46,372.32,364.27
2001-01-03 22:02:12.432000,L7,363.48,335.77,337.56,334.07,342.54,331.95,329.87,334.51,334.33,,,329.35,323.28,324.89,349.50,342.49,352.51,350.42,355.23
2001-03-24 22:01:59.719000,L7,427.31,,,,,,,,,,,,,,,,,,
2001-06-12 22:01:24.980000,L7,,342.91,334.39,327.16,336.43,332.30,323.31,320.63,,,,360.45,354.63,363.68,,327.45,356.50,354.02,347.97
2001-08-15 22:00:38.680000,L7,,394.35,349.96,344.48,386.44,397.98,417.75,415.91,403.45,392.00,364.88,,,,385.97,403.33,418.06,411.90,393.25
2001-10-02 22:00:04.650000,L7,,350.00,402.74,388.67,396.67,405.89,385.01,384.15,341.69,318.22,,,,,,,,,
2001-12-05 22:00:18.987000,L7,359.12,338.55,342.39,330.96,342.16,340.87,330.67,338.98,328.19,,,356.68,358.40,357.56,350.61,346.88,362.00,363.50,354.71
2001-12-21 22:00:29.925000,L7,431.68,367.94,,,,,,,435.54,406.71,390.73,,,,,,,379.48,387.37
2002-01-06 22:00:31.992000,L7,366.18,361.19,357.33,344.65,355.55,354.50,343.76,385.93,323.84,327.43,289.01,363.28,381.14,387.59,384.65,355.06,362.98,363.14,364.28
2002-01-22 22:00:40.906000,L7,366.74,396.59,404.45,396.36,396.38,391.09,397.19,402.94,368.31,344.97,359.76,392.95,388.91,392.54,397.94,388.26,398.93,397.18,404.34
2002-02-23 22:00:43.620000,L7,,409.66,408.08,405.71,406.10,,,407.50,407.36,390.79,382.84,,379.53,386.28,390.89,364.75,375.88,372.46,370.48
2002-04-28 22:00:38.357000,L7,,350.21,349.74,344.31,400.39,394.73,378.09,380.90,376.34,368.17,346.75,,,,,321.51,381.56,362.26,363.11
2002-06-15 22:00:19.658000,L7,358.37,407.32,409.43,,,416.02,410.83,419.04,387.87,355.34,328.12,396.62,381.16,397.90,395.62,395.66,406.32,406.59,387.40
2002-07-01 22:00:15.186000,L7,275.70,,413.42,398.73,406.53,394.81,396.43,394.60,380.33,363.98,315.79,393.29,381.30,383.93,396.22,371.15,375.13,413.59,412.50
2002-07-17 22:00:08.747000,L7,,353.21,346.21,345.21,351.91,346.11,344.95,372.28,372.63,350.81,288.44,373.57,370.16,375.22,382.88,354.45,364.86,364.80,357.89
2002-08-02 22:00:01.321000,L7,280.79,353.49,349.53,337.47,350.43,348.16,340.76,328.56,396.57,333.05,270.95,377.72,369.65,386.02,408.47,356.70,358.78,363.84,359.50
2002-08-18 21:59:57.690000,L7,,401.07,397.09,343.33,388.03,395.47,398.93,434.34,418.39,389.97,358.10,361.45,352.53,379.81,378.28,366.55,414.14,400.56,399.55
2002-10-21 21:59:12.494000,L7,364.10,339.76,305.29,379.44,,,,,,,,369.95,355.86,350.36,359.60,337.91,368.39,345.08,371.03
2002-10-21 21:59:36.443000,L7,369.09,340.83,305.05,377.18,,,,,,,,367.94,381.52,349.48,359.80,338.93,367.69,345.61,368.19
2002-11-06 21:59:41.879000,L7,379.22,354.02,347.98,340.60,349.61,346.07,402.18,,,,,376.58,363.90,369.40,367.12,349.99,373.87,369.27,361.56
2003-07-28 21:48:28.960000,L5,351.49,342.92,345.93,335.47,334.00,335.34,341.79,347.02,296.93,,,368.17,364.15,372.92,378.19,353.95,374.56,370.82,353.61
2003-09-14 21:49:18.766000,L5,,,,410.67,410.37,411.21,405.73,406.79,400.80,397.00,371.91,,,,,,,,
