dates,nzd0528-0000,nzd0528-0001,nzd0528-0002,nzd0528-0003,nzd0528-0004,nzd0528-0017,nzd0528-0018,nzd0528-0019,nzd0528-0020,nzd0528-0021,nzd0528-0022,nzd0528-0023,nzd0528-0005,nzd0528-0006,nzd0528-0007,nzd0528-0008,nzd0528-0009,nzd0528-0010,nzd0528-0011,nzd0528-0012,nzd0528-0013,nzd0528-0014,nzd0528-0015,nzd0528-0016,nzd0528-0024,nzd0528-0025,nzd0528-0026,nzd0528-0027,nzd0528-0028,nzd0528-0032,nzd0528-0033,nzd0528-0034,nzd0528-0035,nzd0528-0036,nzd0528-0037,nzd0528-0038,nzd0528-0039,nzd0528-0040,nzd0528-0041,nzd0528-0042,nzd0528-0043,nzd0528-0044,nzd0528-0045,nzd0528-0046,nzd0528-0047,nzd0528-0048,nzd0528-0049,nzd0528-0050,nzd0528-0053,nzd0528-0054,nzd0528-0055,nzd0528-0056,nzd0528-0029,nzd0528-0030,nzd0528-0031,nzd0528-0051,nzd0528-0052,satname
2003-08-29 21:51:49+00:00,,,352.06,350.09,,,,,,,,,,,350.615,364.71,,,,,,,,,342.45,345.76,,,,,,358.84,363.185,354.235,355.46500000000003,360.555,354.61,357.86,352.825,340.515,337.71,337.32,336.86,341.15999999999997,340.04499999999996,338.5,345.51,340.48,354.56,,,339.32,357.59,359.06,354.84000000000003,349.72,355.51,L5
2003-10-07 21:58:35+00:00,,,352.06,350.09,,,,,,,,,,,350.615,364.71,,,,,,,,,342.45,345.76,,337.38,,,366.76,362.13,363.62999999999994,355.21000000000004,357.1133333333334,360.555,354.61,357.86,352.825,344.96000000000004,341.1066666666666,341.51,344.27,344.40000000000003,343.8533333333333,342.15000000000003,351.16999999999996,348.225,354.56,,364.01,350.83500000000004,357.59,362.40999999999997,356.33,349.72,356.03,L5
2003-12-26 21:59:30+00:00,,,352.06,350.09,,,,,,,,,,,350.615,364.71,,,,,,,,,342.45,345.76,,337.38,,,364.305,360.75666666666666,361.515,355.21000000000004,357.1133333333334,360.555,354.61,357.86,355.2033333333333,346.6725,343.10249999999996,341.51,346.6233333333333,347.21500000000003,346.5225,344.8775,351.16999999999996,348.225,356.78999999999996,357.03,360.935,353.80333333333334,357.59,362.40999999999997,356.33,349.72,355.4,L5
2004-05-02 22:00:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.85,358.01,355.17,,,,,,359.96,351.81,349.09,,351.33,355.66,354.53,352.565,,352.5,359.02,358.745,361.595,354.565,,,,,353.51,L5
2004-05-18 22:01:26+00:00,,,340.94,334.89,,,,,,,,346.44,370.6,365.31,339.82,369.14,,,,,,,,,333.47,340.09,345.23,337.93,,,361.85,358.01,355.75,340.01,,,361.41,359.48,358.275,351.81,349.09,,349.53999999999996,354.62,351.855,351.03,,345.66499999999996,359.02,357.72333333333336,358.49,347.7266666666667,354.35,342.18,333.06,,353.51,L5
2004-06-12 21:55:59+00:00,,,338.555,330.895,,,,,,,338.48,340.58500000000004,370.6,365.31,335.4,369.485,,,,,349.94,,344.35,347.88,329.185,335.455,342.63,342.595,,,361.85,358.01,354.1933333333333,322.315,,,362.865,359.48,357.76,351.39,345.54499999999996,339.47,349.53,353.6233333333333,339.03666666666663,341.59,359.59,342.19,357.365,358.84499999999997,350.895,341.4225,353.52,340.32,330.54499999999996,,353.73,L5
2004-07-30 21:57:15+00:00,,,336.4633333333333,329.86999999999995,322.15,,,,,,338.48,340.58500000000004,356.345,353.32,334.07666666666665,364.3766666666667,,350.93,349.03,345.77,338.16499999999996,338.2,338.525,337.66999999999996,329.185,335.455,342.63,342.595,,286.07,,,353.7049999999999,322.315,,,362.865,359.48,356.65999999999997,350.97,342.0,339.47,348.63,352.6049999999999,331.28999999999996,337.76666666666665,359.59,342.19,355.71,359.45,348.57333333333327,335.31666666666666,345.81333333333333,334.6933333333333,330.54499999999996,,353.95,L5
2005-01-13 22:06:52+00:00,,,332.28,327.82,322.15,,,,,,,,342.09,341.33,331.43,354.16,,350.93,349.03,345.77,326.39,338.2,332.7,327.46,,,,,,286.07,,,,,,,,,,,,,,,,,,,,363.07,359.15,363.03,330.4,323.44,,370.98,365.88,L5
2005-02-14 22:07:21+00:00,,,,,,,,,,,,366.1,,,,,,,,,,,,,370.06,368.54,359.11,350.28,,,,359.63,361.83,,,355.17,361.04,359.26,355.96,345.38,339.34,341.28,348.84,355.86,355.46,353.02,360.87,368.09,367.87,366.06,363.965,367.16999999999996,,,,369.135,363.385,L5
2005-06-15 22:02:10+00:00,,,,,,311.52,314.54,339.95,301.66,350.93,325.92,351.83500000000004,,351.41,325.92,,,370.98,365.79,354.12,347.93,357.17,337.14,318.12,350.35,349.555,347.975,342.47,,339.15,362.19,358.18,361.83,289.72,,356.83000000000004,360.24,357.455,353.74,347.87,341.645,341.02,346.45,350.46500000000003,351.88,339.395,358.6,350.255,359.345,361.9266666666667,363.965,367.16999999999996,344.99,340.5,,369.135,363.385,L5
2005-06-22 22:08:22+00:00,,,,329.84,,311.52,314.54,339.95,301.66,350.93,334.71000000000004,351.76666666666665,,351.41,333.595,,,370.98,365.79,354.12,350.1,357.17,333.72,337.885,344.93,344.9266666666667,347.975,340.90000000000003,,349.61,368.15,362.62000000000006,360.42999999999995,324.62,355.19,360.89000000000004,362.7266666666667,357.455,353.74,347.87,341.645,341.02,346.45,351.1466666666667,348.19,343.15333333333336,358.06666666666666,348.3766666666667,366.09999999999997,365.395,362.74333333333334,359.6466666666667,348.36,342.78999999999996,333.58,369.135,363.385,L5
2005-08-09 22:08:46+00:00,,,348.04,329.84,,311.52,314.54,339.95,301.66,350.93,334.71000000000004,351.76666666666665,371.83,351.41,342.16333333333336,,,370.98,365.79,354.12,350.1,357.17,341.48333333333335,344.28999999999996,342.79499999999996,343.9875,345.60999999999996,339.7,,356.3,367.40333333333336,362.8,361.37999999999994,328.90333333333336,355.19,360.3475,360.4075,356.32666666666665,353.23333333333335,347.05333333333334,341.6166666666666,340.31333333333333,343.80999999999995,350.59000000000003,346.15250000000003,340.385,356.205,348.63,364.3225,365.50750000000005,363.78666666666663,354.63000000000005,351.87000000000006,346.0,341.2,358.19,358.6,L5
2005-08-25 22:08:52+00:00,,,348.04,329.84,,311.52,314.54,339.95,301.66,350.93,334.71000000000004,344.59999999999997,371.83,351.41,342.16333333333336,,,370.98,365.79,354.12,350.1,357.17,341.48333333333335,344.28999999999996,333.70666666666665,335.80333333333334,338.85999999999996,336.17333333333335,,356.3,367.40333333333336,363.85666666666674,361.155,328.90333333333336,355.19,362.0733333333333,360.1966666666667,354.86,351.87,347.89000000000004,342.755,339.83,341.29499999999996,348.8333333333333,343.05,336.17333333333335,354.6499999999999,342.1433333333334,363.14000000000004,364.32666666666665,361.28999999999996,357.41,351.87000000000006,346.0,341.2,349.09,356.31,L5
2005-09-10 22:08:55+00:00,,,348.04,329.84,,311.52,314.54,339.95,301.66,350.93,334.71000000000004,344.59999999999997,371.83,351.41,342.16333333333336,,,370.98,365.79,354.12,350.1,357.17,341.48333333333335,344.28999999999996,333.70666666666665,335.80333333333334,338.85999999999996,336.17333333333335,,356.3,367.40333333333336,363.85666666666674,361.155,328.90333333333336,355.40999999999997,360.8425,359.865,356.78999999999996,353.6033333333333,347.59,342.755,339.83,342.1566666666667,348.53,343.955,336.17333333333335,354.6499999999999,342.1433333333334,364.115,365.09749999999997,363.48333333333335,359.6025,351.87000000000006,346.0,341.2,356.065,357.28499999999997,L5
2005-11-13 22:09:08+00:00,,,348.04,329.84,,311.52,314.54,339.95,301.66,350.93,334.71000000000004,344.59999999999997,371.83,351.41,342.16333333333336,,,370.98,365.79,354.12,350.1,357.17,341.48333333333335,344.28999999999996,333.70666666666665,335.80333333333334,342.07666666666665,336.1175,,356.3,367.40333333333336,363.85666666666674,364.71000000000004,336.09250000000003,355.40999999999997,362.828,362.004,356.78999999999996,353.6033333333333,347.59,342.755,339.83,342.1566666666667,348.53,343.955,336.17333333333335,354.6499999999999,342.1433333333334,364.562,366.63,363.48333333333335,359.6025,351.87000000000006,352.2475,352.26666666666665,358.8666666666666,358.6133333333333,L5
2006-04-22 22:12:36+00:00,,,,362.29,,,,,,,,,,,,,,,,,,,,,,355.53,347.765,336.19,,,366.06,364.13,368.93,357.035,367.69,368.66999999999996,368.04499999999996,366.34,362.13,349.54,342.28,345.96,347.25,349.31,351.6,347.94,353.13,358.05,368.08000000000004,371.84000000000003,369.64,366.55,364.6,368.355,368.55499999999995,365.275,363.03,L5
2006-06-02 22:07:00+00:00,,,,362.29,,,,,,,,,,,363.32,,,,,,,,,,342.49,347.09,347.485,337.985,,,366.06,364.13,364.905,356.41,367.69,366.57,365.53,366.34,362.13,349.54,342.28,344.46500000000003,345.40999999999997,348.83000000000004,351.6,350.5,355.235,358.05,372.66499999999996,369.72,372.635,366.18,362.615,357.385,355.015,364.59000000000003,364.79,L5
2006-06-25 22:13:31+00:00,,,339.28,345.75,327.47,,358.82,,,352.76,340.32,332.77,,363.08,349.22,,,,,,332.63,,327.55,347.71,334.845,340.47666666666663,345.9633333333333,337.75333333333333,,363.1,365.625,363.79499999999996,364.905,356.41,367.69,364.64,362.98,363.515,357.265,344.73,343.375,343.3233333333333,342.82,345.1033333333333,329.755,344.7133333333333,353.08,345.02,371.9766666666667,370.07,368.79333333333335,358.06666666666666,357.34999999999997,352.80333333333334,345.42333333333335,364.59000000000003,366.83500000000004,L5
2006-07-27 22:13:58+00:00,,,341.75,344.90000000000003,327.47,,358.82,,,355.395,345.16999999999996,340.725,,363.08,351.52,,,,,,332.63,,327.55,347.71,337.77,341.215,345.2475,337.78000000000003,,363.1,365.625,362.7966666666666,364.905,353.905,367.69,364.64,362.98,363.515,357.64000000000004,344.73,342.6233333333333,343.3233333333333,342.3975,344.3525,330.5133333333333,343.345,353.60749999999996,347.3833333333334,371.9766666666667,370.475,369.5725,357.94,357.575,351.8725,345.745,364.59000000000003,366.83500000000004,L5
2006-08-05 22:07:55+00:00,,,343.0,348.89,327.47,,358.82,,,358.94,350.6066666666666,343.8,,363.08,353.1825,,,,,,332.63,,327.55,347.71,336.97249999999997,343.044,345.2475,338.02000000000004,,363.1,365.34666666666664,362.975,364.72,351.1233333333333,365.695,364.3666666666666,364.17,363.8433333333333,358.38,346.31666666666666,342.9,343.2425,343.2,344.954,335.145,342.636,353.78599999999994,349.0675,372.79,371.114,369.582,360.22799999999995,357.798,355.476,349.012,367.8333333333333,368.57666666666665,L5
2006-08-28 22:14:23+00:00,,,343.0,348.89,327.47,,358.82,,,360.78249999999997,350.6066666666666,346.1725,,363.08,353.1825,,,,,,332.63,,327.55,347.71,339.896,344.9983333333333,346.354,338.02000000000004,,363.1,365.34666666666664,362.975,364.72,354.2975,365.695,364.3666666666666,363.5175,363.8433333333333,358.63199999999995,347.14250000000004,342.808,343.08000000000004,343.59999999999997,345.25666666666666,337.026,343.07666666666665,353.805,354.45799999999997,375.45799999999997,373.46166666666664,371.9866666666667,363.72166666666664,357.798,355.476,349.012,371.98,372.15250000000003,L5
2006-09-13 22:14:35+00:00,,,343.0,348.89,327.47,,358.82,,,360.78249999999997,350.6066666666666,346.1725,,363.08,353.1825,,,,,,332.63,,327.55,347.71,339.896,344.9983333333333,346.354,338.02000000000004,,363.1,365.34666666666664,362.975,364.72,354.2975,365.695,364.3666666666666,363.5175,363.8433333333333,358.63199999999995,347.62,342.68833333333333,343.1483333333333,343.7,346.9171428571429,340.5,344.5285714285714,353.805,354.45799999999997,375.45799999999997,373.46166666666664,373.3514285714286,365.40000000000003,357.798,355.476,349.012,371.98,372.15250000000003,L5
2006-10-08 22:08:40+00:00,,,343.0,348.89,327.47,,358.82,,,360.78249999999997,350.6066666666666,346.1725,,363.08,353.1825,,,,,,332.63,,327.55,347.71,339.896,344.9983333333333,346.354,338.02000000000004,,363.1,365.34666666666664,362.975,364.72,354.2975,365.695,364.3666666666666,363.5175,366.2675,359.3966666666667,349.095,343.9585714285714,343.4742857142857,344.03125,347.25875,341.5857142857143,344.54125,353.805,354.45799999999997,375.45799999999997,373.3285714285715,373.5025,367.03875,357.798,355.476,349.012,371.98,372.15250000000003,L5
2006-11-25 22:09:07+00:00,,,343.0,344.42333333333335,327.47,,358.82,,,360.78249999999997,350.6066666666666,346.1725,,363.08,353.1825,,,,,,332.63,,327.55,347.71,339.896,342.89199999999994,346.1875,338.4175,,363.1,364.99,362.7725,364.06000000000006,353.5933333333333,363.7,363.41333333333336,363.4075,365.63750000000005,359.02,348.99,344.9328571428572,344.2457142857143,344.70625,348.3875,342.5014285714286,345.5525,356.1666666666667,357.86,376.87,373.73,373.505,367.28375,356.09749999999997,352.915,345.5875,374.65500000000003,374.77250000000004,L5
2007-09-09 22:07:45+00:00,,,,,,,,,,,,,,,,,,,,,,,,,356.06,,,340.05,,,,,,,,,,,,,,348.79,347.68,352.63,349.04,352.6,364.46,366.97,374.26,375.33,375.92,375.06,,372.87,365.72,376.02,370.19,L5
2008-12-23 22:05:16+00:00,,,360.3,364.39,,,,371.41,372.55,371.48,371.57,363.37,,,,,,,,,375.75,376.83,378.84,382.05,363.49,362.51,355.07,338.17,,376.89,375.89,373.06,374.94,365.74,374.93,374.78,372.88,371.74,363.35,357.17,338.45,341.4,341.22,349.38,350.67,348.19,361.62,369.1,380.16,382.88,382.9,380.61,,,,371.48,369.83,L5
2010-10-26 22:10:38+00:00,,,346.78,,361.92,374.85,,373.36,,,,364.56,365.52,362.91,354.61,352.24,,,,361.28,361.38,360.41,,,,363.68,,,,360.0,358.76,359.7,359.5,351.17,360.74,366.27,373.56,370.81,359.12,354.88,342.04,348.25,344.56,350.52,,,,,,,369.63,360.47,,,359.94,362.41,,L5
2010-12-22 22:04:29+00:00,,,346.78,,361.92,379.46500000000003,,378.21500000000003,382.34,381.84,381.54,364.56,365.52,362.91,361.22,361.0,374.39,380.64,,372.1,361.38,370.435,381.17,,,363.68,,346.73,,368.025,365.59000000000003,366.66999999999996,370.135,361.32000000000005,370.82,373.94,378.925,374.685,364.615,359.83,347.03499999999997,352.78999999999996,350.185,355.21,,,,,,,369.63,360.47,,,359.94,362.41,,L5
2011-03-12 22:04:31+00:00,,,346.78,,362.305,379.46500000000003,,378.21500000000003,382.34,381.84,381.54,369.12,365.52,362.91,361.22,361.0,374.39,380.64,,372.1,361.38,370.435,381.17,,373.46,368.12,367.41,353.675,,368.025,365.59000000000003,366.66999999999996,372.2133333333333,361.32000000000005,370.82,373.94,378.925,372.08666666666664,363.9533333333334,359.0933333333333,348.51666666666665,352.44666666666666,351.4633333333333,356.3866666666666,357.67,,,,,,369.63,360.47,,,359.94,362.41,,L5
2013-05-11 22:22:42+00:00,,,345.44,351.21,358.81,362.46,363.76,364.76,364.03,363.62,362.57,349.77,364.31,366.41,354.26,365.08,365.56,367.21,366.61,361.62,358.5,357.41,355.92,358.12,345.48,345.54,345.34,330.15,,364.47,361.34,360.95,361.81,359.66,361.81,362.82,364.56,361.1,,,,,,344.88,,,,356.2,,,,,363.26,360.72,351.43,,,L8
2013-06-05 22:16:38+00:00,,,343.145,343.66499999999996,358.015,361.08,362.51,363.78,363.855,363.115,360.15,346.895,363.99,365.97,349.805,364.65,365.865,367.615,365.98,361.2,356.70500000000004,355.97,352.46500000000003,356.325,341.175,341.44,342.48,330.775,366.71,361.985,360.46,360.19,361.145,358.75,361.02,362.365,363.47,359.69,356.46,353.1,342.85,344.8,344.76,343.46000000000004,,,,356.2,353.73,,339.28,347.25,353.81,353.33500000000004,343.935,,359.39,L8
2013-07-07 22:16:35+00:00,,352.57,343.12000000000006,339.3933333333334,357.31666666666666,360.21999999999997,361.8433333333333,363.1166666666666,363.1266666666667,362.67,359.40333333333336,346.60999999999996,363.69,365.44,349.18333333333334,363.9866666666667,365.1933333333333,367.25333333333333,366.27,360.7966666666666,356.17,354.83,351.37999999999994,354.3866666666666,339.05,340.32666666666665,341.56,331.20666666666665,366.98,360.2833333333333,359.6566666666667,359.21000000000004,360.33666666666664,357.3733333333333,359.98333333333335,361.5833333333333,362.82,358.93666666666667,355.73,352.08000000000004,342.85,343.105,343.07,341.42333333333335,350.99,,,353.66999999999996,353.73,,339.28,341.89,354.6233333333333,351.03000000000003,342.5566666666667,360.18,361.325,L8
2013-07-23 22:16:34+00:00,,352.57,342.78,340.8375,356.24,359.53999999999996,361.435,362.23,361.78,362.03,358.4875,346.2375,363.0425,364.5125,347.595,362.695,363.9425,366.32,365.6725,360.0075,355.0325,354.02,350.525,353.3025,339.605,339.76,341.33,330.66499999999996,366.0466666666666,359.75,358.505,357.655,360.33666666666664,356.3925,359.225,360.6325,361.7725,357.55,355.73,352.08000000000004,339.225,340.8,340.19666666666666,335.5725,347.5,343.15,353.14,353.19666666666666,353.73,,334.255,337.89,355.5,352.625,343.4325,357.70000000000005,360.1566666666667,L8
2013-10-02 22:22:40+00:00,,352.57,342.78,340.8375,356.24,359.798,361.68999999999994,362.806,362.548,362.46,359.20799999999997,347.786,363.0425,364.5125,347.595,362.695,363.9425,366.052,365.69,360.558,356.26800000000003,354.644,351.948,353.3025,341.584,342.08000000000004,341.98400000000004,330.66499999999996,366.0466666666666,359.75,358.505,357.83000000000004,359.6575,355.7,358.666,360.096,361.32399999999996,357.02799999999996,355.73,349.74333333333334,338.6433333333334,340.59000000000003,339.85249999999996,336.12800000000004,347.99333333333334,347.65,356.0,355.395,353.875,359.94,344.5366666666667,344.09749999999997,355.5,352.625,343.4325,360.6433333333334,360.2675,L8
2013-10-11 22:16:29+00:00,,352.57,342.78,340.8375,356.24,359.798,362.1566666666667,363.2716666666667,363.0933333333333,362.77833333333336,359.89000000000004,348.8533333333333,363.0425,364.5125,347.595,362.695,363.9425,366.052,365.69,360.558,356.26800000000003,354.644,351.948,353.3025,343.2733333333333,343.7716666666667,342.5683333333333,331.216,365.5475,360.106,358.546,358.23,359.562,355.575,358.2616666666667,359.87166666666667,361.24,356.9816666666666,354.66,348.6625,338.9225,340.582,340.262,336.6383333333333,348.33,349.0666666666666,357.23333333333335,357.18,354.70666666666665,360.71000000000004,350.27,347.808,357.678,355.45799999999997,346.46999999999997,362.6175,360.654,L8
