dates,satname,nzd0012-0000,nzd0012-0001,nzd0012-0002,nzd0012-0003,nzd0012-0004,nzd0012-0005,nzd0012-0006,nzd0012-0007,nzd0012-0008,nzd0012-0009,nzd0012-0010,nzd0012-0011,nzd0012-0012,nzd0012-0013,nzd0012-0015,nzd0012-0016,nzd0012-0017,nzd0012-0018,nzd0012-0019,nzd0012-0020,nzd0012-0021,nzd0012-0022,nzd0012-0023,nzd0012-0024,nzd0012-0014,nzd0012-0025
1999-10-04 22:10:38.131000,L7,406.73,398.43,393.69,392.94,401.23,324.37,340.26,341.53,351.62,353.56,354.73,347.60,457.86,396.82,382.71,407.43,408.43,398.39,397.98,395.01,400.28,402.03,404.03,400.54,,
1999-11-21 22:10:24.244000,L7,396.75,399.43,386.72,397.83,395.54,397.71,396.26,392.65,388.26,394.84,401.44,404.49,393.07,393.41,406.93,,,,,,,,,,357.26,
2000-02-09 22:10:19.398000,L7,407.31,398.47,400.14,407.00,385.08,421.04,421.89,420.47,417.54,405.42,409.19,443.25,395.32,394.78,421.24,423.66,474.80,,466.86,418.73,412.36,413.69,475.61,412.23,419.32,
2000-03-28 22:10:07.233000,L7,411.22,410.17,411.89,414.27,424.35,324.03,340.35,345.31,351.96,349.09,355.05,348.01,415.67,424.48,433.40,435.94,441.10,437.45,443.12,421.99,424.09,414.96,427.52,410.30,426.87,415.99
2000-05-15 22:09:42.527000,L7,426.77,350.99,364.75,340.47,340.09,322.67,339.30,343.77,345.06,348.20,354.83,347.76,,,456.93,373.56,397.58,,,446.03,446.19,449.58,428.78,430.92,,392.60
2000-08-19 22:08:38.248000,L7,384.64,344.71,388.79,378.50,377.69,315.37,334.24,329.39,345.07,344.09,347.69,340.78,,,,,,,,,,,,,,
2000-09-04 22:08:22.800000,L7,406.28,346.95,383.78,358.32,330.25,316.51,333.32,335.45,344.33,341.81,347.18,340.51,,,,,,,,,,,,,,
2000-09-20 22:08:03.348000,L7,,,,,372.76,324.30,341.35,346.46,352.48,357.40,359.20,351.35,382.59,388.34,379.42,380.80,389.06,388.51,387.37,384.65,388.40,392.43,464.82,456.48,378.90,444.07
2000-10-06 22:07:59.689000,L7,404.31,393.71,,,383.56,384.86,341.39,398.90,394.12,392.44,397.33,397.78,394.97,395.00,395.03,399.09,402.93,395.30,406.61,399.99,393.06,399.43,401.53,393.31,398.20,384.33
2000-10-22 22:07:50.487000,L7,333.06,386.33,423.42,410.04,388.25,390.65,404.17,408.48,396.03,,,,,,,,,,,,,,,,,
2000-11-07 22:07:53.532000,L7,,,,,384.91,397.43,415.24,405.76,403.81,396.09,394.65,401.07,398.99,404.36,397.89,412.73,404.07,402.63,407.99,400.55,399.38,402.00,419.41,401.88,408.21,385.65
2001-02-27 22:07:54.461000,L7,,,,379.02,373.36,325.60,340.83,346.95,352.32,357.72,356.66,352.61,394.97,393.28,380.89,390.11,383.25,386.20,389.45,385.90,379.65,452.52,468.83,410.94,391.03,391.29
2001-06-03 22:07:16.736000,L7,,,,,383.84,378.41,385.00,386.22,392.48,388.86,394.60,385.51,384.74,383.00,365.21,382.40,382.40,380.40,385.88,458.47,459.55,456.16,464.06,458.52,378.32,413.96
2001-06-19 22:07:05.722000,L7,409.32,412.36,,,390.98,400.04,402.30,391.89,393.83,401.11,395.45,349.82,394.52,398.92,385.51,389.66,388.01,388.06,388.30,386.31,381.64,381.49,388.82,374.17,393.98,368.86
2001-11-26 22:06:09.518000,L7,417.20,415.67,405.09,,394.10,391.76,395.64,395.29,408.85,351.89,404.87,404.47,395.82,390.84,386.51,396.68,391.98,385.25,385.51,385.27,379.35,384.38,390.62,390.13,370.34,384.47
2001-12-12 22:06:14.960000,L7,,,,,372.13,422.34,397.66,399.16,425.20,446.39,410.82,348.76,414.75,387.01,389.90,392.31,393.11,400.66,411.59,381.45,378.17,396.69,455.56,446.27,395.91,442.93
2001-12-28 22:06:14.106000,L7,,,,,384.43,390.71,376.37,388.21,389.99,395.55,394.85,393.41,386.40,371.44,381.00,390.48,389.97,389.60,384.59,374.06,369.57,382.53,390.06,388.42,369.99,384.06
2002-01-29 22:06:21.478000,L7,333.90,369.46,390.50,372.62,334.32,323.88,335.63,343.06,345.45,350.94,356.31,342.62,,,,,,,,,,,,,,
2002-02-14 22:06:29.522000,L7,,,,376.62,384.82,323.52,339.93,344.96,350.58,349.04,354.04,347.41,382.28,382.44,375.23,384.10,383.30,384.59,388.32,376.01,468.76,430.19,453.39,429.57,382.93,391.93
2002-03-18 22:06:22.131000,L7,404.91,405.58,391.64,399.44,396.05,389.19,391.11,399.07,404.52,,,,,,,,,,,,,,,,,
2002-07-08 22:06:00.488000,L7,330.29,370.77,,,,,,,,416.22,430.63,409.42,454.81,433.26,431.35,413.13,402.75,,,,,,,,417.98,
2002-08-09 22:05:46.029000,L7,328.31,357.03,359.45,,,,,,,,,,,,,,,,,,,,,,,
2002-10-28 22:05:22.323000,L7,421.38,420.53,413.77,408.12,410.93,431.77,,,,,,399.12,429.00,424.94,439.03,441.01,436.00,407.45,389.41,,,,,,438.68,
2002-11-13 22:05:30.425000,L7,,,,,,,,,,453.00,414.59,406.02,402.41,401.75,,426.11,406.35,386.56,396.66,393.68,402.89,412.00,425.64,423.44,393.35,384.77
2002-12-31 22:05:56.221000,L7,429.21,414.96,,413.09,429.53,329.49,339.61,345.80,349.62,347.34,352.42,405.37,439.87,414.01,403.00,403.04,397.33,396.72,408.04,398.13,399.32,412.75,408.48,399.40,415.05,386.10
2003-01-16 22:06:02.914000,L7,,,,,,,,,398.69,399.71,401.09,399.26,376.91,,393.78,392.04,418.58,410.60,419.07,408.63,398.53,404.16,412.66,411.57,468.09,460.13
2003-04-06 22:06:21.012000,L7,395.61,390.73,,388.63,394.78,325.58,338.41,343.07,348.72,353.49,352.59,365.45,333.12,389.79,392.11,414.45,,,,,,386.92,388.99,378.37,383.38,406.49
2003-05-08 22:06:20.773000,L7,,,,,400.27,316.10,332.27,335.56,337.53,340.70,345.32,339.19,,,,,,,,,,,,,,
2003-05-24 22:06:17.162000,L7,,,,,,385.34,384.70,384.96,388.08,385.74,387.42,386.83,376.86,386.15,383.75,381.05,370.24,379.86,386.34,376.75,373.19,380.59,386.90,378.93,390.75,458.77
2003-10-23 21:55:36.755000,L5,337.80,325.77,336.38,341.56,342.84,,,,,,,,,,,,,,,,,,,,,
2004-05-18 21:58:14.785000,L5,376.61,358.56,369.68,364.46,367.37,322.80,330.87,340.20,341.95,343.94,346.40,348.06,338.18,,,,,,,,,,,,,
2004-08-22 22:00:48.706000,L5,376.41,356.85,378.07,377.63,380.01,333.78,342.08,347.32,354.18,346.96,355.26,353.37,335.71,,,,,,,,,,,,,
2005-01-13 22:03:41.143000,L5,373.92,358.26,373.80,369.19,368.50,330.82,337.69,333.55,343.12,344.73,347.18,342.81,,,,,,,,,,,,,,
2005-02-14 22:04:09.465000,L5,368.26,357.00,368.04,364.73,366.27,317.42,332.21,341.04,353.38,357.16,361.58,360.08,347.87,,,,,,,,,,,,,
2005-03-02 22:04:24.338000,L5,352.17,355.71,360.60,367.65,372.80,333.19,346.62,357.05,360.21,368.32,365.94,367.08,347.12,,,,,,,,,,,,,
2005-04-03 22:04:40.528000,L5,370.66,355.46,373.89,371.92,365.53,323.43,338.39,339.98,343.58,342.48,339.69,345.04,,,,,,,,,,,,,,
2005-04-19 22:04:43.597000,L5,387.96,368.01,386.02,381.38,379.65,336.36,343.97,354.40,356.44,358.86,354.88,360.45,349.53,,,,,,,,,,,,,
2005-06-06 22:05:05.724000,L5,378.35,355.56,369.30,369.92,369.42,327.87,330.74,334.28,342.28,340.51,349.56,346.54,,,,,,,,,,,,,,
2005-09-26 22:05:42.687000,L5,368.65,352.39,371.84,369.60,414.86,435.45,349.87,350.47,353.00,350.47,356.49,357.10,341.62,,,,,,,,,,,,,
2005-11-13 22:05:57.059000,L5,341.05,326.12,340.14,332.94,328.09,,,,,,,,,,,,,,,,,,,,,
2006-02-17 22:08:11.136000,L5,373.76,358.34,372.68,368.63,367.49,330.19,340.02,347.23,353.09,352.78,357.35,357.79,342.11,,,,,,,,,,,,,
2006-04-06 22:09:08.139000,L5,310.38,315.69,324.56,324.29,322.94,,,,,,,,,,,,,,,,,,,,,
2006-05-08 22:09:38.251000,L5,311.92,317.76,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-25 22:10:20.606000,L5,330.61,319.97,334.68,330.39,329.56,,,,,,,,,,,,,,,,,,,,,
2006-08-12 22:10:59.603000,L5,373.89,362.49,376.57,370.64,375.78,338.44,345.68,351.50,355.75,355.50,356.69,360.54,346.22,,,,,,,,,,,,,
2006-08-28 22:11:11.674000,L5,374.65,361.31,374.10,369.45,371.70,333.11,388.48,,,,,,,,,,,,,,,,,,,
2006-09-13 22:11:23.474000,L5,370.60,352.17,374.06,371.66,373.08,329.29,338.55,344.92,,,,,,,,,,,,,,,,,,
2007-09-16 22:10:40.887000,L5,331.70,329.27,340.02,336.69,332.67,,,,,,,,,,,,,,,,,,,,,
2007-10-02 22:10:31.289000,L5,381.86,361.33,373.72,369.24,369.79,328.02,341.79,349.37,351.86,355.29,363.92,359.68,347.31,,,,,,,,,,,,,
2008-11-21 22:01:05.982000,L5,327.01,312.06,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-24 22:02:55.057000,L5,371.64,360.06,374.45,372.08,369.49,325.77,337.24,343.03,347.63,349.70,344.59,344.13,,,,,,,,,,,,,,
2010-01-27 22:08:26.527000,L5,375.15,357.31,377.96,376.63,377.95,328.90,332.70,337.49,344.82,347.21,351.43,349.14,337.42,,,,,,,,,,,,,
2010-02-12 22:08:30.110000,L5,374.95,356.41,375.65,370.24,368.28,318.59,326.31,336.01,341.94,349.86,354.02,352.10,341.30,,,,,,,,,,,,,
2010-11-27 22:07:24.215000,L5,317.95,308.66,309.71,,,,,,,,,,,,,,,,,,,,,,,
2011-01-14 22:07:31.728000,L5,350.45,339.68,359.47,350.47,350.84,,,,,,,,,,,,,,,,,,,,,
2011-09-11 22:06:09.236000,L5,322.85,312.16,310.49,,,,,,,,,,,,,,,,,,,,,,,
2013-04-25 22:19:21.025000,L8,407.70,353.95,360.82,347.08,347.03,329.20,339.69,344.87,348.71,347.49,352.06,345.99,,,,,,,,,,,,,,
2013-05-11 22:19:31.249000,L8,337.76,360.01,366.95,349.78,343.79,326.92,339.31,344.47,347.85,350.11,354.62,346.54,,,,,,,,,,,,,,
2013-06-28 22:19:33.252000,L8,343.27,360.58,370.54,355.57,348.82,324.37,338.20,346.32,344.55,348.69,350.12,345.24,,,,,,,,,,,,,,
2013-07-14 22:19:34.707000,L8,343.56,364.83,381.06,359.17,353.89,326.62,340.85,348.07,349.76,350.13,355.96,347.56,,,,,,,,,,,,,,
2013-08-31 22:19:38.558000,L8,343.86,358.85,381.17,359.34,350.93,326.90,339.88,344.78,347.48,351.87,353.39,346.70,,,,,,,,,,,,,,
2013-10-18 22:19:25.762000,L8,322.74,343.14,349.31,334.00,328.80,,,,,,,,,,,,,,,,,,,,,
2014-02-07 22:18:33.391000,L8,339.60,357.16,371.93,353.45,342.41,325.69,337.16,343.49,343.67,346.85,349.15,344.43,,,,,,,,,,,,,,
2014-02-23 22:18:20.398000,L8,334.36,355.20,364.79,348.04,339.56,327.64,337.28,345.47,345.67,347.78,350.51,343.91,,,,,,,,,,,,,,
2014-03-27 22:17:50.001000,L8,340.23,357.05,381.27,350.55,342.88,327.23,340.47,346.61,343.98,347.73,349.93,343.37,,,,,,,,,,,,,,
2014-04-12 22:17:37.464000,L8,338.72,358.45,365.27,349.49,344.21,326.86,340.04,348.13,349.57,349.52,355.00,346.00,,,,,,,,,,,,,,
2014-05-14 22:17:08.923000,L8,340.15,360.15,369.72,348.53,340.60,327.47,338.69,342.82,345.65,346.68,351.10,345.47,,,,,,,,,,,,,,
2014-05-30 22:17:11.184000,L8,339.50,359.11,364.92,349.50,344.81,332.88,338.15,344.65,345.67,351.11,351.47,346.87,,,,,,,,,,,,,,
2014-07-01 22:17:22.417000,L8,332.04,347.18,356.61,341.48,334.45,,,,,,,,,,,,,,,,,,,,,
2014-07-17 22:17:28.260000,L8,344.54,362.22,366.06,358.60,352.82,324.19,341.47,345.84,349.85,350.07,354.52,346.25,,,,,,,,,,,,,,
2015-01-25 22:17:32.812000,L8,342.54,361.89,365.84,353.75,345.04,330.75,341.00,347.11,349.29,351.15,355.77,347.47,,,,,,,,,,,,,,
2015-02-10 22:17:27.012000,L8,325.46,341.83,333.92,334.07,327.11,,,,,,,,,,,,,,,,,,,,,
2015-02-26 22:17:23.009000,L8,338.39,357.61,372.07,350.86,341.63,328.08,338.12,343.45,344.93,346.72,351.28,345.04,,,,,,,,,,,,,,
2015-07-20 22:17:10.706000,L8,340.38,356.86,365.28,349.39,343.93,323.92,338.37,346.40,343.44,348.69,350.47,345.43,,,,,,,,,,,,,,
2015-08-05 22:17:13.094000,L8,345.32,362.41,368.18,351.47,353.68,324.94,340.45,344.53,345.82,348.11,354.01,347.49,,,,,,,,,,,,,,
2015-10-24 22:17:40.820000,L8,336.53,355.76,367.95,349.08,337.20,328.77,338.67,344.92,347.39,349.42,352.32,345.73,,,,,,,,,,,,,,
2015-12-11 22:17:42.627000,L8,335.69,353.11,364.01,348.75,338.56,327.50,336.99,345.46,343.22,345.99,346.60,349.71,,,,,,,,,,,,,,
2015-12-27 22:17:43.409000,L8,337.58,355.81,363.29,349.22,342.22,332.58,341.91,346.03,349.63,348.25,355.34,346.94,,,,,,,,,,,,,,
2016-01-12 22:17:40.472000,L8,336.14,357.37,364.97,353.74,340.46,329.88,336.95,342.19,344.29,351.41,351.60,345.39,,,,,,,,,,,,,,
2016-05-03 22:17:13.318000,L8,336.92,354.45,364.78,350.97,338.26,326.21,338.02,341.92,342.86,344.12,349.44,343.34,,,,,,,,,,,,,,
2016-09-08 22:17:48.858000,L8,342.01,358.65,372.99,353.79,341.57,330.46,339.58,348.84,367.86,361.51,355.91,348.96,,,,,,,,,,,,,,
2016-10-10 22:17:54.274000,L8,336.74,355.95,366.64,348.88,339.21,330.72,340.40,344.22,343.20,347.45,353.31,346.49,,,,,,,,,,,,,,
2016-10-26 22:17:56.874000,L8,338.29,354.60,367.22,350.08,340.01,327.38,341.15,347.79,,,,,,,,,,,,,,,,,,
2017-01-30 22:17:38.957000,L8,337.81,359.41,369.95,350.40,340.91,330.71,338.74,346.21,343.35,348.42,354.51,346.23,,,,,,,,,,,,,,
2017-03-03 22:17:25.727000,L8,323.01,339.24,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-20 22:16:59.468000,L8,348.80,357.45,380.39,356.34,351.32,325.73,339.34,345.73,345.49,350.24,353.72,346.54,,,,,,,,,,,,,,
2017-06-07 22:17:15.240000,L8,343.07,358.97,373.38,350.74,348.51,330.37,340.67,347.52,347.50,349.54,352.16,345.54,,,,,,,,,,,,,,
2017-07-09 22:17:23.906000,L8,348.47,362.90,379.16,357.07,347.42,329.41,345.18,342.40,345.13,353.32,353.90,348.31,,,,,,,,,,,,,,
2017-10-29 22:17:53.844000,L8,338.84,356.87,365.74,350.90,342.69,331.95,342.06,347.20,349.57,347.34,354.30,346.09,,,,,,,,,,,,,,
2017-11-30 22:17:44.511000,L8,336.32,356.18,365.84,351.27,341.85,344.20,,354.76,340.36,349.39,425.84,351.83,,,,,,,,,,,,,,
2017-12-16 22:17:46.727000,L8,342.01,369.28,373.67,358.98,347.87,333.24,409.79,348.16,340.00,353.35,358.93,349.68,,,,,,,,,,,,,,
2018-02-02 22:17:27.894000,L8,338.55,350.75,369.23,353.22,345.71,326.78,338.17,346.01,344.82,350.47,350.73,,,,,,,,,,,,,,,
2018-02-18 22:17:22.771000,L8,340.97,357.31,368.00,356.72,343.14,332.84,340.97,345.68,347.66,351.26,352.63,347.36,,,,,,,,,,,,,,
