dates,satname,nzd0544-0000,nzd0544-0001,nzd0544-0002,nzd0544-0003,nzd0544-0004,nzd0544-0005,nzd0544-0006,nzd0544-0007,nzd0544-0008,nzd0544-0009,nzd0544-0010,nzd0544-0011,nzd0544-0012,nzd0544-0013,nzd0544-0014,nzd0544-0015,nzd0544-0016,nzd0544-0017,nzd0544-0018,nzd0544-0019,nzd0544-0020,nzd0544-0021,nzd0544-0022,nzd0544-0023,nzd0544-0024,nzd0544-0025,nzd0544-0026,nzd0544-0027,nzd0544-0028,nzd0544-0029,nzd0544-0030,nzd0544-0031,nzd0544-0032,nzd0544-0033,nzd0544-0034,nzd0544-0035,nzd0544-0036,nzd0544-0037,nzd0544-0038,nzd0544-0039,nzd0544-0040,nzd0544-0041,nzd0544-0042,nzd0544-0043,nzd0544-0044,nzd0544-0045,nzd0544-0046,nzd0544-0047,nzd0544-0048,nzd0544-0049,nzd0544-0050
2003-08-13 21:51:32.649000,L5,,,299.75,279.99,245.85,279.72,273.43,277.58,274.09,268.05,268.03,239.29,270.92,274.21,269.75,303.05,300.92,311.63,299.51,308.12,293.35,275.35,303.58,309.28,257.08,274.87,257.98,217.74,294.99,297.31,268.21,253.53,315.38,226.52,231.97,229.68,217.47,184.71,300.10,318.19,305.23,179.17,254.77,235.52,291.33,182.97,171.22,246.55,251.41,201.59,259.85
2003-10-07 21:58:35.519000,L5,359.85,357.36,351.86,326.22,321.24,333.38,338.51,346.09,350.16,357.84,351.14,345.39,340.90,353.13,347.52,344.01,345.10,350.62,343.70,348.93,344.74,336.92,350.22,343.17,332.60,332.24,339.75,344.92,360.91,362.45,361.50,371.45,368.43,354.50,350.94,356.50,355.46,370.21,360.40,363.72,367.22,370.76,381.36,388.49,380.79,361.63,340.11,334.22,336.50,330.94,316.84
2003-11-17 21:52:57.120000,L5,426.50,391.29,399.36,390.27,375.83,381.51,407.81,401.11,408.31,404.44,374.61,377.16,390.96,387.18,385.09,376.67,377.67,377.35,375.46,368.61,364.32,369.83,381.08,377.02,366.04,370.81,374.06,381.76,390.41,388.48,382.28,390.32,389.80,384.48,381.70,386.53,373.97,377.97,371.99,376.50,380.34,385.98,393.05,394.82,391.55,378.69,358.40,353.36,356.35,350.44,337.82
2003-12-26 21:59:30.091000,L5,427.33,353.41,357.94,333.92,328.48,337.79,343.99,347.19,353.32,356.14,351.06,346.92,339.86,354.06,347.25,344.87,347.43,350.03,346.02,351.09,347.88,339.50,349.74,342.81,334.24,331.17,340.38,347.60,363.29,354.80,361.64,370.86,369.66,363.33,353.10,361.01,360.35,376.68,362.52,365.54,370.39,376.07,382.65,390.71,386.54,364.22,341.76,329.95,333.10,327.76,316.58
2004-01-20 21:53:24.777000,L5,408.95,351.98,353.51,340.34,320.92,338.73,345.23,349.70,354.25,358.35,353.09,344.62,344.46,353.05,348.10,346.06,343.90,350.28,343.58,351.48,348.50,339.40,350.20,343.06,334.97,331.57,341.52,346.83,364.12,362.39,361.08,368.76,368.16,356.84,351.00,358.15,357.73,372.09,359.44,363.03,366.44,371.68,377.63,384.52,381.46,358.93,343.85,336.25,338.86,329.73,315.80
2004-03-31 21:59:59.745000,L5,,295.12,299.42,284.77,246.31,272.30,267.60,262.70,273.68,256.15,269.11,226.43,279.58,281.50,289.22,298.72,290.01,307.77,295.71,302.34,298.23,275.97,303.06,299.88,258.24,278.96,283.99,282.08,272.22,301.45,281.21,307.20,319.34,286.53,208.25,237.88,231.07,257.20,219.76,177.26,,,271.27,191.66,277.42,201.99,219.35,210.13,245.95,274.96,257.38
2004-04-25 21:54:35.260000,L5,,,300.47,291.46,242.45,280.98,273.86,254.46,277.52,279.05,293.64,257.17,270.11,257.88,274.55,300.19,283.60,312.22,299.24,309.12,194.82,262.20,299.30,299.85,,,,,295.33,280.56,262.02,,268.47,286.14,230.48,219.01,221.29,,,,,,,,,,,,,,
2004-05-02 22:00:57.398000,L5,,310.08,307.29,287.96,253.68,281.01,275.23,293.89,271.49,271.85,303.61,268.22,287.74,276.63,292.30,300.96,297.22,310.14,302.14,306.60,297.69,256.11,299.83,301.27,258.61,280.67,277.64,279.77,293.34,273.70,288.03,231.45,321.99,277.99,266.76,235.89,231.46,251.57,276.72,307.49,315.96,173.55,246.27,209.31,222.30,227.44,210.83,242.53,133.38,,
2004-05-18 22:01:26.569000,L5,,305.92,309.32,288.25,239.22,277.45,276.36,243.51,268.17,245.42,261.04,276.14,283.62,256.20,302.39,306.07,297.68,311.27,304.09,306.88,294.98,274.13,305.34,304.66,220.71,266.73,273.63,196.08,218.11,233.34,270.10,270.50,297.14,300.87,217.02,146.18,227.92,229.93,225.83,308.51,200.96,181.28,,,,191.14,195.05,283.66,258.66,216.33,200.07
2004-07-30 21:57:15.668000,L5,,,302.58,292.94,246.92,276.71,263.07,274.40,261.11,284.24,243.59,247.82,275.34,256.28,302.09,306.58,295.58,314.21,298.88,311.18,294.34,271.57,316.94,298.55,250.34,281.33,262.88,215.77,301.97,285.27,271.88,279.00,310.12,292.45,267.32,235.29,234.80,272.70,313.89,286.88,227.59,176.42,272.53,220.05,188.16,220.84,221.37,181.72,,,
2004-07-30 21:57:39.499000,L5,,,238.25,281.30,236.48,271.55,236.31,264.48,254.09,287.05,218.71,223.00,270.33,251.76,295.16,299.30,288.47,306.51,292.93,303.88,290.08,264.62,310.00,292.04,249.71,272.89,231.47,204.27,,,,,309.94,287.84,229.98,,,,,,199.31,165.26,268.38,206.91,174.10,220.98,176.24,172.55,,,
2004-10-18 21:59:11.702000,L5,401.40,346.02,355.74,340.85,327.61,337.88,345.13,351.56,358.29,354.98,355.03,346.30,348.70,357.38,350.97,352.92,347.60,353.11,343.53,354.18,348.74,342.00,353.25,344.18,336.68,331.72,340.77,346.20,364.03,354.34,357.16,367.42,363.77,350.68,346.57,355.28,355.22,369.05,356.82,356.88,356.51,364.70,374.24,383.34,384.47,355.73,339.57,331.48,335.27,324.34,313.77
2004-10-18 21:59:35.533000,L5,393.85,343.62,352.96,337.84,324.75,337.55,342.05,348.87,353.12,350.26,350.59,343.21,344.24,354.85,349.66,350.37,345.35,350.40,342.18,351.47,346.02,339.47,349.58,343.04,332.12,329.80,338.04,343.72,360.67,351.73,355.35,364.81,361.48,347.33,343.63,350.96,351.46,367.58,354.25,353.53,355.92,361.20,372.53,380.68,381.78,353.49,340.33,329.76,333.26,322.07,313.30
2005-01-13 22:06:52.927000,L5,411.32,348.86,347.77,334.76,328.72,335.03,342.52,348.78,354.39,357.83,347.67,344.25,346.53,362.55,353.34,339.96,340.37,342.52,341.45,344.21,344.42,335.46,346.15,340.94,330.32,328.65,336.61,342.14,362.45,352.09,355.64,361.74,360.06,349.24,341.65,358.62,358.28,372.38,361.93,361.46,367.76,371.34,376.33,386.14,383.74,361.12,348.10,339.26,341.17,334.44,305.67
2005-02-14 22:07:21.106000,L5,335.28,324.63,320.51,309.32,300.35,308.85,312.61,315.77,323.11,326.25,319.74,298.16,277.70,261.07,308.84,318.02,314.08,317.75,286.95,320.91,309.10,300.69,262.17,,,,,,,,,,,,,302.97,303.03,323.39,319.90,328.48,336.85,342.21,346.57,353.39,348.81,331.21,319.28,311.56,310.70,305.20,291.10
2005-08-09 22:08:46.932000,L5,,,287.09,266.63,236.58,268.47,238.85,271.62,271.41,286.56,262.79,237.38,282.05,280.14,294.61,298.67,290.16,299.53,306.63,311.70,285.92,277.13,305.68,299.30,248.74,277.19,280.20,204.40,289.05,277.47,277.30,275.80,323.18,286.28,231.27,239.71,227.14,147.10,,,,184.21,161.65,252.75,278.88,185.30,212.34,211.43,247.48,222.01,258.59
2005-09-10 22:08:55.708000,L5,346.45,349.45,343.65,328.51,318.01,330.60,336.29,344.26,348.16,355.65,349.22,343.45,343.84,348.63,345.02,342.08,342.54,349.21,340.52,350.54,343.61,337.36,352.32,342.69,330.13,333.09,349.42,345.90,358.09,352.13,355.56,361.00,362.44,348.18,339.17,347.81,349.93,358.89,357.48,358.20,354.10,360.20,370.71,380.42,376.30,357.69,342.54,335.71,336.90,329.34,313.41
2005-09-19 22:02:44.739000,L5,455.05,389.38,364.99,342.65,324.46,337.57,339.03,353.02,358.18,363.65,364.93,345.42,345.64,350.33,346.42,343.11,342.13,348.10,343.78,349.18,341.73,336.84,347.11,342.16,327.58,327.11,335.74,334.96,356.39,350.03,351.33,359.85,361.56,348.28,339.46,347.50,349.73,358.96,354.97,356.53,359.98,364.07,371.36,378.52,375.96,358.29,342.22,334.73,337.55,332.76,321.27
2005-11-13 22:09:08.414000,L5,423.16,342.63,347.54,330.15,318.25,332.25,341.16,347.22,350.75,354.64,344.71,339.85,337.52,350.43,343.89,341.68,340.50,346.62,340.40,351.16,346.41,340.51,353.55,343.48,335.01,332.57,342.47,349.99,366.44,362.21,361.42,364.55,365.46,353.19,348.27,357.45,356.49,366.08,353.97,355.28,357.53,360.89,371.17,375.94,374.30,349.87,340.27,330.07,331.45,321.50,312.08
2006-02-17 22:11:22.491000,L5,380.52,345.35,347.95,334.17,322.99,334.66,342.28,348.57,351.95,357.65,347.76,346.49,343.72,351.91,346.54,343.43,346.30,347.99,342.00,349.15,346.77,338.67,350.28,342.42,331.77,330.55,338.97,348.31,365.36,358.76,358.39,365.10,365.16,353.16,348.33,352.99,353.57,364.69,356.55,358.88,360.19,366.20,373.50,379.01,374.90,357.05,339.93,334.60,336.28,327.48,314.27
2006-03-14 22:05:42.635000,L5,383.55,333.29,344.53,330.02,325.05,337.57,348.47,357.97,364.11,365.57,360.60,357.03,356.52,366.49,359.91,352.59,347.33,350.21,349.27,355.53,360.96,356.33,369.05,357.31,341.24,331.97,344.39,356.70,369.10,366.62,363.48,366.86,367.18,358.13,350.98,363.25,360.67,367.72,366.50,368.73,367.11,375.65,385.65,402.81,394.47,376.88,372.60,363.62,359.56,344.96,333.23
2006-04-15 22:06:18.610000,L5,,,,,,,,,216.84,237.96,,208.22,274.16,280.84,294.65,303.17,294.65,306.96,297.67,305.69,296.94,282.38,308.70,305.81,266.00,280.08,289.94,293.70,299.02,301.17,289.38,311.91,323.03,305.53,281.15,256.25,285.26,276.79,297.09,316.29,319.50,308.14,300.98,210.37,282.43,313.81,298.58,289.81,251.37,265.12,260.61
2006-04-22 22:12:36.093000,L5,,302.75,300.61,283.40,250.69,283.03,287.01,286.28,290.85,294.44,299.37,263.91,282.24,281.38,291.74,302.29,298.22,311.59,302.52,306.79,300.92,278.33,305.57,302.55,271.80,277.12,288.33,281.98,301.31,292.77,289.50,295.57,321.32,291.39,256.66,250.61,230.76,267.33,300.45,310.91,302.90,175.37,265.30,200.83,307.47,222.60,282.67,280.34,252.31,251.67,252.64
