dates,satname,nzd0434-0000,nzd0434-0001,nzd0434-0002,nzd0434-0003,nzd0434-0004,nzd0434-0005,nzd0434-0006,nzd0434-0007,nzd0434-0008,nzd0434-0009,nzd0434-0010,nzd0434-0011,nzd0434-0012,nzd0434-0013,nzd0434-0014,nzd0434-0015,nzd0434-0016,nzd0434-0017,nzd0434-0018,nzd0434-0019,nzd0434-0020,nzd0434-0021,nzd0434-0022,nzd0434-0023,nzd0434-0024,nzd0434-0025,nzd0434-0033,nzd0434-0034,nzd0434-0035,nzd0434-0036,nzd0434-0029,nzd0434-0030,nzd0434-0031,nzd0434-0032,nzd0434-0026,nzd0434-0027,nzd0434-0028
2003-08-27 22:03:21.662000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.98,,,,,,,
2003-12-10 21:58:29.659000,L5,,238.50,254.60,277.41,300.57,303.10,292.07,277.90,262.07,264.52,267.78,272.90,275.42,289.94,227.45,221.88,196.51,,,,,,,,,,,,,,,,,,,,
2003-12-26 21:58:42.145000,L5,,,,224.63,237.55,246.75,214.50,243.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-18 22:04:57.325000,L5,,,,218.76,192.75,240.81,257.28,227.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-27 21:58:50.060000,L5,,,,,236.24,243.64,248.28,238.19,,,,,,,,,,,,,,,,,,,,,,253.69,,,,,,,
2004-02-19 22:05:07.713000,L5,,234.18,252.51,281.02,300.82,307.16,305.51,285.42,290.06,276.83,276.18,285.73,283.49,283.87,269.11,220.20,197.74,,,,,,,,,,,,170.05,313.31,,,,,,,
2004-08-22 22:03:12.259000,L5,,,241.80,259.90,268.12,272.39,176.73,269.89,255.42,252.98,258.52,272.48,277.07,290.61,207.72,208.79,196.84,,,,,,,,,,,,,,,,,,,,
2004-09-30 22:10:21.832000,L5,,,,232.42,249.57,244.07,248.16,243.39,230.24,230.84,200.76,210.68,210.44,213.24,198.10,194.13,173.69,,,,,,,,,,,,,263.52,,,,,,,
2004-10-16 22:10:42.774000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.94,,,,,,,
2004-11-10 22:04:59.688000,L5,,,,,,,,,,,183.79,182.06,192.43,193.18,175.16,173.76,,,,,,,,,,,,,,,,,,,,,
