dates,nzd0434-0000,nzd0434-0001,nzd0434-0002,nzd0434-0003,nzd0434-0004,nzd0434-0005,nzd0434-0006,nzd0434-0007,nzd0434-0008,nzd0434-0009,nzd0434-0010,nzd0434-0011,nzd0434-0012,nzd0434-0013,nzd0434-0014,nzd0434-0015,nzd0434-0016,nzd0434-0017,nzd0434-0018,nzd0434-0019,nzd0434-0020,nzd0434-0021,nzd0434-0022,nzd0434-0023,nzd0434-0024,nzd0434-0025,nzd0434-0033,nzd0434-0034,nzd0434-0035,nzd0434-0036,nzd0434-0029,nzd0434-0030,nzd0434-0031,nzd0434-0032,nzd0434-0026,nzd0434-0027,nzd0434-0028,satname
2014-02-07 22:20:57+00:00,356.17,233.045,239.75333333333333,247.61,256.47333333333336,249.715,229.39,248.66666666666666,234.46,230.88333333333333,225.29666666666665,228.73000000000002,215.7,207.06,,,189.055,356.52,,,,,365.94,,,,,,160.075,316.31,369.96,,,,,,,L8
2014-09-03 22:20:06+00:00,,,,,,,,,248.04,252.88,,,,,,,191.14,,,,,,,,,,,,,,,,,,,,,L8
2014-09-19 22:20:06+00:00,327.81,,,,,,,,248.04,252.88,,,,,,,191.14,358.32,361.08,,,359.35,358.97,330.63,351.39,356.67,,,,373.46,343.87,320.13,346.31,327.56,,,344.94,L8
2014-10-21 22:20:13+00:00,325.93,,,,,,,,248.04,252.88,,,,,,,191.14,358.32,361.08,,,359.35,358.97,330.63,351.39,356.67,,,,360.655,343.87,320.13,346.31,327.56,,,344.94,L8
2014-12-24 22:20:05+00:00,325.93,232.64,243.07,250.82,258.66,259.49,237.34,254.61,248.53,252.59,260.75,253.8,247.99,,,196.73,191.935,358.32,361.08,,,359.35,358.97,330.63,351.39,356.67,,,168.63,344.93333333333334,343.87,320.13,346.31,327.56,,,344.94,L8
2014-12-31 22:26:11+00:00,323.9666666666667,232.64,243.07,250.82,258.66,259.49,237.34,254.61,248.53,252.59,260.75,253.8,247.99,,,195.625,190.05999999999997,358.32,361.08,,,359.35,358.97,330.63,351.39,356.67,,,168.63,344.93333333333334,336.395,321.175,336.845,329.105,,,331.59000000000003,L8
2015-02-10 22:19:50+00:00,323.9666666666667,232.64,238.31,242.345,251.39000000000001,248.41500000000002,231.14499999999998,246.39,240.65,252.59,260.75,240.12,229.555,203.54,200.06,193.83666666666667,188.4875,358.32,361.08,,,359.35,358.97,330.63,351.39,356.67,,,165.06,335.43,336.395,321.175,336.845,329.105,,,331.59000000000003,L8
2015-02-17 22:25:59+00:00,323.9666666666667,232.39999999999998,239.47333333333336,243.57333333333335,252.97000000000003,249.57000000000002,235.08333333333334,249.82000000000002,241.7325,252.48666666666668,260.37,236.3166666666667,226.65,225.04500000000002,200.06,193.28,188.622,358.32,361.08,,,359.35,358.97,330.63,351.39,356.67,,,163.03666666666666,332.262,336.395,321.175,336.845,329.105,,,331.59000000000003,L8
2015-02-26 22:19:46+00:00,323.9666666666667,233.28666666666666,240.9925,245.4425,254.555,252.09,236.57999999999998,251.4575,243.01399999999998,252.645,260.8833333333334,239.27,225.2225,233.11333333333334,200.06,193.464,189.24,358.32,361.08,,,359.35,369.885,330.63,364.735,356.67,,,162.3,330.1166666666667,336.395,321.175,336.845,329.105,,,331.59000000000003,L8
2015-09-13 22:26:05+00:00,,,,,,,225.6,233.37,230.22,226.36,233.12,236.59,210.88,217.98,200.11,187.85,179.42,,,,,,,,,,,,158.5,303.63,,,,,,,,L8
2015-10-08 22:20:00+00:00,,,,223.45,233.57,225.63,219.195,233.37,230.22,214.71,223.745,229.505,207.97,208.695,197.815,185.725,177.265,,,,,,,,,,,,158.5,303.63,,,,,,,,L8
2016-01-03 22:26:15+00:00,,228.39,235.33,233.175,243.08499999999998,238.925,224.88666666666666,240.60500000000002,234.7,214.71,223.745,229.13333333333333,211.75,220.70333333333335,215.0566666666667,188.15,182.66333333333333,,,,,,,,,,,,159.135,308.49,,,,,,,,L8
2016-02-29 22:19:53+00:00,307.48,228.39,235.33,233.175,243.08499999999998,238.925,224.88666666666666,240.60500000000002,234.7,214.71,223.745,233.39999999999998,213.6675,226.625,221.33,190.0875,185.6025,348.62,,,,,,,,,,,158.91333333333333,311.84,,,,,,,,L8
2016-03-16 22:19:48+00:00,267.735,229.51999999999998,237.41000000000003,236.76333333333332,247.97,245.21,232.51,249.025,244.60500000000002,228.225,237.425,236.64499999999998,216.26,233.0,228.0325,194.045,187.66333333333333,348.62,,,,,,,,,,,158.22666666666666,317.68,,,,,,,,L8
2016-09-08 22:20:12+00:00,228.905,231.41,239.45,245.31,257.47,256.505,241.745,247.925,249.29000000000002,250.315,260.4,244.995,221.20999999999998,239.675,215.11,200.72,,,,,,,,,,,,,156.44,321.15,,,,,,,,L8
2016-11-18 22:26:30+00:00,234.005,233.86,242.2,246.68,257.2,255.23,235.02,250.82,242.0,242.595,261.25,248.51000000000002,221.355,236.31,222.345,203.015,193.58,,,,,,,325.01,,361.73,,,163.5,342.68,,,,,,,,L8
2017-02-15 22:19:55+00:00,231.74,233.86,242.2,246.68,257.2,255.23,235.02,250.82,242.0,242.595,258.20666666666665,242.99666666666667,220.64333333333332,236.0233333333333,228.17666666666665,201.63333333333333,192.955,,,,,,,325.01,,361.73,,,161.20999999999998,335.265,,,,,,,,L8
2017-04-20 22:19:23+00:00,232.70000000000002,235.55,244.99,,293.96,,,256.0,235.45,237.95,257.15,244.28500000000003,220.38,236.09999999999997,240.61499999999998,203.57,192.955,,,,,,,325.01,,361.73,,,161.20999999999998,335.265,,,,,,,,L8
2017-05-06 22:19:19+00:00,232.70000000000002,235.55,244.99,,293.96,,,256.0,235.45,237.95,244.9033333333333,234.6666666666667,214.67,227.9433333333333,225.24,197.03333333333333,192.955,,,,,,,325.01,,361.73,,,161.20999999999998,335.265,,,,,,,,L8
2017-09-18 22:26:19+00:00,,,,226.33,264.87,232.77,212.46,,,,223.555,216.175,206.16500000000002,212.065,197.555,186.03500000000003,173.41,,,,,,,,,,,,,308.35,,,,,,,,L8
2017-11-30 22:20:08+00:00,223.84,227.6,237.99,236.16500000000002,246.30999999999997,244.135,222.9,244.3,227.68,227.1,242.53500000000003,224.15000000000003,214.38,221.45,200.62,188.11,173.41,,,,,,,,,,,,,308.35,,,,,,,,L8
2018-02-02 22:19:51+00:00,224.025,226.735,238.055,239.21333333333334,249.97,247.64333333333335,222.9,244.3,227.68,227.1,242.53500000000003,224.81333333333336,216.24,225.42666666666665,207.085,194.42000000000002,178.1,,,,,,,,,,,,161.4,308.35,,,,,,,,L8
