dates,nzd0371-0000,nzd0371-0001,nzd0371-0002,nzd0371-0003,nzd0371-0004,nzd0371-0005,nzd0371-0006,nzd0371-0007,nzd0371-0008,nzd0371-0009,nzd0371-0010,nzd0371-0011,nzd0371-0012,nzd0371-0013,nzd0371-0014,nzd0371-0015,nzd0371-0016,nzd0371-0017,nzd0371-0018,nzd0371-0019,nzd0371-0020,nzd0371-0021,nzd0371-0022,nzd0371-0023,nzd0371-0024,nzd0371-0025,nzd0371-0026,nzd0371-0027,nzd0371-0028,nzd0371-0029,nzd0371-0030,nzd0371-0031,nzd0371-0032,nzd0371-0033,nzd0371-0034,nzd0371-0035,nzd0371-0036,nzd0371-0037,nzd0371-0038,nzd0371-0039,nzd0371-0040,nzd0371-0041,nzd0371-0042,nzd0371-0043,nzd0371-0044,nzd0371-0045,nzd0371-0046,nzd0371-0047,nzd0371-0048,nzd0371-0049,nzd0371-0050,nzd0371-0051,satname
1999-08-26 22:06:20+00:00,,,313.69,309.28,313.26,303.34,296.37,,295.85,301.31,302.9,307.97,306.94,,,,342.21,344.63,325.69,338.69,325.96,330.6,327.48,,,,,,304.22,298.48,328.87,,307.61,,,336.9,331.52,327.68,,,,,319.47,282.82,277.52,286.96,274.09,,,,301.27,449.11,L7
1999-10-13 22:06:24+00:00,,,326.695,318.57,325.08500000000004,314.585,309.115,,296.995,299.365,300.06,318.71500000000003,304.40999999999997,,,,325.985,328.605,317.39,324.25,323.96,328.36,323.03499999999997,,,,,,311.355,307.55,320.295,,307.61,,,346.485,344.42999999999995,327.68,,,,,309.365,287.515,287.48,292.895,286.08,,,,301.27,449.11,L7
1999-11-21 22:12:24+00:00,,,326.695,318.57,325.08500000000004,314.585,309.115,,296.995,299.365,300.06,318.71500000000003,304.40999999999997,,,,325.985,328.605,317.39,324.25,323.96,328.36,323.03499999999997,,,181.83,210.45,190.3,311.355,307.55,320.295,,307.61,,,346.485,344.42999999999995,308.01,,,224.47,206.91,309.365,287.515,287.48,292.895,286.08,212.9,295.88,296.83,302.015,449.11,L7
2000-01-17 22:06:11+00:00,,,326.695,318.57,325.08500000000004,314.585,309.115,,296.995,299.365,300.06,318.71500000000003,304.40999999999997,,,,325.985,328.605,317.39,324.25,323.96,328.36,323.03499999999997,,,195.275,212.45,204.445,302.17333333333335,298.58666666666664,304.13000000000005,,289.8,,,346.485,344.42999999999995,294.7266666666667,,,232.125,223.11,296.5,279.57666666666665,280.3,282.74,279.24666666666667,229.09,293.86,293.55499999999995,300.19,449.11,L7
2000-02-25 22:12:13+00:00,,,339.7,327.86,336.91,325.83,321.86,,298.14,297.42,297.22,329.46,301.88,,,,309.76,312.58,309.09,309.81,321.96,326.12,318.59,,,195.275,212.45,204.445,301.15,298.64,291.76000000000005,,271.99,340.93,348.49,348.605,348.15,278.25,,,232.125,223.11,285.015,277.95500000000004,281.69,287.5133333333333,281.82500000000005,229.09,293.86,293.55499999999995,299.65,,L7
2000-03-21 22:06:01+00:00,307.11,309.1,328.16499999999996,318.65,336.91,308.65,309.59000000000003,,292.155,290.395,284.3,309.92499999999995,298.11,,,,296.67499999999995,301.075,308.365,303.8,309.945,313.845,310.375,,,231.1833333333333,212.45,204.445,302.5933333333333,300.49,296.7966666666667,303.74,286.99,322.65,328.84000000000003,336.16333333333336,333.47666666666663,286.93,,299.76,232.125,223.11,290.7233333333333,285.2,285.28,287.15999999999997,283.59999999999997,229.09,301.93333333333334,302.63666666666666,299.65,424.13,L7
2000-05-15 22:11:42+00:00,307.11,309.1,316.63,309.44,,291.47,297.32,,286.17,283.37,271.38,290.39,294.34,,,,283.59,289.57,307.64,297.79,297.93,301.57,302.16,,,231.1833333333333,212.45,204.445,294.645,292.425,289.33500000000004,303.74,286.99,322.65,328.84000000000003,326.21000000000004,321.54499999999996,286.93,,299.76,232.125,223.11,286.455,281.695,279.19999999999993,283.27,276.36499999999995,229.09,301.93333333333334,302.63666666666666,291.31,424.13,L7
2000-08-19 22:10:38+00:00,307.11,326.88,326.75,320.18,342.14,291.47,297.32,369.82,286.17,283.37,271.38,299.825,294.34,,,,283.59,289.57,307.64,305.635,308.45500000000004,301.57,302.16,395.38,,328.055,,,305.48,304.19,307.75,321.945,301.99,322.65,328.84000000000003,332.2166666666667,322.7633333333333,304.29,,299.76,,,302.14,299.69,292.46,294.95666666666665,287.15,,318.08,320.8,274.63,424.13,L7
2000-09-04 22:10:22+00:00,307.11,334.95,329.49666666666667,324.30333333333334,338.24,291.47,297.32,375.92499999999995,286.17,283.37,271.38,299.825,294.34,330.31,354.77,365.76,283.59,289.57,307.64,305.635,308.45500000000004,301.57,302.16,384.145,,328.68333333333334,,,307.265,308.375,312.30333333333334,319.9533333333333,301.99,304.37,310.985,321.2733333333333,311.26,303.78499999999997,,299.76,,,299.645,298.19,293.21500000000003,294.24333333333334,287.15,,317.97,322.93,274.63,424.13,L7
2000-09-13 22:04:02+00:00,307.11,334.95,329.49666666666667,324.30333333333334,338.24,291.47,297.32,375.92499999999995,286.17,283.37,271.38,299.825,294.34,330.31,354.77,365.76,283.59,289.57,307.64,305.635,308.45500000000004,301.57,302.16,384.145,,328.68333333333334,,,307.265,308.375,312.30333333333334,319.9533333333333,301.99,304.37,310.985,321.2733333333333,311.26,303.78499999999997,,299.76,,,299.645,298.19,293.21500000000003,294.24333333333334,287.15,,317.97,322.93,274.63,424.025,L7
