dates,nzd0333-0000,nzd0333-0001,nzd0333-0002,nzd0333-0003,nzd0333-0004,nzd0333-0005,nzd0333-0006,nzd0333-0007,nzd0333-0008,nzd0333-0009,nzd0333-0010,nzd0333-0011,nzd0333-0012,nzd0333-0013,nzd0333-0014,nzd0333-0015,nzd0333-0016,nzd0333-0017,nzd0333-0018,nzd0333-0019,nzd0333-0020,nzd0333-0021,nzd0333-0022,nzd0333-0023,nzd0333-0024,nzd0333-0025,nzd0333-0026,nzd0333-0027,satname
1999-11-21 22:12:00+00:00,,,,,,,,,,,,,,,,260.24,248.95,,251.11,249.91,249.74,248.47,236.2,235.8,227.72,230.89,228.58,179.98,L7
2001-01-10 22:09:39+00:00,268.62,,,,,257.93,,225.17,225.79,,252.6,,242.63,252.79,217.47,265.61,250.23,247.87,259.97,250.36,248.06,243.3,,,,,,,L7
2001-09-23 22:07:39+00:00,,,,,,221.75,212.07,229.32,222.09,,226.47,,233.39,255.27,213.4,254.39,243.0,214.91,,,,,,,,,,,L7
2001-10-02 22:01:40+00:00,,,,,,221.75,214.73,225.91,224.31,233.92,230.86,244.83,236.95,258.125,220.64,259.96500000000003,249.435,237.79500000000002,252.6,251.12,251.29,244.36,235.86,231.44,231.54,234.77,228.89,179.86,L7
2001-11-03 22:01:46+00:00,,,,,,221.75,214.73,225.91,224.31,233.92,230.86,234.14,232.6933333333333,249.26333333333332,220.64,259.96500000000003,249.435,237.79500000000002,252.6,251.12,251.29,244.36,235.86,231.44,231.54,234.77,228.89,179.86,L7
2002-01-29 22:07:57+00:00,,,,,,232.45499999999998,228.36666666666665,237.64666666666668,234.99,243.755,236.75333333333333,236.36333333333334,235.7925,253.835,226.54333333333332,263.01666666666665,252.20333333333335,242.38666666666666,257.455,251.825,251.825,243.84500000000003,238.44,238.44,232.665,235.57999999999998,230.29,179.86,L7
2002-02-07 22:02:17+00:00,305.66,,,,,232.45499999999998,236.0075,246.63,248.0825,249.63,236.405,236.36333333333334,247.56199999999998,263.764,226.54333333333332,273.74,264.2325,254.23499999999999,252.05000000000004,266.58,266.86333333333334,260.6566666666667,238.44,238.44,232.665,235.57999999999998,230.29,179.86,L7
2003-08-13 21:50:20+00:00,,,,,,,,,,,,,274.93,257.44,203.67,271.43,284.01,282.85,279.67,275.39,273.37,272.3,271.53,266.69,265.92,267.03,254.58,208.74,L5
2003-08-29 21:50:14+00:00,,,,,,225.76,242.36,248.34,253.29,256.35,257.62,277.82,281.845,268.64,231.89499999999998,280.49,288.625,286.255,281.235,279.90999999999997,277.855,276.385,274.03,271.53,271.6,271.525,261.535,213.97,L5
2003-09-05 21:56:31+00:00,,,,,,225.76,228.4,234.11,238.915,240.28500000000003,242.2,277.82,281.845,268.64,228.4333333333333,280.49,279.77666666666664,277.9566666666667,272.16,279.90999999999997,277.855,276.385,274.03,263.15000000000003,264.03333333333336,262.51666666666665,261.535,204.82333333333335,L5
2003-10-16 21:51:19+00:00,,,,,,225.76,237.35333333333332,241.38666666666666,245.75333333333333,247.98333333333335,249.16,277.46500000000003,284.03333333333336,274.6333333333333,240.4975,288.15000000000003,279.77666666666664,284.4575,272.16,286.46999999999997,281.71666666666664,279.9266666666667,277.89,267.815,268.46500000000003,267.5525,264.3866666666667,210.97,L5
2004-01-04 21:52:10+00:00,280.07,265.93,260.2,260.52,266.81,225.76,245.23000000000002,248.505,251.97,254.0575,256.40250000000003,277.31666666666666,284.735,275.8775,245.814,288.02750000000003,283.695,286.238,272.16,289.945,285.3125,282.87,280.9525,271.98199999999997,272.22799999999995,269.322,263.995,213.266,L5
2004-05-18 21:59:50+00:00,280.07,265.93,260.2,260.52,266.81,,268.86,269.86,270.62,272.28,278.13,277.02,286.84,279.61,267.08,287.66,295.45,276.28499999999997,234.98,300.37,273.77,291.7,290.14,288.65,263.28499999999997,276.4,262.82,203.475,L5
2004-08-15 21:56:01+00:00,,,,,,,,243.44,256.6,251.1,251.82,265.32,281.95,272.54,236.83,282.7,292.12,276.27,261.725,285.67,270.685,286.77,279.38,278.98,256.745,278.44,266.15,184.5,L5
2004-09-16 21:56:53+00:00,,,,,,,,243.44,256.6,251.1,251.82,265.32,281.95,272.54,236.83,282.7,277.025,269.8333333333333,257.75333333333333,285.67,264.21999999999997,263.28999999999996,255.03,262.355,254.58,261.03999999999996,245.195,190.16500000000002,L5
2005-02-14 22:05:45+00:00,280.08,270.38,267.66,263.13,263.56,264.65,263.6,253.32,245.79,252.8,257.51,277.6,284.05,269.2,269.5,299.3,261.93,273.53499999999997,249.81,295.15,251.29,256.735,249.465,255.89,261.895,258.315,240.69,195.83,L5
2005-02-23 21:59:43+00:00,280.08,270.38,267.66,263.13,263.56,264.65,241.685,234.315,233.20999999999998,238.155,243.245,277.6,284.05,269.2,269.5,299.3,257.54,262.76666666666665,242.16,265.605,250.13,251.7266666666667,243.3066666666667,247.04666666666665,251.74,249.96,228.35,188.005,L5
