dates,satname,nzd0333-0000,nzd0333-0001,nzd0333-0002,nzd0333-0003,nzd0333-0004,nzd0333-0005,nzd0333-0006,nzd0333-0007,nzd0333-0008,nzd0333-0009,nzd0333-0010,nzd0333-0011,nzd0333-0012,nzd0333-0013,nzd0333-0014,nzd0333-0015,nzd0333-0016,nzd0333-0017,nzd0333-0018,nzd0333-0019,nzd0333-0020,nzd0333-0021,nzd0333-0022,nzd0333-0023,nzd0333-0024,nzd0333-0025,nzd0333-0026,nzd0333-0027
1999-10-13 22:06:24.714000,L7,258.14,261.25,216.91,180.75,211.69,248.36,248.56,248.78,204.87,249.11,213.65,218.69,233.17,254.10,245.28,256.21,245.04,233.69,173.64,,,,,,,,,
1999-11-21 22:12:00.068000,L7,,,,,,,,,,,,,,,,260.24,248.95,183.22,251.11,249.91,249.74,248.47,236.20,235.80,227.72,230.89,228.58,179.98
2000-09-20 22:09:39.085000,L7,,,,,256.22,251.07,251.37,245.72,,252.12,246.16,227.50,231.89,250.55,207.74,254.91,242.65,216.56,,,,,,,,,,
2001-01-10 22:09:39.742000,L7,268.62,,,,255.55,257.93,257.15,225.17,225.79,254.87,252.60,239.21,242.63,252.79,217.47,265.61,250.23,247.87,259.97,250.36,248.06,243.30,,,,,,
2001-02-20 22:03:24.667000,L7,,,,,,,205.75,213.46,233.27,247.57,250.55,245.31,218.26,253.74,,266.29,247.42,259.03,259.72,212.17,200.99,216.21,203.24,208.01,205.00,207.26,181.76,177.51
2001-02-20 22:03:48.640000,L7,,,,,,255.46,244.05,246.05,249.60,252.59,254.83,248.83,241.14,263.54,251.46,267.93,247.72,260.15,262.44,210.32,197.62,213.71,201.19,203.45,202.99,205.02,178.93,182.03
2001-09-23 22:07:39.040000,L7,,,,,203.40,221.75,212.07,229.32,222.09,185.56,226.47,198.32,233.39,255.27,213.40,254.39,243.00,214.91,180.08,,,,,,,,,
2001-10-02 22:01:16.521000,L7,,,,,,,215.64,221.41,224.18,233.71,235.24,246.03,239.41,259.78,228.55,264.51,252.45,260.82,212.55,209.32,195.87,213.86,201.08,205.67,202.28,202.33,228.75,179.49
2001-10-02 22:01:40.483000,L7,,,,,,,217.39,222.50,226.53,233.92,235.25,244.83,240.51,260.98,227.88,265.54,255.87,260.68,252.60,251.12,251.29,244.36,235.86,231.44,231.54,234.77,228.89,179.86
2001-11-03 22:01:22.838000,L7,,,,,,,,,,,,226.64,229.93,222.99,,,,,,,,,,,,,,
2001-11-03 22:01:46.660000,L7,,,,,,,,,,,,223.45,224.18,231.54,,,,,,,,,,,,,,
2001-12-21 22:02:05.831000,L7,,,,,,,,,,,,227.33,235.47,259.30,257.07,258.66,242.75,242.47,194.17,211.89,247.26,238.52,232.74,229.45,229.65,226.52,200.40,
2002-01-29 22:07:57.272000,L7,,,,,,243.16,255.64,261.12,256.35,253.59,248.54,240.81,245.09,267.55,238.35,269.12,257.74,251.57,262.31,252.53,252.36,243.33,241.02,245.44,233.79,236.39,231.69,
2002-02-07 22:01:54.032000,L7,,,,,,232.56,244.75,247.22,239.03,254.56,250.52,233.87,236.99,263.07,251.34,257.61,245.09,237.41,248.28,247.31,239.72,239.16,,,,,,
2002-02-07 22:02:17.936000,L7,305.66,,,,,,258.93,273.58,287.36,261.38,235.36,,294.64,303.48,185.85,305.91,300.32,289.78,241.24,296.09,296.94,294.28,,,,,,
2003-02-26 22:02:04.470000,L7,,,,,,,217.71,204.52,209.54,243.83,243.21,234.47,239.94,253.18,238.78,256.13,240.14,236.57,245.34,245.69,238.83,221.15,227.37,226.48,204.95,232.69,219.92,169.97
2003-08-13 21:49:56.757000,L5,,,,,,,,,,,,,,,,,250.07,252.56,223.53,237.93,216.42,234.97,223.04,229.80,233.01,216.30,191.02,174.21
2003-08-13 21:50:20.872000,L5,,,,,,,,,,,,,274.93,257.44,203.67,271.43,284.01,282.85,279.67,275.39,273.37,272.30,271.53,266.69,265.92,267.03,254.58,208.74
2003-08-29 21:50:14.179000,L5,,,,,,225.76,242.36,248.34,253.29,256.35,257.62,277.82,288.76,279.84,260.12,289.55,293.24,289.66,282.80,284.43,282.34,280.47,276.53,276.37,277.28,276.02,268.49,219.20
2003-08-29 21:50:38.152000,L5,,,,,,,,,,,,,,,,,,,218.00,210.27,207.48,219.22,213.68,205.18,226.70,201.64,,
2003-09-05 21:56:31.676000,L5,,,,,,,214.44,219.88,224.54,224.22,226.78,229.49,247.23,232.41,221.51,229.42,262.08,261.36,254.01,236.22,212.84,233.51,235.78,246.39,248.90,244.50,225.22,186.53
2003-10-16 21:50:55.996000,L5,292.35,274.59,270.72,271.78,268.79,268.61,254.95,256.06,259.63,264.05,262.62,277.27,288.47,286.80,276.96,304.26,307.75,303.35,301.37,299.63,289.30,286.75,285.28,281.78,282.03,282.58,269.57,230.27
2003-10-16 21:51:19.969000,L5,291.72,273.72,270.76,271.26,268.56,267.82,255.26,255.94,259.43,263.38,263.08,277.11,288.41,286.62,276.69,303.47,307.88,303.96,301.52,299.59,289.44,287.01,285.61,281.81,281.76,282.66,270.09,229.41
2003-12-03 21:51:55.424000,L5,294.58,277.30,275.60,274.79,271.86,255.48,258.33,256.88,255.19,261.30,260.86,274.41,297.85,293.94,276.18,302.02,304.27,306.08,302.38,282.77,277.38,276.23,274.57,275.44,278.45,277.88,278.98,233.72
2004-01-04 21:51:46.048000,L5,310.60,315.30,290.16,287.45,307.51,322.51,310.48,300.72,297.94,311.49,311.06,305.49,304.64,299.25,295.06,307.81,311.90,314.79,324.42,321.06,319.11,314.50,318.99,307.77,313.98,298.58,294.65,294.26
2004-01-04 21:52:10.021000,L5,280.07,265.93,260.20,260.52,266.81,272.75,268.86,269.86,270.62,272.28,278.13,277.02,286.84,279.61,267.08,287.66,295.45,293.36,300.62,300.37,296.10,291.70,290.14,288.65,287.28,276.40,262.82,222.45
2004-05-18 21:59:50.535000,L5,,,,,,,,,,,,,,,,,251.18,259.21,234.98,226.55,251.44,238.39,233.64,212.31,239.29,217.90,198.16,184.50
2004-07-05 22:01:15.300000,L5,,,,,,,,,,,,,,,,255.39,277.50,280.65,273.91,268.96,274.28,270.46,271.63,265.37,265.89,265.35,251.22,208.07
2004-07-21 22:01:39.856000,L5,,,,,,,,,,,,,,,,,,,,192.48,193.87,223.21,229.29,229.27,234.80,230.87,214.28,175.91
2004-08-15 21:56:01.630000,L5,196.75,208.14,216.82,235.01,231.17,234.20,250.68,243.44,256.60,251.10,251.82,265.32,281.95,272.54,236.83,282.70,292.12,293.33,288.47,285.67,289.93,286.77,279.38,278.98,274.20,278.44,266.15,243.22
2004-08-15 21:56:25.603000,L5,,,,,,180.84,232.06,220.15,235.80,232.75,237.09,,,,,257.75,270.90,273.74,267.93,267.36,270.39,265.88,266.64,260.68,256.52,258.78,246.79,209.14
