dates,nzd0265-0000,nzd0265-0001,nzd0265-0002,nzd0265-0003,nzd0265-0004,nzd0265-0005,nzd0265-0006,nzd0265-0007,nzd0265-0008,nzd0265-0009,nzd0265-0010,nzd0265-0011,nzd0265-0012,nzd0265-0013,nzd0265-0014,nzd0265-0015,nzd0265-0016,nzd0265-0017,nzd0265-0018,nzd0265-0019,nzd0265-0020,nzd0265-0021,nzd0265-0022,nzd0265-0023,nzd0265-0024,nzd0265-0025,nzd0265-0026,nzd0265-0027,nzd0265-0028,nzd0265-0029,nzd0265-0030,nzd0265-0031,nzd0265-0032,nzd0265-0033,satname
1999-08-05 21:46:59+00:00,238.68,,198.52,193.18,,195.38,197.45,190.91,208.63,,,,,,,,,,,,,,,,,260.55,,,,,,,,,L7
1999-08-21 21:46:56+00:00,238.68,,211.34,207.015,,201.07999999999998,202.655,192.37,208.63,,,,,,,,,,,,,,,,,260.55,,274.17,,,,,,,L7
1999-09-22 21:47:00+00:00,251.52,259.94,211.34,210.86333333333334,227.96,201.07999999999998,202.655,192.37,208.63,,,,,,,,,,273.9,,,,,,,260.55,,274.17,,,,,,,L7
1999-10-24 21:46:56+00:00,251.52,259.94,211.34,210.86333333333334,221.12,201.07999999999998,212.17666666666665,206.83,208.63,,,,,,,,,,273.9,,,,,,,260.55,,274.17,,,,,,,L7
2000-02-13 21:46:48+00:00,252.655,242.83499999999998,217.23000000000002,216.33666666666667,215.46,210.41,217.70666666666668,214.13666666666668,215.89,207.85,,184.02,,,,,,244.35,273.9,233.23,230.99,231.56,238.44,,243.09,,227.29,274.17,,,302.06,,303.51,,L7
2000-04-01 21:46:34+00:00,240.95,225.73,210.3,209.6,209.20999999999998,214.04,222.63,224.29000000000002,215.89,207.85,,184.02,,,,,,243.84,,233.23,230.99,231.56,238.44,,243.09,,227.29,,,,302.06,,303.51,,L7
2000-08-07 21:45:08+00:00,243.83999999999997,226.1,210.985,206.745,195.89499999999998,199.57999999999998,207.52499999999998,205.66000000000003,218.11,212.70999999999998,,184.02,,,,,,243.84,,233.23,230.99,231.56,238.44,,243.09,,246.51,280.89,,,302.06,,303.51,,L7
2001-04-04 21:44:06+00:00,,251.97,,211.55,175.11,203.67,,,,,,,,,,,,,,,,,257.51,254.28,,,,283.63,,,,,,,L7
2001-04-20 21:44:10+00:00,249.62,242.04500000000002,213.67,209.72,174.935,204.02499999999998,209.26,178.77,212.71,188.82,210.89,218.0,,,,,,258.19,,242.86,241.51,243.05,257.51,254.28,,,260.05,282.33500000000004,307.38,314.45,303.0,306.09,315.75,,L7
2001-05-22 21:43:54+00:00,249.62,237.72,217.225,209.72,174.935,204.02499999999998,209.26,178.77,212.71,188.82,210.89,218.0,,,,,,258.19,,242.86,241.51,243.05,257.51,254.28,,,260.05,282.33500000000004,307.38,314.45,303.0,306.09,315.75,,L7
2001-07-25 21:43:18+00:00,249.62,237.72,217.225,209.72,174.935,204.02499999999998,209.26,182.145,213.05,188.82,210.89,218.0,,214.5,201.9,,,251.76,250.11,244.24,243.55,243.05,253.2,248.89499999999998,254.79,260.58,268.22,273.2633333333333,307.38,325.28,315.5,306.09,315.75,,L7
2001-08-10 21:43:00+00:00,249.62,237.72,217.225,209.72,174.935,204.02499999999998,209.26,182.11666666666667,212.84,188.82,210.89,218.0,,214.5,201.9,,,252.96666666666667,251.525,245.78666666666666,243.55,243.05,253.2,248.89499999999998,245.93,261.32,267.3233333333333,273.2633333333333,307.38,325.28,316.2033333333333,306.09,321.06,,L7
2001-09-11 21:42:38+00:00,250.805,235.6325,220.51333333333332,212.54333333333332,174.935,219.32666666666668,209.26,188.5725,213.7775,188.82,210.89,218.0,,214.5,201.9,,,252.96666666666667,251.525,245.78666666666666,243.55,243.05,253.2,250.48000000000002,245.93,261.32,267.405,276.495,307.38,325.28,316.2033333333333,306.09,321.06,,L7
2001-10-13 21:42:15+00:00,250.805,230.18666666666664,220.51333333333332,213.04,174.76,223.61333333333334,219.33499999999998,197.59,212.128,188.82,210.89,218.0,,214.5,201.9,,,252.96666666666667,251.525,245.78666666666666,243.55,243.05,248.89,248.58000000000004,245.93,261.32,267.405,274.1166666666667,307.38,325.28,316.2033333333333,306.09,321.06,,L7
2001-10-29 21:42:21+00:00,266.09000000000003,229.21999999999997,223.935,218.19,,233.23000000000002,232.79500000000002,202.29500000000002,211.98249999999996,224.46,,,,214.5,201.9,,,250.355,251.525,247.25,245.59,,248.89,248.58000000000004,245.93,261.32,269.8566666666666,270.655,,336.11,322.805,,326.37,,L7
2002-02-18 21:42:54+00:00,256.98,223.76999999999998,213.095,208.07999999999998,174.36,219.36,218.57666666666668,206.50666666666666,207.46333333333334,208.125,,,,,204.02,,229.55,242.74,246.27,248.93,231.98,,,253.65,,241.38,259.885,277.66999999999996,,309.24,290.67,,313.82,327.5,L7
2002-03-22 21:42:52+00:00,259.475,228.45,205.785,205.42000000000002,180.205,201.62,214.6825,205.79,211.16333333333333,208.125,,,,,204.02,,229.55,242.74,246.27,248.93,231.98,,,,,241.38,252.12,269.15,,312.37,294.665,,313.82,327.5,L7
2002-09-14 21:41:55+00:00,241.49,228.76999999999998,213.18,211.07999999999998,190.23000000000002,196.71,205.385,196.72,228.305,,,,,,,,,264.15,257.51,,,,,,,,,285.12,,315.5,298.66,,,,L7
2002-09-30 21:41:47+00:00,241.49,218.81,213.89,209.29,194.41,,195.16000000000003,190.565,222.27999999999997,195.81,,,,,,,,260.66499999999996,254.64499999999998,251.36,251.66,257.8,257.21,241.96,244.26,250.05,256.86,277.235,,322.7,303.69,,313.83,,L7
2003-01-20 21:42:33+00:00,233.745,211.6,204.135,200.95999999999998,183.08499999999998,181.41,190.19333333333336,183.46666666666667,213.04666666666665,186.45499999999998,199.25,197.88,196.99,,200.18,213.62,222.85,250.9333333333333,254.64499999999998,237.03,253.98000000000002,257.8,257.21,241.96,225.14499999999998,241.82,253.565,272.40333333333336,,322.7,303.69,,313.83,,L7
2003-02-05 21:42:41+00:00,237.83,218.25666666666666,208.47333333333333,203.84333333333333,184.01,192.925,194.3225,183.46666666666667,213.04666666666665,186.45499999999998,199.25,197.88,196.99,,200.18,217.945,236.365,250.9333333333333,255.54,243.39000000000001,254.1833333333333,255.22500000000002,259.0,247.66000000000003,225.14499999999998,241.82,253.565,272.40333333333336,,322.7,303.69,305.0,313.83,,L7
2003-02-21 21:42:44+00:00,237.83,218.25666666666666,208.47333333333333,203.84333333333333,184.01,192.925,194.3225,181.54,209.74,183.00333333333333,207.695,205.665,202.075,214.03,201.32,218.55333333333337,233.3166666666667,241.14,255.54,243.7725,247.755,247.07333333333335,250.99,240.22000000000003,221.6,239.40333333333334,253.11333333333334,273.8125,287.5,317.38,302.14,300.125,314.58,318.58,L7
2003-05-12 21:42:48+00:00,236.0,225.98666666666668,211.81333333333336,202.6966666666667,190.86,198.98333333333335,193.48499999999996,172.515,197.20000000000005,176.6,207.695,205.665,202.075,214.03,201.32,218.55333333333337,233.3166666666667,221.61499999999998,257.33,241.24333333333334,246.45333333333335,241.71,247.88000000000002,239.35000000000002,210.26999999999998,234.08,251.24,270.39,287.5,312.06,300.59,300.125,315.33,318.58,L7
2003-09-25 21:31:42+00:00,254.55,236.08499999999998,224.14499999999998,215.45999999999998,215.195,215.04500000000002,207.54,224.59,,246.5,,,,,,,,,,,,,,,,,,,,,,,,,L5
2003-12-14 21:32:38+00:00,261.055,237.925,231.54,229.375,219.97,221.065,217.18,222.45,227.08,236.15,,,,,,,,,,,,,,,255.46,276.53,280.62,,,,,,,,L5
2004-06-23 21:35:46+00:00,,247.51,239.87,230.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2004-08-10 21:36:56+00:00,259.07,238.11,230.10000000000002,224.215,208.01,210.19,208.5,214.28,227.59,,,,,,,,,,,,,,,,269.53,,,,,,,,,,L5
2004-10-13 21:38:32+00:00,255.095,233.75,225.66333333333333,221.34,210.64,211.63,211.76999999999998,215.83499999999998,227.59,,,,,,,,,,,,,,,,269.53,,,,,,,,,,L5
2005-02-18 21:40:42+00:00,254.42000000000002,225.03,216.79,215.59,213.27,216.505,218.785,224.14499999999998,,,,,,,,,,,271.1,269.7,272.48,,,,265.08,278.89,278.61,294.57,,,,,,,L5
2005-05-25 21:41:28+00:00,267.415,,,,,219.94,222.53,230.9,,,,,,,,,,,271.1,269.7,272.48,,,,265.08,278.89,278.61,294.57,,,,,,,L5
