dates,satname,nzd0265-0000,nzd0265-0001,nzd0265-0002,nzd0265-0003,nzd0265-0004,nzd0265-0005,nzd0265-0006,nzd0265-0007,nzd0265-0008,nzd0265-0009,nzd0265-0010,nzd0265-0011,nzd0265-0012,nzd0265-0013,nzd0265-0014,nzd0265-0015,nzd0265-0016,nzd0265-0017,nzd0265-0018,nzd0265-0019,nzd0265-0020,nzd0265-0021,nzd0265-0022,nzd0265-0023,nzd0265-0024,nzd0265-0025,nzd0265-0026,nzd0265-0027,nzd0265-0028,nzd0265-0029,nzd0265-0030,nzd0265-0031,nzd0265-0032,nzd0265-0033
1999-08-05 21:46:59.046000,L7,238.68,218.84,198.52,193.18,179.86,195.38,197.45,190.91,208.63,228.67,229.89,225.62,233.05,228.09,232.42,250.16,289.57,296.23,280.07,280.91,274.91,277.73,276.91,276.21,295.41,260.55,276.84,295.10,324.97,367.21,365.66,365.49,360.89,387.53
1999-08-21 21:46:56.985000,L7,271.84,260.88,224.16,220.85,225.39,206.78,207.86,193.83,245.89,235.30,239.83,241.65,,,,,291.78,302.37,286.65,284.74,280.64,281.96,274.40,278.14,292.85,302.94,311.22,274.17,363.16,373.09,378.87,370.59,374.84,394.65
1999-09-22 21:47:00.785000,L7,264.36,259.94,247.85,218.56,227.96,245.06,245.06,246.79,278.11,266.40,249.48,246.38,248.20,248.29,264.14,271.06,286.80,301.61,273.90,279.30,294.32,284.57,288.10,303.48,291.17,,,,,,,,,
1999-10-24 21:46:56.203000,L7,293.66,267.17,269.18,268.43,214.28,236.49,231.22,235.75,266.66,261.40,264.92,250.17,265.41,256.17,257.21,283.35,312.71,,,,,,,,,,,,328.61,351.37,374.86,346.17,364.43,371.76
2000-02-13 21:46:48.016000,L7,240.95,225.73,210.30,209.60,204.14,214.04,214.04,212.83,215.89,207.85,201.21,184.02,,,192.22,207.13,235.51,244.35,,233.23,230.99,231.56,238.44,245.49,243.09,261.95,227.29,280.25,296.90,319.11,302.06,312.41,303.51,
2000-04-01 21:46:34.573000,L7,301.64,278.29,256.82,255.87,233.02,251.76,254.16,254.91,266.57,248.81,242.49,247.56,251.04,251.50,270.68,240.09,300.27,243.33,281.90,280.40,284.33,284.34,288.80,281.52,293.23,303.44,310.71,326.09,348.79,389.23,370.45,,,
2000-05-03 21:46:19.161000,L7,,,279.69,276.31,257.24,253.00,269.94,289.46,289.47,249.71,218.01,209.34,223.83,220.95,207.50,232.89,292.53,,,,,,,,,,,,,,,,,
2000-05-19 21:46:07.873000,L7,303.14,281.70,269.13,,,,,,,270.43,252.74,253.61,279.60,260.37,271.79,284.07,,288.42,273.09,270.05,278.65,272.85,276.09,275.13,290.86,,,,,,,,,
2000-08-07 21:45:08.975000,L7,246.73,226.47,211.67,203.89,187.65,185.12,201.01,198.49,220.33,217.57,229.47,246.01,238.56,226.92,218.33,250.22,266.26,266.76,257.64,259.18,270.45,275.60,267.01,258.97,260.74,278.53,265.73,280.89,336.78,363.44,351.50,363.30,372.87,380.93
2000-10-26 21:44:22.850000,L7,215.37,239.84,230.95,218.64,217.88,250.14,252.33,257.24,273.96,263.23,255.83,238.30,227.77,230.75,267.04,265.90,274.60,281.50,277.31,284.55,279.81,278.79,285.32,282.80,286.19,306.22,311.10,333.30,360.20,374.98,375.16,,,
2000-12-13 21:44:28.287000,L7,,,,,268.70,192.90,192.27,192.81,,189.80,221.43,225.04,228.46,240.81,241.87,256.31,272.42,272.70,263.86,271.46,269.44,270.33,272.80,271.32,268.00,288.13,299.59,301.74,341.14,363.30,353.27,354.44,361.22,378.87
2001-04-04 21:44:06.948000,L7,273.19,251.97,255.82,211.55,175.11,203.67,250.30,257.61,290.85,281.16,265.08,244.03,239.83,261.94,246.33,273.29,295.70,293.35,288.45,280.81,280.04,269.58,257.51,254.28,289.76,271.16,290.02,283.63,324.63,352.58,345.99,344.96,350.60,358.75
2001-04-20 21:44:10.657000,L7,249.62,232.12,213.67,207.89,174.76,204.38,209.26,178.77,212.71,188.82,210.89,218.00,269.14,265.54,220.21,245.94,259.41,258.19,286.43,242.86,241.51,243.05,269.47,263.10,292.29,304.12,260.05,281.04,307.38,314.45,303.00,306.09,315.75,360.40
2001-05-22 21:43:54.652000,L7,258.53,229.07,220.78,242.31,270.07,,,,,,,,,,269.42,256.41,299.07,279.46,268.60,266.89,273.27,276.34,275.90,280.52,280.69,,,,,,,,,
2001-07-25 21:43:18.753000,L7,,,,,,,,185.52,213.39,223.04,212.56,223.23,226.31,214.50,201.90,236.07,255.80,245.33,250.11,245.62,245.59,256.25,248.89,243.51,254.79,260.58,276.39,255.12,318.49,336.11,328.00,343.80,350.46,381.40
2001-08-10 21:43:00.495000,L7,,,,,,,,182.06,212.42,228.59,221.31,218.91,218.18,226.78,209.40,224.20,249.56,255.38,252.94,248.88,264.20,245.49,258.14,254.04,237.07,262.06,265.53,348.71,,342.04,317.61,346.04,326.37,376.80
