dates,satname,nzd0422-0000,nzd0422-0001,nzd0422-0002,nzd0422-0003,nzd0422-0004,nzd0422-0005,nzd0422-0006,nzd0422-0007,nzd0422-0008,nzd0422-0009,nzd0422-0010,nzd0422-0011,nzd0422-0012,nzd0422-0013,nzd0422-0014,nzd0422-0015,nzd0422-0016,nzd0422-0017,nzd0422-0018,nzd0422-0019,nzd0422-0020,nzd0422-0021,nzd0422-0022,nzd0422-0023,nzd0422-0024,nzd0422-0025,nzd0422-0026,nzd0422-0027,nzd0422-0028,nzd0422-0029,nzd0422-0030,nzd0422-0031,nzd0422-0032,nzd0422-0033,nzd0422-0034,nzd0422-0035,nzd0422-0036,nzd0422-0037,nzd0422-0038,nzd0422-0039,nzd0422-0040,nzd0422-0041,nzd0422-0042,nzd0422-0043,nzd0422-0044,nzd0422-0045,nzd0422-0046,nzd0422-0047,nzd0422-0048,nzd0422-0049,nzd0422-0050,nzd0422-0051,nzd0422-0052,nzd0422-0053,nzd0422-0054,nzd0422-0055,nzd0422-0056,nzd0422-0057,nzd0422-0058,nzd0422-0059,nzd0422-0060,nzd0422-0061,nzd0422-0062
1999-11-21 22:12:47.994000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.54,217.45,213.78,178.57,,,,,,,,,,,,,,,,,,,,,,,,,,,170.87,203.14,281.41,291.45
1999-12-07 22:12:53.785000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.69,169.45,210.30,212.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-07 22:10:17.299000,L7,442.84,476.48,427.15,376.15,395.43,440.33,290.91,277.50,246.83,214.83,184.11,302.54,272.92,213.15,190.43,189.73,377.14,382.84,383.71,389.72,487.04,489.93,435.96,420.42,373.79,339.33,305.36,253.34,238.19,227.80,215.89,214.32,203.37,183.77,294.64,291.91,258.74,290.62,299.95,302.31,316.82,392.20,381.58,399.53,361.08,388.39,242.59,236.78,231.31,273.78,224.16,328.29,211.26,203.39,198.71,361.04,318.89,322.28,350.72,356.90,362.19,364.90,379.55
2001-01-10 22:10:27.647000,L7,285.55,306.78,309.10,310.45,318.26,297.53,283.85,278.39,237.28,,,,,,,,,,,,177.76,194.10,189.16,213.47,252.77,243.78,229.19,206.73,193.61,187.53,183.71,176.13,,,,,,,,,,,,,,,,,,,,,,,,,210.41,206.07,249.06,251.75,317.91,332.31,341.60
2001-02-27 22:10:18.214000,L7,,,235.06,199.55,216.94,227.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-28 22:07:46.304000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.04,281.88,288.80
2003-08-20 21:57:03.003000,L5,309.86,303.17,303.97,304.37,301.52,286.69,259.67,195.29,,,,,,,,,,,,,180.61,194.45,194.93,200.90,216.57,215.13,192.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.51,246.28,244.75,247.92,320.14,336.65
2003-12-10 21:58:29.659000,L5,292.05,297.42,298.46,298.36,284.55,260.13,219.75,165.79,,,,,,,,,,,,,170.79,189.81,191.52,201.12,218.78,215.81,189.41,168.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.10,244.69,242.65,304.12,316.97,326.24
2004-01-27 21:58:50.060000,L5,288.72,287.19,290.61,296.16,290.79,272.64,232.82,179.37,,,,,,,,,,,,,183.37,200.97,201.59,207.78,223.15,211.63,180.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.06,238.60,241.67,315.17,327.33,334.22
2004-05-18 22:00:38.480000,L5,,,257.19,252.79,231.38,225.14,184.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-22 22:03:12.259000,L5,,260.37,262.02,251.30,222.57,215.11,186.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.27,165.14,187.49,272.64,294.48
2004-10-09 22:04:22.371000,L5,273.35,264.71,279.40,269.59,236.39,229.76,196.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.47,197.61,207.17,306.99,281.99
2004-11-10 22:04:59.688000,L5,224.59,254.97,253.39,226.69,215.36,220.84,184.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-11-26 22:05:17.306000,L5,282.99,287.61,299.88,278.68,255.86,246.48,217.25,171.78,,,,,,,,,,,,175.53,194.23,205.25,209.87,215.80,219.80,213.24,180.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.56,237.19,251.51,321.55,335.24,343.18
2005-02-14 22:06:33.160000,L5,295.87,296.98,293.35,266.58,238.55,231.43,203.28,165.29,,,,,,,,,,,,,169.57,185.42,187.45,192.63,228.06,221.25,189.17,166.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.91,245.67,231.02,291.07,309.60,317.62
2005-03-02 22:06:47.890000,L5,300.19,302.13,297.19,282.78,254.03,243.10,218.08,172.06,,,,,,,,,,,,168.03,188.70,203.26,198.74,200.40,220.30,214.81,185.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.60,247.83,254.88,304.94,328.97,337.50
2005-08-25 22:08:04.916000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.15,185.47,201.61,292.03,299.11
2005-09-10 22:08:07.620000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.54,181.68,205.31,300.41,308.76
2005-11-13 22:08:20.468000,L5,299.58,299.02,292.93,262.82,244.81,239.17,214.32,172.50,,,,,,,,,,,,175.48,187.43,195.52,199.08,205.14,221.58,218.06,188.81,168.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.38,257.58,253.68,314.53,330.04,325.92
2006-09-13 22:13:47.312000,L5,275.20,264.05,262.46,233.61,195.37,200.24,178.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.24,199.78,218.87,299.65,303.58
2006-10-31 22:14:17.081000,L5,294.67,292.78,286.03,251.99,217.13,222.60,206.35,167.92,,,,,,,,,,,,,193.09,206.83,208.23,212.82,232.87,228.43,199.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.00,247.01,246.76,309.98,337.87,341.15
2007-02-04 22:14:57.320000,L5,291.26,282.84,280.32,253.29,216.71,222.92,195.73,,,,,,,,,,,,,,182.75,198.55,199.37,217.53,233.95,226.26,196.68,170.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.54,244.91,249.33,308.38,318.56,331.58
2007-10-02 22:12:54.699000,L5,304.71,296.32,294.01,285.71,247.39,241.14,223.51,179.44,,,,,,,,,182.61,202.44,226.37,232.89,225.74,239.91,243.05,228.10,228.35,230.12,216.62,237.62,243.39,178.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.57,258.78,271.53,309.07,340.17,340.68
2008-12-23 22:04:28.225000,L5,275.13,267.68,262.32,238.30,205.70,214.74,189.86,,,,,,,,,,,,,184.50,193.43,201.74,209.46,215.72,225.91,211.38,174.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.96,244.19,254.04,304.60,308.82,320.21
2010-01-27 22:10:50.221000,L5,292.59,281.68,273.43,243.38,214.56,219.84,201.35,,,,,,,,,,187.66,197.67,197.58,195.11,203.44,207.30,205.48,207.72,215.33,216.58,187.05,167.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.36,257.58,261.40,308.90,321.59,332.39
2011-02-15 22:09:58.365000,L5,283.51,266.65,264.05,246.68,217.85,219.82,199.61,,,,,,,,,,180.26,190.99,195.88,193.34,195.77,200.58,206.47,215.30,223.34,220.97,192.57,167.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.13,242.19,251.51,298.86,313.78,318.68
2013-05-11 22:21:55.010000,L8,345.85,288.45,279.43,276.78,237.51,241.23,233.20,195.45,228.87,224.67,211.22,,,,,163.23,235.68,234.26,245.84,237.82,231.18,222.18,223.65,222.49,229.82,227.41,210.41,182.65,172.19,168.82,180.85,,,,,,,,,,,,,,,,,,,,,,,,,,,158.24,263.48,266.28,260.95,329.45,333.69
2013-06-28 22:21:56.988000,L8,267.48,252.67,249.09,224.80,202.01,204.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-14 22:21:58.456000,L8,298.77,284.59,278.93,273.71,236.61,241.01,231.40,195.88,231.82,219.88,211.30,,,,,,224.63,231.27,246.87,239.72,232.08,225.00,221.91,222.89,226.53,230.80,205.63,181.89,165.66,389.77,,,,,,,,,,,,,,,366.23,355.13,365.90,361.01,350.10,350.83,348.04,340.12,347.01,348.29,355.59,346.71,356.03,350.26,352.24,357.64,312.14,366.93,366.27
2013-09-16 22:21:57.385000,L8,292.52,278.91,274.50,258.53,229.58,235.39,223.51,188.13,221.24,208.93,,,,,,169.90,216.88,219.61,239.32,228.72,220.56,222.98,218.17,219.65,225.76,227.67,197.17,173.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.81,325.00,342.16,342.78,345.49,352.05
2013-10-18 22:21:49.490000,L8,313.01,311.52,315.95,308.02,311.87,336.15,348.03,355.90,361.59,377.21,378.39,,,,294.07,309.14,321.75,331.66,319.66,244.47,275.43,304.44,309.02,306.18,296.32,312.66,331.49,320.79,167.81,,,286.88,301.15,300.13,313.63,337.97,339.46,340.55,357.02,350.73,358.54,343.30,331.56,325.78,284.58,319.04,320.36,315.11,,,,335.80,328.24,318.89,321.24,315.67,261.50,313.87,325.69,325.52,340.57,347.22,350.55
2013-12-21 22:21:27.090000,L8,287.46,274.63,272.32,253.29,230.43,232.69,221.43,185.38,226.03,214.70,179.12,,,,,179.90,216.26,224.58,241.65,230.63,226.82,219.45,222.91,220.16,226.94,227.62,211.63,179.15,168.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.57,335.76,313.93,360.84,355.65,338.24
2014-05-30 22:19:34.937000,L8,269.45,257.06,247.54,225.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-01 22:19:46.174000,L8,305.17,291.71,287.54,287.32,245.00,241.03,231.93,197.28,222.76,218.59,212.88,,,,,,224.73,233.73,249.93,239.44,227.69,219.30,222.56,224.10,228.07,245.01,243.41,186.34,167.80,177.92,163.81,,,,,,,,,,,,,,,,,,,,,,,351.60,337.48,338.38,330.38,325.83,329.31,327.53,329.53,335.46,341.50
2014-07-17 22:19:52.017000,L8,301.08,286.69,283.11,278.62,241.24,240.24,231.85,194.50,227.06,218.83,212.55,,,,,161.37,220.53,228.09,245.19,235.88,228.80,217.97,221.13,220.11,227.34,227.20,328.68,330.03,329.43,344.77,350.20,368.36,366.35,377.39,,,,,,,,,,,,,,,,,,,,,,,,,258.70,257.65,332.75,336.61,346.34
2014-09-03 22:20:06.649000,L8,298.20,282.46,278.71,263.01,234.09,237.30,231.04,193.47,,,,,,,,172.23,207.26,222.00,238.35,225.40,221.41,217.24,218.18,219.53,225.68,226.89,212.24,182.62,167.71,180.53,,,,,,218.06,214.40,230.43,235.67,,,,,,,,,,,,,,,,,,,189.71,258.35,265.31,317.07,329.99,334.50
2014-11-06 22:20:13.200000,L8,296.97,280.04,275.89,251.75,233.15,235.30,229.85,196.44,224.87,217.63,199.07,207.87,,202.12,167.69,178.62,206.69,215.39,230.93,215.57,216.03,219.49,218.25,218.75,225.30,225.05,205.40,181.85,168.39,176.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.54,260.60,269.42,323.45,331.57,337.33
2014-12-24 22:20:05.791000,L8,289.94,277.38,275.29,251.93,236.54,236.96,231.18,189.42,228.05,218.78,204.99,199.63,,,,190.06,202.00,217.91,222.05,219.63,223.58,223.40,218.37,221.17,224.35,225.41,207.36,186.40,169.70,178.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.69,263.40,274.09,317.54,331.17,336.91
2015-01-25 22:19:56.553000,L8,287.89,276.85,273.77,251.09,232.12,235.78,228.17,191.06,225.47,218.36,200.17,,,,159.10,186.89,204.37,238.94,235.96,231.27,221.00,219.43,218.41,218.47,224.55,222.57,207.19,185.60,171.11,178.38,,,,,,376.96,381.98,399.18,,,,,,,,,,,,,,,,,,,,223.27,257.61,268.51,320.10,330.80,333.56
2015-02-10 22:19:50.748000,L8,290.62,277.54,273.42,250.94,233.77,234.74,227.90,196.15,226.89,216.50,202.06,205.18,,,166.48,186.66,200.38,217.93,246.62,216.00,211.97,214.86,217.48,216.21,221.41,221.73,207.18,182.85,169.19,178.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.79,259.83,266.91,317.94,330.19,330.43
2015-02-26 22:19:46.745000,L8,293.23,280.67,276.72,259.09,239.84,237.26,232.45,196.75,228.94,218.48,211.44,,,,,190.52,199.89,219.16,245.30,219.84,239.06,215.73,214.15,215.11,222.44,223.19,210.91,185.96,170.81,181.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.53,262.04,269.47,320.14,330.50,330.70
2015-03-14 22:19:35.284000,L8,297.12,286.09,282.65,266.68,246.14,240.48,240.23,215.70,232.53,222.81,217.23,215.11,,200.28,167.69,197.12,206.98,230.40,231.52,221.64,224.32,226.84,222.35,230.03,223.86,227.46,216.02,193.79,173.54,182.47,157.12,,,,,,,,,,,,,,,,351.44,345.94,345.18,362.78,371.56,369.56,367.57,,,369.24,380.06,375.34,334.95,370.43,321.17,387.10,379.86
2015-04-15 22:19:22.587000,L8,294.11,280.76,277.82,253.38,234.75,233.92,225.47,174.98,,,,,,,,,192.20,207.60,211.65,206.95,208.65,214.15,210.06,213.33,220.74,221.12,204.60,183.23,169.06,175.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.12,257.88,259.22,313.53,329.99
2015-05-01 22:19:12.426000,L8,327.20,325.57,319.44,275.71,260.51,244.13,240.80,220.50,235.75,225.66,225.77,223.11,,,,193.09,200.32,210.51,233.95,211.90,211.19,219.81,219.88,220.34,224.25,223.87,212.41,190.79,178.07,182.35,168.05,,,,,,384.91,402.75,426.22,438.01,452.97,449.96,,,,,,,,,,,,,,,,200.80,265.08,267.12,288.24,335.85,350.89
2015-07-04 22:19:26.118000,L8,,253.81,252.58,231.53,202.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-06 22:19:50.737000,L8,298.91,287.19,283.66,277.91,270.79,241.60,239.61,208.99,233.39,225.32,221.75,224.60,,,358.87,343.11,331.85,328.76,326.14,334.83,187.45,202.98,223.10,223.16,226.07,226.13,222.61,190.14,174.74,184.24,178.86,358.70,381.08,379.60,387.16,212.78,214.78,226.00,233.87,,,,,,382.89,356.93,304.36,311.90,301.41,280.73,242.03,221.88,379.44,365.88,369.69,368.09,352.40,352.81,351.64,350.45,357.11,348.35,355.66
2015-10-08 22:20:00.596000,L8,321.42,319.81,271.87,263.34,252.30,266.90,237.59,216.41,230.85,222.75,345.31,352.40,328.72,343.28,322.19,187.79,203.31,202.04,191.15,186.88,186.24,201.60,214.57,214.91,220.56,220.49,206.25,188.65,171.87,180.58,326.16,,,,,,414.53,434.48,451.65,470.92,489.54,,,,,,,,342.47,345.88,354.26,349.26,355.52,321.28,352.65,360.95,359.40,207.64,354.87,351.89,359.43,377.81,380.88
2015-12-27 22:20:07.153000,L8,289.26,278.23,273.82,253.99,241.46,238.42,236.01,214.55,229.56,221.34,216.06,,,,,193.18,201.14,201.61,192.61,192.07,189.35,211.07,219.92,224.73,224.62,225.09,206.71,185.88,171.78,179.34,330.06,327.08,,,,,,,,,,,,,,,,,,,,,,,,,,226.32,260.39,272.49,317.58,332.28,333.64
2016-02-13 22:19:56.477000,L8,290.10,279.09,274.85,260.46,244.87,239.13,238.67,196.47,229.65,221.59,215.74,,,,,192.94,201.33,199.75,189.57,188.82,188.80,209.27,219.14,220.37,224.31,225.45,209.23,186.18,173.82,178.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.35,259.97,270.61,321.65,333.19,332.62
2016-02-29 22:19:53.146000,L8,301.84,281.76,277.00,263.60,255.56,241.42,240.18,219.97,232.13,224.70,227.17,195.76,166.00,,,196.43,202.15,201.33,189.57,190.48,188.72,206.83,224.89,222.79,222.79,230.51,213.01,189.69,175.99,181.80,,,,,,,,,,,,,,,,,,,,,,,,356.20,362.92,377.37,392.42,382.03,371.70,385.32,389.75,392.35,387.06
2016-03-16 22:19:48.512000,L8,294.91,278.46,275.15,263.78,238.33,239.78,236.13,186.66,228.94,221.26,221.06,193.34,,,,193.38,199.05,199.58,187.93,188.88,183.31,201.02,216.66,220.31,222.30,223.39,207.33,185.00,171.34,179.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.58,357.20,377.73,377.04,375.91,371.91
2016-04-17 22:19:33.425000,L8,307.95,303.54,309.71,319.77,325.32,342.25,326.54,314.11,350.71,357.04,230.10,,,,,196.95,199.27,198.43,191.70,184.88,179.34,198.03,223.33,224.73,224.35,225.52,216.11,193.06,178.87,182.57,163.38,,,,,,,,,,,,,,,,,,319.92,302.19,289.79,302.62,291.98,334.88,323.24,339.34,335.73,340.80,261.79,270.73,353.75,336.67,380.13
2016-07-06 22:19:53.295000,L8,298.71,287.10,282.83,279.99,256.71,248.26,239.71,194.97,226.57,223.93,223.59,,,,,167.17,195.42,189.47,176.26,175.07,182.35,198.57,215.95,221.22,221.70,225.54,213.01,191.76,176.25,183.17,174.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.27,336.59,340.05,349.22,349.11
2016-09-08 22:20:12.615000,L8,302.73,284.62,283.48,271.73,255.34,247.85,248.62,235.55,239.59,231.84,241.93,202.86,,,,188.87,193.73,182.79,174.01,178.01,184.76,199.19,214.79,218.69,222.23,223.12,212.01,193.36,179.44,196.76,163.62,,,,,,,,,,439.55,411.50,395.37,399.93,397.13,,404.23,392.77,395.63,395.81,391.84,,,,,,370.74,230.15,267.42,268.37,320.96,357.55,368.95
