dates,nzd0422-0000,nzd0422-0001,nzd0422-0002,nzd0422-0003,nzd0422-0004,nzd0422-0005,nzd0422-0006,nzd0422-0007,nzd0422-0008,nzd0422-0009,nzd0422-0010,nzd0422-0011,nzd0422-0012,nzd0422-0013,nzd0422-0014,nzd0422-0015,nzd0422-0016,nzd0422-0017,nzd0422-0018,nzd0422-0019,nzd0422-0020,nzd0422-0021,nzd0422-0022,nzd0422-0023,nzd0422-0024,nzd0422-0025,nzd0422-0026,nzd0422-0027,nzd0422-0028,nzd0422-0029,nzd0422-0030,nzd0422-0031,nzd0422-0032,nzd0422-0033,nzd0422-0034,nzd0422-0035,nzd0422-0036,nzd0422-0037,nzd0422-0038,nzd0422-0039,nzd0422-0040,nzd0422-0041,nzd0422-0042,nzd0422-0043,nzd0422-0044,nzd0422-0045,nzd0422-0046,nzd0422-0047,nzd0422-0048,nzd0422-0049,nzd0422-0050,nzd0422-0051,nzd0422-0052,nzd0422-0053,nzd0422-0054,nzd0422-0055,nzd0422-0056,nzd0422-0057,nzd0422-0058,nzd0422-0059,nzd0422-0060,nzd0422-0061,nzd0422-0062,satname
2005-11-13 22:08:20+00:00,299.58,299.02,292.93,262.82,244.81,239.17,214.32,172.5,,,,,,,,,,,,175.48,187.43,195.52,199.08,205.14,221.58,218.06,188.81,168.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.38,257.58,253.68,314.53,307.49333333333334,311.2633333333333,L5
2006-09-13 22:13:47+00:00,275.2,264.05,262.46,233.61,195.37,200.24,178.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.65,303.58,L5
2006-10-31 22:14:17+00:00,284.935,278.41499999999996,274.245,242.8,206.25,211.42000000000002,192.575,167.92,,,,,,,,,,,,,193.09,206.83,208.23,212.82,232.87,228.43,199.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,247.01,246.76,309.98,318.76,322.365,L5
2007-02-04 22:14:57+00:00,287.04333333333335,279.89,276.27,246.29666666666665,209.73666666666668,215.25333333333333,193.62666666666667,167.92,,,,,,,,,,,,,187.92000000000002,202.69,203.8,215.175,233.41,227.345,198.06,170.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.26999999999998,245.95999999999998,248.04500000000002,309.18,318.6933333333333,325.43666666666667,L5
2007-10-02 22:12:54+00:00,304.71,296.32,294.01,285.71,247.39,241.14,223.51,179.44,,,,,,,,,182.61,202.44,226.37,,225.74,239.91,243.05,228.1,228.35,230.12,216.62,,243.39,178.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.57,258.78,271.53,309.07,340.17,340.68,L5
2008-12-23 22:04:28+00:00,,,,,,,,,,,,,,,,,,,,184.5,193.43,201.74,209.46,215.72,225.91,211.38,174.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.96,244.19,254.04,304.6,308.82,,L5
2010-01-27 22:10:50+00:00,292.59,281.68,273.43,243.38,214.56,219.84,201.35,,,,,,,,,,187.66,197.67,197.58,195.11,203.44,207.3,205.48,207.72,215.33,216.58,187.05,167.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.58,261.4,308.9,321.59,332.39,L5
2011-02-15 22:09:58+00:00,283.51,266.65,264.05,246.68,217.85,219.82,199.61,,,,,,,,,,180.26,190.99,195.88,193.34,195.77,200.58,206.47,215.3,223.34,220.97,192.57,167.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.13,242.19,251.51,298.86,313.78,318.68,L5
2013-05-11 22:21:55+00:00,,288.45,279.43,276.78,237.51,241.23,,,,,,,,,,,,,,,231.18,222.18,223.65,222.49,229.82,227.41,210.41,182.65,,168.82,180.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.69,L8
2013-06-28 22:21:56+00:00,267.48,270.56,264.26,276.78,219.76,222.845,,,,,,,,,,,,,,,231.18,222.18,223.65,222.49,229.82,227.41,210.41,182.65,,168.82,180.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.69,L8
