dates,satname,nzd0460-0000,nzd0460-0001,nzd0460-0002,nzd0460-0027,nzd0460-0028,nzd0460-0029,nzd0460-0055,nzd0460-0056,nzd0460-0057,nzd0460-0058,nzd0460-0059,nzd0460-0060,nzd0460-0061,nzd0460-0062,nzd0460-0063,nzd0460-0064,nzd0460-0065,nzd0460-0066,nzd0460-0074,nzd0460-0075,nzd0460-0076,nzd0460-0077,nzd0460-0078,nzd0460-0079,nzd0460-0080,nzd0460-0081,nzd0460-0082,nzd0460-0083,nzd0460-0084,nzd0460-0085,nzd0460-0003,nzd0460-0004,nzd0460-0013,nzd0460-0014,nzd0460-0015,nzd0460-0016,nzd0460-0017,nzd0460-0018,nzd0460-0019,nzd0460-0021,nzd0460-0022,nzd0460-0023,nzd0460-0024,nzd0460-0025,nzd0460-0026,nzd0460-0030,nzd0460-0031,nzd0460-0032,nzd0460-0033,nzd0460-0034,nzd0460-0035,nzd0460-0036,nzd0460-0037,nzd0460-0038,nzd0460-0039,nzd0460-0040,nzd0460-0041,nzd0460-0042,nzd0460-0043,nzd0460-0044,nzd0460-0045,nzd0460-0046,nzd0460-0047,nzd0460-0048,nzd0460-0049,nzd0460-0050,nzd0460-0051,nzd0460-0052,nzd0460-0053,nzd0460-0054,nzd0460-0067,nzd0460-0068,nzd0460-0069,nzd0460-0070,nzd0460-0071,nzd0460-0072,nzd0460-0073,nzd0460-0011,nzd0460-0012,nzd0460-0005,nzd0460-0006,nzd0460-0007,nzd0460-0008,nzd0460-0009,nzd0460-0010,nzd0460-0020
1999-11-03 22:25:37.023000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.55,207.92,217.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-31 22:19:21.915000,L7,,,,,,,,,,,,,,,,,288.36,287.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-16 22:19:16.215000,L7,362.93,296.88,223.56,275.34,423.42,531.60,203.84,196.05,201.31,202.43,207.36,199.47,198.13,186.76,193.58,193.88,199.03,211.68,484.55,459.54,498.21,441.09,478.53,464.05,493.58,324.39,336.02,332.50,320.56,316.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-20 22:18:51.435000,L7,518.93,380.39,309.55,270.24,260.36,198.94,342.65,359.20,302.21,347.97,387.16,401.51,391.05,424.22,460.27,489.50,478.64,473.98,348.97,365.30,378.19,401.29,378.10,474.32,465.43,502.92,522.40,446.10,180.55,176.25,268.29,214.96,201.10,221.83,181.00,218.80,194.54,208.47,234.99,242.10,257.55,249.53,249.78,253.67,266.73,218.69,300.11,302.82,307.68,361.25,364.40,389.19,368.30,322.07,353.24,350.70,388.22,401.26,428.72,449.32,449.86,484.14,469.36,436.27,420.00,435.44,403.98,423.07,450.93,373.28,485.53,532.61,239.03,256.45,287.51,293.04,308.15,,,,,,,,,
2000-12-16 22:16:59.214000,L7,338.43,293.68,215.79,200.65,208.79,231.05,324.08,327.09,324.44,448.19,398.00,320.03,357.88,351.78,337.44,388.33,367.20,431.36,283.09,292.28,298.69,323.94,318.84,287.22,331.63,332.30,346.24,331.76,326.14,294.66,207.37,,198.01,,,,,,,,,187.53,209.91,197.24,201.79,245.52,259.04,263.75,256.76,276.18,291.29,288.16,306.53,351.74,320.48,330.86,352.77,335.25,349.32,359.22,329.09,327.23,330.24,367.98,300.21,313.44,397.85,442.31,429.99,346.83,446.63,494.14,230.81,251.88,259.14,273.34,278.36,224.14,219.06,,,,,,,
2001-08-29 22:15:16.816000,L7,425.36,385.90,444.66,218.76,251.76,246.50,357.14,371.06,374.45,366.61,364.49,325.76,335.44,370.91,402.73,398.78,317.49,281.06,417.98,385.58,386.78,408.36,395.65,479.41,468.29,185.85,449.64,363.37,365.60,501.48,328.11,262.01,211.88,179.47,211.37,195.87,211.11,172.91,180.80,212.45,270.17,215.81,217.33,185.98,219.03,277.74,296.25,298.48,268.96,277.52,266.98,218.97,214.43,272.64,283.65,276.55,292.72,326.82,345.79,336.38,385.43,363.94,348.41,369.18,380.02,366.31,335.81,345.26,359.36,364.46,314.22,315.09,295.46,339.31,372.21,379.23,385.52,221.59,230.91,219.28,218.15,270.78,259.20,226.93,213.52,
2001-10-23 22:21:01.749000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.58,247.24,249.41,259.27,265.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-01 22:14:53.871000,L7,418.66,362.77,317.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.91,481.29,416.57,,,,,,,,354.84,372.64,365.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.78,509.64,528.47,500.57,496.27,,,431.45,432.11,526.79,384.38,474.00,344.37,356.70,444.74,
2002-01-20 22:15:25.657000,L7,317.36,267.14,,,,,,,,,,,,,392.71,408.04,385.77,424.15,470.84,508.12,506.37,523.65,529.23,537.14,,,,,,,,230.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.25,464.03,466.50,482.41,474.89,,,,,334.81,,,,,,
2002-01-27 22:21:34.098000,L7,428.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-05 22:15:25.531000,L7,,,,,,,447.53,,,,,,,430.49,455.42,464.65,462.93,445.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.29,432.08,433.71,374.43,,,,,,,,,,,,,,,,
2002-02-12 22:21:39.719000,L7,426.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-01 22:21:30.414000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.16,250.73,237.85,236.59,229.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.35
2002-09-24 22:20:31.166000,L7,485.86,352.41,311.36,386.99,430.76,,409.39,370.39,349.52,334.54,,,,,,,,417.03,372.66,359.01,,,,380.00,337.30,348.31,312.67,393.87,244.24,,385.05,,,,,,,426.66,412.51,371.23,343.49,347.20,370.07,371.49,385.21,267.63,309.23,,,163.39,184.43,267.76,366.22,406.05,385.74,464.12,472.50,465.03,396.87,289.27,,306.56,415.94,441.17,443.98,445.71,508.96,473.52,408.38,511.76,368.00,280.54,,,,,332.63,,,293.24,351.31,231.44,238.86,241.08,237.37,362.46
2002-10-10 22:20:20.300000,L7,514.15,462.92,,,,,189.60,221.82,231.59,173.37,164.92,,,,,,,,364.71,278.44,,,315.92,328.50,262.38,,,,,,,,,,,287.17,212.42,225.26,212.10,186.26,203.93,,,,,,,,,,,,,,,,,,399.05,462.23,442.23,447.69,490.56,490.02,476.54,406.27,229.79,229.77,,231.37,,399.52,370.89,421.44,403.07,378.22,341.97,,,,316.91,385.60,428.49,235.00,235.64,192.05
2003-01-07 22:14:52.811000,L7,314.20,243.88,,,,,,,219.12,226.85,237.52,235.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.85,248.09,,,,,,,,284.69,242.74,394.28,420.44,,,,,,,,,,,,
2003-02-24 22:15:13.300000,L7,,,,,,,336.50,322.13,302.82,294.04,225.18,176.16,195.55,189.00,193.79,277.65,273.74,298.63,362.77,313.60,312.54,267.27,303.11,351.24,354.89,320.78,373.04,374.80,364.74,360.91,,,,,,,,,,,,,,,,,,,,,,168.60,191.87,200.10,203.90,210.56,246.42,323.66,274.75,263.01,275.19,276.95,338.09,343.12,260.02,287.34,268.96,341.90,341.46,277.79,321.52,266.76,221.22,205.37,207.08,225.48,249.05,,,,,,,,,
2003-03-12 22:15:18.779000,L7,312.50,245.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.51,266.44,261.72,,,,,,,,,,,,,,,,,,,,,,,
2004-09-30 22:10:46.090000,L5,,,,,,,,,,,,,,,,,,,,,,,,,228.26,233.99,196.07,243.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-17 22:19:52.410000,L5,465.85,430.82,426.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.21,466.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-03 22:19:58.509000,L5,373.41,216.35,172.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-12 22:34:44.323000,L8,474.32,228.26,179.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-14 22:34:43.899000,L8,384.23,196.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-19 22:34:12.842000,L8,471.29,256.20,194.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.47,170.54,,,,,,,,,,,,,,,,,,,,,,,,,,199.57,203.69,201.30,188.22,206.64,186.39,165.28,180.87,158.60,,,,,,,,,,,,,,,,,,,,
2014-01-13 22:27:45.180000,L8,380.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-02 22:27:09.178000,L8,414.26,369.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-01 22:32:51.438000,L8,408.07,227.54,180.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-03 22:32:56.013000,L8,,,,,,,,,,,,292.26,264.27,255.01,259.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.28,508.70,497.85,529.18,190.25,197.27,172.08,184.34,200.56,220.19,,167.96,178.18,182.92,185.03,172.74,175.62,170.25,,,,,,,,,,,,,,,,,,,
2014-11-04 22:32:58.094000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.54,193.42,193.16,202.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-15 22:26:40.930000,L8,328.95,233.66,163.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-22 22:32:52.265000,L8,449.46,225.24,196.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.52,189.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.36,,,,,,
2014-12-31 22:26:35.482000,L8,,,,,,,,,,,,,,,,,,,252.90,265.03,262.58,180.72,276.98,288.28,199.32,256.57,215.81,223.06,239.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.88,196.46,172.74,171.71,177.33,177.87,172.73,182.25,193.17,,,202.75,204.00,174.73,207.40,207.52,207.99,232.07,,,,,,,,,
2015-04-13 22:32:08.069000,L8,396.16,242.31,175.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.61,,,,,,,,,,,,,,,,,,,,,,,,,,198.49,221.02,232.40,223.64,,,176.20,179.06,171.28,174.06,189.02,198.26,,,,,,,,,,,,,,,,,,
2015-07-18 22:32:19.409000,L8,379.13,228.79,169.26,437.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.49,414.76,410.86,411.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-13 22:26:29.621000,L8,349.13,281.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-20 22:32:43.512000,L8,388.91,374.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-18 22:26:42.726000,L8,315.23,297.95,172.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-03 22:26:39.547000,L8,335.07,239.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-10 22:32:49.418000,L8,371.12,346.24,204.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.09,194.25,197.05,196.26,205.23,,,,,,,,,,,,,,,,,,,,,,,
2016-04-08 22:26:11.653000,L8,307.89,329.55,413.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-24 22:26:04.497000,L8,378.63,325.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-26 22:26:12.554000,L8,377.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-02 22:32:25.353000,L8,393.99,199.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-20 22:32:44.045000,L8,358.46,210.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
