dates,satname,nzd0304-0000,nzd0304-0001,nzd0304-0002,nzd0304-0003,nzd0304-0004,nzd0304-0005,nzd0304-0006,nzd0304-0007,nzd0304-0008
1999-08-21 21:47:20.968000,L7,314.41,335.46,346.98,330.25,343.81,287.64,287.16,272.46,324.43
1999-08-28 21:53:35.950000,L7,344.90,,,321.73,332.03,325.40,308.41,286.83,
1999-09-29 21:53:40.155000,L7,371.35,384.28,374.20,361.50,357.57,339.77,351.26,363.11,387.75
2000-01-12 21:47:18.340000,L7,362.36,371.29,370.08,362.86,399.28,,333.47,341.39,349.28
2000-01-19 21:53:25.812000,L7,364.96,396.17,378.18,360.22,358.88,346.85,340.41,346.99,351.28
2000-05-03 21:46:43.127000,L7,390.35,358.08,372.99,374.62,357.38,346.38,343.26,340.14,356.22
2000-05-19 21:46:31.829000,L7,386.05,386.75,397.01,384.09,357.77,350.93,343.44,350.52,366.58
2000-07-13 21:52:07.753000,L7,,337.23,317.93,303.51,321.26,,,,
2000-07-29 21:51:50.349000,L7,372.32,373.20,381.40,370.82,362.44,351.11,342.12,348.92,356.62
2000-09-15 21:51:13.624000,L7,356.36,360.17,354.53,349.23,341.59,337.12,332.21,334.02,331.30
2000-10-26 21:44:46.815000,L7,367.51,374.76,375.63,367.62,358.63,344.58,334.48,335.27,347.60
2000-12-04 21:50:58.069000,L7,,,,349.92,339.99,331.19,283.77,276.98,
2001-01-05 21:51:04.492000,L7,389.96,376.19,383.83,334.29,322.15,318.59,321.88,314.82,
2001-01-14 21:44:57.122000,L7,350.81,,,348.05,303.14,300.29,274.24,,
2001-01-21 21:51:10.359000,L7,376.66,408.87,382.29,375.38,364.84,362.03,346.11,347.95,356.42
2001-04-04 21:44:30.925000,L7,362.19,369.29,365.06,356.30,352.19,340.25,335.61,335.31,342.72
2001-04-20 21:44:34.614000,L7,378.32,362.72,381.71,373.14,363.70,322.28,287.60,307.77,355.66
2001-05-13 21:50:33.259000,L7,,344.74,331.51,309.50,326.10,283.29,,,
2001-05-22 21:44:18.615000,L7,370.58,360.63,343.18,349.10,371.40,345.43,336.91,357.10,344.67
2001-07-25 21:43:42.718000,L7,280.27,343.19,326.01,302.75,,,,,
2001-09-18 21:49:05.242000,L7,365.83,370.83,366.31,359.80,353.15,341.69,336.87,339.98,345.43
2001-10-04 21:48:54.017000,L7,370.02,374.09,372.53,363.64,358.13,343.83,344.03,353.12,351.28
2002-03-06 21:43:23.680000,L7,352.74,361.11,355.51,347.91,344.84,329.70,320.08,321.31,332.48
2002-04-14 21:49:26.507000,L7,368.11,372.05,366.56,366.00,356.72,344.07,338.63,340.75,349.64
2002-05-09 21:43:16.766000,L7,282.42,348.62,327.37,316.91,328.57,297.70,,,
2002-07-19 21:48:57.399000,L7,387.32,377.65,368.82,367.96,369.70,353.47,347.32,342.34,362.35
2002-09-14 21:42:19.037000,L7,357.88,363.43,357.49,350.40,350.18,334.95,323.52,323.67,335.42
2002-10-23 21:48:27.128000,L7,379.71,388.50,386.67,385.20,377.52,365.46,345.92,344.80,347.82
2002-12-10 21:48:53.163000,L7,360.02,372.66,365.63,370.81,385.71,338.16,323.85,328.99,369.00
2002-12-26 21:48:59.976000,L7,383.06,367.56,359.16,366.87,,,,,
2003-01-20 21:42:57.343000,L7,359.33,363.33,361.80,355.95,349.12,336.32,323.94,327.50,336.93
2003-02-05 21:43:05.844000,L7,358.40,361.00,359.11,355.39,352.09,335.76,331.45,332.30,339.40
2003-02-21 21:43:08.504000,L7,355.74,358.02,353.17,341.80,341.27,325.73,318.21,259.65,
2003-03-16 21:49:22.109000,L7,369.28,380.53,381.88,374.18,385.41,380.88,351.27,354.55,350.42
2003-03-25 21:43:05.785000,L7,366.30,375.32,370.93,368.63,359.84,346.96,337.55,337.13,344.11
2003-05-03 21:49:25.094000,L7,367.12,374.49,370.84,366.44,353.28,337.43,337.05,335.48,337.47
2003-07-30 21:37:21.273000,L5,357.94,363.53,353.69,354.08,348.02,334.50,322.39,319.06,329.78
2003-08-15 21:37:36.307000,L5,355.06,360.57,355.87,355.39,353.10,338.21,326.17,319.38,319.22
2003-10-18 21:38:36.209000,L5,369.78,378.29,371.12,363.49,355.97,345.19,323.68,305.70,313.93
2003-11-28 21:32:58.000000,L5,358.83,365.05,361.62,353.80,345.97,331.67,319.80,320.66,331.60
2003-12-14 21:33:02.337000,L5,342.79,347.68,343.59,332.14,329.69,308.81,290.68,,
2003-12-30 21:33:12.497000,L5,372.47,380.17,373.82,360.41,360.51,332.57,320.12,313.49,323.01
2004-01-15 21:33:14.008000,L5,364.83,369.58,359.61,344.78,347.21,330.11,316.09,320.74,331.53
2004-03-19 21:33:35.101000,L5,,,354.30,346.78,344.66,329.20,313.77,304.81,315.81
2004-04-20 21:34:19.103000,L5,366.67,351.14,363.67,355.24,354.75,337.74,330.68,322.63,337.81
2004-06-23 21:36:10.798000,L5,,330.04,346.00,339.22,340.87,323.93,314.90,306.82,319.61
2004-07-25 21:37:01.827000,L5,371.07,362.31,364.18,360.77,355.58,341.12,331.06,321.61,332.52
2004-09-18 21:44:34.791000,L5,366.24,359.74,362.82,353.34,348.55,332.57,319.37,316.82,326.88
2004-10-20 21:45:16.509000,L5,369.67,371.39,372.68,362.26,358.10,342.60,330.64,319.03,330.04
2004-11-30 21:39:51.941000,L5,365.28,372.72,371.93,363.83,358.62,346.45,338.85,332.23,346.02
2005-01-17 21:40:37.592000,L5,370.98,374.94,373.44,362.07,359.34,332.81,320.15,314.51,326.39
2005-02-09 21:47:07.285000,L5,368.71,373.73,371.38,348.76,346.23,328.29,323.56,312.25,331.30
