dates,satname,nzd0507-0000,nzd0507-0001,nzd0507-0002,nzd0507-0003,nzd0507-0004,nzd0507-0005,nzd0507-0006
1999-08-26 22:07:32.686000,L7,314.95,308.68,289.21,,,,
1999-12-16 22:07:33.708000,L7,319.46,290.24,277.36,,,,
2000-05-08 22:06:44.900000,L7,354.28,353.00,344.21,359.78,350.49,345.77,345.41
2000-06-25 22:06:19.852000,L7,336.02,347.50,319.17,335.24,330.92,313.71,346.02
2000-12-18 22:05:01.704000,L7,313.88,298.13,295.49,286.95,290.01,290.00,278.70
2001-01-03 22:05:00.181000,L7,342.33,339.39,335.32,351.04,347.47,341.84,323.34
2001-02-20 22:05:00.525000,L7,,,,,,273.41,299.03
2001-04-09 22:04:41.882000,L7,373.96,365.80,355.67,379.69,368.55,361.86,360.32
2001-06-28 22:03:56.771000,L7,333.28,334.28,314.15,321.74,326.27,307.90,335.82
2001-07-14 22:03:57.537000,L7,328.62,327.53,314.34,294.51,297.34,291.62,296.07
2001-08-15 22:03:26.328000,L7,334.80,321.24,312.21,292.72,,297.09,354.17
2001-10-02 22:02:52.358000,L7,345.90,342.92,335.62,353.30,356.17,349.04,353.38
2002-03-11 22:03:31.366000,L7,363.05,358.13,360.80,370.32,367.82,371.53,367.95
2002-04-12 22:03:25.302000,L7,340.13,348.83,337.07,354.47,352.74,345.69,347.36
2002-05-30 22:03:13.672000,L7,347.38,353.27,355.29,359.50,368.90,367.84,369.13
2002-06-15 22:03:07.576000,L7,337.73,335.92,320.38,336.42,344.20,336.23,339.89
2002-12-08 22:02:51.522000,L7,305.81,289.84,284.41,,,,
2002-12-24 22:02:57.022000,L7,320.25,307.42,303.37,283.84,282.43,297.09,282.30
2003-09-30 21:52:18.101000,L5,349.07,343.09,334.92,349.98,346.91,347.83,349.05
2003-11-17 21:52:57.120000,L5,364.39,338.85,335.83,340.37,341.47,338.62,342.76
2004-06-12 21:55:59.429000,L5,341.06,331.68,316.44,314.16,312.36,307.63,321.73
2004-06-28 21:56:28.308000,L5,319.70,300.61,283.55,285.25,292.21,288.93,294.42
2004-07-30 21:57:15.668000,L5,356.56,341.18,330.01,323.98,329.74,319.44,335.04
2004-10-18 21:59:11.702000,L5,345.58,339.87,330.32,321.90,321.37,317.88,326.51
2005-01-22 22:00:50.292000,L5,323.34,302.63,303.03,303.48,304.85,298.92,296.11
2005-03-11 22:01:31.683000,L5,315.92,301.51,292.93,285.88,289.29,290.61,291.26
2005-05-14 22:01:54.308000,L5,328.16,315.93,304.87,301.26,303.09,299.73,314.38
2005-10-05 22:02:41.026000,L5,351.07,339.38,328.18,323.74,322.61,319.56,329.27
2006-02-26 22:05:22.928000,L5,324.14,312.00,298.43,305.03,303.81,298.36,305.73
2006-03-14 22:05:42.635000,L5,343.26,331.56,320.87,322.55,321.73,314.60,326.66
2006-04-15 22:06:18.610000,L5,322.60,307.30,298.61,299.10,302.13,295.58,303.99
2006-06-02 22:07:00.083000,L5,,,,280.30,284.52,275.88,304.57
2006-11-25 22:09:07.763000,L5,335.52,318.10,311.29,307.18,308.22,301.51,306.38
2006-12-11 22:09:16.015000,L5,334.13,312.31,293.50,294.81,295.34,288.65,291.24
2008-11-14 21:57:52.281000,L5,357.70,341.69,332.72,329.27,331.17,323.91,331.08
2009-01-17 21:59:44.398000,L5,331.41,302.62,296.10,295.15,290.60,285.76,289.90
2010-02-05 22:05:29.575000,L5,339.70,312.95,302.05,305.90,304.36,295.85,297.55
2010-12-22 22:04:29.137000,L5,326.53,307.62,296.55,300.76,302.42,299.02,297.18
2011-02-08 22:04:35.159000,L5,354.38,369.57,378.35,380.41,376.82,374.83,367.02
2011-03-12 22:04:31.079000,L5,368.02,360.85,363.55,364.87,359.62,360.79,363.24
2013-06-05 22:16:38.960000,L8,,,,,287.69,284.56,300.90
2013-07-07 22:16:35.929000,L8,329.69,329.77,310.32,339.36,332.57,323.19,333.48
2013-07-23 22:16:34.633000,L8,327.21,330.45,319.13,335.40,324.59,317.31,330.87
2013-08-08 22:16:37.441000,L8,314.19,310.21,291.62,293.43,291.45,285.98,309.41
2013-09-25 22:16:28.938000,L8,335.35,323.74,320.48,326.99,326.58,318.38,326.15
2013-10-11 22:16:29.291000,L8,312.43,314.77,304.61,301.02,305.97,297.80,336.47
2013-10-27 22:16:19.549000,L8,322.50,318.60,306.45,313.27,312.20,318.27,324.90
2013-12-30 22:16:01.055000,L8,317.02,304.26,297.48,299.98,299.83,290.71,303.52
2014-03-20 22:15:01.497000,L8,333.93,320.61,309.37,312.50,308.03,304.01,313.60
2014-04-21 22:14:29.865000,L8,314.32,312.11,300.38,298.93,305.21,297.82,311.73
2014-08-11 22:14:39.696000,L8,325.50,322.93,304.72,307.43,308.34,305.96,322.49
2014-09-28 22:14:44.621000,L8,329.35,315.59,306.56,297.29,299.16,290.58,310.23
2014-11-15 22:14:49.314000,L8,331.69,314.16,312.39,311.14,307.17,303.16,307.35
2015-01-02 22:14:38.674000,L8,334.80,322.27,313.64,307.97,305.00,302.65,309.19
2015-06-27 22:13:58.027000,L8,313.61,316.12,298.28,306.16,306.13,300.78,316.58
2015-07-29 22:14:13.585000,L8,322.54,322.57,306.73,309.24,309.51,301.04,317.34
2015-11-18 22:14:44.822000,L8,324.07,312.48,302.19,296.63,294.16,284.68,307.25
2016-01-05 22:14:40.992000,L8,317.48,303.60,290.88,303.08,299.69,293.15,306.16
2016-04-26 22:14:08.933000,L8,325.45,318.05,294.66,311.71,310.52,305.20,311.94
2016-05-12 22:14:08.416000,L8,320.86,316.43,300.75,308.77,306.04,298.64,311.67
2016-07-15 22:14:34.059000,L8,312.61,314.51,296.40,294.60,297.32,285.40,305.80
2016-07-31 22:14:37.742000,L8,333.21,336.19,327.50,334.72,352.11,354.53,341.66
2016-08-16 22:14:41.427000,L8,342.55,345.96,356.87,365.56,359.72,355.82,357.35
2017-01-23 22:14:43.048000,L8,320.42,307.90,298.84,301.82,298.20,290.49,306.22
2017-08-03 22:14:35.682000,L8,314.19,315.23,295.44,295.17,291.87,286.42,310.86
2017-12-25 22:14:47.702000,L8,304.62,301.67,284.73,297.29,297.33,287.46,307.92
2018-02-11 22:14:26.201000,L8,,262.03,265.89,283.71,284.47,276.63,290.65
