dates,satname,nzd0330-0000,nzd0330-0001,nzd0330-0002,nzd0330-0003,nzd0330-0004,nzd0330-0008,nzd0330-0009,nzd0330-0010,nzd0330-0011,nzd0330-0012,nzd0330-0013,nzd0330-0014,nzd0330-0015,nzd0330-0016,nzd0330-0017,nzd0330-0018,nzd0330-0020,nzd0330-0021,nzd0330-0022,nzd0330-0023,nzd0330-0024,nzd0330-0025,nzd0330-0026,nzd0330-0027,nzd0330-0028,nzd0330-0029,nzd0330-0030,nzd0330-0031,nzd0330-0032,nzd0330-0033,nzd0330-0034,nzd0330-0035,nzd0330-0036,nzd0330-0037,nzd0330-0038,nzd0330-0039,nzd0330-0040,nzd0330-0041,nzd0330-0042,nzd0330-0043,nzd0330-0044,nzd0330-0045,nzd0330-0046,nzd0330-0047,nzd0330-0048,nzd0330-0049,nzd0330-0050,nzd0330-0051,nzd0330-0052,nzd0330-0053,nzd0330-0054,nzd0330-0055,nzd0330-0056,nzd0330-0057,nzd0330-0058,nzd0330-0059,nzd0330-0060,nzd0330-0061,nzd0330-0062,nzd0330-0019,nzd0330-0005,nzd0330-0006,nzd0330-0007
2000-07-06 21:46:26.953000,L7,,,,,,,284.56,311.62,297.91,292.34,304.89,330.70,328.95,313.06,300.13,308.93,319.63,319.36,329.76,318.42,343.31,358.99,364.65,335.12,300.09,312.96,335.19,312.06,,,,,,,,322.53,301.82,343.23,342.67,,,,,,,,,303.33,317.22,350.59,321.66,268.51,,361.31,381.38,,,,,341.31,,,
2000-07-13 21:52:07.753000,L7,328.07,310.15,293.99,367.77,342.40,296.44,347.88,353.46,350.69,310.40,328.12,315.95,318.30,318.14,304.63,313.90,326.75,339.84,338.63,339.38,336.55,370.60,355.46,332.40,335.99,331.70,340.07,341.13,358.00,333.91,333.38,360.60,338.68,347.45,347.12,346.16,334.08,348.11,346.03,349.97,342.31,340.09,335.54,326.72,341.05,360.05,358.42,364.68,353.18,364.54,370.85,366.29,368.13,369.61,356.21,363.21,368.43,362.10,360.03,356.65,,,
2000-07-29 21:51:50.349000,L7,323.85,311.75,294.55,365.38,334.57,336.68,358.33,366.91,361.62,350.24,377.38,344.18,352.02,315.13,374.33,377.21,,,,,,368.13,366.99,365.44,334.76,363.94,370.29,358.89,335.92,337.78,333.87,337.23,344.65,348.60,355.99,353.18,337.29,355.73,351.53,359.65,351.81,349.83,341.17,347.26,351.97,391.77,,,364.50,378.33,389.81,374.72,374.81,375.36,370.35,377.48,396.84,,,,,,353.02
2000-08-14 21:51:44.223000,L7,328.14,316.16,293.18,355.63,353.34,273.67,315.47,356.86,343.44,309.95,325.76,312.02,311.24,313.95,312.90,304.96,322.31,340.92,325.50,344.28,320.82,324.66,333.95,332.42,321.26,320.09,329.99,313.80,339.27,333.80,330.97,358.99,344.72,341.62,350.25,363.24,359.16,356.40,364.72,354.18,350.69,340.63,332.58,329.58,336.57,357.59,358.97,363.09,352.24,363.45,372.53,361.40,360.83,357.62,347.95,353.54,354.69,354.13,352.32,324.15,,,
2000-10-26 21:45:10.779000,L7,371.97,373.29,368.63,373.22,377.24,,,,,,,,,,317.06,362.57,370.41,373.10,374.09,365.98,355.09,364.80,375.18,369.42,355.03,356.55,363.49,345.87,341.81,350.21,349.86,356.60,343.42,352.41,357.31,353.29,343.01,354.26,360.08,362.36,355.49,353.02,353.79,363.87,352.17,385.01,368.44,378.79,355.55,366.83,378.65,374.82,379.81,380.65,373.25,371.94,390.66,381.73,379.17,366.95,301.20,,
2000-12-04 21:50:58.069000,L7,,,,,,344.41,344.83,,,336.61,330.25,328.20,335.69,317.92,348.53,346.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.97,345.69
2001-01-05 21:51:04.492000,L7,,,,,,334.69,315.50,,,331.36,324.13,318.24,326.14,335.76,337.09,313.77,340.64,343.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.16,340.19,343.52,343.08
2001-02-06 21:51:02.555000,L7,377.71,383.15,387.98,386.94,390.18,381.17,378.46,370.79,341.30,333.82,323.34,324.51,343.57,335.43,345.49,,,,,,,,,,,358.61,358.33,358.39,356.16,358.14,354.85,353.69,345.13,348.62,355.84,358.47,355.29,354.19,398.01,,359.32,363.92,359.86,356.61,344.89,363.60,364.83,368.54,358.09,376.87,386.75,388.08,,,,,,,,,386.10,396.87,388.38
2001-04-04 21:44:54.882000,L7,355.43,325.13,294.78,343.11,346.01,282.35,303.39,325.57,367.29,316.02,336.60,302.00,321.27,335.35,315.18,293.90,336.54,320.77,324.04,329.65,323.48,319.80,323.26,330.13,326.41,318.34,335.52,320.73,329.71,338.71,322.86,348.04,344.49,349.40,361.71,357.43,345.77,356.66,366.15,363.16,355.14,357.42,347.85,341.26,336.28,354.96,363.69,373.61,360.63,374.25,387.18,383.87,376.94,374.03,369.03,366.22,372.80,365.67,364.87,316.08,,,
2001-04-27 21:50:43.832000,L7,336.34,314.02,288.97,340.56,342.79,,,,338.58,295.81,301.41,298.47,307.11,298.66,289.93,286.67,312.14,315.51,311.25,325.09,306.98,316.44,317.25,321.77,319.93,314.18,304.99,308.80,322.89,311.47,333.67,330.74,339.97,339.59,336.90,369.27,319.11,314.11,337.60,349.97,328.04,323.19,,,,,,,,,,,,,,,,,,305.31,,,
2001-05-13 21:50:33.259000,L7,311.27,295.74,279.92,333.38,324.42,,,,,281.05,306.94,297.60,292.33,281.17,269.57,285.23,288.28,303.89,299.74,304.19,300.83,299.39,303.90,303.82,311.17,300.54,306.82,292.67,307.03,309.43,327.33,341.58,313.00,325.09,323.87,332.00,329.80,329.59,331.93,330.40,323.94,334.43,321.72,311.71,358.90,330.76,335.06,365.71,316.77,337.49,376.40,339.62,348.23,361.11,341.21,361.01,369.53,344.46,335.54,303.91,,,
2001-05-22 21:44:42.575000,L7,327.42,309.06,349.59,,,,,,,345.96,309.58,310.44,323.43,313.93,351.79,303.62,371.57,,,,,,,,,,,,331.04,332.96,337.30,351.02,336.69,354.57,342.13,348.56,332.23,360.13,393.79,,,354.53,332.81,333.19,356.80,333.43,352.16,359.76,354.68,371.94,386.11,366.93,364.72,364.21,352.01,361.30,361.65,359.42,354.54,365.06,,,
2001-07-25 21:44:06.674000,L7,335.15,324.91,289.44,350.11,337.49,290.80,317.01,359.77,348.25,306.35,313.09,300.39,346.22,298.13,287.60,286.52,315.94,319.16,338.24,331.15,321.30,328.06,327.36,327.73,321.93,320.45,323.52,304.89,317.34,335.56,317.87,326.38,323.76,326.33,350.78,340.07,330.25,387.73,342.92,336.25,334.15,308.43,288.66,287.26,314.97,331.57,279.90,316.82,330.93,367.69,377.26,357.52,356.02,343.36,339.04,358.80,359.46,365.66,384.65,319.30,,,
2001-08-10 21:43:48.419000,L7,325.73,361.22,380.24,394.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.26,350.65,351.36,,,,
2001-09-02 21:49:17.229000,L7,333.20,331.76,299.52,353.62,351.79,272.98,306.02,325.83,337.48,304.40,302.82,298.83,302.51,301.60,295.24,287.87,272.02,258.26,257.23,,250.24,280.72,282.52,309.09,305.46,301.35,296.52,297.72,317.37,320.73,322.47,331.03,310.53,328.79,334.14,326.35,330.01,348.28,370.45,,,347.72,357.54,329.18,349.89,334.26,350.76,,325.76,340.85,351.79,373.23,365.84,360.26,360.57,348.67,342.32,356.55,352.58,296.95,324.33,,
2001-09-18 21:49:05.242000,L7,362.85,378.67,,,,371.21,369.36,357.10,365.07,361.87,,,,,383.81,366.14,382.40,,,362.70,349.33,345.62,350.98,352.21,347.46,,,,,,,,,,,,,,349.47,350.74,347.40,340.90,343.91,332.14,331.12,348.52,354.26,359.27,345.98,360.56,376.57,365.38,362.04,356.52,355.64,355.95,356.59,357.66,350.02,373.96,,,367.27
2002-01-17 21:43:40.748000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.81,328.28,299.52,,,,
2002-02-25 21:49:35.857000,L7,376.90,377.18,372.13,375.98,379.51,364.21,376.75,,,335.52,333.25,341.74,337.81,335.69,343.79,,,373.13,364.66,362.61,357.29,353.65,362.99,368.88,367.35,361.48,363.05,362.58,353.74,358.39,355.98,359.81,356.82,353.03,361.86,361.57,356.42,369.80,365.29,366.28,357.54,358.85,359.06,,,,377.53,388.86,368.44,383.36,391.80,381.40,380.93,,,,,,,,380.42,346.98,353.89
2002-03-06 21:43:47.645000,L7,348.74,332.51,298.86,341.32,355.83,283.02,305.58,325.87,349.10,304.83,315.35,302.56,303.37,302.86,291.85,292.16,312.74,323.52,346.88,332.46,338.24,323.31,329.04,329.54,323.88,324.81,323.59,318.93,332.05,331.98,351.85,336.48,332.33,342.94,348.52,349.81,331.86,347.02,361.25,366.03,359.15,354.30,366.67,349.97,344.02,352.34,354.69,359.37,350.65,358.72,376.24,366.10,368.00,366.55,368.19,359.41,370.02,354.68,356.01,311.41,299.56,,
2002-05-09 21:43:40.721000,L7,323.05,333.48,289.87,377.88,363.58,298.37,310.27,349.99,339.81,346.92,306.89,311.58,311.03,292.41,303.69,301.28,326.91,320.73,329.41,333.09,333.35,352.48,348.01,339.17,329.40,331.97,346.67,317.83,332.82,347.67,340.55,361.74,335.05,337.74,348.65,342.88,340.26,347.37,358.45,357.88,352.13,354.82,346.42,333.79,338.41,347.11,347.90,357.05,346.14,367.69,380.15,375.61,370.12,367.61,360.00,357.09,357.28,352.25,346.05,319.12,,,
2002-07-19 21:48:57.399000,L7,314.93,306.05,366.55,354.04,331.55,338.73,373.70,358.60,333.89,302.78,324.71,346.61,314.04,288.94,295.49,295.42,308.75,318.70,320.03,326.86,336.98,349.33,367.55,324.41,319.51,321.17,311.22,324.25,336.94,312.53,319.28,317.07,322.55,317.80,335.44,329.91,327.66,336.94,338.04,346.03,340.62,338.93,318.96,323.32,322.56,335.97,333.90,346.38,338.81,356.13,360.61,357.25,358.53,353.78,352.79,352.65,353.59,351.03,347.78,348.54,,,353.30
2002-08-20 21:48:46.449000,L7,333.55,331.47,302.91,372.81,385.08,322.70,352.07,348.01,347.45,311.42,332.92,330.26,330.88,347.04,313.01,381.82,333.11,344.07,330.08,350.58,355.15,341.99,348.06,345.71,338.49,336.54,335.78,325.56,345.89,345.29,329.49,333.74,,342.52,344.70,340.21,337.66,355.28,346.15,356.12,354.99,346.59,335.64,345.36,353.56,383.44,357.35,368.35,350.19,371.26,376.09,368.94,369.40,375.67,363.76,359.35,368.15,367.23,368.74,345.39,,368.83,344.86
2002-09-05 21:48:38.182000,L7,300.94,366.91,285.67,,,,314.62,364.53,379.55,296.27,363.09,350.56,375.39,344.36,351.65,351.09,342.15,344.34,343.97,345.40,327.75,,,,,,343.35,320.37,355.07,326.44,338.04,332.65,338.19,352.16,368.24,362.59,357.60,360.41,371.87,,,,,,,,,,,,,,,,,,,,,349.89,,,
2002-09-14 21:42:42.988000,L7,334.65,313.88,287.49,338.95,344.27,284.52,306.42,337.85,333.90,305.06,306.80,300.04,304.38,296.12,303.11,285.26,309.45,315.38,313.74,317.16,312.52,321.21,318.70,320.37,316.24,319.51,322.97,310.12,323.33,307.98,321.77,319.48,315.03,333.70,339.43,334.91,336.17,324.99,352.74,356.84,349.26,354.78,348.90,324.14,327.55,338.29,341.72,354.85,323.92,342.74,367.40,355.99,355.96,344.75,337.54,353.62,359.55,360.10,352.02,310.27,,,
2002-10-16 21:42:36.617000,L7,,,,,,291.66,322.82,368.61,369.86,328.08,315.10,313.17,357.24,351.38,321.10,305.09,326.64,333.67,332.25,332.83,332.63,337.71,336.73,344.64,339.96,336.54,332.43,,,,,,,,,,,373.48,355.30,352.66,351.33,346.79,337.00,337.13,325.95,344.47,348.90,353.51,344.68,357.89,375.70,369.16,365.69,360.89,354.55,355.49,360.69,354.70,349.44,324.69,,,
2002-10-23 21:48:27.128000,L7,,,,,,337.65,346.44,,,,,345.97,346.76,353.06,344.42,345.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.72,350.75,294.67
2002-12-10 21:48:53.163000,L7,,,,,,284.63,339.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.54,372.42,381.22,382.16,376.07,368.16,,,340.53,332.12
2002-12-26 21:48:59.976000,L7,,,,,350.16,337.94,343.63,,,335.03,330.02,331.15,328.72,327.87,329.89,334.61,338.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.38,355.09,349.86,344.61
