dates,satname,nzd0415-0000,nzd0415-0001,nzd0415-0056,nzd0415-0057,nzd0415-0058,nzd0415-0002,nzd0415-0003,nzd0415-0045,nzd0415-0046,nzd0415-0047,nzd0415-0110,nzd0415-0111,nzd0415-0041,nzd0415-0042,nzd0415-0043,nzd0415-0044,nzd0415-0093,nzd0415-0094,nzd0415-0095,nzd0415-0019,nzd0415-0020,nzd0415-0061,nzd0415-0062,nzd0415-0063,nzd0415-0066,nzd0415-0067,nzd0415-0068,nzd0415-0069,nzd0415-0070,nzd0415-0071,nzd0415-0075,nzd0415-0076,nzd0415-0077,nzd0415-0078,nzd0415-0079,nzd0415-0080,nzd0415-0081,nzd0415-0082,nzd0415-0087,nzd0415-0088,nzd0415-0089,nzd0415-0090,nzd0415-0053,nzd0415-0054,nzd0415-0055,nzd0415-0050,nzd0415-0051,nzd0415-0052,nzd0415-0100,nzd0415-0101,nzd0415-0102,nzd0415-0103,nzd0415-0104,nzd0415-0105,nzd0415-0099,nzd0415-0059,nzd0415-0028,nzd0415-0029,nzd0415-0004,nzd0415-0092,nzd0415-0005,nzd0415-0013,nzd0415-0014,nzd0415-0015,nzd0415-0016,nzd0415-0021,nzd0415-0022,nzd0415-0091,nzd0415-0009,nzd0415-0010,nzd0415-0011,nzd0415-0018,nzd0415-0097,nzd0415-0098,nzd0415-0060,nzd0415-0072,nzd0415-0064,nzd0415-0065,nzd0415-0024,nzd0415-0025,nzd0415-0026,nzd0415-0085,nzd0415-0086,nzd0415-0027,nzd0415-0012,nzd0415-0035,nzd0415-0036,nzd0415-0037,nzd0415-0038,nzd0415-0039,nzd0415-0040,nzd0415-0073,nzd0415-0074,nzd0415-0023,nzd0415-0096,nzd0415-0006,nzd0415-0007,nzd0415-0008,nzd0415-0017,nzd0415-0109,nzd0415-0084,nzd0415-0106,nzd0415-0083,nzd0415-0033,nzd0415-0034,nzd0415-0048,nzd0415-0049,nzd0415-0107,nzd0415-0108
2000-08-05 21:58:44.520000,L7,366.25,404.01,,,,396.54,396.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-06 21:58:22.821000,L7,,390.16,,,,394.39,371.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.52,,,,,,,,,,366.61,,,,,,377.21,,,,,,,,,,,,,,,,,,,,,,,,,,,347.26,372.11,,,,,,,,,,,,,,,,,,351.65,,,,,,,,
2000-10-08 21:58:00.300000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.73,,,,,,350.79,,,,,,,,,,,,,,,,,,,379.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-25 21:57:58.896000,L7,365.08,384.97,,,,380.21,384.73,,,,,,,,,,,,,373.53,382.83,358.56,371.15,295.87,382.52,362.73,397.22,384.53,371.33,381.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-11 22:03:45.250000,L7,,,,,,,,,,,,,,,,,328.44,364.64,379.77,,,,,,,,,,,,375.46,283.36,371.73,307.63,338.85,365.48,382.47,,,,,,,,,,,,332.16,393.72,,,,,376.09,,,,,,,,,,,,,,,,,,,,,387.17,,,,,,,,,,,,,,,,322.07,354.16,,383.97,,,,,,,,,,,,,,
2001-07-07 21:57:00.006000,L7,337.01,411.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-14 22:03:09.614000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.83,281.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.88,,,,,,,,,,,,,,,,317.23,376.30,,,,,,,,,,,,,,,,
2001-08-15 22:02:38.465000,L7,,,,316.81,343.85,,,,,,,,,,,,328.88,315.89,294.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.31,,,,,,368.43,357.08,,,,,,,,,,,,,,,,,,,304.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-25 21:56:04.528000,L7,,384.85,,,,373.34,378.42,,,,,,,,,,,,,,,,,,,,,379.88,371.60,386.74,,,,,,,,,,,,,,,,,,,,,,,,325.41,,,,,,,,,,,,,,,,,,,,,,305.96,,,,,,,,,,,,,,,,265.21,,,,,,,,,,361.39,,,,,,,
2001-10-02 22:02:04.420000,L7,324.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.27,331.69,381.51,376.60,379.52,370.48,338.26,407.59,286.35,368.20,340.04,321.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
