dates,nzd0415-0000,nzd0415-0001,nzd0415-0056,nzd0415-0057,nzd0415-0058,nzd0415-0002,nzd0415-0003,nzd0415-0045,nzd0415-0046,nzd0415-0047,nzd0415-0110,nzd0415-0111,nzd0415-0041,nzd0415-0042,nzd0415-0043,nzd0415-0044,nzd0415-0093,nzd0415-0094,nzd0415-0095,nzd0415-0019,nzd0415-0020,nzd0415-0061,nzd0415-0062,nzd0415-0063,nzd0415-0066,nzd0415-0067,nzd0415-0068,nzd0415-0069,nzd0415-0070,nzd0415-0071,nzd0415-0075,nzd0415-0076,nzd0415-0077,nzd0415-0078,nzd0415-0079,nzd0415-0080,nzd0415-0081,nzd0415-0082,nzd0415-0087,nzd0415-0088,nzd0415-0089,nzd0415-0090,nzd0415-0053,nzd0415-0054,nzd0415-0055,nzd0415-0050,nzd0415-0051,nzd0415-0052,nzd0415-0100,nzd0415-0101,nzd0415-0102,nzd0415-0103,nzd0415-0104,nzd0415-0105,nzd0415-0099,nzd0415-0059,nzd0415-0028,nzd0415-0029,nzd0415-0004,nzd0415-0092,nzd0415-0005,nzd0415-0013,nzd0415-0014,nzd0415-0015,nzd0415-0016,nzd0415-0021,nzd0415-0022,nzd0415-0091,nzd0415-0009,nzd0415-0010,nzd0415-0011,nzd0415-0018,nzd0415-0097,nzd0415-0098,nzd0415-0060,nzd0415-0072,nzd0415-0064,nzd0415-0065,nzd0415-0024,nzd0415-0025,nzd0415-0026,nzd0415-0085,nzd0415-0086,nzd0415-0027,nzd0415-0012,nzd0415-0035,nzd0415-0036,nzd0415-0037,nzd0415-0038,nzd0415-0039,nzd0415-0040,nzd0415-0073,nzd0415-0074,nzd0415-0023,nzd0415-0096,nzd0415-0006,nzd0415-0007,nzd0415-0008,nzd0415-0017,nzd0415-0109,nzd0415-0084,nzd0415-0106,nzd0415-0083,nzd0415-0033,nzd0415-0034,nzd0415-0048,nzd0415-0049,nzd0415-0107,nzd0415-0108,satname
2000-11-25 21:57:58+00:00,,,,,,,,,,,,,,,,325.71500000000003,331.78,,314.56,,,,,295.87,,,,,,,,,,,,,,,,,,,,,,,,,332.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.65,,,,,,,,,L7
2001-07-14 22:03:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.23,,,,,,,,,,,,,,,,,,L7
2001-08-15 22:02:38+00:00,,,,316.81,,,,,,,,,,,,,328.88,315.89,294.75,,,,,,,,,,,,,281.4,,,,,,,,,,,,,,,,,339.31,,,,,,,,,,,,,,,,,,,,,,,,,,304.66,,,,,,,,,,,,,,,,,317.23,,,,,,,,,,,,,,,,,,L7
2001-09-25 21:56:04+00:00,,,,316.81,,,,,,,,,,,,,328.88,315.89,294.75,,,,,,,,,,,,,281.4,,,,,,,,,,,,,,,,,339.31,,,,,325.41,,,,,,,,,,,,,,,,,,,,,304.66,305.96,,,,,,,,,,,,,,,,317.23,,,,,,,,,,,,,,,,,,L7
2001-10-02 22:02:04+00:00,324.36,,,316.81,,,,,,,,,,,,,328.88,315.89,294.75,,,,,,,,,,,,,281.4,,,,,338.26,,286.35,,340.04,,,,,,,,339.31,,,,,325.41,,,,,,,,,,,,,,,,,,,,,304.66,305.96,,,,,,,,,,,,,,,,317.23,,,,,,,,,,,,,,,,,,L7
2001-12-30 21:56:13+00:00,324.36,,,316.81,,,,,,,307.34,288.94,,,,,328.88,315.89,294.75,,,,,,,,,,,,,281.4,,,,,338.26,,286.35,,340.04,,,,,,,,339.31,,,,,325.41,,,,,,,,,,,,,,,,,,,,,304.66,305.96,,312.8,,,,,,,,,,,,,,317.23,,,,,,,,309.14,,,,,,,,,,L7
2002-07-17 22:02:08+00:00,,,,,,,,,,,,,,,,,322.14,354.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.02,,,,,,,,,,L7
2002-08-02 22:02:01+00:00,,,,,,,,,,,,,,,,,323.085,354.05,,,,,,,,,,,,,,,,,,,,,,,,,351.06,,310.12,,,,289.19,334.44,326.52,342.66,336.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.02,,,,,,,,,,L7
2002-10-14 21:55:19+00:00,,,,,,,,,,,,,,,,,323.085,354.05,,,,,,,,,,,,,,,,,,,342.6,,,,,,351.06,,310.12,,,,289.19,334.44,326.52,342.66,336.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.21,,,,,,,,,,,,,,,,,297.02,,,,,,,,,,L7
2003-02-19 21:56:18+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.24,,,,,342.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.21,,,,,,,,,337.43,,,,,,,,,,,,,,,,,,L7
