dates,satname,nzd0336-0000,nzd0336-0001,nzd0336-0002,nzd0336-0003,nzd0336-0004,nzd0336-0005,nzd0336-0006,nzd0336-0007,nzd0336-0008
2001-12-21 22:02:05.831000,L7,,,,,,,,214.66,199.06
2004-01-04 21:51:46.048000,L5,,,,205.78,215.24,216.11,214.08,199.86,
2004-01-04 21:52:10.021000,L5,,,,203.88,207.30,214.77,210.95,197.29,
2010-10-03 22:03:04.727000,L5,,231.72,287.97,260.68,254.72,,170.67,225.39,336.86
2013-09-16 22:21:09.463000,L8,,,,,268.10,246.15,240.75,239.35,229.53
2013-10-18 22:21:01.576000,L8,,,,,,228.10,221.23,217.94,
2013-10-27 22:14:43.714000,L8,254.79,257.74,190.02,235.91,262.72,236.23,232.11,227.41,
2013-11-03 22:20:56.205000,L8,257.40,266.09,266.75,270.30,269.88,245.80,238.84,239.72,230.75
2013-11-19 22:20:49.563000,L8,315.85,289.84,284.66,288.66,317.97,323.53,318.06,314.21,254.64
2013-12-14 22:14:33.459000,L8,315.28,286.96,282.52,287.94,289.88,267.15,266.78,261.44,251.31
2013-12-14 22:14:57.422000,L8,315.50,287.48,283.01,289.23,290.37,267.64,267.84,261.98,251.58
2013-12-21 22:20:39.177000,L8,248.92,252.56,201.10,237.52,250.13,232.79,224.76,223.19,182.42
2014-02-07 22:20:09.196000,L8,291.22,267.35,197.63,217.72,267.35,244.45,236.67,231.64,
2014-02-16 22:13:50.683000,L8,289.90,266.22,197.35,210.60,267.28,245.20,239.20,238.49,229.28
2014-02-16 22:14:14.638000,L8,236.71,,,,,242.56,202.51,228.19,
2014-09-28 22:13:08.778000,L8,,,173.79,217.48,264.88,244.42,240.33,231.75,212.54
2014-10-21 22:19:25.564000,L8,252.26,261.76,,,,,,,
2014-11-06 22:19:25.282000,L8,315.71,289.76,283.94,285.04,290.86,268.17,264.18,261.89,250.99
2014-12-01 22:13:12.181000,L8,248.53,254.14,193.53,225.04,256.42,,,,
2014-12-01 22:13:36.144000,L8,254.81,261.64,226.33,243.38,260.31,237.58,233.06,230.41,
2015-01-09 22:19:14.700000,L8,,,,265.60,261.08,243.95,238.18,236.59,229.99
2015-01-25 22:19:08.635000,L8,250.99,251.03,204.49,232.16,250.64,,,,
2015-02-10 22:19:02.830000,L8,,,196.79,216.84,247.16,232.25,228.77,221.21,
2015-02-19 22:12:49.582000,L8,291.51,263.48,,195.80,263.42,244.53,241.53,235.47,
2015-02-19 22:13:13.545000,L8,293.96,266.05,212.85,204.56,266.49,245.53,245.40,238.14,
2015-03-23 22:12:56.955000,L8,,,,173.33,259.75,244.51,236.12,226.93,
