dates,satname,nzd0539-0000,nzd0539-0002,nzd0539-0003,nzd0539-0004,nzd0539-0006,nzd0539-0007,nzd0539-0008,nzd0539-0009,nzd0539-0010,nzd0539-0011,nzd0539-0012,nzd0539-0013,nzd0539-0014,nzd0539-0015,nzd0539-0016,nzd0539-0017,nzd0539-0018,nzd0539-0019,nzd0539-0020,nzd0539-0021,nzd0539-0022,nzd0539-0023,nzd0539-0024,nzd0539-0025,nzd0539-0026,nzd0539-0027,nzd0539-0028,nzd0539-0029,nzd0539-0030,nzd0539-0031,nzd0539-0032,nzd0539-0033,nzd0539-0034,nzd0539-0035,nzd0539-0036,nzd0539-0037,nzd0539-0038,nzd0539-0039,nzd0539-0040,nzd0539-0041,nzd0539-0042,nzd0539-0043,nzd0539-0044,nzd0539-0045,nzd0539-0046,nzd0539-0047,nzd0539-0048,nzd0539-0049,nzd0539-0050,nzd0539-0051,nzd0539-0052,nzd0539-0053,nzd0539-0054,nzd0539-0055,nzd0539-0056,nzd0539-0057,nzd0539-0058,nzd0539-0059,nzd0539-0060,nzd0539-0061,nzd0539-0062,nzd0539-0063,nzd0539-0064,nzd0539-0065,nzd0539-0066,nzd0539-0067,nzd0539-0068,nzd0539-0069,nzd0539-0070,nzd0539-0071,nzd0539-0072,nzd0539-0073,nzd0539-0074,nzd0539-0075,nzd0539-0076,nzd0539-0077,nzd0539-0078,nzd0539-0079,nzd0539-0080,nzd0539-0081,nzd0539-0082,nzd0539-0083,nzd0539-0084,nzd0539-0113,nzd0539-0114,nzd0539-0115,nzd0539-0116,nzd0539-0117,nzd0539-0118,nzd0539-0119,nzd0539-0120,nzd0539-0121,nzd0539-0122,nzd0539-0123,nzd0539-0124,nzd0539-0125,nzd0539-0126,nzd0539-0127,nzd0539-0128,nzd0539-0129,nzd0539-0130,nzd0539-0131,nzd0539-0132,nzd0539-0133,nzd0539-0134,nzd0539-0135,nzd0539-0136,nzd0539-0137,nzd0539-0138,nzd0539-0005,nzd0539-0085,nzd0539-0086,nzd0539-0087,nzd0539-0088,nzd0539-0089,nzd0539-0090,nzd0539-0091,nzd0539-0092,nzd0539-0093,nzd0539-0094,nzd0539-0095,nzd0539-0096,nzd0539-0097,nzd0539-0098,nzd0539-0099,nzd0539-0100,nzd0539-0101,nzd0539-0102,nzd0539-0103,nzd0539-0104,nzd0539-0105,nzd0539-0106,nzd0539-0107,nzd0539-0108,nzd0539-0109,nzd0539-0110,nzd0539-0111,nzd0539-0112,nzd0539-0001
1999-08-08 22:19:52.507000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.53,438.58,371.44,414.82,432.27,486.52,442.71,429.72,426.79,403.02,381.98,321.83,337.95,339.58,381.34,281.77,335.85,289.84,346.16,349.26,353.51,216.18,,,,,342.48,282.41,324.10,331.07,301.23,171.10,,,204.61,235.23,276.21,280.76,255.72,215.92,279.83,234.76,244.88,259.21,214.43,209.81,261.02,226.61,187.76,211.77,226.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.78,203.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-27 22:19:51.122000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.13,509.13,505.67,483.03,431.46,467.35,491.22,499.17,500.98,491.11,502.27,485.52,484.70,496.68,466.50,472.95,478.72,455.94,448.80,430.72,430.97,414.59,407.71,403.81,409.53,403.54,384.25,419.65,370.39,377.79,367.33,375.94,374.26,400.09,408.34,388.31,378.95,373.22,388.00,384.86,420.34,417.61,437.17,434.61,274.24,254.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.24,266.34,262.95,247.79,224.05,218.38,373.55,343.17,263.84,200.30,269.23,285.42,282.85,292.64,266.59,256.09,249.28,202.02,182.50,179.61,,,,,,,,,
1999-11-05 22:13:40.966000,L7,,,,,,,,,,,,,,,,,,,,,,,509.72,525.02,506.55,500.57,494.02,487.23,468.05,477.19,460.65,453.06,445.65,439.53,435.68,421.73,429.83,421.81,421.44,409.40,408.43,410.04,412.52,419.00,423.17,429.40,439.80,439.83,442.48,437.83,436.45,442.95,438.77,432.00,431.34,415.23,416.29,416.14,406.12,401.70,401.76,392.44,392.64,394.38,387.87,382.61,388.19,386.05,380.75,379.47,379.95,385.74,397.38,400.05,425.53,424.66,417.34,419.53,415.26,419.16,412.73,413.76,414.70,322.92,317.97,323.46,321.44,320.30,333.94,340.52,339.00,330.23,341.51,343.45,341.44,354.96,365.12,384.21,398.92,404.58,413.56,407.07,395.81,392.58,381.09,371.21,391.65,394.24,397.65,,415.94,411.73,415.81,508.77,527.59,519.19,511.17,411.48,523.93,526.11,529.39,477.39,385.88,383.33,382.33,371.10,371.76,377.27,364.69,359.41,354.72,351.16,350.46,346.66,336.96,331.36,324.58,324.61,
1999-11-21 22:13:35.965000,L7,,,,,,,,,,,,,,,,,535.91,491.67,520.08,488.78,480.66,476.62,467.63,477.19,505.35,501.32,517.74,449.94,460.21,463.90,449.65,523.36,441.46,462.15,505.18,496.21,495.24,412.27,410.61,408.32,404.30,406.32,404.16,412.53,444.26,456.22,452.28,417.10,420.88,423.37,431.90,459.41,423.83,414.37,406.34,406.18,411.97,443.17,482.49,445.72,492.61,289.61,331.87,273.26,196.65,397.06,470.56,364.61,369.14,381.69,381.47,368.78,392.99,427.06,522.40,464.89,447.38,403.28,305.24,280.55,353.20,367.22,358.26,363.06,262.62,272.57,276.57,279.36,317.47,311.07,320.40,427.78,,531.34,328.88,268.47,264.59,302.83,255.71,248.37,253.00,254.15,255.39,313.99,355.29,394.06,371.77,421.30,374.76,,351.46,,,,,166.25,306.42,314.20,313.20,310.82,296.11,304.72,318.39,311.26,305.83,300.70,295.65,451.72,484.85,341.75,292.50,328.36,355.32,268.62,253.04,272.82,329.32,377.97,
1999-12-07 22:13:41.663000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,520.64,518.68,502.10,526.78,485.34,502.00,494.82,489.78,482.54,486.25,478.64,452.79,463.62,454.02,447.30,440.95,414.45,437.62,426.05,434.70,446.24,450.16,449.67,460.75,467.78,469.58,461.86,462.78,461.80,459.61,438.92,444.12,425.63,431.36,410.74,410.67,407.16,405.61,398.07,400.35,398.09,401.84,388.35,389.88,392.04,394.34,395.01,402.53,412.51,417.09,416.63,424.29,426.48,428.80,430.27,429.34,425.31,370.60,337.98,343.49,338.67,333.52,333.74,352.62,347.94,351.33,358.61,360.67,362.47,365.66,385.13,377.70,395.21,406.78,416.44,422.30,407.93,407.63,398.16,394.18,369.20,394.29,409.63,411.51,,375.54,375.15,384.65,379.13,386.08,378.02,329.40,374.09,374.31,364.97,320.27,347.03,338.56,338.67,332.26,308.40,324.98,332.43,316.88,372.14,368.54,490.51,490.32,491.25,512.39,485.29,466.91,344.86,
1999-12-30 22:19:45.690000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.15,527.29,522.72,523.23,515.46,506.66,507.80,497.82,488.09,488.15,474.50,459.95,445.41,435.06,420.10,411.22,410.62,407.02,397.26,393.67,390.98,378.49,362.28,356.98,349.65,343.90,338.11,336.04,467.49,519.99,503.02,329.95,329.29,329.70,333.49,328.15,325.78,320.78,306.76,222.63,175.19,197.31,190.89,228.62,223.57,229.86,158.36,235.23,230.54,250.45,252.80,264.99,215.27,203.27,192.98,211.17,192.05,,,,200.59,208.88,179.47,150.04,,,297.48,292.68,288.78,280.24,270.32,259.95,257.23,247.27,245.64,235.26,228.71,220.59,213.90,206.02,206.18,194.28,194.74,180.91,317.72,314.77,262.85,267.87,260.50,255.72,248.36,237.55,228.13,247.54,
2000-04-20 22:19:15.385000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.25,490.78,463.81,434.87,463.34,498.23,456.07,411.62,418.03,414.43,404.75,388.08,379.91,355.66,340.31,350.40,354.66,319.80,353.67,314.75,340.38,322.04,309.09,301.78,363.90,349.43,346.73,332.80,332.36,342.94,328.65,357.45,348.16,359.85,344.04,339.58,387.28,,352.50,313.23,369.64,364.95,417.73,360.39,293.49,,,378.09,323.84,324.30,297.14,250.24,322.33,310.89,308.68,274.23,,,353.24,300.00,279.23,329.50,332.53,298.64,264.59,194.36,180.02,178.11,167.81,167.38,169.23,150.70,231.39,,489.41,490.31,504.77,452.55,454.63,504.41,517.68,454.19,460.58,405.26,315.20,425.77,
2000-05-31 22:12:42.435000,L7,316.01,177.87,327.67,365.93,300.64,330.85,488.54,428.54,441.33,378.10,233.10,201.72,326.93,357.97,360.06,352.81,318.02,334.30,369.85,330.86,245.25,333.40,345.39,323.27,356.05,294.87,301.38,265.51,261.81,289.83,254.39,257.01,257.64,260.06,319.00,328.00,248.27,316.04,310.13,295.39,282.07,303.16,326.59,309.51,327.13,301.49,324.35,227.50,220.54,312.49,306.49,355.42,329.80,305.04,302.34,300.42,316.29,252.31,297.27,235.96,245.37,316.88,306.82,256.50,308.46,298.82,264.05,297.17,297.04,277.25,295.38,261.53,292.51,283.11,248.15,262.43,283.96,277.88,188.55,194.97,167.79,167.28,271.21,179.41,190.59,203.91,211.91,212.60,197.94,209.01,227.86,221.73,215.91,238.41,254.06,257.98,277.66,273.16,279.16,287.64,286.86,283.39,287.21,311.79,303.13,256.31,265.33,285.73,301.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-16 22:12:38.425000,L7,,,,413.15,422.11,446.06,513.25,421.28,421.35,401.47,462.46,438.39,415.70,408.00,,,,,,,,,499.15,462.61,456.37,450.32,457.01,442.00,433.09,436.89,432.89,435.03,426.70,447.12,416.63,408.05,401.05,400.51,388.32,379.28,381.14,362.87,354.81,384.59,380.91,392.81,398.32,533.41,,,,,,,447.85,447.98,395.26,405.98,431.43,389.45,366.69,378.10,358.31,341.72,346.71,515.22,473.96,387.10,,,335.69,478.73,425.98,361.65,353.15,359.41,345.94,352.68,363.38,390.34,350.13,360.13,374.26,281.26,275.95,287.31,284.41,284.43,292.62,305.78,300.20,298.15,294.52,324.72,337.15,329.03,329.90,349.95,366.10,372.70,361.15,371.33,362.07,357.60,356.22,334.92,348.29,352.35,345.95,434.04,355.05,343.39,331.80,342.97,298.67,308.09,331.06,306.28,325.15,301.80,318.35,355.65,321.22,323.69,285.33,291.87,317.13,284.69,277.25,326.23,316.34,310.84,193.27,,219.60,247.42,265.53,272.44,
2000-09-04 22:11:34.434000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.88,505.85,513.68,458.61,428.92,435.89,431.25,441.25,381.91,376.98,394.03,387.10,383.18,384.20,376.49,426.05,393.83,451.55,473.13,456.23,471.17,475.61,416.56,438.68,425.83,444.71,406.66,413.93,425.33,389.53,389.49,420.26,408.38,424.21,358.21,420.93,416.07,450.95,422.35,429.43,414.69,426.70,451.39,441.38,468.82,452.82,459.98,441.75,457.76,413.36,439.34,373.33,365.53,372.81,387.40,385.64,370.70,335.50,372.34,395.16,401.23,395.55,362.99,377.14,341.39,356.99,365.19,378.43,390.41,381.99,372.34,353.98,361.05,334.51,381.44,414.14,447.50,,446.44,452.79,442.49,451.24,418.85,398.83,416.70,409.40,339.52,338.77,388.44,395.05,390.41,397.46,321.90,317.99,364.25,341.18,364.66,348.37,333.76,360.39,369.08,271.39,377.17,375.11,369.71,372.48,
