dates,satname,nzd0573-0000,nzd0573-0001,nzd0573-0002,nzd0573-0003,nzd0573-0004,nzd0573-0006,nzd0573-0007,nzd0573-0008,nzd0573-0012,nzd0573-0014,nzd0573-0015,nzd0573-0016,nzd0573-0017,nzd0573-0018,nzd0573-0019,nzd0573-0024,nzd0573-0005,nzd0573-0009,nzd0573-0010,nzd0573-0011,nzd0573-0013,nzd0573-0020,nzd0573-0023,nzd0573-0021,nzd0573-0022
1999-07-25 22:05:51.165000,L7,131.39,27.42,185.65,218.58,215.81,149.47,154.64,73.92,189.35,181.08,217.71,220.08,196.69,113.15,16.28,142.26,,,,,,,,,
1999-08-26 22:05:56.841000,L7,213.79,183.12,235.01,245.43,227.43,213.93,213.24,207.12,196.76,216.22,217.28,227.70,228.17,231.61,229.89,212.88,229.88,193.30,218.36,208.14,205.99,133.49,151.59,,
1999-09-20 22:00:08.403000,L7,208.95,212.94,207.29,217.40,201.95,12.99,152.36,84.85,176.78,187.63,209.60,217.95,213.46,72.23,64.36,219.14,207.81,,,142.91,197.32,,159.26,,
1999-09-27 22:06:24.836000,L7,148.87,216.00,191.59,216.42,207.94,18.87,152.79,50.77,179.21,188.18,220.12,222.55,207.88,77.87,121.39,219.55,216.75,182.44,209.78,159.79,198.04,,213.95,,
1999-10-22 22:00:04.598000,L7,234.85,227.18,237.45,242.34,246.07,209.69,211.65,206.94,195.73,218.52,220.32,229.32,228.31,225.54,226.09,218.99,230.50,185.79,194.25,197.46,205.54,211.79,165.19,,
1999-11-30 22:05:47.159000,L7,,,38.52,120.74,198.45,,143.86,171.60,57.91,197.47,207.86,156.31,188.80,,,115.59,,152.21,196.07,140.95,,,141.51,,
1999-12-09 22:00:09.551000,L7,100.27,45.45,97.29,60.55,100.77,,143.22,197.81,175.53,180.84,206.06,178.49,193.90,,,221.82,81.60,147.92,206.65,186.43,188.39,,210.21,,
1999-12-16 22:05:57.846000,L7,,178.20,55.47,126.42,161.47,,199.44,180.66,163.95,191.81,126.28,167.87,182.22,,,,,142.50,183.60,138.34,30.96,,,,
1999-12-25 22:00:04.067000,L7,180.47,,65.10,128.19,115.56,123.98,197.27,202.31,,,78.69,175.34,188.88,,,,,156.36,208.36,,,,,,
2000-01-17 22:06:11.705000,L7,260.59,223.18,131.18,138.09,210.06,134.79,169.59,209.20,69.97,218.34,74.36,184.23,203.15,244.76,237.03,227.99,134.39,177.72,217.05,201.81,120.56,140.78,220.28,218.20,216.41
