dates,nzd0573-0000,nzd0573-0001,nzd0573-0002,nzd0573-0003,nzd0573-0004,nzd0573-0006,nzd0573-0007,nzd0573-0008,nzd0573-0012,nzd0573-0014,nzd0573-0015,nzd0573-0016,nzd0573-0017,nzd0573-0018,nzd0573-0019,nzd0573-0024,nzd0573-0005,nzd0573-0009,nzd0573-0010,nzd0573-0011,nzd0573-0013,nzd0573-0020,nzd0573-0023,nzd0573-0021,nzd0573-0022,satname
1999-09-20 22:00:08+00:00,,,,,,,,,176.78,187.63,209.6,217.95,213.46,,64.36,,,,,,197.32,,,,,L7
1999-10-22 22:00:04+00:00,,,,,,,,206.94,186.255,203.075,214.95999999999998,223.635,220.885,225.54,64.36,218.99,,185.79,194.25,197.46,201.43,,,,,L7
1999-12-09 22:00:09+00:00,,,,,,,,202.375,182.67999999999998,195.66333333333333,211.99333333333334,208.58666666666667,211.89000000000001,225.54,64.36,220.405,,166.855,200.45,191.945,197.08333333333334,,210.21,,,L7
1999-12-16 22:05:57+00:00,,,55.47,126.42,,,199.44,195.13666666666666,177.9975,194.7,211.99333333333334,198.4075,204.4725,225.54,64.36,220.405,,158.73666666666665,194.83333333333334,191.945,197.08333333333334,,210.21,,,L7
1999-12-25 22:00:04+00:00,,,60.285,127.305,,123.98,198.35500000000002,196.93,177.9975,194.7,211.99333333333334,193.794,201.35399999999998,225.54,64.36,220.405,,158.14249999999998,198.215,191.945,197.08333333333334,,210.21,,,L7
2000-02-11 21:59:57+00:00,,,60.285,127.68666666666667,182.13,123.98,198.35500000000002,190.002,177.9975,194.7,211.99333333333334,193.794,201.35399999999998,225.54,64.36,220.405,,154.252,198.215,191.945,197.08333333333334,,210.21,,,L7
2000-02-27 21:59:52+00:00,,,60.285,127.68666666666667,182.13,123.98,198.35500000000002,186.60333333333332,177.9975,194.7,211.99333333333334,193.794,201.35399999999998,225.54,64.36,220.405,,153.30499999999998,196.31400000000002,193.9766666666667,197.08333333333334,,210.21,,,L7
2000-03-21 22:05:37+00:00,,,60.285,128.14249999999998,197.165,106.035,200.53666666666666,189.39714285714285,178.40333333333334,193.8725,211.36666666666665,192.848,198.658,225.54,94.22,220.405,199.61,156.44,198.125,193.45499999999998,197.0233333333333,,210.21,,,L7
2000-03-30 21:59:45+00:00,211.0,207.62,54.196666666666665,125.55199999999999,202.51,109.17666666666666,186.345,189.83375,178.40333333333334,191.82,211.36666666666665,192.848,198.658,225.54,101.095,220.405,202.055,159.55875,198.18714285714285,193.574,197.64749999999998,,210.21,,,L7
2000-05-01 21:59:30+00:00,210.995,207.62,55.4875,125.23666666666666,207.3275,109.17666666666666,180.772,189.79749999999999,175.09333333333333,193.32800000000003,210.40666666666667,192.176,197.48200000000003,227.94,93.72333333333334,221.51999999999998,207.51333333333332,155.8114285714286,198.84333333333333,187.952,199.555,,212.22500000000002,,,L7
2000-05-24 22:05:22+00:00,210.26999999999998,198.26,55.4875,125.90285714285713,209.87199999999999,119.71000000000001,175.85,189.79749999999999,180.4075,193.32800000000003,213.8075,199.17499999999998,202.45000000000002,234.72,93.72333333333334,222.07666666666668,209.85250000000002,155.8114285714286,199.78,191.4333333333333,202.60399999999998,,193.82000000000002,,,L7
2000-06-18 21:59:03+00:00,210.26999999999998,198.26,57.7325,133.11714285714285,209.87199999999999,119.71000000000001,171.13199999999998,189.98499999999999,191.075,208.30499999999998,219.3825,218.474,215.904,237.99333333333334,93.72333333333334,221.87666666666667,209.85250000000002,160.052,198.08666666666667,192.434,208.996,226.63,167.88,,,L7
2000-07-04 21:58:50+00:00,210.7525,198.26,59.540000000000006,145.17714285714285,209.87199999999999,118.28666666666668,164.59749999999997,187.51999999999998,191.075,211.91799999999998,220.14000000000001,230.638,224.72600000000003,238.8025,93.72333333333334,222.855,209.85250000000002,160.97500000000002,196.03199999999998,195.55666666666664,208.996,218.785,159.26,,,L7
2000-08-05 21:58:20+00:00,212.36399999999998,196.02333333333334,59.540000000000006,155.30875,209.87199999999999,118.28666666666668,164.59749999999997,187.51999999999998,191.075,211.91799999999998,220.475,230.638,224.72600000000003,238.8025,93.72333333333334,222.855,209.85250000000002,160.97500000000002,191.25,195.55666666666664,210.43666666666664,218.785,159.26,,,L7
2000-08-12 22:04:05+00:00,214.22833333333332,189.7225,59.540000000000006,159.1457142857143,216.80749999999998,134.25,154.506,192.85399999999998,191.075,215.65666666666667,220.68,230.5716666666667,225.16666666666666,238.8025,93.72333333333334,220.474,209.85250000000002,168.40333333333334,195.3642857142857,197.82142857142858,211.1,217.71,156.81,,,L7
2000-10-24 21:57:29+00:00,216.25833333333333,190.765,65.38000000000001,173.864,220.91499999999996,182.46666666666667,141.28666666666666,200.95000000000002,190.29333333333332,227.56199999999998,222.2428571428571,232.55166666666665,229.87833333333333,236.214,78.98,220.474,219.66333333333333,191.4,193.10399999999998,200.678,214.67,216.475,153.32166666666666,,,L7
2000-10-31 22:03:22+00:00,218.31000000000003,196.252,69.72000000000001,175.46800000000002,217.74,182.46666666666667,132.69,199.34,187.54,225.25,222.0542857142857,231.81166666666664,229.54666666666665,236.644,,220.458,217.01999999999998,191.4,192.015,206.042,212.21166666666667,216.475,138.97833333333332,,,L7
2000-12-11 21:57:36+00:00,219.01333333333335,198.268,69.72000000000001,174.13400000000001,214.89,198.04499999999996,114.14,199.34,181.64666666666665,219.33,218.64857142857142,224.4316666666667,226.60333333333332,235.43,,219.775,214.48666666666668,191.4,189.338,197.22,208.00666666666666,216.475,135.37199999999999,,,L7
2001-02-13 21:57:39+00:00,219.84000000000003,209.65666666666667,72.38,127.45500000000001,214.89,213.95,139.87,203.01999999999998,181.64666666666665,205.34333333333333,211.65,212.17000000000004,219.43999999999997,227.97500000000005,,221.14,214.48666666666668,186.585,180.62666666666664,187.84,198.32333333333335,212.77,132.02999999999997,,,L7
2001-05-27 22:02:48+00:00,211.36,190.67000000000002,,129.04500000000002,214.35,,157.10000000000002,200.0,185.58999999999997,189.73,208.70499999999998,206.95999999999998,209.63,,75.05,213.8,209.27,181.77,162.89,183.905,189.57,209.77,,,,L7
2001-06-05 21:56:52+00:00,218.4,196.86333333333334,,129.04500000000002,214.35,,157.10000000000002,200.0,185.58999999999997,189.73,215.60333333333332,219.08,225.135,,75.05,213.8,209.27,176.635,165.355,183.905,207.32,221.325,,,,L7
2001-07-07 21:56:36+00:00,215.98000000000002,195.805,87.42,135.55,222.21,,157.10000000000002,208.425,192.51,,223.55333333333337,233.58,240.64,233.88,75.05,214.845,,182.53,183.70666666666668,207.275,225.07,196.90666666666667,,,,L7
2001-07-14 22:02:45+00:00,215.98000000000002,195.805,91.0,137.52,221.425,,164.95333333333335,208.425,174.315,199.96,222.46750000000003,233.58,240.64,237.82,75.05,217.54333333333332,,182.53,193.0625,204.4,220.76999999999998,192.09,,,,L7
2001-08-08 21:56:12+00:00,215.98000000000002,195.805,83.82666666666667,135.5,219.28666666666666,,164.95333333333335,208.425,176.18666666666664,216.99,222.46750000000003,233.58,240.64,236.01,75.05,217.54333333333332,190.54,182.53,193.0625,204.4,219.04333333333332,181.024,,,,L7
2001-09-25 21:55:40+00:00,206.27,200.54666666666665,113.9125,135.5,217.29,,177.495,194.06,175.9025,208.38333333333333,222.46750000000003,229.2575,240.64,236.01,75.05,202.07999999999998,193.035,183.56333333333336,202.165,193.4225,219.04333333333332,181.024,129.08,,,L7
2001-10-02 22:01:16+00:00,208.036,203.4,113.9125,135.5,217.29,211.11,187.35333333333332,194.06,179.47,203.6875,220.962,228.4,240.64,233.6375,75.31,197.916,204.58,183.56333333333336,202.165,193.676,213.89249999999998,177.64666666666665,155.37,,,L7
2001-10-11 21:55:21+00:00,208.46166666666667,204.92,134.622,135.5,218.36399999999998,211.11,187.35333333333332,194.50333333333333,178.74666666666667,206.32200000000003,219.42666666666665,226.9333333333333,240.64,233.6375,75.31,197.73166666666665,206.33499999999998,183.5575,202.898,193.60333333333335,210.436,177.64666666666665,155.37,,,L7
2001-12-30 21:55:49+00:00,201.87999999999997,208.54,148.75333333333333,135.71333333333334,219.49166666666667,200.60500000000002,195.61333333333332,194.50333333333333,178.96833333333333,202.635,216.10399999999998,222.51999999999998,219.96,228.618,144.045,194.51799999999997,209.48199999999997,187.57666666666668,211.66750000000002,186.295,202.068,160.84,155.37,,,L7
