dates,satname,nzd0213-0000,nzd0213-0001,nzd0213-0002,nzd0213-0003,nzd0213-0004,nzd0213-0005,nzd0213-0006,nzd0213-0007,nzd0213-0008,nzd0213-0009,nzd0213-0010,nzd0213-0011,nzd0213-0012,nzd0213-0013,nzd0213-0014,nzd0213-0015,nzd0213-0016,nzd0213-0017,nzd0213-0018,nzd0213-0019,nzd0213-0032,nzd0213-0033,nzd0213-0034,nzd0213-0035,nzd0213-0036,nzd0213-0037,nzd0213-0038,nzd0213-0039,nzd0213-0040,nzd0213-0041,nzd0213-0042,nzd0213-0043,nzd0213-0044,nzd0213-0045,nzd0213-0046,nzd0213-0047,nzd0213-0048,nzd0213-0049,nzd0213-0050,nzd0213-0020,nzd0213-0021,nzd0213-0022,nzd0213-0023,nzd0213-0024,nzd0213-0025,nzd0213-0026,nzd0213-0027,nzd0213-0028,nzd0213-0029,nzd0213-0031,nzd0213-0030
1999-09-22 21:46:36.849000,L7,372.31,356.21,334.04,318.82,329.12,334.33,338.15,342.52,336.02,315.82,318.14,331.21,298.68,334.80,335.00,329.68,327.59,311.34,316.33,304.80,362.87,345.14,358.40,363.26,377.49,354.67,352.83,359.46,345.35,346.71,338.77,350.39,351.37,367.58,376.81,367.45,347.79,343.19,345.85,,,,,,,,,,,,
2000-03-16 21:46:15.139000,L7,378.75,353.70,345.81,345.51,327.87,331.05,339.51,321.39,328.63,310.84,346.26,349.47,328.80,317.82,333.61,323.09,324.18,333.99,339.66,342.02,,354.93,301.07,348.75,352.51,288.31,351.93,352.03,363.02,343.35,342.11,349.48,351.79,351.07,360.57,368.78,360.32,354.78,346.83,350.63,352.79,354.00,323.77,342.35,345.18,374.58,371.84,353.01,340.33,,
2000-04-01 21:46:10.627000,L7,,,,,338.32,286.93,278.68,299.30,386.95,,,,,,,,,,,,,,,327.52,340.23,352.11,340.43,,,,,372.84,327.11,316.74,349.20,384.32,366.30,355.35,341.66,,,,,,,,,,,,
2000-05-03 21:45:55.224000,L7,,,,,,,389.87,393.20,401.99,389.80,404.11,388.87,400.40,400.86,403.58,399.83,397.78,401.38,427.22,394.65,,,,,,,411.24,396.70,383.33,392.12,388.82,395.53,390.52,414.39,412.25,407.80,388.52,376.36,382.04,390.57,409.30,423.46,397.20,399.92,406.10,407.83,421.29,399.64,408.98,,409.38
2000-05-19 21:45:43.918000,L7,390.88,372.01,374.47,328.93,377.00,379.09,394.75,,,,,,,,,,,374.96,337.61,340.62,373.95,382.90,378.61,375.19,330.30,382.34,384.42,370.01,366.78,366.74,361.22,365.24,366.74,375.69,378.53,383.44,375.27,359.58,366.56,348.87,345.70,346.66,347.21,348.57,365.00,368.64,362.27,372.13,440.87,360.59,
2000-05-26 21:51:48.668000,L7,,,,,,,,,,,,,,,,,,,323.37,336.27,,,,,,,,,,,,,,,,,,,,333.70,347.50,339.97,344.78,363.73,358.99,356.86,,,,,
2000-08-07 21:44:45.034000,L7,412.49,373.54,349.40,370.92,342.36,358.64,368.47,371.07,349.42,361.36,355.89,378.61,362.02,341.66,383.03,371.86,364.24,343.12,339.28,347.89,347.68,376.93,368.95,376.74,365.68,346.32,350.59,340.64,351.56,347.33,344.74,351.27,355.46,355.55,364.37,369.34,366.07,347.82,344.28,343.63,357.29,359.28,358.53,360.54,385.54,393.29,,,,,
2000-09-24 21:44:07.338000,L7,,,,385.30,347.65,356.83,359.25,362.48,344.50,,351.19,344.17,350.26,355.06,344.27,353.25,347.59,315.99,354.81,318.23,,,366.46,380.42,362.55,315.45,378.97,378.68,392.20,,366.71,346.25,346.32,356.20,360.40,361.56,354.95,343.34,333.58,355.19,346.71,364.75,372.36,341.50,371.61,377.50,388.08,,,,
2001-01-14 21:44:09.210000,L7,370.53,344.30,348.86,327.00,317.58,326.99,346.94,340.56,327.47,319.53,330.80,332.07,333.15,317.08,322.39,312.55,310.92,306.52,309.24,309.59,,,,,,305.09,333.29,335.12,343.17,338.05,338.94,333.97,338.13,345.23,353.45,364.29,357.06,340.63,343.95,313.84,331.09,330.17,336.14,355.30,366.72,369.70,365.87,357.85,,,
2001-04-04 21:43:43.008000,L7,,,,395.72,342.59,341.05,349.10,362.09,356.18,299.05,349.80,322.65,322.91,330.08,323.66,314.39,347.11,360.22,312.39,357.74,370.49,370.16,364.17,317.05,349.47,354.13,355.77,368.97,358.02,366.60,372.16,374.22,357.05,388.88,394.63,385.01,370.07,369.79,360.24,330.94,357.24,369.37,382.51,374.44,343.11,354.06,,,,375.28,
2001-04-20 21:43:46.702000,L7,,,,,346.13,339.74,351.29,355.23,374.48,,367.71,353.11,351.98,350.07,347.23,351.45,349.63,348.71,342.69,366.96,361.69,330.48,366.20,369.94,366.07,371.14,363.26,371.54,353.65,366.74,328.15,,,340.73,355.90,364.32,360.45,348.27,341.66,355.84,359.44,364.32,378.30,367.13,384.32,356.74,351.33,,,,
2001-05-22 21:43:30.869000,L7,,,,383.52,341.70,340.78,349.01,353.60,357.98,358.02,337.96,357.75,348.76,350.51,,,,341.28,359.76,362.12,371.92,340.78,367.80,364.65,364.34,362.07,361.48,356.79,353.38,352.64,355.08,362.29,360.78,383.68,375.06,414.29,384.36,359.63,368.07,360.61,361.88,365.46,373.65,385.27,400.37,399.98,,,,370.34,
2001-06-07 21:43:18.779000,L7,387.64,329.07,288.77,275.93,309.97,361.40,340.74,289.89,299.09,,,,,,,,,343.31,346.18,354.32,,,,,,361.36,353.11,357.67,350.93,353.52,354.44,,,372.99,365.72,369.61,367.59,349.29,352.52,,358.61,360.89,373.37,,,,,,,,
2001-07-25 21:42:54.824000,L7,371.25,375.11,342.43,351.31,321.00,320.21,334.23,325.60,345.31,331.06,310.96,316.05,323.75,326.63,346.89,316.57,314.90,291.09,312.99,339.73,,,,,,350.38,335.26,335.49,335.99,321.50,328.87,328.21,347.83,344.83,348.29,353.89,346.61,338.02,341.79,321.89,327.98,322.75,332.52,330.94,341.20,336.32,,,,,
2001-08-26 21:42:25.671000,L7,401.13,361.67,380.33,343.06,357.39,362.22,358.30,363.51,361.05,,349.83,359.77,375.56,359.29,376.79,353.97,352.36,354.42,351.08,346.76,,,,,,303.33,350.00,360.45,350.43,331.77,323.25,332.93,351.50,342.53,358.79,366.82,357.19,350.77,339.55,354.80,366.01,366.31,363.57,381.70,377.28,369.45,,,,,
2001-09-11 21:42:14.303000,L7,,,,,,,,,,,400.13,399.31,394.33,401.05,399.18,398.89,394.09,396.02,389.22,388.83,374.01,378.12,384.16,398.02,391.42,394.44,397.09,389.75,381.98,,,,,,,,,,,392.58,394.21,402.77,401.79,402.38,409.23,402.24,,,,360.40,
2001-09-27 21:42:05.338000,L7,411.47,383.64,372.57,370.89,380.75,382.24,389.24,378.68,372.74,368.50,372.57,367.47,365.29,374.43,363.88,380.82,372.91,365.62,365.66,378.52,387.66,398.23,402.68,403.42,,,,,,,,,,,,,,389.28,380.26,388.79,380.00,372.72,375.14,391.81,391.41,377.64,356.55,364.62,371.20,382.11,378.21
