dates,nzd0213-0000,nzd0213-0001,nzd0213-0002,nzd0213-0003,nzd0213-0004,nzd0213-0005,nzd0213-0006,nzd0213-0007,nzd0213-0008,nzd0213-0009,nzd0213-0010,nzd0213-0011,nzd0213-0012,nzd0213-0013,nzd0213-0014,nzd0213-0015,nzd0213-0016,nzd0213-0017,nzd0213-0018,nzd0213-0019,nzd0213-0020,nzd0213-0021,nzd0213-0022,nzd0213-0023,nzd0213-0024,nzd0213-0025,nzd0213-0026,nzd0213-0027,nzd0213-0028,nzd0213-0029,nzd0213-0030,nzd0213-0031,nzd0213-0032,nzd0213-0033,nzd0213-0034,nzd0213-0035,nzd0213-0036,nzd0213-0037,nzd0213-0038,nzd0213-0039,nzd0213-0040,nzd0213-0041,nzd0213-0042,nzd0213-0043,nzd0213-0044,nzd0213-0045,nzd0213-0046,nzd0213-0047,nzd0213-0048,nzd0213-0049,nzd0213-0050,satname
2000-03-16 21:46:15+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.17,,304.85,,,,,,,,,,,,,,,,,,,L7
2000-05-03 21:45:55+00:00,313.55,283.39,190.07,223.68,,,,,,,,,,,,,,,,,,,,,,,,,,,280.17,,304.85,,,,,,,,,,,,,,,,315.18,308.61,,L7
2000-05-26 21:51:48+00:00,307.13,269.04499999999996,190.07,223.68,,,,,,,,,,,,,,,,,,,280.86,,300.75,,,,,,280.17,,304.85,,,,,,,,,,,,,,,,315.18,308.61,,L7
2000-08-07 21:44:45+00:00,307.13,269.04499999999996,190.07,223.68,351.68,357.88,,362.64,353.88,,,,357.6,351.39,346.79,,,324.02,318.19,347.03,354.22,,280.86,,300.75,,,,,,280.17,,304.85,,,,,,,,,,,349.12,350.73,354.86,362.22,373.21,334.67,326.915,342.74,L7
2000-09-24 21:44:07+00:00,307.13,269.04499999999996,190.07,223.68,352.445,358.48,,363.11,339.235,275.76,,,355.48,353.185,345.53,,,311.26,313.56,330.28499999999997,340.61,316.53,300.115,,311.325,343.41,332.7,,,,,,,,,,,,,,,,,349.12,350.73,354.86,362.22,368.86,341.1366666666667,331.6766666666667,338.41499999999996,L7
2001-01-14 21:44:09+00:00,,,,,352.445,358.48,,363.11,339.235,275.76,,,355.48,353.185,345.53,,,311.26,313.56,330.28499999999997,340.61,316.53,319.37,,321.9,343.41,332.7,,,,288.22,,298.27,,,,,,,,,,,366.975,367.345,373.975,379.31,368.86,354.115,343.21,338.41499999999996,L7
2001-04-04 21:43:43+00:00,312.59,277.53,193.7,225.38,,,,,,236.75,216.94,232.69,,,,210.58,210.14,,,,,,,,,,,,,,288.22,,298.27,,,,,,,,,,,384.83,383.96,393.09,396.4,329.13,318.82,306.09,,L7
2001-04-20 21:43:46+00:00,312.59,281.05999999999995,185.74,225.83499999999998,,,,,,243.26,227.35,236.59,,,,210.04500000000002,211.265,,,,,,,,,,,,,,288.22,,298.27,,,,,,,,,,,384.83,383.96,393.09,396.4,329.13,300.09000000000003,289.91999999999996,,L7
2001-05-22 21:43:30+00:00,346.7,303.9033333333333,185.74,225.83499999999998,,,,356.65,,243.26,227.35,236.59,,,,210.04500000000002,211.265,,,,,,,,,,,,,,288.22,,298.27,,,,,,,,,,,384.83,374.79499999999996,393.09,396.4,329.13,327.8333333333333,289.91999999999996,367.42,L7
2001-06-07 21:43:18+00:00,354.0733333333333,312.145,185.74,225.83499999999998,349.39,,306.69,356.65,305.99,258.42,227.35,236.59,,,,210.04500000000002,211.265,287.9,289.42,292.13,294.72,293.77,293.76,,,,,,,,288.22,,298.27,,,,,,,,354.93,358.13,304.44,307.505,374.79499999999996,383.135,383.04499999999996,352.845,339.0825,310.32666666666665,361.545,L7
2001-07-25 21:42:54+00:00,366.1125,312.145,185.74,225.83499999999998,344.96500000000003,336.0,326.62,364.61,323.91499999999996,258.42,227.35,236.59,328.43,339.13,359.84,210.04500000000002,211.265,287.9,289.42,292.13,294.72,293.77,293.76,,,,,,,,,,,,,,,,,,354.93,358.13,304.44,230.18,365.63,373.18,368.095,361.52,344.004,318.615,355.75666666666666,L7
2001-08-26 21:42:25+00:00,366.1125,312.145,185.74,225.83499999999998,344.96500000000003,350.355,339.9266666666667,366.76,323.91499999999996,262.1325,227.35,236.59,328.43,350.37,356.82,210.04500000000002,211.265,287.9,289.42,292.13,294.72,293.77,293.76,,,371.94,366.22,326.53,,220.81,,,,261.56,,284.07,296.74,306.21,,,342.37,345.63,310.09000000000003,219.805,365.63,359.525,366.48,363.8675,346.19666666666666,325.14,352.09000000000003,L7
2001-09-11 21:42:14+00:00,366.1125,312.145,185.74,225.83499999999998,344.96500000000003,350.355,339.9266666666667,366.76,323.91499999999996,262.1325,227.35,236.59,328.43,350.37,356.82,210.04500000000002,211.265,287.9,289.42,292.13,294.72,293.77,293.76,,,371.94,366.22,319.505,358.59,238.415,,,,261.56,,284.07,296.74,306.21,,,342.37,345.63,310.09000000000003,219.805,365.63,359.525,366.48,363.8675,346.19666666666666,325.14,352.09000000000003,L7
