dates,nzd0246-0000,nzd0246-0001,nzd0246-0002,nzd0246-0003,nzd0246-0004,nzd0246-0005,nzd0246-0007,nzd0246-0008,nzd0246-0009,nzd0246-0010,nzd0246-0011,nzd0246-0012,nzd0246-0013,nzd0246-0014,nzd0246-0006,satname
2000-03-30 21:58:33+00:00,312.62,317.18,378.69,366.7,,,331.4,,,349.45,,369.4,,,,L7
2000-08-05 21:57:32+00:00,305.19,317.18,378.69,366.7,,,331.4,,,349.45,,369.4,,,,L7
2000-11-09 21:56:21+00:00,316.21500000000003,361.09,,,,369.59,350.61,345.0,345.04,352.01,,,,,364.43,L7
2001-03-01 21:56:21+00:00,334.67,361.09,,,,369.59,350.61,345.0,345.04,352.01,337.2,355.08,346.34,370.27,364.43,L7
2001-03-17 21:56:40+00:00,334.67,361.09,,,,369.59,350.61,345.0,345.04,330.16999999999996,333.31,338.105,334.025,370.27,364.43,L7
2001-09-09 21:54:36+00:00,,,,,,,,,,307.95,334.015,324.275,322.935,,,L7
2002-02-16 21:55:18+00:00,,,,,,,,,,307.57,333.53499999999997,322.525,336.6,368.61,,L7
2002-10-14 21:54:07+00:00,,,,,,,,,,303.89,334.64,327.73,324.5,,,L7
2013-11-21 22:08:01+00:00,,,,,,,,,,304.98,331.08,338.82,317.23,,,L8
2014-01-24 22:07:33+00:00,,,,,,,,,,305.78499999999997,325.97,327.03999999999996,319.665,,,L8
2015-04-01 22:05:25+00:00,,,,,,,309.15,307.21,307.81,317.53,324.63,341.64,334.74,,,L8
2015-09-24 22:06:25+00:00,,,,,,,321.215,313.475,308.96000000000004,322.735,331.175,349.07,339.175,,329.41,L8
2016-05-21 22:05:38+00:00,,,,,,,308.92,306.79,306.15,320.29,325.01,323.63,315.6,,,L8
2020-05-16 22:05:27+00:00,,,,,,,,,,304.52,341.15,323.95,317.92,371.19,,L8
2020-07-19 22:05:55+00:00,,,,,,,331.52,327.09,323.55,312.455,337.685,329.43,320.44500000000005,371.19,331.99,L8
2021-04-01 22:05:48+00:00,307.14,317.1,,,,,340.68,341.65,322.14,330.39,338.3,341.11,333.53,383.99,330.33,L8
2023-03-30 22:05:59+00:00,,,,,,,,,,307.68,322.69,324.8,319.14,376.24,,L9
2023-06-10 22:05:51+00:00,,,,,,,,,,312.07,328.39,328.515,322.19,386.98,,L8
2023-08-29 22:06:26+00:00,339.86,323.73,,,,,,,,313.9066666666667,328.0,327.9766666666667,321.50333333333333,386.98,,L8
2023-10-08 22:06:10+00:00,339.86,323.73,,,,,333.47,332.24,320.16,321.8966666666666,335.2833333333333,339.06333333333333,322.685,397.72,328.09,L9
