dates,satname,nzd0246-0000,nzd0246-0001,nzd0246-0002,nzd0246-0003,nzd0246-0004,nzd0246-0005,nzd0246-0007,nzd0246-0008,nzd0246-0009,nzd0246-0010,nzd0246-0011,nzd0246-0012,nzd0246-0013,nzd0246-0014,nzd0246-0006
2000-03-14 21:58:59.247000,L7,,,,,,,,,,307.69,327.41,323.19,325.50,404.10,
2000-03-30 21:58:33.541000,L7,312.62,317.18,378.69,366.70,372.46,392.85,331.40,403.31,386.27,349.45,382.26,369.40,377.35,426.05,
2000-03-30 21:58:57.484000,L7,,,,,,,,,,,,,,374.65,
2000-08-05 21:57:32.751000,L7,297.76,,,,,,,,,,,,,376.02,
2000-11-09 21:56:21.390000,L7,334.67,361.09,425.33,390.10,383.94,369.59,350.61,345.00,345.04,352.01,391.73,383.73,386.30,402.76,364.43
2000-11-09 21:56:45.337000,L7,,,,,,,,,,,352.64,341.17,360.84,370.10,
2001-03-01 21:56:21.596000,L7,,,,,,,,,,,337.20,355.08,346.34,370.27,
2001-03-17 21:56:40.512000,L7,,,,,,,,,,308.33,329.42,321.13,321.71,387.15,
2001-06-05 21:55:40.577000,L7,347.08,345.96,361.44,,,,332.29,326.06,325.25,327.17,352.91,368.38,354.44,,324.20
2001-09-09 21:54:36.880000,L7,,,,,,,,,,307.57,338.61,327.42,324.16,399.79,
2001-09-09 21:55:00.813000,L7,,,,,,,,,,377.92,418.24,387.11,355.92,393.80,
2002-02-16 21:54:54.191000,L7,,,,,,,,,,304.20,341.51,329.28,363.26,389.84,
2002-02-16 21:55:18.119000,L7,,,,,,,,,,,328.46,317.63,349.04,368.61,
2002-10-14 21:53:43.769000,L7,,,,,,,,,298.58,315.28,343.07,332.76,326.65,385.29,
2002-10-14 21:54:07.948000,L7,,,,,,,,,,303.89,334.64,327.73,324.50,382.11,
2010-10-28 21:55:51.312000,L5,,,,,,,,,,,319.45,314.74,310.01,337.71,
2013-05-29 22:08:05.425000,L8,363.84,378.56,376.41,366.66,353.47,342.88,339.07,347.49,346.36,348.83,342.26,348.34,338.30,372.62,355.23
2013-06-30 22:08:00.117000,L8,,,,,,,426.91,397.25,348.39,327.30,352.17,319.20,322.92,392.37,
2013-11-21 22:08:01.711000,L8,,,,,,,,,,304.98,331.08,338.82,317.23,402.66,
2014-01-24 22:07:33.459000,L8,,,,,,,,,,306.59,320.86,315.26,322.10,393.86,
2015-04-01 22:05:25.791000,L8,,,,,,,309.15,307.21,307.81,317.53,324.63,341.64,334.74,370.90,
2015-04-01 22:05:49.742000,L8,,,,,,,309.86,308.17,308.46,317.90,325.08,341.86,335.18,371.51,
2015-09-24 22:06:25.709000,L8,,,,,,,333.28,319.74,310.11,327.94,337.72,356.50,343.61,376.19,329.41
2015-12-29 22:06:09.164000,L8,335.30,343.28,,,,,,,,321.91,328.46,336.43,332.55,345.27,
2015-12-29 22:06:33.122000,L8,331.59,339.01,,,,,,,312.54,319.12,326.12,329.33,326.07,351.70,
2016-05-21 22:05:38.418000,L8,,,,,,,308.92,306.79,306.15,320.29,325.01,323.63,315.60,,
2017-04-22 22:05:48.327000,L8,,,,,,,,,,315.02,330.12,339.85,333.17,377.63,
2017-05-24 22:05:34.407000,L8,328.36,,,,,,326.64,326.47,310.59,317.14,339.41,327.33,323.58,391.58,327.33
2018-10-18 22:05:53.709000,L8,,,,,,,,,,,,,,372.97,
2019-03-11 22:05:38.980000,L8,313.99,316.64,,,,,,,,,,,320.24,368.47,
2020-05-16 22:05:27.607000,L8,,,,,,,,,,304.52,341.15,323.95,317.92,371.19,
2020-05-16 22:05:51.566000,L8,,,,,,,,,,304.39,341.44,324.53,318.07,372.33,
2020-07-19 22:05:55.897000,L8,,,,,,,331.52,327.09,323.55,320.39,334.22,334.91,322.97,375.76,331.99
2021-04-01 22:05:48.357000,L8,307.14,317.10,,,,,340.68,341.65,322.14,330.39,338.30,341.11,333.53,383.99,330.33
2022-01-14 22:06:39.395000,L8,,,,,,,,,,,323.98,323.62,327.91,395.36,
2023-03-30 22:05:59.281000,L9,,,,,,,,,,307.68,322.69,324.80,319.14,376.24,
2023-03-30 22:06:23.236000,L9,,,,,,,,,,303.58,320.29,322.07,316.03,374.90,
2023-05-25 22:05:44.594000,L8,,,,,,,330.66,316.53,306.90,317.06,335.25,330.92,324.56,391.47,328.88
2023-06-10 22:05:51.824000,L8,,,,,,,,,,316.46,334.09,332.23,325.24,397.72,
2023-08-29 22:06:02.142000,L8,339.89,323.76,,,,,,,,316.86,326.98,326.65,320.18,335.96,
2023-08-29 22:06:26.093000,L8,339.86,323.73,,,,,,,,317.58,327.22,326.90,320.13,337.18,
2023-10-08 22:06:10.308000,L9,,,,,,,333.47,332.24,320.16,331.65,344.54,358.06,350.35,374.42,328.09
2024-01-12 22:06:18.916000,L9,,,,,,,329.85,324.93,347.57,364.65,370.43,375.65,346.35,436.66,332.19
2024-06-20 22:05:06.981000,L9,331.18,339.86,359.44,341.80,338.49,333.07,337.86,338.91,353.70,368.40,374.94,376.57,347.09,402.58,338.83
2024-09-24 22:05:49.470000,L9,,,,,,,,,,310.49,332.33,328.05,391.22,391.32,
