dates,nzd0388-0000,nzd0388-0001,nzd0388-0002,nzd0388-0003,nzd0388-0004,nzd0388-0005,nzd0388-0006,nzd0388-0007,nzd0388-0008,nzd0388-0009,nzd0388-0010,nzd0388-0011,nzd0388-0012,nzd0388-0014,nzd0388-0015,nzd0388-0016,nzd0388-0017,nzd0388-0013,nzd0388-0018,nzd0388-0019,nzd0388-0020,nzd0388-0021
2006-10-24 22:07:38+00:00,301.37,304.845,303.40999999999997,202.42000000000002,305.155,290.3333333333333,270.03999999999996,270.33,235.77666666666664,269.42499999999995,283.42,277.85,210.43,271.79,259.68,261.63,264.05,235.99,261.63,261.52,281.41,
2006-10-31 22:13:53+00:00,300.9075,300.49666666666667,295.43,198.20000000000002,305.155,290.3333333333333,270.03999999999996,270.33,235.77666666666664,269.42499999999995,283.42,277.85,210.43,271.79,259.68,261.63,264.05,235.99,261.63,261.52,281.41,
2007-02-04 22:14:33+00:00,293.14,291.8,279.47,196.3525,,261.89,263.19,261.23,196.01,275.5,282.665,268.675,214.465,264.51,257.39,263.3,264.17,238.72,259.475,263.16999999999996,284.66,
2007-10-02 22:12:30+00:00,299.48,307.15,301.7,299.18,300.16,286.01,272.33,257.06,222.48,272.19,278.41,273.26,272.9,291.27,278.97,279.71,279.55,239.3,271.56,283.71,275.77,
2009-01-24 22:04:54+00:00,270.02,289.06,284.2,283.85,284.63,,221.01,254.82,,,,,,,,265.45,268.99,,265.86,269.77,284.32,
2009-02-09 22:05:19+00:00,279.6,290.03499999999997,279.75,281.105,275.195,258.04,240.24,261.41499999999996,253.74,266.09,275.46,,241.26,,,267.4,270.93,211.13,264.38,270.975,285.61,
2009-12-03 22:04:19+00:00,287.16,292.4,284.83,285.77,283.41,251.98,251.49,253.81,,,,,215.42,273.41,262.56,266.51,268.17,228.66,264.2,268.82,275.36,
2010-02-21 22:04:44+00:00,288.105,292.4,284.83,285.77,283.41,252.035,254.21,261.65,244.16,270.52,275.44,279.66,215.42,273.735,266.365,269.255,267.20000000000005,228.66,263.145,267.6,279.525,
2010-10-19 22:03:43+00:00,283.16,281.22,279.57,265.08,282.0,273.34,264.5,261.91,220.51,277.49,275.06,,,,,256.58,262.05,,255.73,245.95,,
2010-12-22 22:03:41+00:00,274.255,281.22,279.57,265.08,282.0,249.575,250.32999999999998,238.425,220.51,277.49,275.06,,,250.08,261.06,262.53,263.61,225.15,256.6,254.9,274.8,
2011-01-07 22:03:20+00:00,272.1433333333334,283.54,280.555,273.505,282.935,252.48333333333335,250.89,243.29,220.51,277.49,275.06,,212.71,253.49,259.635,262.24,264.25333333333333,224.135,257.61333333333334,259.19666666666666,276.78499999999997,268.33
2011-01-23 22:03:20+00:00,274.3575,285.26,280.26,277.1933333333333,281.69,252.9975,252.4925,249.60750000000002,220.51,277.49,275.06,,206.515,258.7766666666667,260.6766666666667,263.875,265.0825,227.73333333333335,259.9625,263.8225,281.0133333333333,275.88
2013-05-11 22:21:31+00:00,303.74,301.66,302.09,291.15,290.95,286.64,281.41,270.64,272.48,284.97,291.58,299.18,,,,,,,,,,
2013-05-27 22:21:38+00:00,305.22,303.135,301.21,282.385,291.06,288.33,280.295,281.38,279.245,286.535,292.44,299.395,,,,,,,,,,
