dates,satname,nzd0016-0000,nzd0016-0001,nzd0016-0002,nzd0016-0003,nzd0016-0004,nzd0016-0005,nzd0016-0006,nzd0016-0007,nzd0016-0008,nzd0016-0009,nzd0016-0010,nzd0016-0011,nzd0016-0012,nzd0016-0013,nzd0016-0014,nzd0016-0015,nzd0016-0016,nzd0016-0017,nzd0016-0018,nzd0016-0019,nzd0016-0020,nzd0016-0024,nzd0016-0025,nzd0016-0026,nzd0016-0027,nzd0016-0028,nzd0016-0029,nzd0016-0030,nzd0016-0031,nzd0016-0032,nzd0016-0033,nzd0016-0034,nzd0016-0035,nzd0016-0036,nzd0016-0037,nzd0016-0038,nzd0016-0039,nzd0016-0040,nzd0016-0041,nzd0016-0042,nzd0016-0043,nzd0016-0044,nzd0016-0045,nzd0016-0046,nzd0016-0047,nzd0016-0048,nzd0016-0049,nzd0016-0050,nzd0016-0051,nzd0016-0052,nzd0016-0053,nzd0016-0054,nzd0016-0022,nzd0016-0023,nzd0016-0021,nzd0016-0055,nzd0016-0056,nzd0016-0057
1999-08-17 22:10:26.276000,L7,461.24,424.14,408.81,395.44,384.18,381.25,361.57,348.55,302.64,367.97,361.52,375.63,336.04,305.64,425.20,413.24,411.55,405.77,407.19,401.99,418.81,414.27,404.85,401.87,390.93,396.44,404.26,393.21,425.12,398.54,399.70,401.18,396.03,391.87,399.89,402.28,404.46,406.70,398.63,409.46,414.33,399.78,395.53,393.87,385.43,384.33,372.95,367.41,381.23,399.44,416.38,437.30,,,,,,
1999-10-04 22:10:38.131000,L7,455.44,446.01,403.97,394.86,382.02,374.57,354.61,342.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-21 22:10:24.244000,L7,394.91,455.47,404.81,395.59,376.92,375.30,358.16,344.67,,,,,,,,,,,,,,349.39,318.17,392.18,,,,,,,,,,,,,,,,,,,,,,343.59,389.27,358.34,359.04,410.14,427.37,,412.27,378.37,,,,
1999-12-07 22:10:30.042000,L7,459.89,450.69,406.90,394.87,377.56,372.92,357.74,341.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-09 22:10:19.398000,L7,486.33,478.88,,,416.46,375.24,357.73,349.75,307.32,365.33,353.03,311.21,,417.76,417.02,414.69,392.21,390.76,419.21,417.77,412.00,401.03,398.45,404.90,404.83,386.77,,,,,,,,,,,,,,,,,,,,,,,,,429.20,418.31,408.74,400.95,421.41,409.51,405.03,387.93
2000-03-28 22:10:07.233000,L7,459.24,455.03,407.78,394.64,375.69,374.98,350.31,313.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.58,427.65,411.83,417.29,407.63,408.40,408.42,398.34,402.62,414.57,434.00,,,,,,,,
2000-04-29 22:09:53.797000,L7,451.03,446.78,404.25,393.60,374.37,377.18,356.98,340.10,301.67,348.65,360.85,313.54,,,,,,,,,,396.30,,,,339.69,406.12,424.06,431.04,,,,,,,,,,,,,,,,,,,,,,,,408.48,403.70,,,,
2000-05-15 22:09:42.527000,L7,464.45,451.81,398.55,385.34,361.70,362.30,353.03,322.67,,,,,,,,,,,,,,,,,,,431.12,415.52,398.82,365.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-03 22:08:44.137000,L7,,379.89,397.69,373.51,,,,,,,,371.91,346.52,316.45,315.01,303.32,300.32,386.16,378.76,387.65,386.25,393.96,348.86,352.20,331.61,304.78,313.38,383.13,,,,,,,,,,,,,,,,404.19,414.90,408.02,387.15,373.26,396.55,408.98,419.05,419.49,389.38,387.31,398.31,416.43,406.63,386.78
2000-08-19 22:08:38.248000,L7,443.13,443.42,405.80,396.77,384.32,382.05,367.42,351.79,309.91,363.60,359.35,315.92,402.25,396.03,393.13,382.91,379.47,381.84,406.54,384.61,415.09,393.30,384.91,390.90,380.24,407.16,391.74,381.44,390.78,377.11,378.14,380.07,387.21,374.81,372.45,378.41,391.48,392.30,388.44,389.85,393.01,378.61,374.46,371.28,363.66,361.94,361.28,355.92,361.16,380.81,384.25,384.46,396.40,399.39,420.80,377.19,375.72,356.37
2000-09-04 22:08:22.800000,L7,453.79,447.74,408.68,398.74,383.46,388.49,375.28,351.64,324.49,366.37,413.07,409.23,415.54,406.42,410.37,406.95,391.46,382.15,378.95,391.80,396.02,399.41,395.18,391.17,381.43,391.19,404.91,392.20,390.37,391.31,390.54,386.55,394.07,389.45,392.56,396.13,402.01,394.50,398.93,401.24,415.69,395.39,403.67,404.61,399.69,405.57,394.96,389.28,382.21,412.45,396.49,394.76,407.89,400.06,408.24,390.90,390.03,374.49
2000-09-20 22:08:03.348000,L7,448.19,443.95,410.24,394.96,384.44,381.69,362.36,351.43,309.26,348.23,354.69,313.74,419.12,399.28,412.42,409.84,402.91,405.17,393.12,390.70,405.17,405.62,394.51,398.43,382.39,395.36,407.82,393.57,393.70,407.90,399.91,406.23,404.47,407.61,413.60,407.58,414.32,414.90,410.09,421.13,425.83,412.39,416.20,405.51,406.87,405.24,384.10,382.50,391.24,405.77,406.49,412.77,399.30,398.82,417.24,401.46,390.15,374.75
2000-10-06 22:07:59.689000,L7,454.67,455.19,410.05,400.89,384.65,389.59,368.71,315.17,308.65,349.83,,,,,,,,,,,,,411.66,412.98,403.14,417.35,425.37,413.42,407.78,410.07,410.30,,,,,,,,,,,,,416.96,414.68,418.83,407.09,401.03,404.82,426.34,,,,,,,,
2000-10-22 22:07:50.487000,L7,393.47,449.60,404.32,394.19,378.42,377.21,375.31,383.70,,,,,,369.53,405.91,347.70,332.30,320.15,,,,,,,,,,,,,,,,,,,,,,,,,,,421.46,419.56,404.89,409.96,420.24,413.85,419.88,,,,,,,
2000-11-07 22:07:53.532000,L7,,456.86,412.11,396.55,384.01,381.19,361.97,356.08,315.98,358.14,356.25,324.85,347.22,318.50,313.79,,,,,,,393.44,,,395.07,408.22,416.18,415.74,415.84,,,430.40,421.13,420.20,424.28,418.03,386.14,298.13,,,,,,,,,,,,,,,410.67,411.74,426.29,,396.75,405.90
2001-02-27 22:07:54.461000,L7,397.64,419.31,406.83,393.61,378.81,373.06,353.76,,,,,,,,,,,,,,,,,418.35,424.44,418.32,418.69,392.57,423.59,,410.75,418.77,415.33,400.84,403.98,402.45,,414.57,408.38,426.80,408.06,,,,,,,,,,,,,,,,,
2001-06-03 22:07:16.736000,L7,450.26,426.17,410.90,397.11,385.99,390.02,362.73,351.93,311.75,367.34,358.55,388.13,,,,,,,,,,408.99,416.09,413.84,402.23,410.84,415.39,411.96,422.70,411.49,411.22,400.38,404.33,399.30,415.23,417.97,423.26,406.61,429.83,,426.11,411.81,405.98,395.01,393.90,398.21,372.60,381.77,403.97,422.78,407.73,396.57,419.34,401.89,,396.98,390.72,371.37
2001-06-19 22:07:05.722000,L7,458.46,454.99,405.38,389.76,377.84,364.69,360.19,341.55,312.75,369.14,360.88,375.51,355.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.98,393.99,363.61,352.43,,,,,,,,,,,,,,
2001-09-07 22:06:11.116000,L7,451.01,449.74,409.29,394.99,381.85,378.05,358.16,350.77,325.20,347.87,339.84,316.54,,,,,,,,,403.57,408.90,396.72,,,,,,,388.88,412.83,387.33,389.11,423.10,396.00,375.59,392.52,394.61,393.84,389.44,407.59,396.87,396.00,385.11,384.25,383.37,361.38,347.99,364.05,416.36,409.95,391.82,399.78,402.03,408.53,393.49,378.30,362.59
2001-09-23 22:06:03.238000,L7,395.90,430.87,405.08,393.24,379.90,374.67,355.26,315.47,306.36,345.05,300.92,335.37,358.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-26 22:06:09.518000,L7,454.64,418.13,401.22,393.76,380.46,374.94,307.31,,,,,,,,,412.46,396.06,399.73,404.58,402.32,414.46,,414.08,413.56,405.05,408.50,415.74,414.09,411.99,410.52,413.60,408.06,413.70,400.55,403.07,408.02,414.02,415.66,411.03,415.60,,,,417.31,401.01,394.84,384.47,379.05,383.42,407.83,406.29,400.51,,,,409.48,401.00,391.81
2001-12-12 22:06:14.960000,L7,,,412.90,392.41,379.15,375.32,308.48,339.00,302.19,345.50,,,,,,,,,,,,407.97,397.77,404.56,400.94,410.62,349.42,,,,,,,,,,,,,,,,,,,,,414.44,388.41,394.27,403.19,408.08,412.93,406.60,,409.95,419.34,389.94
2001-12-28 22:06:14.106000,L7,455.24,419.15,406.45,394.34,382.93,380.65,359.84,343.62,311.19,346.86,348.63,313.04,,,,,,,,,,407.75,401.06,404.90,396.46,,,406.17,391.63,407.50,411.72,413.42,425.72,,,,,418.80,408.03,414.10,416.95,418.81,414.25,402.45,396.70,402.91,378.30,381.51,398.06,410.81,403.59,415.07,421.60,402.58,,379.52,,
2002-01-29 22:06:21.478000,L7,443.98,443.67,410.59,395.08,382.99,379.51,361.14,347.93,311.46,353.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.76,394.13,398.38,388.62,395.39,413.78,417.47,418.61,,,,397.51,413.04,376.78
2002-02-14 22:06:29.522000,L7,447.92,443.34,398.94,392.48,372.03,364.21,352.45,,,,,,,,,,,,,,,,,,,,413.90,403.60,400.59,397.72,390.54,405.32,403.14,387.24,380.95,375.60,391.56,425.97,397.47,400.61,404.95,401.91,395.50,393.24,394.84,392.40,372.41,381.85,371.72,396.24,398.19,387.40,,,,392.37,376.62,362.91
2002-03-18 22:06:22.131000,L7,449.05,419.94,407.35,394.37,381.46,376.51,360.59,339.14,295.28,345.03,,,,,,,,,,,419.73,402.73,395.29,395.87,382.07,404.10,423.24,397.62,393.30,389.90,391.24,406.43,402.87,390.75,394.27,389.23,397.99,403.88,400.86,401.69,416.51,400.83,405.66,395.18,384.53,382.86,363.59,365.39,372.18,387.59,394.72,385.26,405.39,398.67,419.03,388.97,384.17,371.26
