dates,nzd0016-0000,nzd0016-0001,nzd0016-0002,nzd0016-0003,nzd0016-0004,nzd0016-0005,nzd0016-0006,nzd0016-0007,nzd0016-0008,nzd0016-0009,nzd0016-0010,nzd0016-0011,nzd0016-0012,nzd0016-0013,nzd0016-0014,nzd0016-0015,nzd0016-0016,nzd0016-0017,nzd0016-0018,nzd0016-0019,nzd0016-0020,nzd0016-0021,nzd0016-0022,nzd0016-0023,nzd0016-0024,nzd0016-0025,nzd0016-0026,nzd0016-0027,nzd0016-0028,nzd0016-0029,nzd0016-0030,nzd0016-0031,nzd0016-0032,nzd0016-0033,nzd0016-0034,nzd0016-0035,nzd0016-0036,nzd0016-0037,nzd0016-0038,nzd0016-0039,nzd0016-0040,nzd0016-0041,nzd0016-0042,nzd0016-0043,nzd0016-0044,nzd0016-0045,nzd0016-0046,nzd0016-0047,nzd0016-0048,nzd0016-0049,nzd0016-0050,nzd0016-0051,nzd0016-0052,nzd0016-0053,nzd0016-0054,nzd0016-0055,nzd0016-0056,nzd0016-0057,satname
1999-08-17 22:10:26+00:00,,,,,,,,,,,,,,295.75,282.74,270.92,270.32,212.49,299.83,236.84,219.12,303.77,254.75,247.27,,,,,,,,,,,,,,,,,,,,221.56,249.94,279.09,226.22,228.5,248.1,269.35,,,,304.0,,,,,L7
1999-10-04 22:10:38+00:00,,,,,,,,,,,,,,295.75,282.74,270.92,270.32,212.49,299.83,236.84,219.12,303.77,254.75,247.27,,,,,,,,,,,,,,,,,,,,221.56,246.435,279.515,225.28,226.39,238.595,267.06,255.01,265.2,259.88,304.0,,,,,L7
2000-03-28 22:10:07+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.67000000000002,281.69,224.805,223.28,227.01,280.83,251.845,264.40999999999997,258.645,,,,,,L7
2000-08-19 22:08:38+00:00,,,,,,,,,,,,,,297.63,295.13,278.9,275.29,231.24,297.06,248.67,238.37,309.89,293.49,286.56,,,,,,,,282.94,235.46,,,,,,,,,,,,252.41,283.44,225.27,222.28,224.93,296.89,248.68,263.62,257.41,,,,306.88,,L7
2000-09-04 22:08:22+00:00,,,,,,,,,,,,,314.16,298.25,294.685,275.335,278.19500000000005,227.07999999999998,297.06,248.67,238.37,309.89,293.49,286.56,,,,,,,,282.94,235.46,,,,,,,,,,,,252.41,283.44,225.27,222.28,224.93,296.89,248.68,263.62,257.41,,,,306.88,,L7
2000-09-20 22:08:03+00:00,,,,,,,,,,,,,314.16,298.25,294.685,275.335,278.19500000000005,227.07999999999998,297.06,248.67,234.735,304.53,293.49,286.56,,,,,,230.12,230.0,282.94,235.46,,,,,,,,,,196.84,222.17,252.69,289.68,228.465,223.94,242.14999999999998,286.28999999999996,254.0,264.545,257.41,,,,306.88,,L7
2001-06-03 22:07:16+00:00,382.86,,,,,,,,,,,,,299.55,285.92,271.82,263.2,189.61,303.68,255.53,234.43,314.91,296.54,,,,,,,251.84,244.83,272.0,240.88,,,,,,,,,,208.26,234.97,282.81,295.67,242.96,231.51,261.65,264.87,274.03,267.91,293.59,313.6,288.63,,,,L7
2001-09-07 22:06:11+00:00,381.14,,,,,349.11,341.89,340.52,301.08,,,,,299.55,285.92,271.82,263.2,189.61,303.68,255.53,234.43,314.91,296.54,,,,,,,251.84,244.83,272.0,240.88,,,,,,,,,,208.26,234.97,282.81,295.67,242.96,231.51,261.65,264.87,274.03,267.91,293.59,313.6,288.63,,,,L7
2002-02-14 22:06:29+00:00,379.42,,,,,349.11,341.89,340.52,301.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.55,288.27,231.35,223.55,242.1,272.19,258.91,265.14,259.16,,,,,,L7
2002-03-18 22:06:22+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.775,287.97,231.60500000000002,224.76,250.45,268.425,258.3,264.9,259.85,,,,,,L7
2002-12-31 22:05:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.15,286.79,229.83,222.97,234.76,271.1,256.63,263.64,259.63,,,,,,L7
2004-05-18 21:58:14+00:00,,,,,,,,,332.55,,,,292.59,312.2,303.0,302.29,307.25,,319.85,313.34,,341.75,307.78,304.89,320.8,,322.5,311.28,,243.58,327.81,331.93,,287.87,,,,,,,,,183.93,267.62,,297.98,262.28,241.26,247.19,282.68,297.97,296.56,312.49,279.52,261.73,,,,L5
2005-01-13 22:03:41+00:00,410.88,,,,,,,371.17,349.51,376.71,,357.66,345.68,,,,,,,301.76,187.48,343.39,312.1,,,,,,,,326.89,330.87,239.97,,,,,,,,,,180.83,235.53,261.87,289.05,266.98,240.64,238.57,273.57,288.44,288.6,312.14,274.24,,,,,L5
2005-04-03 22:04:40+00:00,410.88,,,,,,364.28,360.025,349.51,374.54999999999995,,351.64,331.11,,,298.21,292.93,,306.62,304.59000000000003,187.48,336.66499999999996,306.9,,,,,,,,326.28,333.75,239.97,,,,,,,,,,180.83,233.92000000000002,256.955,284.36,266.98,240.64,238.57,267.52,291.395,287.175,309.22,274.24,,,,,L5
2005-04-19 22:04:43+00:00,414.395,,,,,,364.28,360.79333333333335,348.605,373.53999999999996,,348.18333333333334,334.59999999999997,315.74,,312.76,307.81,,306.62,304.59000000000003,187.48,339.3633333333333,310.15000000000003,308.7,338.12,,,,,,328.74,335.59,239.97,,,,,,,,,,180.83,240.82333333333335,268.6333333333333,286.83,266.98,240.64,238.57,271.23333333333335,294.34666666666664,289.09,311.18,288.08000000000004,,,,,L5
2005-09-26 22:05:42+00:00,417.91,,,,,,364.28,354.28999999999996,342.145,367.78999999999996,,343.78,331.6666666666667,315.74,,312.76,307.81,,306.62,307.42,,334.16333333333336,307.06333333333333,308.7,338.12,,,,,226.03,324.25333333333333,326.18666666666667,,,,,,,,,,,,236.10000000000002,263.45,284.6766666666667,284.85,239.71,226.69,264.3366666666667,293.5733333333333,287.26666666666665,308.84,288.02,,,,,L5
