dates,satname,nzd0235-0000,nzd0235-0001,nzd0235-0002,nzd0235-0003,nzd0235-0005,nzd0235-0006,nzd0235-0007,nzd0235-0008,nzd0235-0009,nzd0235-0010,nzd0235-0011,nzd0235-0012,nzd0235-0013,nzd0235-0014,nzd0235-0015,nzd0235-0016,nzd0235-0017,nzd0235-0019,nzd0235-0020,nzd0235-0023,nzd0235-0024,nzd0235-0025,nzd0235-0026,nzd0235-0028,nzd0235-0029,nzd0235-0030,nzd0235-0031,nzd0235-0018,nzd0235-0021,nzd0235-0022,nzd0235-0027,nzd0235-0004
2002-08-29 21:41:39.340000,L7,358.95,357.40,326.59,187.95,281.58,319.95,218.24,320.84,380.69,388.45,395.17,384.49,380.54,377.88,154.95,311.08,294.61,350.08,378.94,341.14,338.41,303.79,277.11,333.03,301.15,300.37,358.55,390.09,262.49,331.10,333.91,
2002-09-14 21:41:31.043000,L7,374.42,363.70,340.01,337.19,291.05,329.64,253.37,346.86,383.37,386.33,392.05,395.00,382.58,388.18,384.01,399.09,395.49,357.30,380.05,381.17,341.75,350.18,330.64,329.24,337.49,337.47,353.20,388.37,389.51,392.62,334.85,159.37
2002-11-01 21:41:30.201000,L7,385.08,374.79,351.29,349.69,349.98,352.86,301.05,379.33,392.43,397.44,399.90,395.01,389.72,385.68,392.42,400.48,397.39,386.31,385.29,382.73,355.76,355.62,349.22,344.88,341.84,341.29,360.26,394.73,390.81,394.74,349.54,337.57
2003-01-20 21:42:09.421000,L7,352.46,334.84,,,,302.89,,285.20,328.68,355.78,189.04,317.89,361.50,248.61,247.97,164.68,396.81,385.43,339.57,374.93,307.35,338.73,325.13,328.76,316.05,303.01,355.99,370.65,368.24,344.29,328.20,
2003-02-21 21:42:20.469000,L7,386.95,382.26,369.60,324.10,366.73,292.56,378.79,380.31,402.79,393.28,402.24,404.10,389.48,399.98,334.60,165.59,388.42,387.54,381.02,359.95,358.36,348.89,347.72,338.01,336.78,339.12,353.04,390.63,368.61,172.72,345.10,355.85
2003-04-26 21:42:25.606000,L7,295.66,305.77,273.87,,,,,283.83,323.11,237.58,320.67,362.27,359.59,341.93,158.52,368.83,367.89,330.72,340.48,256.95,288.23,293.26,,,288.78,289.90,,330.13,,,,
2003-05-28 21:42:22.600000,L7,354.03,341.70,308.22,321.29,275.95,307.29,220.76,332.16,369.98,376.87,375.20,377.48,371.66,356.12,366.45,380.97,379.07,345.02,353.94,376.01,325.73,305.36,264.80,212.85,188.61,183.13,166.39,340.99,340.08,386.43,211.30,
2003-09-25 21:31:19.142000,L5,386.86,368.02,340.37,339.22,298.95,328.77,261.70,368.88,394.79,398.06,404.87,404.60,394.67,388.14,394.78,405.79,402.55,382.82,387.84,390.95,361.16,356.91,352.40,339.20,333.93,339.59,362.06,393.42,409.42,399.90,339.98,177.95
2003-11-28 21:32:10.197000,L5,326.68,325.23,316.56,291.20,,,,303.44,345.40,346.84,357.32,355.47,351.48,346.90,368.43,374.68,367.20,336.45,360.34,,,,,183.11,312.65,323.64,345.21,332.69,325.65,,,
2003-12-14 21:32:14.677000,L5,366.66,357.88,344.99,336.26,286.87,329.78,253.92,333.17,371.27,366.66,382.11,380.58,373.95,375.08,396.91,405.54,402.45,378.72,384.75,366.61,342.12,339.64,334.00,340.03,339.09,342.40,361.29,393.31,374.43,378.42,337.04,177.54
