dates,nzd0257-0000,nzd0257-0001,nzd0257-0002,nzd0257-0003,nzd0257-0004,nzd0257-0005,nzd0257-0006,nzd0257-0007,nzd0257-0008,nzd0257-0009,nzd0257-0010,nzd0257-0011,nzd0257-0012,nzd0257-0013,nzd0257-0014,nzd0257-0015,nzd0257-0016,nzd0257-0017,nzd0257-0018,nzd0257-0019,nzd0257-0020,nzd0257-0021,nzd0257-0022,nzd0257-0023,nzd0257-0024,nzd0257-0025,nzd0257-0026,nzd0257-0027,satname
1999-12-25 21:59:16+00:00,,282.61,260.5,250.1,244.36,,,,,,,,244.39,241.54,,245.66,247.23,240.56,250.05,253.36,242.5,,234.31,223.63,217.46,233.67,,,L7
2000-01-10 21:59:16+00:00,311.53,288.935,266.25,256.575,249.8,,,,,,258.09,231.01,250.185,245.935,258.57,249.8,251.96999999999997,244.14,250.05,253.36,242.5,,234.31,223.63,217.46,233.67,,,L7
2000-03-14 21:58:59+00:00,326.205,288.935,266.25,256.575,249.8,,,,344.22,,258.09,231.01,250.185,245.935,258.57,249.8,251.96999999999997,244.14,250.05,253.36,242.5,,234.31,223.63,217.46,233.67,,,L7
2000-03-30 21:58:57+00:00,323.27,288.935,266.25,256.575,249.8,,,,344.22,,260.605,234.815,250.185,245.935,258.57,249.8,251.96999999999997,244.14,250.05,253.36,242.5,,241.05,228.14999999999998,219.60000000000002,233.745,,,L7
2000-07-04 21:58:02+00:00,323.27,313.355,272.0,263.05,255.24,,,,344.22,,260.605,234.815,255.98,250.33,258.57,253.94,256.71,247.72,,,,,247.79,232.67,221.74,233.82,,,L7
2000-08-05 21:57:32+00:00,315.17333333333335,331.45,251.37,245.98,245.72,,,,344.22,,263.12,238.62,,,,,,,,246.33,233.84,,247.79,232.67,221.74,233.82,,,L7
2000-11-09 21:56:45+00:00,308.155,337.38,292.2,277.41,264.69,291.53,300.35,,332.99,292.18,285.69,268.49,275.02,281.97,279.09,,284.4,274.04,289.38,269.25,261.11,284.47,267.94,262.16,263.65,,,,L7
2001-03-17 21:56:40+00:00,332.09000000000003,328.065,316.715,298.58,284.83000000000004,283.145,286.475,263.36,306.6,283.395,279.35,258.16,273.205,278.12,279.09,267.77,279.375,274.04,286.85,292.17,288.38,284.47,267.94,262.16,260.825,,195.16,244.85,L7
2001-09-09 21:55:00+00:00,335.11,312.82,300.4,288.32,286.0,274.76,272.6,263.36,280.21,274.61,273.01,247.83,271.39,274.27,,267.77,274.35,272.79,284.32,,,265.18,,,258.0,253.58,194.64999999999998,228.88,L7
2001-09-25 21:54:52+00:00,328.0,312.9,298.27,277.82,269.8,266.89,260.55,265.26,284.35,278.49,276.74,246.67,264.84,270.47,269.79,263.41,267.51,266.735,277.99,278.47,274.11,264.40999999999997,257.34,248.86,,253.58,194.14,212.91,L7
2001-10-11 21:54:33+00:00,331.69,312.9,298.27,277.82,269.8,266.89,260.55,265.26,284.35,278.49,276.74,246.67,264.84,270.47,269.79,263.41,267.51,266.735,277.99,278.47,274.11,264.40999999999997,257.34,248.86,,253.58,194.14,212.91,L7
2002-02-16 21:55:18+00:00,330.3066666666667,315.1,297.71,285.385,276.06500000000005,276.885,266.53499999999997,271.2,285.46500000000003,275.37,275.795,244.83999999999997,266.16999999999996,274.47,274.525,267.285,269.675,264.62000000000006,275.88,274.38500000000005,272.33000000000004,266.00666666666666,259.60499999999996,252.56500000000003,258.78,255.47500000000002,226.985,212.91,L7
2002-08-27 21:54:24+00:00,282.43,267.51,,236.62,232.34,229.03,215.44,224.7,240.01,,223.27,,,,225.74,,,,,,,,,,,,,,L7
2002-10-14 21:54:07+00:00,298.4,278.92499999999995,271.48,251.345,247.89,242.305,232.86,238.16,252.88,244.25,240.055,221.03,244.9,253.93,241.635,251.59,257.14,245.57,252.51,261.67,249.74,252.82,243.72,231.35,232.73,,,,L7
2002-12-01 21:54:40+00:00,311.60999999999996,292.75333333333333,298.33000000000004,251.345,247.89,242.305,232.86,238.16,252.88,244.25,240.055,221.03,244.9,264.1,252.47,261.19,257.14,245.57,252.51,261.67,249.74,252.82,243.72,231.35,232.73,,,,L7
2003-02-19 21:55:06+00:00,321.6725,297.675,300.6466666666667,251.345,247.89,242.305,232.86,240.84666666666666,253.42,234.735,240.055,221.03,244.9,256.92333333333335,250.31,255.64333333333335,252.90499999999997,241.385,244.70999999999998,255.875,243.85000000000002,244.415,238.06,225.83499999999998,222.255,231.92,,,L7
2003-07-21 21:42:57+00:00,338.0,312.0,296.08,279.87,,,,246.22,254.5,225.22,,,,242.57,243.83,244.55,248.67,237.2,236.91,250.08,237.96,236.01,232.4,220.32,211.78,231.92,,,L5
2004-03-01 21:45:26+00:00,,,,,223.93,,,226.8,239.59,208.33,,,,,,,,,,,,,,,,,,,L5
2004-04-18 21:46:13+00:00,308.4,299.14,295.18,292.57,256.025,290.65,277.28,226.8,263.2,208.33,284.54,250.53,,,290.65,272.52,292.04,298.96,,293.36,280.85,287.51,272.55,269.96,277.18,284.2,230.02,226.08,L5
2004-07-07 21:48:33+00:00,309.34,301.41499999999996,289.70500000000004,283.35,260.47333333333336,274.515,270.68499999999995,243.395,263.2,208.33,284.54,250.53,,,275.42499999999995,272.52,292.04,298.96,,293.36,280.85,287.51,272.55,269.96,277.18,284.2,230.02,226.08,L5
2004-07-23 21:48:56+00:00,309.34,301.41499999999996,289.70500000000004,283.35,253.85,258.07666666666665,270.68499999999995,243.395,263.2,201.695,284.54,250.53,209.64,232.4,275.42499999999995,272.52,292.04,298.96,,293.36,280.85,287.51,272.55,269.96,277.18,284.2,230.02,226.08,L5
2004-09-25 21:50:31+00:00,309.1033333333333,298.3933333333334,285.7266666666667,282.81,265.7325,264.6525,270.0733333333333,263.555,286.645,239.01,283.22,244.65,233.035,254.305,274.86999999999995,271.42999999999995,284.03499999999997,285.185,272.77,292.765,280.15,281.72,269.94,262.81,266.0,270.13,239.09,247.28000000000003,L5
2005-01-31 21:52:45+00:00,309.385,293.69,277.06,272.73,270.425,273.455,266.82000000000005,262.31,279.69500000000005,279.38,273.6,235.96,255.51,272.4,273.76,270.34,275.595,264.675,268.99,284.42,272.775,269.08000000000004,262.065,250.095,253.07,254.49,244.91,269.5,L5
2005-03-04 21:53:16+00:00,312.01666666666665,294.6933333333333,276.84999999999997,270.66,266.24666666666667,269.46999999999997,263.6566666666667,261.14000000000004,280.00000000000006,275.76666666666665,272.87333333333333,237.36666666666667,255.54666666666665,269.4866666666667,269.595,266.365,274.4266666666667,262.70666666666665,267.21,281.96333333333337,273.25,269.65333333333336,261.4633333333333,251.98666666666668,252.45333333333335,255.40666666666667,240.08333333333334,268.27666666666664,L5
2005-04-21 21:53:34+00:00,317.57666666666665,300.50333333333333,281.92,272.02,267.60999999999996,270.76666666666665,268.82666666666665,267.09,282.85,278.19,274.94,243.2066666666667,256.8933333333334,272.71999999999997,271.51,265.805,274.2866666666667,259.61,270.43666666666667,281.69666666666666,273.8633333333333,269.81,263.57,252.22333333333336,255.0666666666667,256.4433333333333,235.59,268.17499999999995,L5
2005-09-12 21:54:34+00:00,325.31,309.78,292.98,285.81,275.55,288.27,284.36,292.095,287.83000000000004,290.23,286.045,250.92000000000002,264.615,288.46,277.59,269.22,275.61,262.12,285.515,293.685,280.96500000000003,273.17999999999995,269.66499999999996,256.345,279.69500000000005,263.72,240.94,268.55,L5
2006-02-03 21:56:42+00:00,324.2,300.21,281.66,271.05,270.18,257.89,248.69,274.87,274.59000000000003,270.34,275.21500000000003,241.14,261.78499999999997,280.05499999999995,273.53,265.94,278.41,263.61,276.095,285.46000000000004,272.71,266.255,261.07500000000005,252.355,276.705,263.345,244.075,272.03,L5
