dates,satname,nzd0257-0000,nzd0257-0001,nzd0257-0002,nzd0257-0003,nzd0257-0004,nzd0257-0005,nzd0257-0006,nzd0257-0007,nzd0257-0008,nzd0257-0009,nzd0257-0021,nzd0257-0022,nzd0257-0023,nzd0257-0024,nzd0257-0025,nzd0257-0026,nzd0257-0010,nzd0257-0016,nzd0257-0017,nzd0257-0018,nzd0257-0019,nzd0257-0020,nzd0257-0011,nzd0257-0027,nzd0257-0012,nzd0257-0013,nzd0257-0014,nzd0257-0015
1999-12-25 21:59:16.152000,L7,347.90,362.80,319.37,311.97,246.02,301.57,328.21,242.72,257.47,232.67,359.88,351.71,350.84,346.58,364.72,346.02,,,,,,,,,,,,
2000-01-10 21:59:16.407000,L7,351.17,338.31,346.40,270.41,294.20,291.47,303.17,326.69,346.13,347.88,330.98,342.08,363.30,254.20,262.45,,359.55,383.37,368.45,353.89,370.79,358.19,,,,,,
2000-01-26 21:59:14.283000,L7,310.35,286.57,259.64,252.00,243.30,248.21,241.00,343.29,,,,,,,,,,,,,,,,,,,,
2000-03-14 21:58:59.247000,L7,324.01,303.72,289.34,277.24,270.57,270.02,283.66,273.47,285.21,286.39,264.17,258.99,248.76,288.22,309.91,262.22,274.52,,266.06,275.86,281.09,277.73,248.91,,,,,
2000-03-30 21:58:57.484000,L7,,,,,,,286.35,309.11,328.18,347.73,268.31,256.82,247.92,241.96,243.82,,353.54,381.23,365.66,378.34,375.87,372.64,346.09,,363.82,250.97,377.12,371.24
2000-07-04 21:58:02.420000,L7,,,,,,,,298.66,308.65,331.74,329.84,337.97,352.29,,,,321.02,352.82,350.67,342.74,323.74,323.93,336.61,,339.41,369.25,,361.28
2000-11-09 21:56:45.337000,L7,307.88,318.12,309.25,267.38,262.98,261.38,258.09,266.93,277.98,270.90,264.26,257.83,250.28,250.29,259.15,,267.38,,261.11,272.91,277.82,267.77,,278.19,,,,
2000-11-25 21:56:47.006000,L7,,,,,,,,,,320.04,,,,,,,329.72,,,,,,335.87,,339.56,,,
2001-03-17 21:56:40.512000,L7,326.21,303.48,292.96,280.26,278.59,269.04,266.88,254.30,275.85,269.85,279.19,265.38,255.61,255.50,298.27,,267.68,271.57,266.83,280.61,286.41,278.36,,,265.10,270.37,265.37,261.74
2001-09-09 21:55:00.813000,L7,,,,,,,,,,,261.32,258.74,244.44,249.91,254.36,246.47,,281.62,272.27,272.40,290.12,265.25,,,,,325.84,278.49
2001-09-25 21:54:52.649000,L7,309.76,294.55,279.90,260.23,251.47,248.03,244.88,249.48,265.26,255.57,,,,,,,259.60,,,,,,,,,,,
2001-10-11 21:54:33.822000,L7,323.97,312.52,300.86,279.86,274.58,273.33,268.70,272.65,281.99,286.87,278.31,268.55,255.95,263.81,270.56,253.49,284.37,281.76,276.72,285.76,290.17,277.79,258.76,297.62,282.36,280.03,272.08,274.70
2002-02-16 21:55:18.119000,L7,316.91,303.81,285.45,286.16,273.56,283.10,281.27,262.85,263.85,267.19,262.37,263.53,258.32,257.00,259.15,,267.02,,,269.07,265.51,264.64,,,,,,
2002-08-27 21:54:24.198000,L7,385.50,359.00,359.87,339.27,328.79,320.46,314.71,328.47,350.27,363.25,,,,,,,,,,,,,,,,,,
2002-10-14 21:54:07.948000,L7,296.34,277.62,258.07,251.47,249.81,241.63,238.81,241.92,254.14,,,,,,,,,,,,,,,,,,,
2002-12-01 21:54:40.891000,L7,335.16,325.65,339.78,336.91,,,,,322.22,337.63,330.65,303.52,320.74,347.61,361.32,358.16,347.20,352.00,329.49,313.96,318.85,320.95,369.72,350.89,256.38,273.40,369.91,364.14
2003-03-07 21:55:10.647000,L7,,,,,,,,,,,261.80,257.59,251.94,253.39,260.17,,,322.80,296.19,268.39,280.59,268.84,,,,,,375.15
2003-07-21 21:42:57.544000,L5,314.21,302.53,277.28,270.08,264.25,262.92,253.70,252.13,267.14,265.80,,,,,,,261.96,,,,,,225.72,,,,,
2004-04-18 21:46:13.246000,L5,287.64,282.56,272.75,269.92,256.41,263.77,258.99,254.54,268.65,268.87,261.97,254.15,248.78,244.61,255.42,,266.02,,,,272.43,259.71,231.84,,,,,
2004-05-20 21:47:08.268000,L5,299.20,289.35,277.75,272.81,263.25,282.97,265.51,259.88,267.62,271.26,,,,,,,275.46,,,,,,,,,,,
2004-07-07 21:48:33.010000,L5,300.77,295.29,275.19,264.46,258.71,248.22,254.04,250.34,255.61,259.63,,,,,,,267.73,,,,,,232.30,,,,,
2004-07-23 21:48:56.995000,L5,304.65,322.59,287.33,261.38,261.76,265.83,262.74,250.06,267.77,266.17,,,,,,,263.43,,,,,,232.09,,,,,
2004-09-25 21:50:31.000000,L5,298.85,283.37,267.97,271.83,260.59,273.70,258.69,259.11,275.43,272.58,265.35,256.80,245.96,244.07,245.67,,271.93,,,,283.17,269.38,229.00,,,,,
2005-03-04 21:53:16.048000,L5,283.52,273.09,250.02,243.80,235.35,238.95,233.08,238.68,254.35,,,,,,,,,,,,,,,,,,,
2005-04-21 21:53:34.581000,L5,,,236.11,234.85,230.95,229.88,226.02,237.16,239.69,,,,,,,,,,,,,,,,,,,
2005-08-27 21:54:31.776000,L5,289.73,280.29,259.94,260.79,252.80,246.31,235.79,227.50,244.40,241.55,,,,,,,248.14,,,,,,,,,,,
2005-09-12 21:54:34.182000,L5,293.31,278.31,254.44,254.15,251.24,242.95,234.14,234.18,248.70,,,,,,,,,,,,,,,,,,,
2006-06-27 21:59:12.342000,L5,307.53,290.38,276.38,262.84,255.10,253.72,256.02,246.33,261.03,256.41,,,,,,,262.04,,,,,,230.85,,,,,
2009-12-12 21:57:01.642000,L5,323.95,305.98,284.18,274.41,272.28,283.97,269.34,282.49,286.87,302.23,298.01,295.98,285.86,267.71,279.42,285.28,294.24,279.55,299.89,331.13,286.58,293.36,314.56,275.83,290.61,281.94,296.34,310.74
2010-01-13 21:57:13.219000,L5,309.33,296.19,276.70,271.56,260.18,262.02,267.38,280.45,284.95,278.87,262.33,265.89,275.05,256.45,267.40,267.16,286.71,280.61,301.68,277.83,294.02,296.23,240.89,289.50,255.11,272.81,288.07,280.69
2011-01-16 21:56:21.862000,L5,301.41,284.18,268.55,267.92,262.26,262.11,257.86,257.89,266.44,268.85,253.40,249.24,237.27,241.10,244.94,,266.33,,,263.95,268.13,260.41,,,,,,
2013-05-13 22:08:23.242000,L8,309.36,293.30,291.93,310.99,294.89,302.21,315.84,329.36,356.45,342.41,264.24,261.40,251.39,247.54,236.38,367.33,352.62,275.22,269.47,275.82,276.60,267.10,,,244.40,254.26,266.20,258.21
2013-05-29 22:08:29.376000,L8,309.10,290.38,335.57,340.28,344.36,342.90,318.21,326.89,338.70,355.85,261.44,256.04,248.44,,,,266.88,,266.78,270.41,272.98,261.95,,,,,,
2013-08-17 22:08:27.088000,L8,296.28,285.21,272.18,304.91,325.54,330.86,329.67,351.16,332.84,335.79,256.24,254.59,242.73,244.38,250.79,,347.88,362.38,357.61,267.69,270.83,263.45,350.95,,,,,380.24
2013-09-02 22:08:28.553000,L8,306.38,299.01,279.15,267.84,303.24,320.04,330.56,327.84,343.24,340.99,266.75,256.50,252.19,249.98,258.20,343.49,276.41,358.16,269.56,270.68,273.44,262.39,,,,,,
2013-11-21 22:08:01.711000,L8,301.64,288.66,276.18,268.23,283.80,266.90,267.86,251.61,261.21,277.34,260.93,258.77,249.29,250.75,256.15,247.06,268.18,,,270.20,270.93,264.48,,319.56,,,,
2014-07-03 22:06:14.073000,L8,314.72,293.55,283.55,272.21,355.59,298.55,313.94,257.63,281.49,277.87,267.98,260.01,334.10,378.06,,,274.01,271.28,273.34,276.26,280.63,267.64,,,244.44,268.67,264.23,260.18
2014-11-08 22:06:40.082000,L8,286.74,279.55,265.39,268.34,264.27,267.36,275.73,291.99,310.36,,,,,,,,,,,,,,,258.34,,,,
