dates,satname,nzd0303-0000,nzd0303-0001,nzd0303-0002,nzd0303-0172,nzd0303-0173,nzd0303-0174,nzd0303-0175,nzd0303-0176,nzd0303-0177,nzd0303-0178,nzd0303-0003,nzd0303-0160,nzd0303-0161,nzd0303-0162,nzd0303-0163,nzd0303-0164,nzd0303-0165,nzd0303-0166,nzd0303-0167,nzd0303-0085,nzd0303-0086,nzd0303-0087,nzd0303-0088,nzd0303-0100,nzd0303-0101,nzd0303-0102,nzd0303-0103,nzd0303-0104,nzd0303-0105,nzd0303-0106,nzd0303-0179,nzd0303-0041,nzd0303-0042,nzd0303-0043,nzd0303-0044,nzd0303-0045,nzd0303-0046,nzd0303-0047,nzd0303-0077,nzd0303-0078,nzd0303-0079,nzd0303-0080,nzd0303-0084,nzd0303-0089,nzd0303-0090,nzd0303-0107,nzd0303-0155,nzd0303-0156,nzd0303-0157,nzd0303-0180,nzd0303-0181,nzd0303-0013,nzd0303-0014,nzd0303-0040,nzd0303-0151,nzd0303-0152,nzd0303-0153,nzd0303-0154,nzd0303-0150,nzd0303-0004,nzd0303-0012,nzd0303-0015,nzd0303-0016,nzd0303-0168,nzd0303-0011,nzd0303-0021,nzd0303-0022,nzd0303-0023,nzd0303-0024,nzd0303-0025,nzd0303-0026,nzd0303-0091,nzd0303-0009,nzd0303-0010,nzd0303-0122,nzd0303-0123,nzd0303-0018,nzd0303-0019,nzd0303-0020,nzd0303-0005,nzd0303-0169,nzd0303-0170,nzd0303-0171,nzd0303-0158,nzd0303-0159,nzd0303-0033,nzd0303-0034,nzd0303-0035,nzd0303-0036,nzd0303-0112,nzd0303-0113,nzd0303-0114,nzd0303-0008,nzd0303-0017,nzd0303-0083,nzd0303-0146,nzd0303-0147,nzd0303-0148,nzd0303-0149,nzd0303-0007,nzd0303-0134,nzd0303-0135,nzd0303-0136,nzd0303-0137,nzd0303-0006,nzd0303-0037,nzd0303-0038,nzd0303-0039,nzd0303-0099,nzd0303-0027,nzd0303-0028,nzd0303-0029,nzd0303-0121,nzd0303-0124,nzd0303-0082,nzd0303-0115,nzd0303-0116,nzd0303-0117,nzd0303-0132,nzd0303-0133,nzd0303-0138,nzd0303-0139,nzd0303-0140,nzd0303-0141,nzd0303-0142,nzd0303-0143,nzd0303-0144,nzd0303-0145,nzd0303-0073,nzd0303-0074,nzd0303-0075,nzd0303-0098,nzd0303-0108,nzd0303-0109,nzd0303-0110,nzd0303-0092,nzd0303-0093,nzd0303-0094,nzd0303-0097,nzd0303-0081,nzd0303-0048,nzd0303-0030,nzd0303-0031,nzd0303-0032,nzd0303-0130,nzd0303-0131,nzd0303-0052,nzd0303-0053,nzd0303-0069,nzd0303-0070,nzd0303-0071,nzd0303-0072,nzd0303-0096,nzd0303-0066,nzd0303-0067,nzd0303-0118,nzd0303-0119,nzd0303-0120,nzd0303-0050,nzd0303-0051,nzd0303-0057,nzd0303-0058,nzd0303-0059,nzd0303-0060,nzd0303-0061,nzd0303-0062,nzd0303-0095,nzd0303-0049,nzd0303-0076,nzd0303-0063,nzd0303-0064,nzd0303-0065,nzd0303-0068,nzd0303-0128,nzd0303-0129,nzd0303-0054,nzd0303-0055,nzd0303-0056,nzd0303-0111,nzd0303-0125,nzd0303-0126,nzd0303-0127
2000-05-26 21:52:36.566000,L7,338.77,273.18,288.41,268.84,281.40,290.04,271.12,289.42,316.98,326.15,267.05,323.72,281.25,282.93,296.00,295.68,277.54,270.17,241.09,333.79,371.43,372.33,382.44,332.99,351.42,312.54,351.27,354.23,373.45,382.11,375.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-04 21:58:26.393000,L7,340.04,349.71,371.80,,,,258.52,283.72,310.42,319.66,383.14,289.28,271.88,295.93,276.24,289.24,260.33,242.25,,334.15,369.10,374.91,384.90,,353.39,348.89,355.71,370.54,378.56,386.82,331.21,264.08,289.29,278.43,284.59,326.54,367.25,318.24,343.79,359.29,351.10,319.61,368.24,300.59,390.45,371.22,284.27,297.94,300.10,272.56,288.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-13 21:52:07.753000,L7,,,,,,,,,,,,291.57,296.58,296.62,291.59,290.77,282.60,258.20,234.50,,,,,,,,,,,,,342.28,338.24,353.67,309.98,335.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-29 21:51:50.349000,L7,,,,309.93,321.09,308.95,285.44,355.22,366.45,,,,,,,,326.05,332.87,335.51,317.30,331.90,351.07,373.74,,372.19,372.09,316.20,315.54,332.06,346.53,,,,,,,,,,290.35,291.11,261.16,323.09,299.99,316.91,334.13,,,,,,,,,,,,,,,335.10,,,352.41,339.12,,,,,,,348.58,371.74,320.12,,,,,,,361.40,364.41,262.92,,,,,,,,,,389.17,,286.64,339.36,331.14,356.48,344.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.07,344.00,380.39,377.89,,,,271.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-05 21:57:56.710000,L7,,,,265.97,280.65,286.06,271.08,296.02,315.49,325.72,,287.01,280.40,293.34,290.56,288.30,283.21,266.06,244.24,,,,,,,,,,,,380.15,,,,,,,,,,,,,,,,198.01,223.69,274.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.42,292.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-14 21:51:44.223000,L7,337.66,280.31,286.16,275.90,291.65,300.78,276.94,301.55,316.96,373.10,283.87,,,,314.19,325.85,341.51,278.07,250.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-22 21:57:17.413000,L7,,,,271.36,290.48,294.62,271.71,296.47,314.69,328.89,,285.62,290.86,298.38,297.66,294.79,284.09,272.29,250.31,,,,,,,,,,,,381.60,,,,,,,,,,,,,,,,204.34,240.70,271.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.18,297.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-25 21:57:10.965000,L7,,,,280.43,303.28,311.34,282.34,312.08,328.71,352.29,,,,,314.25,305.36,303.18,298.27,262.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.40,338.94,,,273.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-04 21:50:58.069000,L7,,,,,274.43,293.70,271.67,302.92,316.78,324.89,,286.70,287.36,290.22,295.10,284.50,282.48,268.82,245.81,,,,,,,,,,,,365.15,,,,,,,,,,,,,,,,199.48,241.03,266.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.43,284.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-12 21:57:18.640000,L7,,,,276.10,300.68,322.69,287.03,312.73,331.95,336.66,,,,,,,,,,,,,,,,,,,,,388.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-21 21:51:10.359000,L7,,,,278.22,301.81,321.30,286.64,312.71,334.85,339.00,,,,,,,,,,,,,,,,,,,,,369.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-06 21:51:02.555000,L7,,,,280.02,305.06,320.99,284.14,317.08,333.33,356.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
