dates,nzd0267-0000,nzd0267-0001,nzd0267-0002,nzd0267-0003,nzd0267-0004,nzd0267-0005,nzd0267-0006,nzd0267-0007,nzd0267-0008,nzd0267-0009,nzd0267-0010,nzd0267-0011,nzd0267-0012,nzd0267-0013,nzd0267-0014,nzd0267-0015,nzd0267-0016,nzd0267-0017,nzd0267-0018,nzd0267-0019,nzd0267-0020,nzd0267-0021,nzd0267-0022
1999-08-21 21:46:56+00:00,308.8,,,,,,,,,,,,,,,,,,270.9,,,,
1999-09-22 21:47:00+00:00,308.8,,,,,,,,,244.17,,,,,,,,,258.38,,196.33,,240.27
2000-02-13 21:46:48+00:00,308.8,,,,,,,171.2,190.21,225.625,,,184.52,,223.07,,,,258.38,,180.43,,240.27
2000-04-01 21:46:34+00:00,,,,,,,208.15,185.12,201.905,222.01,257.07,250.04,204.43,259.63,242.39,256.96,255.39,247.41,240.23,218.67,185.515,226.54,269.04
2000-05-19 21:46:07+00:00,,,,,,,207.14499999999998,186.07333333333335,200.61333333333334,233.92666666666665,264.96500000000003,252.42000000000002,213.15333333333334,261.115,251.63,256.80499999999995,258.24,249.45,244.99,219.765,187.76666666666665,226.54,269.04
2000-08-07 21:45:08+00:00,,,,,,208.69,220.03,195.02499999999998,215.3925,241.29,264.96500000000003,252.42000000000002,213.15333333333334,261.115,251.63,259.97999999999996,258.14,251.16,246.01,221.71333333333334,191.5175,213.64,269.04
2000-10-26 21:44:22+00:00,,,,,163.51,202.905,225.22000000000003,219.21,238.59666666666666,254.23333333333335,268.055,253.75,230.6,262.6,270.11,261.49,259.515,253.03500000000003,248.89999999999998,221.53333333333333,201.33333333333334,200.74,
2001-04-04 21:44:06+00:00,,,,,163.51,197.12,223.72,247.77,258.03,241.56,263.25,252.7,238.22,269.72,272.38,,,,,218.13,208.96,,
2001-07-25 21:43:18+00:00,,,,,,215.28,233.16,208.24,265.5,274.07,284.05,,238.22,257.805,270.7,272.43,,257.21,251.21,221.68,199.64,,
2001-08-10 21:43:00+00:00,,,,,,210.125,229.565,203.46,252.16000000000003,267.135,278.645,250.21,234.745,253.48333333333335,264.71999999999997,260.815,255.26,257.15999999999997,249.04500000000002,215.76,199.36,,
2001-09-11 21:42:38+00:00,,,,,,210.125,229.565,203.46,252.16000000000003,262.20666666666665,273.4666666666667,250.97,239.74333333333334,252.07,262.7775,258.00333333333333,256.83500000000004,254.91333333333333,247.82333333333335,213.9466666666667,197.73000000000002,216.73,233.28
2001-10-13 21:42:15+00:00,,,221.39,,,210.125,229.565,203.46,252.16000000000003,262.20666666666665,273.4666666666667,250.97,240.505,246.18666666666664,259.57666666666665,258.00333333333333,256.83500000000004,254.91333333333333,247.82333333333335,213.9466666666667,197.73000000000002,216.73,233.28
2002-01-17 21:42:52+00:00,308.95,290.98,210.875,,166.99,205.04,228.11666666666667,212.01,253.76,258.60249999999996,270.79,252.43999999999997,237.65333333333334,246.60750000000002,258.77,256.595,255.92,252.41,247.84,213.9466666666667,197.73000000000002,216.73,233.28
2002-02-02 21:42:54+00:00,308.95,290.98,210.875,,166.99,199.92000000000002,225.59500000000003,213.89499999999998,247.89,253.44666666666663,266.37000000000006,252.43999999999997,242.8275,246.3775,256.5675,253.11249999999998,255.445,250.47500000000002,246.67999999999998,212.97,201.47333333333336,219.39999999999998,234.555
