dates,satname,nzd0421-0000,nzd0421-0001,nzd0421-0002,nzd0421-0003,nzd0421-0004,nzd0421-0005,nzd0421-0006,nzd0421-0007,nzd0421-0008,nzd0421-0009,nzd0421-0010,nzd0421-0011,nzd0421-0012,nzd0421-0013,nzd0421-0014,nzd0421-0016,nzd0421-0017,nzd0421-0018,nzd0421-0019,nzd0421-0020,nzd0421-0021,nzd0421-0022,nzd0421-0023,nzd0421-0024,nzd0421-0025,nzd0421-0026,nzd0421-0027,nzd0421-0028,nzd0421-0029,nzd0421-0030,nzd0421-0031,nzd0421-0032,nzd0421-0033,nzd0421-0034,nzd0421-0035,nzd0421-0036,nzd0421-0037,nzd0421-0038,nzd0421-0039,nzd0421-0040,nzd0421-0041,nzd0421-0042,nzd0421-0043,nzd0421-0044,nzd0421-0045,nzd0421-0046,nzd0421-0047,nzd0421-0048,nzd0421-0049,nzd0421-0050,nzd0421-0015,nzd0421-0051
2000-04-15 21:59:55.745000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,332.31,345.89,349.64,340.14,333.52,314.01,309.93,293.23,290.89,282.09,304.21,295.27,309.20,306.12,304.64,320.60,306.67,319.79,318.78,330.02,,,,,,
2000-05-01 21:59:54.563000,L7,,,330.06,299.01,282.20,280.58,214.71,333.42,310.37,280.56,268.34,283.36,304.55,280.20,327.49,,355.46,362.56,374.29,382.19,,,387.37,370.54,378.26,369.12,366.53,359.97,372.17,354.89,347.30,340.84,342.65,311.66,295.72,304.93,328.29,313.45,323.85,333.83,328.45,333.77,335.54,,,,,,,,,
2000-05-08 22:05:56.985000,L7,,,314.94,289.51,288.19,287.98,239.33,243.09,273.56,276.91,271.40,277.67,286.93,280.64,,,,,,,321.33,344.48,319.81,350.66,354.42,,269.54,344.72,343.99,338.22,326.87,308.45,308.83,312.54,280.36,252.81,302.47,265.62,311.37,313.34,308.79,309.97,301.83,315.71,315.97,330.43,351.82,279.17,348.16,344.56,,342.91
2000-05-24 22:05:46.512000,L7,,,,,,,,247.18,282.64,275.80,269.51,279.49,289.98,269.72,,,,,,,,,,,,,266.28,331.00,339.91,348.18,308.21,311.10,303.01,297.02,277.71,250.60,254.49,273.30,300.85,303.67,303.83,326.09,309.93,320.14,319.01,335.56,,,,,,
2000-06-18 21:59:27.736000,L7,,,321.61,308.26,288.03,287.56,,277.63,308.11,299.14,281.32,308.51,314.52,286.73,,,,,,,312.43,351.52,316.61,329.24,303.75,312.41,269.30,295.61,267.59,,243.44,303.79,300.79,285.22,278.48,274.91,261.17,234.82,309.20,306.26,299.59,311.45,296.45,317.56,315.63,341.73,,,,,,
2000-07-11 22:05:17.570000,L7,,,,,,,,245.68,278.43,281.99,269.39,277.70,286.45,257.86,269.07,,,,,,,348.31,312.66,299.77,346.75,,280.91,335.32,341.68,344.01,317.25,,,313.74,299.32,274.49,306.41,275.11,303.06,309.17,308.42,322.93,314.37,322.03,319.06,,,,,,,
2000-08-05 21:58:44.520000,L7,,,,,,,,249.90,295.00,276.34,262.40,272.61,298.26,261.97,329.45,,,,,,294.42,351.34,299.69,351.81,350.88,346.14,349.78,380.01,378.94,355.64,364.71,325.75,322.21,298.97,281.01,279.96,299.23,287.46,305.55,304.16,311.76,316.10,315.12,323.47,312.47,343.69,,,,,,
2000-08-12 22:04:53.965000,L7,,,323.24,303.92,280.23,278.07,,309.52,312.47,280.99,266.74,277.95,303.86,284.34,326.94,,,,,,304.38,360.57,322.84,366.60,365.14,354.97,360.34,360.76,359.99,355.98,347.38,344.50,335.52,329.96,332.42,328.05,326.08,316.47,323.76,320.34,325.43,319.95,328.33,,,,,,,,,
2000-09-06 21:58:22.821000,L7,285.78,284.30,311.34,300.29,295.32,286.83,263.84,323.77,304.86,275.53,271.56,283.60,307.78,300.46,296.24,331.22,348.02,355.82,357.91,353.97,342.26,356.26,337.72,360.24,359.62,353.74,356.47,356.97,355.96,346.60,334.77,326.58,323.51,325.49,322.99,308.24,318.18,318.74,320.34,316.31,317.49,318.61,314.83,313.48,334.19,335.10,,,,,297.44,
2000-10-08 21:58:00.300000,L7,290.78,280.06,326.33,308.20,287.35,333.73,340.25,340.65,339.93,289.58,347.11,349.06,357.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-25 21:57:58.896000,L7,338.91,315.92,347.58,338.46,343.54,,,,,,,,,,,,,,,,,,,,,385.27,380.27,380.23,374.56,366.37,359.40,353.94,355.14,351.12,349.01,,,,,,,,,,,,,,,,,
2000-12-11 21:58:00.763000,L7,323.90,303.46,333.92,320.14,336.08,345.44,,,,,,,,,,,,,,,,,,,,381.69,378.22,375.57,373.40,368.22,358.14,354.52,354.14,352.99,352.82,,,,,,,,,,,,,,,,,
2001-02-13 21:58:03.568000,L7,,268.89,322.25,308.72,276.01,255.15,,,,,239.34,245.77,351.51,354.04,349.94,267.86,356.84,347.93,321.99,347.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.63,
2001-06-05 21:57:16.389000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.68,287.46,316.00,365.70,,,,,
2001-07-07 21:57:00.006000,L7,,,,,,,,237.94,276.38,267.34,257.72,262.05,274.69,243.49,,,,,,,,,,,,,,,,,,313.61,346.30,334.58,266.85,264.25,217.45,,323.65,240.22,323.43,,,,,,,,,,,
2001-07-14 22:03:09.614000,L7,,,315.42,303.45,305.69,280.88,,243.64,339.19,327.69,345.75,342.20,321.00,298.92,,351.58,363.89,359.23,345.97,362.03,,,,,,,,,,,,,,320.99,334.42,317.29,310.73,334.71,325.87,,,,,,,,341.79,378.64,406.85,,,
2001-08-15 22:02:38.465000,L7,,,316.46,302.49,288.84,282.61,,250.46,287.95,278.47,263.46,275.68,292.44,291.75,,,332.18,367.97,370.66,369.57,308.26,350.37,317.36,340.68,352.21,,,,,,,309.37,331.91,352.24,341.87,255.91,323.77,309.78,307.41,312.16,319.64,317.15,309.99,328.37,,,,,,,,
2001-08-24 21:56:24.380000,L7,,267.05,299.08,293.86,283.92,277.95,244.90,263.75,274.51,274.26,265.99,276.79,290.61,266.92,,318.15,340.30,344.48,338.99,306.30,300.31,344.50,313.97,290.11,334.17,,263.63,335.62,335.48,322.84,325.93,310.99,301.10,297.87,272.64,270.40,300.87,280.45,288.81,296.40,297.84,293.18,299.58,307.62,312.59,326.34,,,,,,
2001-09-25 21:56:04.528000,L7,275.63,262.82,322.25,305.39,280.42,294.34,329.51,335.84,340.50,300.05,325.37,341.44,351.05,315.11,353.19,360.33,377.31,359.29,366.95,361.54,339.95,374.27,370.78,383.18,364.65,362.95,361.04,344.67,356.76,357.87,346.43,350.48,343.07,333.45,327.17,327.31,327.51,327.50,320.55,317.48,320.41,318.94,327.26,327.49,,,341.81,308.45,362.42,366.26,,
2001-10-02 22:02:04.420000,L7,289.46,276.61,339.42,335.66,341.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.86,298.68,364.89,369.69,,
2001-12-14 21:56:17.682000,L7,318.07,299.56,334.26,321.54,327.88,340.00,338.51,342.88,340.09,342.55,346.55,352.62,352.04,353.17,354.90,357.96,368.28,370.17,374.61,372.92,356.43,376.49,373.98,375.09,375.93,368.78,370.23,370.50,366.24,362.10,359.35,345.65,347.91,349.04,338.95,334.26,333.93,338.09,326.72,330.34,327.84,331.45,337.88,341.71,,,,,,,357.02,
2001-12-30 21:56:13.010000,L7,317.79,308.07,331.71,324.40,330.97,338.94,344.68,,350.66,347.85,349.26,353.94,357.53,360.90,361.75,369.21,,,,,,,,,,378.79,370.39,377.09,372.26,365.88,363.55,350.74,354.59,350.09,346.77,,,,,,,,,,,,,,,,364.24,
2002-01-22 22:02:40.699000,L7,274.04,259.10,299.47,289.06,272.75,279.30,247.74,309.89,301.89,276.37,269.70,288.68,296.07,279.57,260.16,313.30,345.83,346.10,358.66,349.81,311.51,346.62,327.06,351.12,352.45,347.19,336.27,346.58,346.15,346.48,324.68,311.35,318.50,309.98,300.10,289.86,312.83,299.99,307.07,313.94,316.55,316.96,302.71,309.77,315.19,,,466.78,362.30,355.89,268.74,360.06
2002-02-16 21:56:30.006000,L7,275.02,248.50,301.37,298.57,279.43,284.97,229.80,311.96,304.46,277.74,280.97,289.71,291.97,287.21,,315.82,346.35,346.63,351.72,356.44,332.01,352.88,328.35,357.95,327.03,,,349.43,305.97,325.27,,,,,,,,,,,,,,,,,,286.96,362.42,340.26,271.39,363.36
2002-03-04 21:56:33.807000,L7,277.19,262.26,309.13,284.14,280.57,290.57,,302.18,296.67,269.56,256.93,278.59,285.94,268.47,261.24,345.26,352.17,362.91,390.80,,360.49,345.53,335.74,357.01,356.28,333.20,272.64,335.80,322.49,368.49,349.41,316.92,307.22,303.45,302.50,288.40,,290.51,289.02,301.56,293.65,304.57,298.70,303.48,295.46,,,,,,303.56,
2002-03-11 22:02:43.421000,L7,280.98,264.34,334.69,324.41,324.75,317.90,335.72,340.42,340.69,344.18,343.79,345.46,346.29,352.82,358.81,360.19,374.99,378.97,379.80,370.79,342.53,380.62,380.14,382.33,386.18,372.65,364.44,371.54,367.77,364.94,363.95,,,,,338.62,336.37,329.62,327.24,329.23,327.97,336.18,333.95,332.76,,,,,,,343.10,
2002-04-12 22:02:37.357000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.22,290.96,305.85,299.16,317.49,343.64,,,,,,,,,,324.96,293.32,366.55,377.26,,
2002-05-07 21:56:27.687000,L7,,286.69,313.71,303.03,297.77,303.45,249.01,246.66,290.56,277.19,282.14,286.69,292.04,304.09,320.49,326.67,347.50,357.97,352.31,353.11,328.21,363.98,320.71,364.58,365.36,272.05,350.60,349.77,358.46,338.62,331.56,319.79,331.05,325.86,304.55,281.80,315.36,303.48,312.87,319.37,316.84,327.54,319.47,328.99,332.71,339.85,,,,,287.11,
2002-06-15 22:02:19.651000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.91,303.30,288.55,274.59,245.89,245.38,226.95,273.02,261.67,242.12,305.62,289.60,,,,,,,,,
2002-07-01 22:02:14.978000,L7,,,,,,,,,,,,,,,,279.31,325.17,326.02,334.09,,304.54,348.90,325.87,331.50,332.02,258.95,268.69,291.24,326.90,323.61,,,,,,286.88,247.64,276.14,279.78,311.78,308.20,316.91,284.38,295.93,283.11,244.00,,,,,,
2002-07-10 21:56:01.809000,L7,,,,,,,,243.46,284.51,263.62,248.85,272.47,294.30,259.00,325.34,,349.94,356.35,367.23,361.01,,,,,,260.81,351.41,345.40,346.78,348.53,324.04,312.55,321.29,308.83,279.40,289.21,309.09,285.24,315.64,318.47,317.89,320.43,314.65,330.28,,,,,,,,
2002-07-17 22:02:08.418000,L7,,,,,,,,,,,,,,,,,,,,,273.03,344.89,316.54,281.25,334.01,,,273.08,334.01,330.87,,302.86,295.89,284.39,273.73,247.41,247.20,234.69,,,,,299.99,308.33,303.99,323.96,311.03,,,,,
2002-08-02 22:02:01.110000,L7,,,308.39,301.72,280.36,282.61,,,,,,,,,,,,,,,294.11,353.52,310.19,341.85,354.02,254.50,327.29,338.53,344.60,341.23,278.50,307.93,314.76,317.09,285.07,263.53,309.75,285.46,304.01,297.51,300.17,310.19,305.47,320.04,321.96,332.39,,,,,,
2002-08-18 22:01:57.478000,L7,,,,,,,,,,,,,,,,317.41,348.26,353.77,353.52,349.81,306.23,351.20,324.78,355.21,354.29,322.59,338.34,351.04,347.08,341.11,328.99,309.16,311.92,300.35,310.82,287.14,310.78,290.72,303.07,307.13,300.87,327.89,313.67,314.68,320.18,322.12,302.97,,,,,
2002-10-14 21:55:19.836000,L7,286.82,268.21,319.44,306.69,285.03,300.31,297.93,336.44,332.25,299.09,311.75,311.53,328.02,318.65,330.13,333.59,373.36,370.33,370.45,366.92,340.97,357.47,379.90,372.55,,,,,,,,,336.56,328.98,319.75,319.67,328.35,318.70,315.44,317.98,318.63,326.24,314.96,329.36,333.52,343.42,367.93,333.44,369.42,366.19,284.84,372.25
2002-10-21 22:01:36.247000,L7,305.67,295.67,330.88,319.15,336.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-30 21:55:25.430000,L7,300.29,282.65,321.32,307.51,319.45,340.26,349.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.98,354.90,373.96,373.14,,
2002-11-22 22:01:57.598000,L7,299.77,280.33,322.78,312.42,299.21,324.55,333.13,337.72,337.41,326.40,331.02,334.48,325.80,334.99,332.29,349.69,364.61,363.79,368.38,373.08,354.68,368.58,369.25,380.11,378.37,374.00,363.58,371.81,381.38,364.33,355.11,342.65,345.73,347.53,,,,,,,,,,,,,,,,,347.48,
2002-12-08 22:02:03.591000,L7,275.70,257.66,297.60,288.23,279.43,279.68,,307.40,299.95,276.37,271.92,,,,,304.66,336.70,331.69,337.49,344.94,312.00,342.85,326.58,343.51,340.01,326.69,277.21,332.59,332.93,326.47,309.17,305.39,303.38,302.58,300.74,294.40,307.37,297.47,299.13,299.01,299.37,299.65,291.51,288.08,297.07,308.74,336.68,353.43,343.07,342.97,250.43,350.57
2002-12-24 22:02:09.084000,L7,288.63,261.48,307.75,299.99,301.24,316.98,324.02,331.65,326.23,341.21,344.09,345.28,358.45,355.49,346.38,358.37,357.97,357.57,366.15,335.82,335.52,370.47,380.71,388.49,370.59,358.77,360.44,356.72,345.75,358.03,341.08,329.00,345.18,338.84,326.96,325.11,328.10,318.75,316.53,314.55,332.49,324.80,336.58,323.81,330.12,334.68,363.75,311.17,370.84,,340.57,
2003-02-19 21:56:18.422000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.61,354.43,349.96,313.51,,,,,,334.51,333.14,322.68,311.20,331.04,,,,,,,
2003-05-10 21:56:22.313000,L7,,,,,,,,262.73,292.40,277.72,253.64,276.19,296.77,280.68,,,,,,,305.62,352.67,311.67,350.95,348.82,,335.61,338.32,351.26,342.58,283.22,322.67,336.67,324.79,282.63,272.22,249.76,,308.64,267.26,281.79,293.59,301.29,324.06,326.91,330.74,,,,,,
