dates,nzd0421-0000,nzd0421-0001,nzd0421-0002,nzd0421-0003,nzd0421-0004,nzd0421-0005,nzd0421-0006,nzd0421-0007,nzd0421-0008,nzd0421-0009,nzd0421-0010,nzd0421-0011,nzd0421-0012,nzd0421-0013,nzd0421-0014,nzd0421-0015,nzd0421-0016,nzd0421-0017,nzd0421-0018,nzd0421-0019,nzd0421-0020,nzd0421-0021,nzd0421-0022,nzd0421-0023,nzd0421-0024,nzd0421-0025,nzd0421-0026,nzd0421-0027,nzd0421-0028,nzd0421-0029,nzd0421-0030,nzd0421-0031,nzd0421-0032,nzd0421-0033,nzd0421-0034,nzd0421-0035,nzd0421-0036,nzd0421-0037,nzd0421-0038,nzd0421-0039,nzd0421-0040,nzd0421-0041,nzd0421-0042,nzd0421-0043,nzd0421-0044,nzd0421-0045,nzd0421-0046,nzd0421-0047,nzd0421-0048,nzd0421-0049,nzd0421-0050,nzd0421-0051,satname
2000-05-24 22:05:46+00:00,264.8,188.66,,293.1766666666667,276.8666666666666,261.49,254.10000000000002,215.45499999999998,266.46666666666664,292.68,254.21571428571428,269.12666666666667,266.242,277.73,226.87399999999997,221.3,,263.802,245.305,231.67000000000002,293.815,290.435,297.16,310.7125,282.20799999999997,,248.545,228.19400000000002,268.34666666666664,,,219.48200000000003,266.162,239.32666666666668,273.4225,265.9575,253.12599999999998,267.1666666666667,264.6133333333333,196.815,257.475,265.53,262.37,224.325,230.06199999999998,272.53333333333336,,278.56333333333333,311.704,318.07399999999996,258.455,221.16,L7
2000-06-18 21:59:27+00:00,,188.66,,302.49,295.87,277.45,,215.45499999999998,266.46666666666664,292.16999999999996,256.1425,275.28499999999997,272.2425,287.62333333333333,236.54999999999998,221.3,,283.12,236.425,234.485,,302.2025,,324.74666666666667,289.8533333333333,312.45,261.16999999999996,242.48250000000002,299.33000000000004,262.29,,229.595,275.395,223.39,278.7125,270.8375,259.51599999999996,266.4125,267.16999999999996,216.0,,,,,245.98999999999998,283.24,,274.04,323.425,313.048,258.455,,L7
2000-07-11 22:05:17+00:00,,188.66,,302.49,295.87,277.45,,215.45499999999998,265.66499999999996,291.154,258.03,275.86199999999997,274.11400000000003,284.44,239.27999999999997,221.3,,283.12,236.425,234.485,,302.2025,,323.33500000000004,287.8625,312.45,256.6633333333333,246.914,292.62333333333333,262.29,,224.38600000000002,273.84399999999994,223.39,278.7125,270.8375,258.6016666666667,263.866,270.64,234.76,,,,,245.98999999999998,283.24,,274.04,304.742,308.9633333333333,259.18333333333334,,L7
2000-08-05 21:58:44+00:00,,188.66,,302.49,295.87,277.45,,215.45499999999998,262.775,290.80333333333334,264.68199999999996,281.684,279.37399999999997,280.7657142857143,244.426,,,278.8425,231.26999999999998,234.485,,301.3233333333333,,323.33500000000004,281.53000000000003,312.45,253.89,259.6525,292.62333333333333,262.29,,221.115,270.55,,286.1766666666667,274.875,256.77500000000003,263.866,270.64,234.76,,,,,270.69499999999994,283.24,,275.97,283.978,308.9633333333333,260.8025,,L7
2000-08-12 22:04:53+00:00,,188.66,,302.49,295.825,277.45,,218.15333333333334,262.775,290.76,264.2816666666667,281.99666666666667,280.81333333333333,281.09125,244.426,,,278.8425,231.26999999999998,234.485,,301.3233333333333,,323.33500000000004,281.53000000000003,312.45,253.89,259.6525,292.62333333333333,262.29,,221.115,270.55,,286.1766666666667,274.875,256.77500000000003,263.866,270.64,234.76,,,,,270.69499999999994,283.24,,275.97,280.185,311.2642857142857,260.8025,,L7
2000-09-06 21:58:22+00:00,,188.66,,299.03499999999997,294.89,277.45,249.09,218.15333333333334,262.775,290.76,264.2816666666667,277.0957142857143,278.92571428571426,281.87111111111113,241.885,,,276.48400000000004,231.26999999999998,235.67333333333332,303.46,301.3233333333333,315.29,319.82399999999996,279.5225,298.475,251.24333333333334,253.208,284.3075,262.29,,221.115,271.58,,283.1575,272.53000000000003,247.82833333333335,258.53499999999997,270.64,234.76,273.41,276.75,270.06,275.84,257.055,285.19,285.31,284.09,280.6114285714286,314.24125,260.8025,,L7
2000-10-08 21:58:00+00:00,,247.385,,299.03499999999997,294.4,,249.09,218.15333333333334,262.775,290.76,264.2816666666667,277.0957142857143,278.92571428571426,281.73625,241.885,,,276.48400000000004,231.26999999999998,235.67333333333332,303.46,307.025,315.29,319.82399999999996,279.5225,298.475,251.24333333333334,253.208,284.3075,262.29,,221.115,271.58,,283.1575,272.53000000000003,247.82833333333335,258.53499999999997,270.64,234.76,273.41,276.75,270.06,275.84,257.055,285.19,285.31,284.09,272.045,310.2571428571428,260.8025,,L7
2000-11-09 21:57:57+00:00,293.29,280.9,,305.79999999999995,293.05333333333334,295.25,261.585,223.26000000000002,265.25,289.37399999999997,258.47799999999995,273.07399999999996,278.5628571428571,284.12,238.30499999999998,210.69,,276.76,231.26999999999998,240.365,303.46,322.43,317.95500000000004,319.116,278.65666666666664,298.475,246.8,253.97,284.3075,262.29,,214.7166666666667,277.015,,283.965,276.57599999999996,248.23200000000003,265.975,277.6333333333333,264.74666666666667,273.41,276.75,270.06,275.84,253.31,285.19,285.31,279.42999999999995,259.418,304.99199999999996,263.6933333333333,,L7
2000-11-25 21:57:58+00:00,274.735,280.9,,300.19,285.365,279.46000000000004,254.74666666666667,223.55,268.955,291.7025,249.8,266.72799999999995,272.55285714285714,284.36833333333334,230.85500000000002,210.69,,278.84499999999997,232.22999999999996,240.365,303.46,322.43,317.95500000000004,311.90999999999997,272.24666666666667,298.475,241.23333333333335,250.96,277.6566666666667,262.29,,216.93500000000003,278.842,234.4,275.6025,272.74399999999997,244.452,267.6666666666667,279.845,264.74666666666667,273.41,276.75,270.06,275.84,253.31,285.19,285.31,279.42999999999995,261.71833333333336,309.14,263.15000000000003,,L7
2001-02-13 21:58:03+00:00,274.735,280.9,,300.19,281.8933333333334,269.74333333333334,254.785,,,,232.49666666666667,246.67999999999998,261.7875,295.7866666666667,216.71500000000003,227.665,,278.24333333333334,,238.05,303.46,318.13,317.95500000000004,304.57666666666665,254.05000000000004,284.5,238.02500000000003,227.43,259.36,,,,289.555,225.82999999999998,265.3025,259.6375,226.98666666666668,285.17,282.11,284.16,273.41,276.75,270.06,275.84,253.31,285.19,285.31,279.42999999999995,278.19500000000005,335.08,274.28,214.23,L7
2001-06-05 21:57:16+00:00,,,,,,250.31,254.9,,260.95,291.61,232.41,241.46,258.85,296.58,208.47,244.64,,284.965,209.83,199.94,,175.29,312.04,,245.205,299.98,226.75,289.25,279.58,,,208.26,277.29,217.26,243.57,246.565,232.77499999999998,257.16,,,,,,,,,,,,289.65,274.28,214.23,L7
2001-07-07 21:57:00+00:00,,,,,,250.31,254.9,162.94,245.57999999999998,291.61,232.41,241.46,258.85,296.58,208.47,244.64,,284.965,197.18,199.94,,175.2,312.04,,250.57333333333335,301.92,222.995,289.25,271.305,257.18,,201.115,270.55,217.26,243.57,253.67999999999998,232.77499999999998,257.16,,,275.35,,,,,,,,,287.265,268.135,214.23,L7
2001-07-14 22:03:09+00:00,,,,,,250.31,254.9,161.85500000000002,241.60999999999999,288.26,232.41,241.46,258.51,279.77,212.615,244.64,,284.965,197.18,199.94,,175.2,312.04,313.07,252.35250000000002,299.87,216.97,270.845,268.69,257.18,,191.72333333333333,270.02333333333337,217.26,243.57,254.10250000000002,223.64333333333332,249.375,,,275.35,,,244.87,213.57,,,290.45,,286.18,262.65333333333336,214.23,L7
