dates,nzd0105-0000,nzd0105-0001,nzd0105-0002,nzd0105-0003,nzd0105-0004,nzd0105-0023,nzd0105-0024,nzd0105-0025,nzd0105-0026,nzd0105-0027,nzd0105-0028,nzd0105-0029,nzd0105-0066,nzd0105-0067,nzd0105-0068,nzd0105-0073,nzd0105-0074,nzd0105-0075,nzd0105-0076,nzd0105-0078,nzd0105-0079,nzd0105-0080,nzd0105-0081,nzd0105-0082,nzd0105-0083,nzd0105-0084,nzd0105-0099,nzd0105-0100,nzd0105-0101,nzd0105-0102,nzd0105-0103,nzd0105-0104,nzd0105-0105,nzd0105-0118,nzd0105-0119,nzd0105-0120,nzd0105-0133,nzd0105-0134,nzd0105-0135,nzd0105-0136,nzd0105-0137,nzd0105-0138,nzd0105-0005,nzd0105-0006,nzd0105-0007,nzd0105-0042,nzd0105-0043,nzd0105-0044,nzd0105-0045,nzd0105-0046,nzd0105-0047,nzd0105-0048,nzd0105-0049,nzd0105-0050,nzd0105-0051,nzd0105-0052,nzd0105-0053,nzd0105-0054,nzd0105-0055,nzd0105-0056,nzd0105-0057,nzd0105-0058,nzd0105-0059,nzd0105-0060,nzd0105-0061,nzd0105-0062,nzd0105-0063,nzd0105-0125,nzd0105-0126,nzd0105-0130,nzd0105-0131,nzd0105-0132,nzd0105-0165,nzd0105-0166,nzd0105-0167,nzd0105-0168,nzd0105-0169,nzd0105-0170,nzd0105-0069,nzd0105-0070,nzd0105-0071,nzd0105-0072,nzd0105-0085,nzd0105-0086,nzd0105-0087,nzd0105-0091,nzd0105-0092,nzd0105-0093,nzd0105-0094,nzd0105-0095,nzd0105-0096,nzd0105-0097,nzd0105-0098,nzd0105-0115,nzd0105-0116,nzd0105-0117,nzd0105-0008,nzd0105-0021,nzd0105-0022,nzd0105-0030,nzd0105-0150,nzd0105-0151,nzd0105-0152,nzd0105-0031,nzd0105-0032,nzd0105-0033,nzd0105-0064,nzd0105-0065,nzd0105-0009,nzd0105-0010,nzd0105-0011,nzd0105-0108,nzd0105-0109,nzd0105-0110,nzd0105-0111,nzd0105-0112,nzd0105-0127,nzd0105-0128,nzd0105-0129,nzd0105-0139,nzd0105-0140,nzd0105-0141,nzd0105-0142,nzd0105-0143,nzd0105-0144,nzd0105-0145,nzd0105-0146,nzd0105-0147,nzd0105-0148,nzd0105-0154,nzd0105-0155,nzd0105-0156,nzd0105-0012,nzd0105-0013,nzd0105-0157,nzd0105-0158,nzd0105-0159,nzd0105-0160,nzd0105-0161,nzd0105-0162,nzd0105-0163,nzd0105-0164,nzd0105-0171,nzd0105-0172,nzd0105-0173,nzd0105-0174,nzd0105-0175,nzd0105-0176,nzd0105-0177,nzd0105-0178,nzd0105-0015,nzd0105-0016,nzd0105-0017,nzd0105-0018,nzd0105-0019,nzd0105-0037,nzd0105-0038,nzd0105-0039,nzd0105-0040,nzd0105-0041,nzd0105-0077,nzd0105-0088,nzd0105-0089,nzd0105-0106,nzd0105-0107,nzd0105-0113,nzd0105-0114,nzd0105-0122,nzd0105-0123,nzd0105-0124,nzd0105-0179,nzd0105-0149,nzd0105-0153,nzd0105-0121,nzd0105-0034,nzd0105-0035,nzd0105-0036,nzd0105-0090,satname
1999-08-26 22:04:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-27 22:04:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-03-24 22:01:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.62,307.8,300.18,315.18,327.59,,303.18,,,,,,,,,,,,,,,,,,,,,,,,,,272.46,271.82,,,315.32,311.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.05,,,,,,,,,,,,,,,,,,281.5,,332.46,,,341.81,,,,317.67,332.24,322.67,,,,,340.71,,,,,,,,,,,,,,,,,,286.78,294.48,,,,,,,,264.04,,,,,,L7
2001-12-21 22:00:29+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.99,334.56,326.71,320.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.37,297.1,,,,,,,,,,,,,,,,,,,294.72,250.74,272.26,237.13,,,,,,,,,,,,,,,,,,,,,,,310.52,275.74,313.81,270.38,267.16,282.18,,,292.53,302.76,310.42,316.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.96,,,,,,338.8,,,,,,,L7
2002-01-06 22:00:31+00:00,,,,,,,,,,,,,287.1,311.15,,,,,,,,,,,,,,,309.1,334.1,,,,,,,317.47,321.885,313.875,308.48,,282.63,,,,,,,,,,,,,,267.59,273.46,,,290.12,311.85,308.81,,,330.95,273.24,264.36,274.925,282.995,,314.65,310.32,,,,,,,,,328.55,,309.73,322.52,324.88,300.85,262.44,277.65,279.545,272.26,273.595,,,,,,,,,,,,,,,,255.65,262.02,,,,,,310.52,275.74,313.81,266.28999999999996,261.53000000000003,276.095,284.46,,292.53,302.76,310.42,316.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.25,,282.96,,,,,,338.8,,,,,,321.78,L7
2002-01-22 22:00:40+00:00,,,,,,,,,,,,,308.11,325.765,,,,,,,,,,,,,,,309.1,334.1,,,,,,,317.47,321.885,313.875,308.48,,282.63,,,,,,,,,,,,,,267.59,273.46,,,290.12,311.85,308.81,,293.83,316.275,269.94,271.225,274.925,282.995,,314.65,310.32,,,,,,,,,328.55,,311.94500000000005,322.52,324.88,300.85,262.44,277.65,279.545,272.26,273.595,,,,,,,,,,,,,,,,255.65,262.02,,,,,,310.52,275.74,313.81,266.28999999999996,261.53000000000003,276.095,284.46,,292.53,302.76,310.42,316.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.25,,282.96,,,,,,338.8,,,,,,321.78,L7
2002-04-28 22:00:38+00:00,,,,,,,,,,,,,319.3233333333333,325.765,,,,,,,,,,,,,,,309.1,334.1,,,,,,,317.47,321.885,313.875,308.48,,282.63,,,,,,322.76,,,,,,,,267.59,273.46,,,290.12,311.85,308.81,,293.83,303.59,269.94,271.225,274.925,282.995,,314.65,310.32,,,,,,,,,328.55,,311.94500000000005,322.52,324.88,300.85,262.44,277.65,279.545,272.26,273.595,,,,,,,,,,,,,,,,255.65,290.01,,,,,,310.52,275.74,313.81,266.28999999999996,261.53000000000003,276.095,284.46,,292.53,302.76,310.42,316.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.25,,282.96,,,,,,338.8,,,,,,321.78,L7
2002-08-02 22:00:01+00:00,,,,,,,,,,,,,341.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.76,,,,,,,,,,,,,,,,,278.22,,,,,,,,,,,,,,,,,,,,,,,280.5,,288.64,,,,,,,,,,,,,,,,,,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.92,262.38,,,,,,,,,,,,,,,305.68,L7
2002-09-19 21:59:35+00:00,,,,,,,,,,,,,341.75,,,,,,,,,,,,,,,,,,270.62,,,,,,,,,,,,,,,,,322.76,,,,,,,,,,,,280.2,,,,,278.22,,,,,,,,,,,,,,,,,,,,,,,280.5,,288.64,,,,,,,,,,,,,,,,,338.28,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.92,262.38,,,,,,,,,,,,,,,305.68,L7
2002-12-24 22:00:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.62,,,,,,,,,,,,,,,,,,,,290.47,289.53,302.63,,,287.66,,,281.84,283.11,265.57,,,,324.7,,,,,,,,,,,,,,,,,,,,,,,280.5,,288.64,,,,,,,,,,,,,,,,,338.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.92,262.38,,,,,,,,,,,,,,,305.68,L7
