dates,satname,nzd0105-0000,nzd0105-0001,nzd0105-0002,nzd0105-0003,nzd0105-0004,nzd0105-0023,nzd0105-0024,nzd0105-0025,nzd0105-0026,nzd0105-0027,nzd0105-0028,nzd0105-0029,nzd0105-0066,nzd0105-0067,nzd0105-0068,nzd0105-0073,nzd0105-0074,nzd0105-0075,nzd0105-0076,nzd0105-0078,nzd0105-0079,nzd0105-0080,nzd0105-0081,nzd0105-0082,nzd0105-0083,nzd0105-0084,nzd0105-0099,nzd0105-0100,nzd0105-0101,nzd0105-0102,nzd0105-0103,nzd0105-0104,nzd0105-0105,nzd0105-0118,nzd0105-0119,nzd0105-0120,nzd0105-0133,nzd0105-0134,nzd0105-0135,nzd0105-0136,nzd0105-0137,nzd0105-0138,nzd0105-0005,nzd0105-0006,nzd0105-0007,nzd0105-0042,nzd0105-0043,nzd0105-0044,nzd0105-0045,nzd0105-0046,nzd0105-0047,nzd0105-0048,nzd0105-0049,nzd0105-0050,nzd0105-0051,nzd0105-0052,nzd0105-0053,nzd0105-0054,nzd0105-0055,nzd0105-0056,nzd0105-0057,nzd0105-0058,nzd0105-0059,nzd0105-0060,nzd0105-0061,nzd0105-0062,nzd0105-0063,nzd0105-0125,nzd0105-0126,nzd0105-0130,nzd0105-0131,nzd0105-0132,nzd0105-0165,nzd0105-0166,nzd0105-0167,nzd0105-0168,nzd0105-0169,nzd0105-0170,nzd0105-0069,nzd0105-0070,nzd0105-0071,nzd0105-0072,nzd0105-0085,nzd0105-0086,nzd0105-0087,nzd0105-0091,nzd0105-0092,nzd0105-0093,nzd0105-0094,nzd0105-0095,nzd0105-0096,nzd0105-0097,nzd0105-0098,nzd0105-0115,nzd0105-0116,nzd0105-0117,nzd0105-0008,nzd0105-0021,nzd0105-0022,nzd0105-0030,nzd0105-0150,nzd0105-0151,nzd0105-0152,nzd0105-0031,nzd0105-0032,nzd0105-0033,nzd0105-0064,nzd0105-0065,nzd0105-0009,nzd0105-0010,nzd0105-0011,nzd0105-0108,nzd0105-0109,nzd0105-0110,nzd0105-0111,nzd0105-0112,nzd0105-0127,nzd0105-0128,nzd0105-0129,nzd0105-0139,nzd0105-0140,nzd0105-0141,nzd0105-0142,nzd0105-0143,nzd0105-0144,nzd0105-0145,nzd0105-0146,nzd0105-0147,nzd0105-0148,nzd0105-0154,nzd0105-0155,nzd0105-0156,nzd0105-0012,nzd0105-0013,nzd0105-0157,nzd0105-0158,nzd0105-0159,nzd0105-0160,nzd0105-0161,nzd0105-0162,nzd0105-0163,nzd0105-0164,nzd0105-0171,nzd0105-0172,nzd0105-0173,nzd0105-0174,nzd0105-0175,nzd0105-0176,nzd0105-0177,nzd0105-0178,nzd0105-0015,nzd0105-0016,nzd0105-0017,nzd0105-0018,nzd0105-0019,nzd0105-0037,nzd0105-0038,nzd0105-0039,nzd0105-0040,nzd0105-0041,nzd0105-0077,nzd0105-0088,nzd0105-0089,nzd0105-0106,nzd0105-0107,nzd0105-0113,nzd0105-0114,nzd0105-0122,nzd0105-0123,nzd0105-0124,nzd0105-0179,nzd0105-0149,nzd0105-0153,nzd0105-0121,nzd0105-0034,nzd0105-0035,nzd0105-0036,nzd0105-0090
2001-01-03 22:02:12.432000,L7,,,,,,,,,,,,,,,,,,,,,,,,347.68,351.79,300.76,319.75,362.75,373.00,351.43,,,,287.86,259.87,247.01,343.44,348.88,336.19,341.29,319.39,321.84,,,,,,,,,,,,,,,,,,,,,,,,,,310.36,304.52,305.87,317.20,329.93,,,,,,,,,,,271.52,296.20,379.92,323.06,311.88,285.82,264.64,,,311.70,293.51,,271.52,277.55,,,,,355.02,360.78,364.46,,,,,,,,,,,,,,314.24,325.02,319.99,349.14,287.54,302.69,315.49,327.37,328.42,331.28,340.71,344.28,346.37,363.20,374.85,353.51,,,356.94,362.87,370.39,373.84,378.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.70,304.95,324.02,,350.18,363.55,263.55,,,,309.47
2001-03-24 22:01:59.719000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.20,270.62,307.80,300.18,315.18,327.59,326.39,303.18,,,,,,,,,,,,,,,,,,,,,,,,,,272.46,271.82,286.87,303.12,315.32,311.90,333.43,342.64,359.90,321.84,346.90,,,,,,,,,,,,,,,,,,,,,,,,,317.17,,,,,,,,,329.05,333.86,355.52,366.79,,358.93,319.00,372.08,340.82,,,,,,,,,,281.50,332.79,332.46,,,341.81,346.64,347.98,355.55,317.67,332.24,322.67,329.41,303.88,298.78,324.46,340.71,383.57,377.65,371.02,383.37,,,,,,,,,,,,,,286.78,294.48,,,,,,,,264.04,223.36,,,,
2001-10-02 22:00:04.650000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.65,,,293.68,293.52,331.20,,,,,,,,,,,,,,,,,,,,,,,,,,,283.94,303.47,367.81,397.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.61,316.14,312.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.85,,,,,,325.60,,,,
2001-11-03 22:00:10.954000,L7,257.16,276.44,247.77,305.45,301.18,285.13,332.70,291.44,361.58,351.24,327.62,374.78,342.17,313.27,361.53,352.58,317.83,317.61,340.44,348.44,346.41,328.87,327.55,324.37,336.29,362.64,361.71,313.69,306.12,287.58,325.32,349.33,341.60,364.49,359.29,257.23,353.51,312.63,312.49,307.42,309.10,339.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-05 22:00:18.987000,L7,,,,,343.03,,,,,,,,,,,,,,,374.07,331.24,311.26,356.78,,,,,,,,,,,366.17,348.65,,322.07,302.31,,,,273.13,325.10,305.24,306.38,,,,,,,,,,,,,,,,,,,,,,,,,269.81,287.20,314.39,,,,,,,,,,,,,,,,,,,,,,,300.52,371.25,295.30,,,,347.97,358.95,328.78,,,,,,318.47,305.34,372.42,254.29,257.52,283.70,274.59,281.67,321.35,331.62,263.32,291.93,277.62,295.64,304.30,312.29,371.09,370.48,370.63,374.18,372.78,359.77,368.55,351.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-21 22:00:29.925000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.24,265.94,259.03,332.99,334.56,326.71,320.36,259.18,,,,,,,,,,,,,,,,,,,,,,,,,,,285.37,297.10,312.67,329.09,343.78,,,,,,,,,,,,,,,,294.72,250.74,272.26,237.13,,,295.60,358.52,368.73,,,,,346.26,351.67,356.40,,,,,,,,,,,310.52,275.74,313.81,270.38,267.16,282.18,,,292.53,302.76,310.42,316.19,323.57,,,327.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.96,301.98,277.74,276.93,275.63,,338.80,,267.14,,,,
2002-01-06 22:00:31.992000,L7,,,,,,,,,,,,,287.10,311.15,298.45,338.45,342.76,,,,,,,,,363.18,356.68,357.74,309.10,334.10,341.28,,357.26,,,,301.95,309.21,301.04,296.60,,282.63,,,,,,,,,,,,,,267.59,273.46,266.95,269.57,290.12,311.85,308.81,331.92,350.28,330.95,273.24,264.36,264.48,268.89,297.41,314.65,310.32,,,,,,,270.32,324.17,328.55,343.14,309.73,322.52,324.88,300.85,262.44,260.58,308.35,364.39,310.06,,,,,,,,,,,,,,,,255.65,262.02,,,,345.84,371.21,364.91,349.40,,262.20,255.90,270.01,284.46,331.03,331.66,339.46,353.91,370.30,376.18,359.74,363.80,366.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.47,342.09,331.25,343.77,,,,,,,,,,,,,321.78
2002-01-22 22:00:40.906000,L7,,,,,,,,,,,,,329.12,340.38,372.41,346.33,337.61,371.80,343.78,338.47,364.66,,,,316.38,273.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.91,365.16,342.44,337.52,352.44,293.83,301.60,266.64,278.09,,,,,,,,,,,,,,,,314.16,,,,,,,,,,,,,,,,,,,,,,,,328.82,339.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.11,,,,,,,,,,,,,,,,,
2002-02-23 22:00:43.620000,L7,,,,262.57,270.30,302.74,272.39,293.08,309.84,323.83,362.81,315.91,327.89,291.15,285.92,,,,,,,,,,,,293.87,312.60,,,,,,,,,,,,,,,285.67,283.87,319.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.85,366.81,336.36,338.47,,,,,,,,279.59,272.53,275.36,289.51,,,,351.63,357.21,357.35,380.38,337.71,343.29,342.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-12 22:00:37.812000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.87,320.37,302.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.31,291.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.02,272.30,278.82,301.05,372.97,350.85,349.70,361.63,,,,,,,260.92,307.91,339.18,,,,,308.15,361.57,,,,,,,,,,,,,
