dates,satname,nzd0157-0000,nzd0157-0001,nzd0157-0002,nzd0157-0003,nzd0157-0004,nzd0157-0005,nzd0157-0006,nzd0157-0007,nzd0157-0008,nzd0157-0009,nzd0157-0010,nzd0157-0011,nzd0157-0012,nzd0157-0013,nzd0157-0014
1999-10-22 21:58:28.758000,L7,317.10,294.20,295.52,300.88,291.73,293.98,299.86,286.01,296.03,291.88,298.42,302.58,271.96,257.04,278.18
1999-12-09 21:58:33.708000,L7,316.99,300.62,303.16,302.92,293.20,295.94,301.84,287.81,297.18,295.61,297.98,304.31,272.77,281.31,277.80
1999-12-09 21:58:57.676000,L7,317.67,303.68,304.31,303.80,294.32,296.33,302.48,290.75,298.47,295.41,298.04,304.51,274.11,282.61,278.22
2000-02-27 21:58:16.566000,L7,,,,,,,,,,,,,,243.18,
2000-03-14 21:58:11.336000,L7,315.08,293.03,295.27,300.95,290.93,294.19,298.90,284.85,,,,,,279.62,275.15
2000-03-14 21:58:35.291000,L7,315.77,293.79,295.67,301.89,291.94,294.93,299.58,285.64,294.25,291.61,296.94,301.67,271.37,280.56,276.46
2000-03-30 21:58:09.573000,L7,316.19,292.31,296.88,300.67,291.63,295.13,300.57,288.16,296.62,288.89,296.00,301.72,285.81,,
2000-03-30 21:58:33.541000,L7,312.65,290.48,294.62,298.57,290.09,293.75,299.04,285.04,294.67,287.28,293.25,300.86,281.65,,
2000-08-05 21:56:44.750000,L7,322.75,308.21,308.18,307.91,308.67,302.30,307.36,297.90,300.97,300.26,301.23,304.66,308.02,278.24,
2000-08-05 21:57:08.715000,L7,319.08,305.65,305.85,304.40,304.41,297.78,304.26,294.85,297.09,297.14,298.76,301.51,303.47,272.52,
2000-09-22 21:56:05.544000,L7,,,287.66,302.11,294.01,295.74,300.66,293.87,295.22,293.47,301.25,301.39,287.64,261.30,271.28
2000-09-22 21:56:29.431000,L7,,,,,,,,273.53,283.31,278.35,284.79,288.66,272.01,,
2000-12-11 21:56:00.959000,L7,336.04,307.30,306.15,313.09,303.16,304.24,308.75,296.00,302.22,297.96,304.46,308.41,281.89,332.89,278.13
2001-01-12 21:56:06.772000,L7,312.99,290.79,301.07,299.91,292.22,293.94,300.21,,,,,,,262.52,249.77
2001-01-12 21:56:30.696000,L7,334.77,347.06,305.92,308.24,301.72,303.90,311.35,294.56,300.37,297.98,305.48,304.65,273.86,323.79,276.47
2001-03-01 21:55:57.624000,L7,397.54,378.42,381.23,367.57,369.49,364.89,324.49,,,,,334.32,365.66,326.65,333.74
2001-03-01 21:56:21.596000,L7,,296.56,294.62,298.69,289.39,291.86,297.37,,,,293.17,297.01,269.83,256.60,265.45
2001-06-21 21:55:05.323000,L7,324.65,303.70,304.82,301.63,292.61,293.75,299.77,291.35,297.65,296.05,296.53,305.25,298.36,310.36,
2001-06-21 21:55:29.297000,L7,321.82,302.12,304.33,299.88,292.59,293.58,299.44,291.52,297.46,296.01,295.80,304.14,297.37,294.35,
2001-08-24 21:54:48.593000,L7,,,,,,,,,287.85,284.16,294.89,298.52,263.19,265.32,
2001-09-09 21:54:12.928000,L7,317.61,294.15,300.01,301.14,292.03,292.69,298.36,286.58,291.64,287.14,295.97,300.42,272.65,,
2001-09-09 21:54:36.880000,L7,317.56,304.63,306.58,304.69,302.07,297.77,302.69,297.48,300.45,300.21,306.71,308.49,278.65,331.71,292.89
2001-09-25 21:54:04.740000,L7,318.58,297.29,304.63,303.06,293.44,293.28,298.76,,285.02,284.61,294.93,297.40,276.91,259.56,277.86
2001-09-25 21:54:28.694000,L7,317.11,295.68,298.32,302.69,292.88,290.12,294.32,,283.11,283.84,291.11,293.60,275.53,355.59,318.54
2001-10-11 21:53:46.024000,L7,321.80,292.11,294.67,300.40,290.46,292.71,298.66,,287.62,287.29,293.79,292.62,269.90,250.72,276.49
2001-10-11 21:54:09.862000,L7,322.60,292.46,296.42,300.83,290.59,293.19,299.05,,287.67,287.44,295.26,293.40,271.19,252.50,276.72
2001-12-30 21:54:13.275000,L7,375.96,365.19,382.59,,,377.61,357.21,309.59,320.34,341.87,338.54,,380.78,335.59,312.04
2001-12-30 21:54:37.254000,L7,378.64,368.18,389.26,,,322.93,338.37,336.94,329.15,346.27,398.85,,,,
2002-01-15 21:54:23.534000,L7,,,,,,,,,,,,,,256.04,273.80
2002-02-16 21:54:54.191000,L7,378.54,371.65,382.86,373.74,373.46,379.12,378.31,344.93,328.18,342.10,308.32,319.89,320.45,339.48,318.17
2002-03-20 21:54:48.224000,L7,,,,,,,,,,290.87,287.63,294.86,269.80,262.01,276.53
2002-08-27 21:53:36.267000,L7,318.50,294.80,300.64,301.43,293.32,293.50,302.72,289.80,295.11,290.99,296.62,300.36,274.79,253.82,277.10
2002-08-27 21:54:00.253000,L7,319.85,305.99,306.33,307.20,305.91,304.74,311.47,303.48,305.99,306.51,308.86,310.57,286.87,271.60,292.38
2002-10-14 21:53:19.813000,L7,394.59,371.96,370.65,370.73,369.89,370.73,367.60,363.92,374.36,378.71,373.37,379.55,330.01,304.91,316.17
2002-10-14 21:53:43.769000,L7,387.85,370.23,366.22,370.27,368.03,367.29,366.29,361.50,373.33,376.80,371.70,374.93,330.89,312.58,322.59
2002-10-30 21:53:25.867000,L7,344.72,,,,,,,295.72,301.76,297.45,301.05,373.55,367.92,310.08,326.13
2002-12-01 21:53:52.985000,L7,349.16,351.00,346.05,377.22,311.52,311.00,316.83,308.57,309.95,304.42,310.27,310.40,298.23,274.72,288.86
2002-12-01 21:54:16.937000,L7,348.66,349.98,343.56,,386.00,311.92,316.61,362.80,348.96,396.48,380.97,310.03,342.81,321.20,333.22
2003-01-18 21:54:06.301000,L7,319.86,304.99,305.05,303.89,295.39,296.86,303.27,292.58,294.98,289.74,297.99,302.28,275.53,335.79,279.84
2003-01-18 21:54:30.278000,L7,318.51,302.70,304.33,302.19,293.47,295.61,301.78,289.95,293.73,288.68,297.59,301.13,273.22,335.26,279.06
2003-02-19 21:54:18.740000,L7,313.69,300.38,296.32,297.16,292.78,287.92,298.49,294.65,297.83,292.11,295.19,290.45,,,
2003-03-23 21:54:16.760000,L7,,,,,359.39,365.67,352.34,374.26,371.51,307.92,308.76,336.42,297.37,291.97,278.72
2003-03-23 21:54:40.711000,L7,341.64,309.95,338.48,400.51,354.10,300.81,308.01,370.31,367.58,307.61,308.10,316.29,295.59,289.81,278.65
2003-05-10 21:54:22.508000,L7,394.45,380.10,385.10,382.69,375.87,368.98,374.92,377.14,377.02,379.79,365.47,376.66,360.39,,
2003-05-10 21:54:46.466000,L7,398.86,386.67,388.61,389.14,382.02,373.38,379.50,381.38,382.92,387.21,373.47,382.22,370.90,342.98,
2003-05-26 21:54:19.958000,L7,360.42,294.55,302.39,300.02,292.54,296.66,302.18,294.01,298.91,290.70,297.88,302.43,351.44,374.93,283.50
2003-05-26 21:54:43.917000,L7,339.30,291.97,303.30,297.01,290.47,294.80,300.90,293.11,297.80,289.53,296.60,302.08,279.81,278.69,
2003-07-21 21:42:09.884000,L5,,,280.31,291.99,286.27,276.29,286.05,280.17,285.39,279.57,281.87,288.96,248.69,259.64,
2003-07-21 21:42:33.857000,L5,,,279.60,294.00,286.19,277.49,288.54,281.48,285.47,279.85,284.24,289.02,251.91,260.63,
2003-10-25 21:43:40.253000,L5,318.12,303.26,297.47,301.29,297.69,294.07,293.43,296.18,302.33,296.25,296.77,298.74,250.40,251.92,266.50
2004-02-14 21:44:33.705000,L5,,,,,,,,,,,,,,,244.90
2004-07-07 21:48:09.180000,L5,294.93,287.45,274.71,283.13,280.93,268.03,,,,,,,,,
2004-09-25 21:49:43.196000,L5,312.32,294.42,295.60,296.74,289.09,286.13,291.32,288.29,291.83,282.94,291.48,295.03,234.90,254.94,267.07
2004-09-25 21:50:07.312000,L5,310.00,292.96,293.70,295.15,287.35,284.06,289.02,286.95,290.57,280.70,288.84,293.55,232.93,253.61,265.83
2005-01-15 21:51:45.464000,L5,304.13,294.03,286.78,287.37,280.18,272.29,,,,,,,233.27,237.78,286.98
