dates,satname,nzd0255-0000,nzd0255-0001,nzd0255-0002,nzd0255-0003,nzd0255-0004,nzd0255-0005,nzd0255-0006,nzd0255-0007,nzd0255-0008,nzd0255-0009,nzd0255-0010,nzd0255-0011,nzd0255-0012,nzd0255-0013,nzd0255-0014,nzd0255-0015,nzd0255-0016,nzd0255-0017,nzd0255-0018,nzd0255-0019,nzd0255-0020,nzd0255-0021,nzd0255-0022
1999-08-05 21:46:59.046000,L7,256.90,224.41,217.05,265.61,286.63,277.47,270.63,284.60,271.70,274.63,306.35,337.95,322.17,316.96,320.62,322.38,324.32,313.76,307.91,312.44,318.44,313.65,343.20
1999-08-21 21:46:56.985000,L7,285.64,240.58,248.11,269.63,282.78,273.65,270.50,321.77,324.73,327.00,316.71,338.31,318.86,318.11,322.59,323.75,358.85,354.55,367.66,367.71,360.20,342.72,
1999-09-22 21:47:00.785000,L7,269.83,241.32,232.30,284.56,305.27,306.23,240.46,282.53,271.76,273.33,324.50,340.70,303.01,311.00,319.93,317.98,320.24,313.39,306.20,305.21,309.60,308.01,327.67
1999-10-24 21:46:56.203000,L7,,,,,,290.04,312.44,280.69,272.85,275.20,344.68,360.60,354.56,352.65,281.23,273.31,288.15,280.91,272.59,271.42,282.49,272.43,274.15
2000-02-13 21:46:48.016000,L7,,,,,243.80,248.67,216.09,248.89,247.45,244.64,296.44,297.37,297.48,297.84,305.86,307.08,301.04,296.95,296.49,296.65,301.53,302.78,308.03
2000-04-01 21:46:34.573000,L7,276.74,246.90,234.95,272.72,295.37,275.67,280.50,280.99,273.49,275.46,321.84,343.58,324.85,317.75,323.13,321.43,324.96,313.64,309.91,308.37,313.94,317.96,317.10
2000-05-19 21:46:07.873000,L7,282.53,243.53,242.45,284.08,306.96,279.20,324.50,293.84,324.27,312.53,321.73,371.75,327.77,321.64,327.96,333.75,329.39,321.98,319.04,324.18,323.28,359.40,
2000-08-07 21:45:08.975000,L7,264.76,236.62,234.07,258.97,277.24,275.21,280.80,281.58,272.81,277.46,310.66,331.70,326.45,323.48,327.04,331.15,328.25,319.16,315.94,316.82,321.43,322.47,324.47
2000-11-27 21:44:26.720000,L7,,,,,,,,,,,,,,,,,339.26,340.84,345.83,353.39,,,
2001-04-04 21:44:06.948000,L7,276.52,245.59,231.65,261.62,277.96,284.28,277.50,288.37,280.58,281.14,325.66,263.91,263.47,297.50,295.96,284.91,288.24,288.01,287.75,292.53,285.11,283.97,289.20
2001-04-20 21:44:10.657000,L7,282.65,261.14,257.20,262.01,278.10,274.56,275.02,303.43,318.84,321.90,341.07,353.42,330.30,319.43,328.34,358.24,330.80,320.85,320.25,334.13,334.74,,
2001-05-22 21:43:54.652000,L7,280.71,260.00,243.87,292.32,,293.34,301.36,310.62,289.66,,,375.27,365.91,370.53,351.28,364.81,369.38,369.48,365.38,346.73,,,
2001-07-25 21:43:18.753000,L7,273.50,239.85,229.37,295.77,305.76,310.51,315.01,,317.27,316.81,336.26,356.38,356.97,354.63,360.84,369.67,368.80,362.95,356.21,358.89,359.47,351.45,355.10
2001-08-10 21:43:00.495000,L7,,,,227.02,248.90,224.71,253.71,257.19,260.43,261.14,247.18,211.40,151.62,312.71,312.05,311.82,311.15,296.69,296.22,302.74,307.37,304.05,281.31
