dates,satname,nzd0318-0000,nzd0318-0001,nzd0318-0002,nzd0318-0003,nzd0318-0004,nzd0318-0005,nzd0318-0006,nzd0318-0007,nzd0318-0008,nzd0318-0009,nzd0318-0010,nzd0318-0011,nzd0318-0012,nzd0318-0013,nzd0318-0014,nzd0318-0015,nzd0318-0016,nzd0318-0017,nzd0318-0018,nzd0318-0019,nzd0318-0020,nzd0318-0021,nzd0318-0022,nzd0318-0023,nzd0318-0024,nzd0318-0025,nzd0318-0026,nzd0318-0027,nzd0318-0028,nzd0318-0029,nzd0318-0030,nzd0318-0031,nzd0318-0032,nzd0318-0033,nzd0318-0034,nzd0318-0035,nzd0318-0036
1999-08-17 22:12:02.089000,L7,370.57,424.09,407.08,426.91,475.30,479.83,465.43,496.46,496.59,491.92,513.51,444.62,476.72,492.34,474.69,470.47,453.89,435.73,377.62,429.51,514.91,533.27,540.50,512.88,,,,,,,,,,,,,
1999-08-26 22:05:56.841000,L7,334.57,324.49,329.15,335.95,332.49,268.44,325.79,380.75,293.55,226.16,232.89,345.25,361.72,407.13,400.73,254.98,191.27,240.90,233.72,196.00,186.19,189.82,230.98,423.36,424.00,406.89,278.70,312.36,309.09,316.64,341.06,312.21,264.20,240.18,,,
1999-09-27 22:06:00.877000,L7,341.60,212.51,337.98,294.97,307.74,365.52,416.44,388.80,445.10,380.00,537.10,482.54,380.58,412.22,400.77,417.21,,,266.43,247.94,,,277.86,270.52,265.79,267.20,389.87,391.46,401.63,336.52,326.16,324.28,,,531.33,499.21,
1999-11-30 22:05:47.159000,L7,393.95,360.61,395.42,413.35,274.12,316.18,333.24,342.59,362.29,334.46,302.82,288.45,322.08,319.87,327.73,362.85,490.54,496.17,497.92,318.69,296.99,325.81,476.70,490.45,528.24,471.12,476.97,490.40,494.06,503.33,501.12,513.29,515.69,291.81,291.53,288.79,184.78
1999-12-16 22:05:57.846000,L7,434.85,417.32,392.29,408.07,395.24,442.04,428.93,428.80,440.45,426.60,495.16,500.78,494.80,484.49,395.46,428.46,435.39,517.27,362.13,404.53,312.86,427.76,428.12,444.58,393.43,299.39,344.76,341.02,351.90,373.86,262.12,230.48,205.27,201.45,328.27,318.26,355.52
2000-02-25 22:11:49.490000,L7,329.87,327.72,349.00,352.03,438.51,379.26,387.71,405.32,311.44,385.73,220.62,294.52,327.28,370.27,408.71,381.39,398.03,409.21,421.95,201.14,,329.85,248.22,478.99,477.23,454.46,478.10,,,,,,,,,,
2000-03-05 22:05:36.285000,L7,478.63,332.19,341.96,335.07,321.62,424.57,315.20,258.58,329.05,336.79,340.15,263.98,272.13,281.36,332.87,349.50,358.33,373.72,325.58,282.41,232.18,255.83,232.64,217.74,188.05,189.08,350.44,350.03,359.97,324.45,261.79,381.05,477.11,397.01,390.34,,
2000-03-12 22:11:45.772000,L7,332.87,330.99,292.71,281.61,269.44,278.72,273.24,285.66,270.95,238.66,232.93,259.84,297.94,254.36,259.67,241.02,223.47,184.38,272.46,258.03,210.87,190.74,186.67,279.23,273.17,311.24,253.61,306.59,273.27,297.10,264.53,222.39,273.30,326.58,369.87,549.08,467.95
2000-03-21 22:05:37.143000,L7,345.10,356.51,354.89,353.44,354.03,364.32,352.59,349.14,338.86,355.90,281.98,274.55,289.97,281.41,277.75,271.05,285.26,334.22,321.54,334.91,276.08,286.15,344.54,373.18,358.30,331.37,340.35,361.85,360.83,357.78,357.95,351.23,372.44,367.06,361.33,330.34,334.69
2000-04-13 22:11:30.253000,L7,380.62,373.80,360.48,340.27,307.94,350.61,356.44,259.27,240.51,281.68,279.47,328.70,460.27,464.74,431.53,446.03,452.09,459.25,464.69,437.84,425.25,446.36,426.91,424.66,445.71,457.83,481.53,497.04,493.48,510.38,265.84,224.22,201.05,240.90,206.02,186.27,190.65
